"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","22,836.4","22,410.3","22,921.6","22,410.3","41.52K","2.29%"
"07/02/2021","22,793.8","22,836.4","23,177.2","22,580.8","30.59K","-0.19%"
"07/05/2021","22,836.4","22,793.8","23,006.8","22,410.3","12.77K","0.19%"
"07/06/2021","22,154.7","22,623.4","22,708.6","22,154.7","19.90K","-2.99%"
"07/07/2021","22,580.8","22,154.7","22,580.8","21,984.3","23.00K","1.92%"
"07/08/2021","22,154.7","22,154.7","22,325.1","22,154.7","4.37K","-1.89%"
"07/09/2021","21,899.1","21,302.6","22,495.5","21,302.6","12.31K","-1.15%"
"07/12/2021","20,407.9","20,876.6","21,813.9","20,407.9","47.04K","-6.81%"
"07/13/2021","19,683.6","20,407.9","20,493.1","19,598.4","27.60K","-3.55%"
"07/14/2021","20,791.3","21,004.4","21,004.4","19,598.4","6.44K","5.63%"
"07/15/2021","20,833.9","20,620.9","21,047.0","20,578.3","7.82K","0.20%"
"07/16/2021","20,876.6","20,833.9","20,961.8","20,493.1","10.58K","0.20%"
"07/19/2021","20,280.1","19,641.0","20,365.3","19,470.6","41.63K","-2.86%"
"07/20/2021","20,961.8","20,450.5","21,515.6","20,365.3","54.74K","3.36%"
"07/21/2021","20,407.9","20,365.3","21,217.4","20,109.7","10.24K","-2.64%"
"07/22/2021","21,132.2","20,450.5","21,132.2","20,450.5","10.81K","3.55%"
"07/23/2021","20,535.7","21,302.6","21,302.6","20,450.5","14.15K","-2.82%"
"07/26/2021","20,791.3","21,132.2","21,132.2","20,280.1","5.52K","1.24%"
"07/27/2021","20,791.3","20,450.5","21,302.6","20,450.5","24.38K","0.00%"
"07/28/2021","20,791.3","20,493.1","20,791.3","20,493.1","1.04K","0.00%"
"07/29/2021","20,876.6","20,535.7","20,876.6","20,450.5","15.99K","0.41%"
"07/30/2021","20,876.6","20,535.7","20,876.6","20,535.7","6.44K","0.00%"
"08/02/2021","20,535.7","20,450.5","20,706.1","20,280.1","13.00K","-1.63%"
"08/03/2021","20,620.9","20,535.7","20,620.9","20,450.5","11.73K","0.41%"
"08/04/2021","20,450.5","20,620.9","20,620.9","20,365.3","45.54K","-0.83%"
"08/05/2021","20,450.5","20,450.5","20,450.5","20,067.1","36.80K","0.00%"
"08/06/2021","20,876.6","21,430.4","21,430.4","20,280.1","4.26K","2.08%"
"08/09/2021","20,961.8","20,876.6","21,174.8","20,407.9","36.11K","0.41%"
"08/10/2021","22,069.5","20,450.5","22,154.7","20,450.5","55.09K","5.28%"
"08/11/2021","22,112.1","22,580.8","22,580.8","21,600.8","25.99K","0.19%"
"08/12/2021","22,154.7","21,856.5","22,580.8","21,856.5","58.19K","0.19%"
"08/13/2021","23,688.5","22,112.1","23,688.5","22,112.1","101.66K","6.92%"
"08/16/2021","23,773.7","24,455.4","24,540.6","23,475.5","53.48K","0.36%"
"08/17/2021","23,518.1","23,773.7","24,157.2","23,049.4","18.98K","-1.08%"
"08/18/2021","22,282.5","23,006.8","23,006.8","21,984.3","51.52K","-5.25%"
"08/19/2021","22,154.7","21,856.5","22,751.2","21,856.5","34.73K","-0.57%"
"08/20/2021","21,132.2","22,154.7","22,495.5","21,132.2","39.91K","-4.62%"
"08/23/2021","20,450.5","20,535.7","20,833.9","20,450.5","27.72K","-3.23%"
"08/24/2021","20,706.1","20,109.7","20,961.8","20,024.4","19.09K","1.25%"
"08/25/2021","20,450.5","20,067.1","20,706.1","20,067.1","11.27K","-1.23%"
"08/26/2021","20,280.1","20,450.5","20,876.6","20,280.1","24.04K","-0.83%"
"08/27/2021","20,791.3","20,365.3","20,961.8","20,365.3","6.10K","2.52%"
"08/30/2021","21,473.0","20,876.6","21,728.7","20,620.9","115.12K","3.28%"
"08/31/2021","22,964.2","22,964.2","22,964.2","22,964.2","47.84K","6.94%"
"09/01/2021","24,540.6","24,540.6","24,540.6","24,455.4","381.92K","6.86%"
"09/06/2021","24,796.2","26,159.6","26,159.6","24,370.2","165.49K","1.04%"
"09/07/2021","24,242.4","25,094.5","25,094.5","23,688.5","162.38K","-2.23%"
"09/08/2021","23,006.8","22,836.4","23,816.3","22,580.8","284.17K","-5.10%"
"09/09/2021","23,432.9","23,006.8","23,603.3","22,836.4","80.96K","1.85%"
"09/10/2021","23,816.3","23,518.1","24,114.5","23,518.1","51.41K","1.64%"
"09/13/2021","23,006.8","24,285.0","24,285.0","22,836.4","102.70K","-3.40%"
"09/14/2021","22,921.6","23,006.8","23,603.3","22,921.6","54.51K","-0.37%"
"09/15/2021","23,006.8","22,836.4","23,006.8","22,666.0","41.40K","0.37%"
"09/16/2021","23,006.8","23,006.8","23,134.6","22,921.6","60.84K","0.00%"
"09/17/2021","23,432.9","23,347.7","23,518.1","23,092.0","67.05K","1.85%"
