"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","14,284.1","14,284.1","14,284.1","14,284.1","17.10K","0.00%"
"07/02/2021","14,149.8","14,328.9","14,328.9","14,060.2","47.10K","-0.94%"
"07/05/2021","14,149.8","14,149.8","14,239.3","14,149.8","5.40K","0.00%"
"07/06/2021","14,239.3","14,418.5","14,418.5","14,194.6","14.10K","0.63%"
"07/07/2021","14,239.3","14,239.3","14,239.3","14,105.0","14.30K","0.00%"
"07/08/2021","14,149.8","14,149.8","14,284.1","14,105.0","27.60K","-0.63%"
"07/09/2021","14,239.3","14,149.8","14,239.3","13,881.1","83.40K","0.63%"
"07/12/2021","13,881.1","14,060.2","14,060.2","13,791.6","46.40K","-2.52%"
"07/13/2021","13,881.1","13,925.9","13,925.9","13,881.1","8.60K","0.00%"
"07/14/2021","14,149.8","13,881.1","14,239.3","13,881.1","4.40K","1.94%"
"07/15/2021","14,060.2","14,060.2","14,060.2","14,060.2","0.40K","-0.63%"
"07/16/2021","13,881.1","14,060.2","14,060.2","13,881.1","5.00K","-1.27%"
"07/19/2021","13,791.6","13,881.1","13,970.7","13,746.8","110.20K","-0.65%"
"07/20/2021","13,791.6","13,657.2","13,925.9","13,657.2","61.40K","0.00%"
"07/21/2021","13,881.1","13,881.1","13,881.1","13,881.1","4.90K","0.65%"
"07/22/2021","14,060.2","13,925.9","14,060.2","13,925.9","2.10K","1.29%"
"07/23/2021","14,239.3","14,239.3","14,239.3","14,239.3","0.20K","1.27%"
"07/26/2021","14,149.8","13,970.7","14,149.8","13,970.7","21.90K","-0.63%"
"07/27/2021","14,149.8","14,149.8","14,149.8","14,149.8","21.20K","0.00%"
"07/28/2021","14,149.8","14,508.0","14,508.0","14,015.5","23.70K","0.00%"
"07/29/2021","13,925.9","13,970.7","14,149.8","13,791.6","51.60K","-1.58%"
"07/30/2021","14,149.8","14,149.8","14,149.8","13,970.7","66.70K","1.61%"
"08/02/2021","13,970.7","14,015.5","14,239.3","13,970.7","8.70K","-1.27%"
"08/03/2021","14,149.8","14,149.8","14,149.8","14,149.8","16.50K","1.28%"
"08/05/2021","14,194.6","14,149.8","14,239.3","14,149.8","6.00K","0.32%"
"08/06/2021","14,239.3","13,970.7","14,239.3","13,970.7","13.20K","0.32%"
"08/09/2021","14,239.3","14,060.2","14,239.3","14,015.5","1.60K","0.00%"
"08/10/2021","14,284.1","14,239.3","14,284.1","14,149.8","11.50K","0.31%"
"08/11/2021","14,284.1","14,328.9","14,328.9","14,284.1","18.00K","0.00%"
"08/12/2021","14,284.1","14,284.1","14,328.9","14,239.3","18.80K","0.00%"
"08/13/2021","14,239.3","14,328.9","14,328.9","14,149.8","28.80K","-0.31%"
"08/16/2021","14,328.9","14,463.2","14,463.2","14,194.6","58.60K","0.63%"
"08/17/2021","14,642.3","14,328.9","14,642.3","14,328.9","76.90K","2.19%"
"08/18/2021","14,508.0","14,642.3","14,687.1","14,508.0","1.50K","-0.92%"
"08/19/2021","14,597.6","14,508.0","14,776.7","14,508.0","93.40K","0.62%"
"08/20/2021","14,328.9","14,687.1","14,776.7","14,328.9","64.10K","-1.84%"
"08/23/2021","14,687.1","14,776.7","14,776.7","14,463.2","72.40K","2.50%"
"08/24/2021","14,687.1","14,687.1","14,776.7","14,418.5","12.00K","0.00%"
"08/25/2021","14,597.6","14,687.1","14,687.1","14,463.2","19.90K","-0.61%"
"08/26/2021","14,776.7","14,687.1","14,866.2","14,508.0","25.50K","1.23%"
"08/27/2021","14,776.7","14,776.7","14,821.5","14,731.9","67.30K","0.00%"
