"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","10,833.3","11,203.7","11,388.9","10,833.3","11.31M","-1.68%"
"07/02/2021","11,018.5","10,833.3","11,250.0","10,740.7","9.19M","1.71%"
"07/05/2021","10,416.7","10,972.2","11,018.5","10,277.8","11.67M","-5.46%"
"07/06/2021","9,722.2","10,416.7","10,601.9","9,722.2","8.79M","-6.67%"
"07/07/2021","9,444.4","9,722.2","9,722.2","9,120.4","11.25M","-2.86%"
"07/08/2021","9,351.9","9,537.0","9,907.4","9,351.9","6.62M","-0.98%"
"07/09/2021","8,703.7","9,166.7","9,490.7","8,703.7","10.85M","-6.93%"
"07/12/2021","8,138.9","8,703.7","8,796.3","8,101.9","11.10M","-6.49%"
"07/13/2021","8,611.1","8,240.7","8,675.9","8,148.1","7.85M","5.80%"
"07/14/2021","8,379.6","8,611.1","8,787.0","8,351.9","5.28M","-2.69%"
"07/15/2021","8,518.5","8,333.3","8,601.9","8,333.3","3.03M","1.66%"
"07/16/2021","8,435.2","8,611.1","8,666.7","8,425.9","3.93M","-0.98%"
"07/19/2021","7,851.9","8,148.1","8,333.3","7,851.9","6.83M","-6.92%"
"07/20/2021","8,055.6","7,851.9","8,083.3","7,694.4","4.81M","2.59%"
"07/21/2021","8,342.6","8,148.1","8,518.5","8,055.6","5.77M","3.56%"
"07/22/2021","8,925.9","8,379.6","8,925.9","8,259.3","9.92M","6.99%"
"07/23/2021","8,925.9","9,074.1","9,490.7","8,796.3","12.64M","0.00%"
"07/26/2021","9,120.4","8,759.3","9,250.0","8,722.2","6.55M","2.18%"
"07/27/2021","8,990.7","9,231.5","9,259.3","8,990.7","6.79M","-1.42%"
"07/28/2021","8,888.9","8,990.7","9,027.8","8,722.2","5.75M","-1.13%"
"07/29/2021","8,944.4","8,944.4","9,009.3","8,814.8","4.66M","0.62%"
"07/30/2021","9,537.0","9,537.0","9,537.0","9,351.9","16.00M","6.63%"
"08/02/2021","9,629.6","9,444.4","9,907.4","9,351.9","9.79M","0.97%"
"08/03/2021","9,583.3","9,537.0","9,814.8","9,537.0","8.31M","-0.48%"
"08/04/2021","9,629.6","9,675.9","9,953.7","9,537.0","9.19M","0.48%"
"08/05/2021","9,861.1","9,583.3","10,138.9","9,537.0","9.28M","2.40%"
