"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","73,172","73,384","73,969","72,747","23.87K","0.22%"
"07/02/2021","72,322","73,544","73,544","72,322","28.31K","-1.16%"
"07/05/2021","72,216","72,322","72,322","71,154","32.75K","-0.15%"
"07/06/2021","72,110","72,004","72,429","70,889","44.59K","-0.15%"
"07/07/2021","71,685","72,057","72,057","70,942","100.46K","-0.59%"
"07/08/2021","71,791","70,889","71,845","70,889","18.87K","0.15%"
"07/09/2021","71,207","71,685","71,685","70,623","8.33K","-0.81%"
"07/12/2021","69,561","70,092","71,154","69,030","29.42K","-2.31%"
"07/13/2021","69,561","69,561","69,561","69,030","9.62K","0.00%"
"07/14/2021","69,561","69,030","69,561","69,030","12.95K","0.00%"
"07/15/2021","69,721","71,685","71,685","69,136","10.92K","0.23%"
"07/16/2021","70,623","69,561","71,101","69,508","48.29K","1.29%"
"07/19/2021","70,305","70,623","70,623","69,561","16.47K","-0.45%"
"07/20/2021","71,314","71,632","71,632","70,039","15.36K","1.44%"
"07/21/2021","71,154","71,791","71,791","70,570","30.16K","-0.22%"
"07/22/2021","71,632","71,154","71,632","71,154","8.70K","0.67%"
"07/23/2021","71,632","71,579","71,632","70,942","12.03K","0.00%"
"07/26/2021","71,420","71,420","71,420","71,154","19.43K","-0.30%"
"07/27/2021","72,163","70,889","72,694","70,889","20.17K","1.04%"
"07/28/2021","72,110","72,110","72,216","72,110","13.51K","-0.07%"
"07/29/2021","71,738","71,685","72,110","71,154","7.40K","-0.52%"
"07/30/2021","71,738","70,411","71,738","70,411","11.84K","0.00%"
"08/02/2021","72,163","71,738","72,269","71,207","14.43K","0.59%"
"08/03/2021","72,641","72,482","72,747","72,216","14.99K","0.66%"
"08/04/2021","72,641","72,641","72,747","72,641","9.44K","0.00%"
"08/05/2021","73,544","71,685","73,544","71,685","42.00K","1.24%"
"08/06/2021","72,269","73,809","73,809","72,216","32.75K","-1.73%"
"08/09/2021","74,128","72,216","74,340","72,216","53.47K","2.57%"
"08/10/2021","73,597","74,128","74,128","73,278","10.73K","-0.72%"
"08/11/2021","73,809","73,650","73,915","73,597","24.79K","0.29%"
"08/12/2021","72,960","73,756","73,756","72,747","8.33K","-1.15%"
"08/13/2021","73,703","73,013","73,703","72,960","8.88K","1.02%"
"08/16/2021","74,606","73,809","74,606","72,269","44.03K","1.23%"
"08/17/2021","74,871","75,402","75,402","74,712","33.12K","0.36%"
"08/18/2021","75,615","74,871","75,668","74,659","19.61K","0.99%"
"08/19/2021","74,340","75,615","75,615","74,340","31.27K","-1.69%"
"08/20/2021","75,084","74,446","75,084","73,969","40.70K","1.00%"
"08/23/2021","74,340","74,871","74,871","72,216","19.61K","-0.99%"
"08/24/2021","73,278","74,075","74,075","73,278","9.99K","-1.43%"
"08/25/2021","73,278","72,269","73,278","72,269","7.03K","0.00%"
"08/26/2021","73,278","73,278","73,544","73,278","5.92K","0.00%"
"08/27/2021","74,075","73,278","74,287","73,278","21.65K","1.09%"
"08/30/2021","74,606","74,340","74,871","73,703","63.46K","0.72%"
"08/31/2021","74,128","75,349","75,349","72,110","56.43K","-0.64%"
