"Date","Price","Open","High","Low","Vol.","Change %"
"07/02/2021","24,538.0","24,538.0","24,538.0","24,538.0","0.20K","-4.76%"
"07/05/2021","23,028.0","23,028.0","23,028.0","23,028.0","0.10K","-6.15%"
"07/06/2021","22,697.0","22,697.0","22,697.0","22,697.0","0.10K","-1.44%"
"07/08/2021","21,423.0","22,697.0","22,697.0","21,423.0","0.20K","-5.61%"
"07/09/2021","22,650.0","22,886.0","22,886.0","22,650.0","0.30K","5.73%"
"07/12/2021","21,801.0","21,706.0","22,650.0","21,706.0","3.40K","-3.75%"
"07/19/2021","21,801.0","21,801.0","21,801.0","21,801.0","0.40K","0.00%"
"07/21/2021","20,385.0","20,385.0","20,385.0","20,385.0","0.10K","-6.50%"
"07/26/2021","21,329.0","21,187.0","21,329.0","21,187.0","0.50K","4.63%"
"07/28/2021","21,753.0","21,753.0","21,753.0","21,753.0","0.10K","1.99%"
"07/29/2021","22,178.0","22,178.0","22,178.0","22,178.0","0.20K","1.95%"
"08/04/2021","21,895.0","23,405.0","23,499.0","21,895.0","3.60K","-1.28%"
"08/05/2021","22,650.0","22,650.0","22,650.0","22,650.0","0.20K","3.45%"
"08/09/2021","22,650.0","22,650.0","23,122.0","22,650.0","6.60K","0.00%"
"08/13/2021","22,697.0","22,697.0","22,697.0","22,697.0","3.00K","0.21%"
"08/16/2021","23,594.0","23,594.0","23,594.0","23,594.0","0.30K","3.95%"
"08/19/2021","23,594.0","23,594.0","23,594.0","23,594.0","0.10K","0.00%"
"08/23/2021","22,650.0","22,650.0","22,650.0","22,650.0","1.20K","-4.00%"
"09/01/2021","22,839.0","22,839.0","22,839.0","22,839.0","0.10K","0.83%"
"09/08/2021","22,839.0","22,839.0","22,839.0","22,839.0","0.50K","0.00%"
"09/13/2021","24,254.0","24,349.0","24,349.0","24,254.0","0.20K","6.20%"
"09/15/2021","22,650.0","22,650.0","22,650.0","22,650.0","3.90K","-6.61%"
"09/16/2021","22,839.0","22,839.0","22,839.0","22,839.0","3.90K","0.83%"
"09/20/2021","24,396.0","24,349.0","24,396.0","24,349.0","3.10K","6.82%"
"09/24/2021","24,443.0","22,792.0","24,443.0","22,697.0","1.80K","0.19%"
"09/27/2021","26,048.0","25,953.0","26,142.0","25,953.0","1.40K","6.57%"
"09/29/2021","24,254.0","24,443.0","24,443.0","24,254.0","0.30K","-6.89%"
"10/04/2021","24,254.0","24,254.0","24,254.0","24,254.0","0.50K","0.00%"
"10/05/2021","24,254.0","24,254.0","24,254.0","24,254.0","0.10K","0.00%"
"10/06/2021","24,821.0","24,821.0","24,821.0","24,821.0","0.20K","2.34%"
"10/07/2021","23,735.0","23,216.0","26,519.0","23,216.0","1.40K","-4.38%"
"10/08/2021","24,538.0","24,443.0","25,104.0","24,443.0","1.10K","3.38%"
"10/11/2021","24,538.0","24,538.0","24,538.0","24,538.0","0.50K","0.00%"
"10/12/2021","25,009.0","24,538.0","25,009.0","24,538.0","0.30K","1.92%"
"10/13/2021","25,009.0","25,009.0","25,009.0","25,009.0","0.30K","0.00%"
"10/14/2021","25,953.0","25,387.0","25,953.0","25,387.0","1.50K","3.77%"
"10/15/2021","27,369.0","25,953.0","27,369.0","25,953.0","1.20K","5.46%"
"10/18/2021","27,133.0","29,256.0","29,256.0","26,897.0","2.70K","-0.86%"
"10/19/2021","25,481.0","25,481.0","25,481.0","25,481.0","0.10K","-6.09%"
"10/20/2021","25,481.0","25,528.0","25,528.0","25,481.0","0.40K","0.00%"
"10/21/2021","24,302.0","24,302.0","24,302.0","24,302.0","0.10K","-4.63%"
"10/25/2021","25,764.0","25,009.0","25,764.0","25,009.0","0.30K","6.02%"
"10/26/2021","24,160.0","24,632.0","24,632.0","24,160.0","1.70K","-6.23%"
"10/28/2021","25,764.0","25,481.0","25,812.0","25,481.0","3.30K","6.64%"
"10/29/2021","27,558.0","27,369.0","27,558.0","26,850.0","7.50K","6.96%"
"11/01/2021","29,256.0","29,445.0","29,445.0","29,256.0","19.50K","6.16%"
"11/02/2021","31,285.0","29,256.0","31,285.0","29,256.0","7.30K","6.94%"
"11/03/2021","29,256.0","30,200.0","31,333.0","29,256.0","6.10K","-6.49%"
"11/04/2021","31,144.0","29,256.0","31,144.0","29,256.0","2.10K","6.45%"
"11/05/2021","30,672.0","29,917.0","31,097.0","29,917.0","1.20K","-1.52%"
"11/08/2021","29,351.0","29,256.0","29,351.0","29,256.0","4.60K","-4.31%"
"11/09/2021","30,011.0","30,106.0","30,200.0","30,011.0","2.10K","2.25%"
"11/10/2021","31,144.0","30,011.0","31,191.0","30,011.0","10.80K","3.78%"
"11/11/2021","31,144.0","31,427.0","33,314.0","30,672.0","26.10K","0.00%"
"11/12/2021","31,144.0","31,144.0","31,144.0","30,672.0","4.00K","0.00%"
"11/15/2021","32,088.0","31,144.0","32,088.0","30,578.0","16.60K","3.03%"
"11/16/2021","30,200.0","32,088.0","32,088.0","30,200.0","33.50K","-5.88%"
"11/17/2021","30,483.0","30,247.0","31,616.0","30,247.0","8.30K","0.94%"
"11/18/2021","30,200.0","30,483.0","30,483.0","29,728.0","6.80K","-0.93%"
"11/19/2021","29,000.0","31,500.0","31,500.0","29,000.0","0.80K","-3.97%"
"11/22/2021","27,800.0","29,000.0","29,000.0","27,800.0","2.00K","-4.14%"
"11/23/2021","26,000.0","26,000.0","26,200.0","26,000.0","5.10K","-6.47%"
"11/24/2021","26,000.0","26,000.0","26,000.0","25,850.0","7.00K","0.00%"
"11/25/2021","26,200.0","26,200.0","26,200.0","26,200.0","0.20K","0.77%"
"11/26/2021","26,300.0","26,300.0","26,300.0","26,300.0","0.30K","0.38%"
"11/29/2021","24,800.0","24,800.0","25,000.0","24,800.0","0.70K","-5.70%"
"11/30/2021","26,500.0","26,000.0","26,500.0","26,000.0","5.50K","6.85%"
"12/01/2021","26,600.0","26,600.0","26,600.0","26,600.0","0.10K","0.38%"
"12/02/2021","26,000.0","26,600.0","26,600.0","25,600.0","3.30K","-2.26%"
"12/03/2021","26,100.0","26,000.0","26,100.0","26,000.0","3.20K","0.38%"
"12/06/2021","26,000.0","26,000.0","26,100.0","26,000.0","6.20K","-0.38%"
"12/07/2021","26,000.0","26,000.0","26,000.0","26,000.0","1.70K","0.00%"
"12/08/2021","24,450.0","25,500.0","25,500.0","24,400.0","14.50K","-5.96%"
"12/09/2021","24,500.0","24,500.0","24,500.0","24,500.0","0.20K","0.20%"
"12/13/2021","25,000.0","24,500.0","25,050.0","23,300.0","2.80K","2.04%"
"12/15/2021","25,800.0","25,100.0","25,800.0","25,100.0","0.20K","3.20%"
"12/16/2021","25,750.0","25,750.0","25,800.0","25,750.0","3.50K","-0.19%"
"12/17/2021","25,000.0","25,000.0","25,000.0","25,000.0","1.40K","-2.91%"
"12/20/2021","24,500.0","24,500.0","24,500.0","24,500.0","0.20K","-2.00%"
"12/23/2021","23,500.0","24,500.0","24,500.0","23,500.0","1.20K","-4.08%"
"12/24/2021","24,600.0","23,500.0","25,000.0","23,500.0","2.80K","4.68%"
"12/27/2021","25,500.0","25,000.0","25,500.0","25,000.0","0.70K","3.66%"
"12/28/2021","25,900.0","25,000.0","26,000.0","24,900.0","3.40K","1.57%"
"12/29/2021","25,800.0","24,350.0","25,900.0","24,350.0","3.20K","-0.39%"
"12/30/2021","25,800.0","25,900.0","25,900.0","25,700.0","2.40K","0.00%"
"12/31/2021","25,550.0","24,100.0","25,900.0","24,100.0","3.30K","-0.97%"
