"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","9,680.5","9,878.0","9,878.0","9,581.7","20.80K","-2.00%"
"07/02/2021","9,729.9","9,878.0","9,878.0","9,680.5","32.80K","0.51%"
"07/05/2021","9,482.9","9,384.2","9,601.5","9,384.2","14.00K","-2.54%"
"07/06/2021","9,384.2","9,295.3","9,769.4","9,285.4","25.70K","-1.04%"
"07/07/2021","8,742.1","8,900.1","9,087.8","8,732.2","40.90K","-6.84%"
"07/08/2021","8,890.3","8,742.1","8,890.3","8,692.7","0.90K","1.70%"
"07/09/2021","8,919.9","8,890.3","8,929.8","8,791.5","4.10K","0.33%"
"07/12/2021","8,505.0","8,495.1","8,692.7","8,396.3","19.90K","-4.65%"
"07/13/2021","8,692.7","8,692.7","8,692.7","8,692.7","1.60K","2.21%"
"07/14/2021","8,692.7","8,297.6","8,692.7","8,297.6","5.50K","0.00%"
"07/15/2021","8,692.7","8,396.3","8,692.7","8,396.3","2.50K","0.00%"
"07/16/2021","8,890.3","8,692.7","8,890.3","8,692.7","20.70K","2.27%"
"07/19/2021","8,692.7","8,791.5","8,791.5","8,692.7","12.70K","-2.22%"
"07/20/2021","8,890.3","8,416.1","8,890.3","8,416.1","4.50K","2.27%"
"07/21/2021","8,791.5","8,890.3","8,890.3","8,791.5","9.10K","-1.11%"
"07/22/2021","9,275.5","8,989.0","9,275.5","8,890.3","5.40K","5.51%"
"07/23/2021","9,236.0","9,236.0","9,236.0","9,236.0","0.40K","-0.43%"
"07/26/2021","9,245.8","9,186.6","9,245.8","9,186.6","8.20K","0.11%"
"07/27/2021","9,245.8","9,285.4","9,285.4","9,245.8","1.60K","0.00%"
"07/28/2021","9,176.7","8,890.3","9,245.8","8,643.3","3.10K","-0.75%"
"07/29/2021","9,166.8","8,989.0","9,166.8","8,554.4","28.50K","-0.11%"
"07/30/2021","9,147.1","8,702.6","9,147.1","8,692.7","9.40K","-0.22%"
"08/02/2021","9,482.9","8,989.0","9,482.9","8,890.3","72.50K","3.67%"
"08/03/2021","9,473.0","9,482.9","9,571.8","9,384.2","8.00K","-0.10%"
