"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","23,068.4","23,501.3","23,501.3","23,006.5","17.55K","-1.06%"
"07/02/2021","23,686.8","22,944.7","23,686.8","22,944.7","38.25K","2.68%"
"07/05/2021","23,377.6","24,057.9","24,057.9","22,882.9","51.45K","-1.31%"
"07/06/2021","22,944.7","23,377.6","23,686.8","22,882.9","25.20K","-1.85%"
"07/07/2021","22,882.9","22,913.8","22,913.8","22,759.2","16.95K","-0.27%"
"07/08/2021","23,130.2","23,161.2","23,439.5","22,882.9","30.45K","1.08%"
"07/09/2021","23,408.5","22,882.9","23,408.5","22,882.9","35.25K","1.20%"
"07/12/2021","22,264.4","22,573.6","22,573.6","22,264.4","7.95K","-4.89%"
"07/13/2021","23,192.1","23,501.3","23,501.3","22,264.4","5.70K","4.17%"
"07/15/2021","23,130.2","22,635.5","23,130.2","22,573.6","22.05K","-0.27%"
"07/19/2021","22,882.9","22,573.6","22,882.9","22,264.4","24.90K","-1.07%"
"07/20/2021","23,192.1","23,192.1","23,192.1","23,192.1","2.25K","1.35%"
"07/21/2021","23,068.4","22,449.9","23,068.4","22,326.2","0.90K","-0.53%"
"07/22/2021","23,192.1","22,882.9","23,192.1","22,882.9","15.00K","0.54%"
"07/23/2021","23,192.1","22,511.8","23,192.1","22,511.8","7.20K","0.00%"
"07/26/2021","23,130.2","23,192.1","23,192.1","22,573.6","0.90K","-0.27%"
"07/27/2021","23,192.1","22,882.9","23,192.1","22,882.9","0.90K","0.27%"
"07/28/2021","23,192.1","23,192.1","23,192.1","23,192.1","7.95K","0.00%"
"07/29/2021","24,707.3","23,192.1","24,707.3","23,192.1","63.45K","6.53%"
"07/30/2021","24,707.3","24,738.2","24,800.1","24,429.0","34.35K","0.00%"
"08/02/2021","25,356.7","25,294.8","25,356.7","24,800.1","47.10K","2.63%"
"08/03/2021","25,356.7","25,851.4","25,913.3","24,923.8","45.00K","0.00%"
"08/04/2021","25,789.6","25,109.3","25,975.1","25,047.5","61.65K","1.71%"
"08/05/2021","25,387.6","25,913.3","25,913.3","25,109.3","16.20K","-1.56%"
"08/06/2021","25,542.2","25,387.6","25,542.2","25,356.7","45.30K","0.61%"
"08/09/2021","27,273.9","26,284.4","27,304.8","25,573.1","65.85K","6.78%"
"08/10/2021","28,325.3","27,830.5","28,510.8","27,830.5","92.40K","3.85%"
"08/11/2021","30,304.3","29,067.4","30,304.3","28,758.2","200.55K","6.99%"
"08/12/2021","29,253.0","32,159.7","32,159.7","29,191.1","91.20K","-3.47%"
"08/13/2021","29,005.6","28,325.3","29,005.6","27,645.0","105.45K","-0.85%"
"08/16/2021","28,943.7","29,624.0","29,624.0","27,830.5","85.95K","-0.21%"
"08/17/2021","28,449.0","28,510.8","28,974.6","28,077.9","44.85K","-1.71%"
"08/18/2021","28,449.0","27,892.3","28,634.5","27,892.3","26.25K","0.00%"
"08/19/2021","28,758.2","28,263.4","28,758.2","27,954.2","62.55K","1.09%"
"08/20/2021","28,758.2","28,634.5","29,685.9","28,139.7","60.30K","0.00%"
"08/23/2021","28,943.7","28,449.0","29,253.0","28,449.0","60.00K","0.65%"
"08/24/2021","28,943.7","27,706.8","29,067.4","27,706.8","23.10K","0.00%"
"08/25/2021","28,820.0","29,624.0","29,624.0","28,449.0","50.70K","-0.43%"
"08/26/2021","29,253.0","28,820.0","30,551.7","28,820.0","94.20K","1.50%"
"08/27/2021","29,809.6","29,005.6","29,933.3","29,005.6","111.75K","1.90%"
"08/30/2021","31,170.2","31,355.7","31,355.7","30,644.5","48.60K","4.56%"
"08/31/2021","30,613.6","31,541.2","31,541.2","30,489.9","35.10K","-1.79%"
"09/01/2021","30,551.7","30,304.3","30,613.6","29,933.3","66.00K","-0.20%"
"09/06/2021","31,170.2","30,520.8","31,541.2","30,304.3","58.95K","2.02%"
"09/07/2021","31,170.2","31,232.0","31,541.2","30,613.6","39.15K","0.00%"
"09/08/2021","32,778.1","31,170.2","33,334.8","30,922.8","69.30K","5.16%"
"09/09/2021","32,468.9","33,025.5","33,025.5","32,345.2","27.90K","-0.94%"
"09/10/2021","33,087.4","32,468.9","33,396.6","32,159.7","46.80K","1.90%"
"09/13/2021","33,334.8","33,087.4","33,396.6","32,159.7","20.25K","0.75%"
"09/14/2021","32,716.3","33,272.9","33,272.9","31,974.2","36.30K","-1.86%"
"09/15/2021","32,345.2","33,272.9","33,272.9","31,603.1","31.50K","-1.13%"
"09/16/2021","32,097.8","31,232.0","32,283.4","31,232.0","38.70K","-0.76%"
"09/17/2021","32,159.7","31,479.4","32,716.3","31,293.9","32.70K","0.19%"
"09/20/2021","31,912.3","31,850.5","32,221.5","31,603.1","19.50K","-0.77%"
"09/21/2021","31,912.3","31,293.9","31,912.3","31,232.0","55.20K","0.00%"
"09/22/2021","31,912.3","31,541.2","31,912.3","31,541.2","9.90K","0.00%"
"09/23/2021","31,541.2","31,355.7","31,912.3","31,232.0","61.50K","-1.16%"
"09/24/2021","30,922.8","30,984.6","31,541.2","30,922.8","31.65K","-1.96%"
"09/27/2021","30,675.4","30,675.4","30,984.6","30,675.4","38.40K","-0.80%"
"09/28/2021","30,613.6","30,613.6","30,613.6","30,551.7","3.45K","-0.20%"
"09/29/2021","31,046.5","31,046.5","31,046.5","31,046.5","1.80K","1.41%"
"09/30/2021","30,613.6","30,860.9","31,046.5","30,613.6","19.05K","-1.39%"
"10/01/2021","30,613.6","30,613.6","30,613.6","30,613.6","1.80K","0.00%"
"10/04/2021","30,613.6","30,922.8","30,922.8","30,613.6","21.75K","0.00%"
"10/05/2021","30,799.1","30,428.0","30,891.9","30,366.2","28.50K","0.61%"
"10/06/2021","31,726.8","30,860.9","31,850.5","30,860.9","12.90K","3.01%"
"10/07/2021","31,726.8","32,407.1","32,407.1","31,726.8","9.60K","0.00%"
"10/08/2021","31,479.4","31,788.6","31,788.6","31,479.4","15.45K","-0.78%"
"10/11/2021","31,974.2","31,479.4","32,036.0","31,479.4","20.40K","1.57%"
"10/12/2021","33,705.8","32,097.8","34,015.1","32,097.8","81.60K","5.42%"
"10/13/2021","33,705.8","33,767.7","33,891.4","33,705.8","7.95K","0.00%"
"10/14/2021","32,778.1","33,396.6","34,015.1","32,778.1","16.20K","-2.75%"
"10/15/2021","32,468.9","32,159.7","32,778.1","32,159.7","24.75K","-0.94%"
"10/18/2021","34,015.1","32,468.9","34,324.3","32,468.9","22.50K","4.76%"
