"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","22,247.7","22,061.0","22,808.6","21,967.3","44.80K","0.85%"
"07/02/2021","22,341.2","22,248.0","22,434.7","22,060.8","43.20K","0.42%"
"07/05/2021","21,593.4","22,341.0","22,574.9","21,499.9","45.10K","-3.35%"
"07/06/2021","20,471.6","21,593.0","21,593.4","20,378.2","52.90K","-5.20%"
"07/07/2021","19,630.3","20,098.0","20,097.7","19,163.0","82.60K","-4.11%"
"07/08/2021","19,910.8","19,630.0","20,471.6","19,443.4","43.40K","1.43%"
"07/09/2021","19,256.4","19,677.0","19,677.1","19,163.0","32.60K","-3.29%"
"07/12/2021","17,947.7","19,630.0","19,630.3","17,947.7","89.80K","-6.80%"
"07/13/2021","18,415.1","17,901.0","18,508.6","17,807.5","13.30K","2.60%"
"07/14/2021","19,443.4","18,696.0","19,443.4","18,695.6","44.10K","5.58%"
"07/15/2021","19,910.8","20,191.0","20,191.2","19,443.4","19.10K","2.40%"
"07/16/2021","19,630.3","20,098.0","20,284.7","19,630.3","19.30K","-1.41%"
"07/19/2021","19,536.9","19,630.0","19,630.3","18,976.0","22.50K","-0.48%"
"07/20/2021","19,349.9","18,836.0","19,536.9","18,835.8","15.30K","-0.96%"
"07/21/2021","19,256.4","19,771.0","19,770.6","19,256.4","8.40K","-0.48%"
"07/22/2021","19,443.4","19,163.0","19,630.3","19,069.5","24.90K","0.97%"
"07/23/2021","19,630.3","19,443.0","19,630.3","19,349.9","15.30K","0.96%"
"07/26/2021","20,097.7","19,630.0","20,097.7","19,443.4","19.60K","2.38%"
"07/27/2021","20,051.0","20,472.0","20,471.6","19,864.0","13.10K","-0.23%"
"07/28/2021","19,630.3","20,331.0","20,331.4","19,349.9","39.90K","-2.10%"
"07/29/2021","19,303.2","19,537.0","19,630.3","19,163.0","17.60K","-1.67%"
"07/30/2021","19,630.3","19,303.0","19,770.6","19,303.2","42.40K","1.69%"
"08/02/2021","19,303.2","19,630.0","19,630.3","19,256.4","21.70K","-1.67%"
"08/03/2021","19,630.3","19,537.0","19,630.3","19,069.5","45.90K","1.69%"
"08/04/2021","19,069.5","20,051.0","20,051.0","19,069.5","28.00K","-2.86%"
"08/05/2021","19,256.4","19,069.0","19,303.2","18,695.6","38.50K","0.98%"
"08/06/2021","20,565.1","19,256.0","20,565.1","18,789.0","125.60K","6.80%"
"08/09/2021","21,967.3","21,593.0","21,967.3","21,546.6","20.00K","6.82%"
"08/10/2021","22,902.1","23,463.0","23,462.9","22,341.2","101.20K","4.26%"
"08/11/2021","21,499.9","22,622.0","22,621.6","21,359.7","77.20K","-6.12%"
"08/12/2021","21,967.3","20,191.0","22,247.7","20,097.7","63.80K","2.17%"
"08/13/2021","21,827.1","21,313.0","21,827.1","21,032.5","29.50K","-0.64%"
"08/16/2021","22,060.8","21,500.0","22,434.7","20,424.9","86.20K","1.07%"
"08/17/2021","21,967.3","22,248.0","22,247.7","21,499.9","47.20K","-0.42%"
"08/18/2021","21,406.4","21,921.0","21,920.5","21,406.4","32.30K","-2.55%"
"08/19/2021","21,359.7","21,406.0","21,499.9","20,752.1","42.90K","-0.22%"
"08/20/2021","21,032.5","21,126.0","21,453.2","20,565.1","77.30K","-1.53%"
"08/23/2021","20,752.1","20,659.0","21,126.0","19,817.3","36.40K","-1.33%"
"08/24/2021","20,191.2","20,752.0","20,752.1","20,051.0","33.60K","-2.70%"
"08/25/2021","20,658.6","20,472.0","21,032.5","20,191.2","17.40K","2.31%"
"08/26/2021","21,312.9","20,659.0","21,499.9","20,658.6","32.10K","3.17%"
"08/27/2021","21,312.9","21,500.0","21,499.9","21,032.5","10.40K","0.00%"
"08/30/2021","21,593.4","21,500.0","21,967.3","21,079.2","67.80K","1.32%"
"08/31/2021","21,312.9","21,687.0","21,686.9","21,266.2","33.20K","-1.30%"
"09/01/2021","21,920.5","21,313.0","21,967.3","21,312.9","53.50K","2.85%"
"09/06/2021","23,416.2","21,921.0","23,416.2","21,920.5","199.90K","6.82%"
"09/07/2021","23,276.0","25,005.0","25,005.3","23,276.0","95.90K","-0.60%"
"09/08/2021","23,836.8","23,276.0","23,836.8","22,434.7","82.10K","2.41%"
"09/09/2021","25,052.1","23,837.0","25,098.8","23,836.8","132.40K","5.10%"
"09/10/2021","24,724.9","25,239.0","25,566.2","24,397.7","63.30K","-1.31%"
"09/13/2021","23,883.6","24,725.0","24,724.9","23,743.4","36.80K","-3.40%"
"09/14/2021","22,995.5","23,697.0","24,210.8","22,948.8","56.00K","-3.72%"
"09/15/2021","24,023.8","22,996.0","24,304.2","22,434.7","44.70K","4.47%"
"09/16/2021","24,023.8","24,024.0","24,117.3","23,509.7","26.70K","0.00%"
"09/17/2021","23,369.5","24,304.0","24,304.2","23,276.0","169.30K","-2.72%"
"09/20/2021","21,967.3","23,136.0","23,135.8","21,780.3","206.90K","-6.00%"
"09/21/2021","21,920.5","20,846.0","22,341.2","20,845.6","53.70K","-0.21%"
"09/22/2021","22,014.0","22,154.0","22,715.1","21,873.8","64.80K","0.43%"
"09/23/2021","21,873.8","22,061.0","22,247.7","21,780.3","90.60K","-0.64%"
"09/24/2021","20,985.8","21,874.0","21,873.8","20,939.0","108.40K","-4.06%"
"09/27/2021","20,845.6","20,986.0","21,499.9","20,565.1","117.40K","-0.67%"
"09/28/2021","20,284.7","20,004.0","20,845.6","20,004.3","34.60K","-2.69%"
"09/29/2021","20,705.3","20,238.0","20,939.0","20,191.2","32.00K","2.07%"
"09/30/2021","20,705.3","21,033.0","21,032.5","20,705.3","9.40K","0.00%"
"10/01/2021","20,658.6","20,705.0","21,032.5","20,284.7","19.30K","-0.23%"
"10/04/2021","20,191.2","20,238.0","20,565.1","20,097.7","37.30K","-2.26%"
"10/05/2021","20,705.3","20,191.0","21,032.5","20,097.7","34.90K","2.55%"
"10/06/2021","21,873.8","20,565.0","22,154.2","20,565.1","71.90K","5.64%"
"10/07/2021","21,967.3","21,874.0","22,060.8","21,499.9","57.60K","0.43%"
"10/08/2021","21,686.9","22,435.0","22,434.7","21,640.1","41.80K","-1.28%"
"10/11/2021","21,312.9","21,500.0","21,686.9","21,312.9","25.20K","-1.72%"
"10/12/2021","21,499.9","21,500.0","21,873.8","21,266.2","24.70K","0.88%"
"10/13/2021","21,827.1","21,967.0","22,154.2","21,827.1","44.10K","1.52%"
"10/14/2021","21,827.1","22,388.0","22,387.9","21,827.1","30.70K","0.00%"
"10/15/2021","21,873.8","21,593.0","22,247.7","21,593.4","58.30K","0.21%"
"10/18/2021","21,873.8","22,248.0","22,247.7","21,780.3","43.80K","0.00%"
"10/19/2021","21,686.9","21,500.0","21,967.3","21,499.9","36.90K","-0.85%"
"10/20/2021","21,499.9","21,687.0","21,686.9","21,219.5","63.60K","-0.86%"
"10/21/2021","21,359.7","21,687.0","21,686.9","21,126.0","71.00K","-0.65%"
"10/22/2021","22,808.6","21,687.0","22,808.6","21,499.9","100.60K","6.78%"
"10/25/2021","24,397.7","24,398.0","24,397.7","24,304.2","143.90K","6.97%"
"10/26/2021","25,005.3","24,959.0","25,332.5","23,462.9","247.70K","2.49%"
"10/27/2021","26,734.7","25,239.0","26,734.7","25,239.0","782.40K","6.92%"
"10/28/2021","28,604.2","28,604.0","28,604.2","28,510.7","1.35M","6.99%"
"10/29/2021","30,567.2","30,567.0","30,567.2","30,099.9","646.20K","6.86%"
"11/01/2021","32,670.5","32,670.0","32,670.5","32,670.5","122.90K","6.88%"
"11/02/2021","34,914.0","34,914.0","34,914.0","34,914.0","181.40K","6.87%"
"11/03/2021","32,483.5","37,344.0","37,344.4","32,483.5","1.13M","-6.96%"
"11/04/2021","34,727.0","30,240.0","34,727.0","30,240.1","935.50K","6.91%"
"11/05/2021","35,147.7","37,064.0","37,110.7","34,773.7","302.60K","1.21%"
"11/08/2021","35,147.7","35,148.0","35,989.0","34,586.8","257.80K","0.00%"
"11/09/2021","34,025.9","35,148.0","35,147.7","33,979.2","263.00K","-3.19%"
"11/10/2021","33,184.6","33,652.0","34,119.4","32,577.0","314.40K","-2.47%"
"11/11/2021","35,194.4","32,998.0","35,474.8","32,997.7","297.50K","6.06%"
"11/12/2021","35,054.2","35,428.0","35,989.0","34,119.4","253.20K","-0.40%"
"11/15/2021","34,306.4","35,054.0","35,521.6","34,119.4","383.60K","-2.13%"
"11/16/2021","32,857.5","33,652.0","34,119.4","31,922.7","302.40K","-4.22%"
"11/17/2021","31,642.2","32,811.0","32,810.7","31,408.5","275.90K","-3.70%"
"11/18/2021","33,839.0","31,128.0","33,839.0","31,128.1","327.50K","6.94%"
"11/19/2021","34,586.8","35,054.0","36,175.9","33,652.0","645.50K","2.21%"
"11/22/2021","32,343.3","35,054.0","35,054.2","32,343.3","143.90K","-6.49%"
"11/23/2021","32,343.3","32,250.0","32,390.1","30,146.6","138.90K","0.00%"
"11/24/2021","31,595.5","33,652.0","33,652.0","31,595.5","102.30K","-2.31%"
"11/25/2021","33,792.2","31,596.0","33,792.2","30,941.2","147.20K","6.95%"
"11/26/2021","33,839.0","35,568.0","35,568.3","32,623.8","136.50K","0.14%"
"11/29/2021","33,546.4","34,619.0","34,619.1","31,498.5","109.30K","-0.86%"
"11/30/2021","33,546.4","33,644.0","35,009.2","32,668.7","187.60K","0.00%"
"12/01/2021","32,181.1","33,546.0","33,546.4","31,986.1","194.10K","-4.07%"
"12/02/2021","31,693.5","32,181.0","32,181.1","31,498.5","133.60K","-1.52%"
"12/03/2021","29,889.5","31,694.0","32,083.6","29,743.2","217.20K","-5.69%"
"12/06/2021","27,841.6","28,768.0","29,840.7","27,841.6","153.20K","-6.85%"
"12/07/2021","29,548.1","28,768.0","29,548.1","27,695.3","131.00K","6.13%"
"12/08/2021","29,450.6","29,743.0","30,767.1","28,963.0","78.40K","-0.33%"
"12/09/2021","29,596.9","30,231.0","30,230.8","29,450.6","52.30K","0.50%"
"12/10/2021","29,401.9","29,743.0","29,791.9","28,768.0","56.00K","-0.66%"
"12/13/2021","29,255.6","30,231.0","30,718.4","27,402.7","180.80K","-0.50%"
"12/14/2021","30,035.7","29,743.0","30,328.3","29,255.6","123.10K","2.67%"
"12/15/2021","29,255.6","29,256.0","29,645.7","28,865.5","119.50K","-2.60%"
"12/16/2021","29,255.6","29,256.0","29,450.6","28,572.9","134.00K","0.00%"
"12/17/2021","28,329.2","28,963.0","29,596.9","28,329.2","314.40K","-3.17%"
"12/20/2021","28,426.7","28,524.0","29,694.4","27,305.2","223.90K","0.34%"
"12/21/2021","29,060.5","28,427.0","29,060.5","27,890.3","164.00K","2.23%"
"12/22/2021","31,059.7","29,061.0","31,059.7","29,060.5","424.20K","6.88%"
"12/23/2021","33,205.1","33,205.0","33,205.1","31,206.0","451.00K","6.91%"
"12/24/2021","33,351.4","35,399.0","35,496.8","31,742.3","504.50K","0.44%"
"12/27/2021","33,156.3","32,327.0","34,131.5","31,303.5","179.70K","-0.58%"
"12/28/2021","32,668.7","34,912.0","34,911.7","31,986.1","322.70K","-1.47%"
"12/29/2021","31,059.7","32,181.0","32,668.7","30,718.4","333.40K","-4.93%"
"12/30/2021","30,523.3","30,133.0","31,059.7","30,133.2","118.80K","-1.73%"
"12/31/2021","32,620.0","30,328.0","32,620.0","30,230.8","102.20K","6.87%"
