"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","14,152.4","14,014.6","14,186.8","13,773.6","540.89K","0.98%"
"07/02/2021","14,359.0","14,014.6","14,393.4","13,773.6","649.65K","1.46%"
"07/05/2021","15,013.2","14,393.4","15,013.2","14,324.5","769.15K","4.56%"
"07/06/2021","16,046.2","15,013.2","16,046.2","14,806.6","949.06K","6.88%"
"07/07/2021","16,803.8","15,564.1","16,872.6","15,564.1","1.19M","4.72%"
"07/08/2021","16,597.2","16,769.3","16,838.2","16,252.8","643.84K","-1.23%"
"07/09/2021","15,908.5","15,839.6","16,528.3","15,839.6","715.86K","-4.15%"
"07/12/2021","14,806.6","15,150.9","15,839.6","14,806.6","206.77K","-6.93%"
"07/13/2021","15,426.4","14,117.9","15,426.4","14,117.9","1.37M","4.19%"
"07/14/2021","15,564.1","15,150.9","15,839.6","15,150.9","302.17K","0.89%"
"07/15/2021","15,908.5","15,564.1","16,184.0","14,806.6","671.43K","2.21%"
"07/16/2021","15,770.7","15,633.0","16,218.4","15,633.0","353.87K","-0.87%"
"07/19/2021","14,668.9","15,150.9","15,150.9","14,668.9","83.78K","-6.99%"
"07/20/2021","14,324.5","14,600.0","14,600.0","13,670.3","184.85K","-2.35%"
"07/21/2021","13,325.9","14,462.3","14,462.3","13,325.9","129.81K","-6.97%"
"07/22/2021","12,534.0","13,325.9","13,739.1","12,499.5","173.67K","-5.94%"
"07/23/2021","12,534.0","12,396.2","13,084.9","11,707.5","1.49M","0.00%"
"07/26/2021","12,602.8","12,534.0","12,981.6","12,120.8","185.43K","0.55%"
"07/27/2021","12,843.9","12,637.3","13,016.0","12,465.1","86.83K","1.91%"
"07/28/2021","12,671.7","12,534.0","12,775.0","12,396.2","238.43K","-1.34%"
"07/29/2021","12,396.2","12,534.0","12,775.0","12,361.8","255.71K","-2.17%"
"07/30/2021","12,465.1","12,292.9","12,568.4","11,535.4","664.32K","0.56%"
"08/02/2021","12,430.7","11,810.8","12,740.6","11,810.8","1.09M","-0.28%"
"08/03/2021","12,189.6","12,568.4","12,602.8","11,810.8","470.76K","-1.94%"
"08/04/2021","12,224.1","12,396.2","12,396.2","12,051.9","207.93K","0.28%"
"08/05/2021","11,707.5","12,327.4","12,327.4","11,707.5","292.73K","-4.23%"
