"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","6,190.5","6,190.5","6,200.0","6,114.3","78.86K","0.00%"
"07/02/2021","6,142.9","6,190.5","6,190.5","6,104.8","66.05K","-0.77%"
"07/05/2021","6,095.2","6,314.3","6,314.3","5,809.5","37.28K","-0.78%"
"07/06/2021","5,933.3","5,914.3","6,085.7","5,914.3","61.01K","-2.66%"
"07/07/2021","5,923.8","5,704.8","5,933.3","5,523.8","63.53K","-0.16%"
"07/08/2021","6,028.6","6,000.0","6,161.9","5,904.8","106.89K","1.77%"
"07/09/2021","5,990.5","6,000.0","6,133.3","5,904.8","85.26K","-0.63%"
"07/12/2021","5,571.4","5,581.0","5,809.5","5,571.4","160.65K","-7.00%"
"07/13/2021","5,581.0","5,571.4","5,714.3","5,523.8","35.28K","0.17%"
"07/14/2021","5,666.7","5,533.3","5,695.2","5,533.3","56.70K","1.54%"
"07/15/2021","5,666.7","5,666.7","5,666.7","5,619.0","95.87K","0.00%"
"07/16/2021","5,657.1","5,676.2","5,676.2","5,619.0","105.95K","-0.17%"
"07/19/2021","5,428.6","5,304.8","5,619.0","5,266.7","25.52K","-4.04%"
"07/20/2021","5,400.0","5,428.6","5,428.6","5,285.7","40.11K","-0.53%"
"07/21/2021","5,476.2","5,647.6","5,647.6","5,428.6","6.09K","1.41%"
"07/22/2021","5,514.3","5,514.3","5,571.4","5,476.2","58.59K","0.70%"
"07/23/2021","5,409.5","5,523.8","5,571.4","5,381.0","214.73K","-1.90%"
"07/26/2021","5,495.2","5,333.3","5,638.1","5,333.3","24.99K","1.58%"
"07/27/2021","5,523.8","5,514.3","5,523.8","5,476.2","41.90K","0.52%"
"07/28/2021","5,485.7","5,438.1","5,581.0","5,438.1","45.57K","-0.69%"
"07/29/2021","5,523.8","5,485.7","5,561.9","5,485.7","54.18K","0.69%"
"07/30/2021","5,619.0","5,438.1","5,714.3","5,438.1","49.25K","1.72%"
"08/02/2021","5,676.2","5,676.2","5,695.2","5,476.2","34.76K","1.02%"
