"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","22,972.0","23,053.0","23,295.0","22,729.0","23.62M","-1.04%"
"07/02/2021","23,457.0","23,053.0","23,457.0","22,972.0","36.47M","2.11%"
"07/05/2021","24,266.0","23,457.0","24,266.0","23,295.0","44.30M","3.45%"
"07/06/2021","24,185.0","24,266.0","25,156.0","24,104.0","47.79M","-0.33%"
"07/07/2021","24,023.0","23,861.0","26,288.0","23,133.0","42.20M","-0.67%"
"07/08/2021","22,729.0","24,023.0","24,104.0","22,729.0","28.12M","-5.39%"
"07/09/2021","21,030.0","22,729.0","23,214.0","20,950.0","27.04M","-7.48%"
"07/12/2021","19,170.0","21,030.0","21,435.0","19,008.0","51.50M","-8.84%"
"07/13/2021","19,655.0","19,251.0","20,141.0","18,847.0","27.17M","2.53%"
"07/14/2021","20,141.0","19,655.0","20,222.0","19,251.0","21.32M","2.47%"
"07/15/2021","22,082.0","20,141.0","22,082.0","19,817.0","33.83M","9.64%"
"07/16/2021","22,729.0","22,082.0","23,942.0","22,082.0","37.15M","2.93%"
"07/19/2021","20,707.0","22,567.0","22,648.0","20,707.0","23.61M","-8.90%"
"07/20/2021","21,920.0","19,817.0","21,920.0","19,817.0","14.53M","5.86%"
"07/21/2021","21,597.0","21,111.0","22,648.0","21,111.0","9.47M","-1.47%"
"07/22/2021","22,001.0","21,597.0","22,082.0","21,516.0","9.97M","1.87%"
"07/23/2021","21,354.0","22,001.0","22,163.0","21,354.0","12.55M","-2.94%"
"07/26/2021","21,354.0","21,030.0","21,435.0","20,869.0","9.58M","0.00%"
"07/27/2021","21,678.0","21,354.0","21,920.0","21,354.0","8.81M","1.52%"
"07/28/2021","21,758.0","21,435.0","21,839.0","21,435.0","9.14M","0.37%"
"07/29/2021","21,920.0","21,678.0","22,486.0","21,678.0","11.26M","0.74%"
"07/30/2021","22,486.0","22,001.0","22,567.0","21,920.0","21.60M","2.58%"
"08/02/2021","22,082.0","22,486.0","22,729.0","22,082.0","12.82M","-1.80%"
"08/03/2021","22,244.0","22,163.0","22,406.0","21,920.0","13.02M","0.73%"
"08/04/2021","22,163.0","22,325.0","22,486.0","22,082.0","16.77M","-0.36%"
"08/05/2021","23,295.0","22,244.0","23,538.0","22,082.0","45.64M","5.11%"
"08/06/2021","23,457.0","23,376.0","23,619.0","22,810.0","29.65M","0.70%"
"08/09/2021","23,538.0","23,295.0","23,619.0","23,053.0","19.07M","0.35%"
"08/10/2021","23,861.0","23,538.0","24,023.0","23,376.0","35.07M","1.37%"
"08/11/2021","23,457.0","23,942.0","24,023.0","23,457.0","19.12M","-1.69%"
"08/12/2021","23,376.0","23,457.0","23,700.0","23,133.0","18.71M","-0.35%"
"08/13/2021","23,457.0","23,457.0","23,861.0","22,891.0","21.11M","0.35%"
"08/16/2021","23,700.0","23,457.0","23,781.0","23,295.0","32.69M","1.04%"
"08/17/2021","23,861.0","23,781.0","24,185.0","23,619.0","36.81M","0.68%"
"08/18/2021","23,781.0","23,861.0","23,942.0","23,538.0","14.23M","-0.34%"
"08/19/2021","23,619.0","23,457.0","23,781.0","23,214.0","26.96M","-0.68%"
"08/20/2021","22,972.0","23,619.0","23,700.0","21,839.0","40.11M","-2.74%"
"08/23/2021","22,163.0","22,729.0","23,053.0","22,082.0","19.87M","-3.52%"
"08/24/2021","21,839.0","22,163.0","22,486.0","21,839.0","14.76M","-1.46%"
"08/25/2021","22,244.0","21,920.0","22,244.0","21,839.0","10.50M","1.85%"
"08/26/2021","22,810.0","22,972.0","23,700.0","22,486.0","35.11M","2.54%"
"08/27/2021","22,567.0","22,729.0","22,729.0","22,082.0","14.99M","-1.07%"
"08/30/2021","22,244.0","22,486.0","22,648.0","22,244.0","15.69M","-1.43%"
"08/31/2021","22,244.0","22,325.0","22,567.0","22,001.0","18.78M","0.00%"
"09/01/2021","21,758.0","22,163.0","22,244.0","21,758.0","15.68M","-2.18%"
"09/06/2021","21,435.0","21,839.0","22,082.0","21,273.0","26.51M","-1.48%"
"09/07/2021","21,516.0","21,435.0","22,001.0","21,435.0","19.60M","0.38%"
"09/08/2021","21,435.0","21,678.0","21,920.0","21,435.0","18.41M","-0.38%"
"09/09/2021","21,354.0","21,435.0","21,597.0","21,273.0","15.31M","-0.38%"
"09/10/2021","21,273.0","21,435.0","21,678.0","21,273.0","14.52M","-0.38%"
"09/13/2021","20,950.0","21,597.0","21,597.0","20,950.0","16.21M","-1.52%"
"09/14/2021","20,707.0","21,030.0","21,192.0","20,302.0","15.45M","-1.16%"
"09/15/2021","20,707.0","20,707.0","20,788.0","20,302.0","12.68M","0.00%"
"09/16/2021","21,111.0","20,788.0","21,435.0","20,707.0","12.69M","1.95%"
"09/17/2021","21,678.0","21,435.0","21,839.0","21,273.0","17.31M","2.69%"
"09/20/2021","21,839.0","21,678.0","22,163.0","21,516.0","18.46M","0.74%"
"09/21/2021","21,435.0","21,839.0","21,839.0","21,435.0","20.90M","-1.85%"
"09/22/2021","21,435.0","21,435.0","21,678.0","21,192.0","16.99M","0.00%"
"09/23/2021","21,678.0","21,516.0","21,758.0","21,354.0","14.78M","1.13%"
"09/24/2021","21,839.0","21,839.0","22,163.0","21,678.0","25.08M","0.74%"
"09/27/2021","21,678.0","22,244.0","22,567.0","21,354.0","21.06M","-0.74%"
"09/28/2021","21,354.0","21,678.0","21,678.0","21,192.0","16.87M","-1.49%"
"09/29/2021","21,030.0","21,354.0","21,435.0","20,950.0","15.66M","-1.52%"
"09/30/2021","21,516.0","21,030.0","21,839.0","21,030.0","12.73M","2.31%"
"10/01/2021","21,111.0","21,678.0","21,758.0","21,030.0","16.70M","-1.88%"
"10/04/2021","22,810.0","21,111.0","22,810.0","21,111.0","33.51M","8.05%"
"10/05/2021","23,376.0","22,648.0","23,457.0","22,244.0","54.40M","2.48%"
