"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","18,354.0","18,425.9","18,605.4","17,958.9","2.81M","-0.39%"
"07/02/2021","18,389.9","18,533.6","18,533.6","18,246.3","1.81M","0.20%"
"07/05/2021","18,425.9","18,174.4","18,605.4","17,743.4","3.00M","0.20%"
"07/06/2021","19,000.5","18,461.8","19,072.4","18,389.9","3.76M","3.12%"
"07/07/2021","19,683.0","19,036.5","19,683.0","19,000.5","3.48M","3.59%"
"07/08/2021","18,892.8","19,611.1","19,754.8","18,461.8","2.67M","-4.01%"
"07/09/2021","18,055.9","18,174.4","18,727.6","17,581.8","954.70K","-4.43%"
"07/12/2021","16,831.1","17,068.2","17,068.2","16,831.1","271.20K","-6.78%"
"07/13/2021","15,843.4","15,685.3","15,922.4","15,685.3","1.35M","-5.87%"
"07/14/2021","14,855.6","15,843.4","15,843.4","14,737.1","814.99K","-6.23%"
"07/15/2021","15,290.2","14,776.6","15,290.2","14,776.6","843.72K","2.93%"
"07/16/2021","15,645.8","15,290.2","15,843.4","15,250.7","1.33M","2.33%"
"07/19/2021","15,013.7","15,487.8","15,487.8","14,579.1","372.19K","-4.04%"
"07/20/2021","14,855.6","14,974.2","15,171.7","14,184.0","1.11M","-1.05%"
"07/21/2021","15,013.7","14,934.6","15,487.8","14,618.6","684.64K","1.06%"
"07/22/2021","15,013.7","14,855.6","15,250.7","14,618.6","523.54K","0.00%"
"07/23/2021","14,697.6","15,013.7","15,171.7","14,658.1","458.24K","-2.11%"
"07/26/2021","14,065.4","14,539.5","14,618.6","13,670.3","260.19K","-4.30%"
"07/27/2021","15,013.7","14,065.4","15,013.7","13,828.4","1.21M","6.74%"
"07/28/2021","15,645.8","15,171.7","15,803.9","15,013.7","3.13M","4.21%"
"07/29/2021","15,645.8","15,685.3","16,119.9","15,250.7","1.79M","0.00%"
"07/30/2021","15,645.8","15,448.3","15,843.4","14,934.6","1.69M","0.00%"
"08/02/2021","15,448.3","15,408.8","15,685.3","15,092.7","1.23M","-1.26%"
"08/03/2021","15,408.8","15,408.8","15,724.8","15,132.2","1.61M","-0.26%"
"08/04/2021","15,408.8","15,408.8","15,645.8","15,171.7","1.13M","0.00%"
"08/05/2021","15,487.8","15,487.8","15,606.3","15,211.2","839.29K","0.51%"
"08/06/2021","15,961.9","15,487.8","16,357.0","15,408.8","3.05M","3.06%"
"08/09/2021","17,068.2","15,803.9","17,068.2","15,448.3","3.71M","6.93%"
"08/10/2021","17,700.3","17,107.7","18,095.4","17,107.7","3.27M","3.70%"
"08/11/2021","16,870.6","17,660.8","17,858.4","16,831.1","2.82M","-4.69%"
"08/12/2021","16,515.0","16,594.0","16,870.6","16,001.4","1.26M","-2.11%"
"08/13/2021","16,515.0","16,357.0","16,673.1","15,408.8","1.84M","0.00%"
"08/16/2021","16,594.0","16,910.1","16,910.1","16,278.0","2.18M","0.48%"
"08/17/2021","16,554.5","16,594.0","16,673.1","15,764.3","1.49M","-0.24%"
"08/18/2021","17,028.7","16,554.5","17,502.8","16,357.0","3.95M","2.86%"
