"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","19,194.0","19,194.0","19,194.0","19,194.0","2.81K","-0.46%"
"07/02/2021","19,640.0","19,640.0","19,640.0","18,837.0","0.65K","2.32%"
"07/05/2021","18,792.0","19,194.0","19,194.0","18,792.0","0.54K","-4.32%"
"07/06/2021","19,015.0","18,926.0","19,015.0","18,926.0","1.94K","1.19%"
"07/07/2021","19,015.0","19,105.0","19,105.0","19,015.0","4.54K","0.00%"
"07/08/2021","18,926.0","19,015.0","19,015.0","18,926.0","16.74K","-0.47%"
"07/09/2021","18,926.0","18,748.0","19,015.0","18,748.0","7.02K","0.00%"
"07/12/2021","19,596.0","18,748.0","19,596.0","17,855.0","25.27K","3.54%"
"07/13/2021","19,372.0","18,569.0","19,372.0","18,569.0","7.78K","-1.14%"
"07/14/2021","19,194.0","18,480.0","19,194.0","18,390.0","9.83K","-0.92%"
"07/15/2021","19,283.0","17,855.0","19,283.0","17,855.0","8.75K","0.46%"
"07/16/2021","19,372.0","19,283.0","19,372.0","18,837.0","10.37K","0.46%"
"07/20/2021","19,194.0","19,194.0","19,194.0","18,480.0","11.02K","-0.92%"
"07/21/2021","19,372.0","18,837.0","19,372.0","18,837.0","5.62K","0.93%"
"07/22/2021","19,105.0","18,837.0","19,194.0","18,837.0","4.86K","-1.38%"
"07/23/2021","18,926.0","19,015.0","19,015.0","18,926.0","5.51K","-0.94%"
"07/26/2021","18,926.0","19,015.0","19,015.0","18,926.0","2.92K","0.00%"
"07/27/2021","18,748.0","18,748.0","18,748.0","18,748.0","0.11K","-0.94%"
"07/28/2021","19,194.0","18,748.0","19,194.0","18,748.0","19.55K","2.38%"
"07/29/2021","19,194.0","19,149.0","19,194.0","19,149.0","2.27K","0.00%"
"07/30/2021","19,194.0","19,194.0","19,194.0","19,194.0","7.56K","0.00%"
"08/02/2021","19,194.0","19,149.0","19,194.0","19,149.0","3.35K","0.00%"
"08/03/2021","19,283.0","19,149.0","19,283.0","19,149.0","1.51K","0.46%"
"08/04/2021","19,105.0","19,372.0","19,372.0","19,105.0","4.75K","-0.92%"
