"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","15,800.0","16,300.0","16,300.0","15,800.0","0.20K","-3.07%"
"07/05/2021","15,200.0","15,200.0","15,200.0","15,200.0","0.10K","-3.80%"
"07/08/2021","14,250.0","14,250.0","14,250.0","14,250.0","0.10K","-6.25%"
"07/13/2021","15,200.0","13,400.0","15,200.0","13,400.0","1.90K","6.67%"
"07/14/2021","16,250.0","15,200.0","16,250.0","15,200.0","2.00K","6.91%"
"07/15/2021","17,200.0","17,200.0","17,200.0","17,200.0","0.50K","5.85%"
"07/16/2021","18,350.0","17,200.0","18,350.0","17,200.0","0.80K","6.69%"
"07/19/2021","18,500.0","18,000.0","18,700.0","17,100.0","1.00K","0.82%"
"07/21/2021","18,450.0","17,250.0","18,450.0","17,250.0","0.20K","-0.27%"
"07/22/2021","17,200.0","17,200.0","17,200.0","17,200.0","3.60K","-6.78%"
"07/23/2021","18,400.0","16,050.0","18,400.0","16,050.0","0.50K","6.98%"
"07/26/2021","18,450.0","18,400.0","18,450.0","18,400.0","14.00K","0.27%"
"07/27/2021","18,650.0","18,400.0","18,650.0","18,400.0","8.40K","1.08%"
"07/28/2021","18,650.0","18,400.0","18,850.0","18,400.0","7.00K","0.00%"
"08/02/2021","18,800.0","18,800.0","18,850.0","18,800.0","5.40K","0.80%"
"08/05/2021","19,000.0","18,850.0","19,000.0","18,850.0","4.60K","1.06%"
"08/16/2021","18,600.0","18,600.0","18,600.0","18,600.0","0.60K","-2.11%"
"08/18/2021","18,900.0","18,900.0","18,900.0","18,900.0","5.00K","1.61%"
"08/19/2021","18,700.0","18,700.0","18,700.0","18,700.0","0.20K","-1.06%"
"09/01/2021","18,900.0","19,000.0","19,000.0","18,900.0","0.40K","1.07%"
"09/06/2021","19,000.0","18,900.0","19,000.0","18,900.0","3.00K","0.53%"
"09/07/2021","19,100.0","19,100.0","19,100.0","19,100.0","2.40K","0.53%"
"09/08/2021","19,100.0","19,100.0","19,100.0","19,100.0","0.20K","0.00%"
"09/10/2021","17,800.0","18,000.0","18,000.0","17,800.0","2.40K","-6.81%"
"09/13/2021","16,600.0","17,800.0","17,800.0","16,600.0","3.90K","-6.74%"
