"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","3,740.00","3,670.00","3,760.00","3,660.00","1.14M","1.91%"
"07/02/2021","3,740.00","3,740.00","3,890.00","3,740.00","814.70K","0.00%"
"07/05/2021","3,670.00","3,760.00","3,770.00","3,640.00","1.11M","-1.87%"
"07/06/2021","3,630.00","3,670.00","3,700.00","3,630.00","1.01M","-1.09%"
"07/07/2021","3,540.00","3,600.00","3,620.00","3,450.00","822.10K","-2.48%"
"07/08/2021","3,600.00","3,650.00","3,650.00","3,530.00","979.30K","1.69%"
"07/09/2021","3,500.00","3,600.00","3,650.00","3,350.00","996.10K","-2.78%"
"07/12/2021","3,260.00","3,490.00","3,490.00","3,260.00","929.10K","-6.86%"
"07/13/2021","3,450.00","3,260.00","3,450.00","3,040.00","1.14M","5.83%"
"07/14/2021","3,250.00","3,560.00","3,560.00","3,210.00","841.00K","-5.80%"
"07/15/2021","3,350.00","3,300.00","3,350.00","3,220.00","270.50K","3.08%"
"07/16/2021","3,200.00","3,290.00","3,310.00","3,200.00","326.50K","-4.48%"
"07/19/2021","2,980.00","3,030.00","3,190.00","2,980.00","1.13M","-6.88%"
"07/20/2021","3,080.00","3,000.00","3,080.00","2,900.00","449.00K","3.36%"
"07/21/2021","3,070.00","3,080.00","3,100.00","3,010.00","238.40K","-0.32%"
"07/22/2021","3,190.00","3,070.00","3,220.00","3,040.00","534.90K","3.91%"
"07/23/2021","3,110.00","3,100.00","3,200.00","3,100.00","298.90K","-2.51%"
"07/26/2021","3,180.00","3,150.00","3,270.00","3,150.00","801.00K","2.25%"
"07/27/2021","3,400.00","3,400.00","3,400.00","3,400.00","471.70K","6.92%"
"07/28/2021","3,630.00","3,630.00","3,630.00","3,630.00","422.00K","6.76%"
"07/29/2021","3,650.00","3,880.00","3,880.00","3,630.00","4.25M","0.55%"
"07/30/2021","3,580.00","3,500.00","3,650.00","3,500.00","796.90K","-1.92%"
"08/02/2021","3,590.00","3,680.00","3,680.00","3,580.00","628.20K","0.28%"
"08/03/2021","3,730.00","3,540.00","3,780.00","3,440.00","2.07M","3.90%"
"08/04/2021","3,680.00","3,800.00","3,800.00","3,650.00","811.30K","-1.34%"
"08/05/2021","3,930.00","3,680.00","3,930.00","3,500.00","2.62M","6.79%"
"08/06/2021","3,900.00","3,970.00","4,170.00","3,890.00","1.49M","-0.76%"
"08/09/2021","3,850.00","3,880.00","3,930.00","3,760.00","961.70K","-1.28%"
"08/10/2021","4,110.00","3,850.00","4,110.00","3,810.00","3.27M","6.75%"
"08/11/2021","4,320.00","4,390.00","4,390.00","4,300.00","4.64M","5.11%"
"08/12/2021","4,350.00","4,440.00","4,440.00","4,180.00","1.59M","0.69%"
"08/13/2021","4,220.00","4,290.00","4,450.00","4,060.00","2.60M","-2.99%"
"08/16/2021","4,290.00","4,200.00","4,420.00","4,200.00","1.58M","1.66%"
"08/17/2021","4,290.00","4,300.00","4,330.00","4,200.00","866.30K","0.00%"
"08/18/2021","4,180.00","4,290.00","4,290.00","4,160.00","1.48M","-2.56%"
"08/19/2021","4,060.00","4,170.00","4,200.00","4,000.00","1.59M","-2.87%"
"08/20/2021","4,140.00","4,100.00","4,270.00","3,850.00","3.27M","1.97%"
"08/23/2021","4,000.00","4,140.00","4,140.00","3,860.00","2.88M","-3.38%"
"08/24/2021","3,850.00","4,000.00","4,080.00","3,770.00","1.09M","-3.75%"
"08/25/2021","3,800.00","3,700.00","3,850.00","3,680.00","1.20M","-1.30%"
"08/26/2021","3,750.00","3,860.00","3,870.00","3,750.00","898.40K","-1.32%"
"08/27/2021","3,940.00","3,750.00","3,950.00","3,750.00","1.36M","5.07%"
"08/30/2021","4,210.00","3,950.00","4,210.00","3,900.00","2.09M","6.85%"
"08/31/2021","4,500.00","4,450.00","4,500.00","4,280.00","5.28M","6.89%"
"09/01/2021","4,670.00","4,650.00","4,800.00","4,500.00","2.68M","3.78%"
"09/06/2021","4,870.00","4,490.00","4,990.00","4,420.00","4.26M","4.28%"
"09/07/2021","4,530.00","4,800.00","4,900.00","4,530.00","2.98M","-6.98%"
"09/08/2021","4,840.00","4,500.00","4,840.00","4,460.00","4.22M","6.84%"
"09/09/2021","5,170.00","5,170.00","5,170.00","4,900.00","5.30M","6.82%"
"09/10/2021","5,530.00","5,530.00","5,530.00","5,520.00","2.61M","6.96%"
"09/13/2021","5,910.00","5,910.00","5,910.00","5,600.00","14.50M","6.87%"
"09/14/2021","6,320.00","6,320.00","6,320.00","6,320.00","3.39M","6.94%"
"09/15/2021","6,760.00","6,760.00","6,760.00","6,760.00","1.77M","6.96%"
"09/16/2021","6,770.00","7,230.00","7,230.00","6,290.00","13.91M","0.15%"
"09/17/2021","6,410.00","6,300.00","6,770.00","6,300.00","6.67M","-5.32%"
"09/20/2021","6,850.00","6,850.00","6,850.00","6,800.00","3.69M","6.86%"
"09/21/2021","7,320.00","6,900.00","7,320.00","6,800.00","8.97M","6.86%"
"09/22/2021","7,830.00","7,830.00","7,830.00","7,830.00","1.67M","6.97%"
"09/23/2021","8,000.00","8,370.00","8,370.00","7,300.00","11.41M","2.17%"
"09/24/2021","7,440.00","7,470.00","8,000.00","7,440.00","8.47M","-7.00%"
"09/27/2021","6,930.00","6,920.00","7,750.00","6,920.00","4.34M","-6.85%"
"09/28/2021","7,410.00","6,450.00","7,410.00","6,450.00","6.22M","6.93%"
"09/29/2021","7,350.00","7,450.00","7,600.00","7,300.00","2.59M","-0.81%"
"09/30/2021","7,450.00","7,350.00","7,700.00","7,000.00","2.10M","1.36%"
"10/01/2021","7,440.00","7,350.00","7,560.00","7,350.00","2.60M","-0.13%"
"10/04/2021","7,630.00","7,540.00","7,900.00","7,380.00","3.73M","2.55%"
"10/05/2021","8,160.00","7,900.00","8,160.00","7,730.00","2.59M","6.95%"
"10/06/2021","8,730.00","8,730.00","8,730.00","8,730.00","1.25M","6.99%"
"10/07/2021","8,980.00","9,340.00","9,340.00","8,730.00","8.44M","2.86%"
"10/08/2021","8,600.00","8,400.00","8,960.00","8,400.00","4.50M","-4.23%"
"10/11/2021","8,600.00","8,790.00","8,900.00","8,580.00","2.58M","0.00%"
"10/12/2021","8,950.00","8,600.00","9,200.00","8,300.00","3.78M","4.07%"
"10/13/2021","9,040.00","8,950.00","9,190.00","8,950.00","1.72M","1.01%"
"10/14/2021","9,050.00","9,000.00","9,160.00","9,000.00","1.68M","0.11%"
"10/15/2021","9,000.00","9,000.00","9,100.00","8,890.00","2.42M","-0.55%"
"10/18/2021","8,960.00","9,300.00","9,300.00","8,950.00","2.28M","-0.44%"
"10/19/2021","8,980.00","8,800.00","9,200.00","8,800.00","2.15M","0.22%"
"10/20/2021","9,000.00","9,000.00","9,250.00","8,800.00","3.51M","0.22%"
"10/21/2021","8,950.00","8,980.00","8,990.00","8,890.00","2.61M","-0.56%"
"10/22/2021","8,750.00","8,990.00","8,990.00","8,690.00","2.71M","-2.23%"
"10/25/2021","8,300.00","8,620.00","8,680.00","8,300.00","4.66M","-5.14%"
"10/26/2021","8,610.00","8,000.00","8,700.00","8,000.00","2.26M","3.73%"
"10/27/2021","9,030.00","8,880.00","9,210.00","8,800.00","4.09M","4.88%"
"10/28/2021","8,950.00","9,020.00","9,020.00","8,850.00","1.75M","-0.89%"
"10/29/2021","9,200.00","8,950.00","9,300.00","8,800.00","3.92M","2.79%"
"11/01/2021","9,840.00","9,840.00","9,840.00","9,570.00","3.98M","6.96%"
"11/02/2021","10,500.00","10,500.00","10,500.00","10,100.00","4.80M","6.71%"
"11/03/2021","10,450.00","11,100.00","11,200.00","10,100.00","7.81M","-0.48%"
"11/04/2021","10,600.00","10,400.00","10,800.00","10,000.00","2.95M","1.44%"
"11/05/2021","10,900.00","10,600.00","11,050.00","10,600.00","2.20M","2.83%"
"11/08/2021","11,000.00","10,900.00","11,300.00","10,500.00","4.30M","0.92%"
"11/09/2021","10,800.00","11,000.00","11,000.00","10,700.00","2.38M","-1.82%"
"11/10/2021","11,550.00","10,900.00","11,550.00","10,600.00","3.87M","6.94%"
"11/11/2021","12,350.00","12,300.00","12,350.00","11,550.00","4.37M","6.93%"
"11/12/2021","13,200.00","13,200.00","13,200.00","13,000.00","3.27M","6.88%"
"11/15/2021","14,100.00","14,100.00","14,100.00","13,700.00","3.66M","6.82%"
"11/16/2021","15,050.00","14,200.00","15,050.00","13,500.00","6.68M","6.74%"
"11/17/2021","16,100.00","15,600.00","16,100.00","15,500.00","3.36M","6.98%"
"11/18/2021","17,200.00","17,200.00","17,200.00","17,200.00","1.05M","6.83%"
"11/19/2021","18,400.00","18,400.00","18,400.00","17,200.00","7.56M","6.98%"
"11/22/2021","18,500.00","19,650.00","19,650.00","17,200.00","5.98M","0.54%"
"11/23/2021","19,750.00","18,100.00","19,750.00","17,250.00","4.62M","6.76%"
"11/24/2021","21,100.00","21,100.00","21,100.00","20,500.00","2.57M","6.84%"
"11/25/2021","22,550.00","22,550.00","22,550.00","22,500.00","2.70M","6.87%"
"11/26/2021","24,100.00","24,100.00","24,100.00","22,600.00","10.80M","6.87%"
"11/29/2021","22,450.00","22,450.00","24,600.00","22,450.00","7.80M","-6.85%"
"11/30/2021","20,900.00","20,900.00","20,900.00","20,900.00","495.00K","-6.90%"
"12/01/2021","19,450.00","19,450.00","19,450.00","19,450.00","149.70K","-6.94%"
"12/02/2021","18,100.00","18,100.00","18,100.00","18,100.00","129.30K","-6.94%"
"12/03/2021","16,850.00","16,850.00","16,850.00","16,850.00","362.00K","-6.91%"
"12/06/2021","15,700.00","15,700.00","15,700.00","15,700.00","109.40K","-6.82%"
"12/07/2021","14,650.00","14,650.00","14,650.00","14,650.00","86.20K","-6.69%"
"12/08/2021","13,650.00","13,650.00","13,650.00","13,650.00","114.40K","-6.83%"
"12/09/2021","12,700.00","12,700.00","12,700.00","12,700.00","263.00K","-6.96%"
"12/10/2021","11,850.00","11,850.00","13,350.00","11,850.00","23.72M","-6.69%"
"12/13/2021","12,650.00","12,200.00","12,650.00","12,050.00","1.36M","6.75%"
"12/14/2021","13,500.00","13,500.00","13,500.00","13,500.00","948.20K","6.72%"
"12/15/2021","13,000.00","13,000.00","14,200.00","12,600.00","13.70M","-3.70%"
"12/16/2021","12,200.00","12,100.00","12,800.00","12,100.00","5.62M","-6.15%"
"12/17/2021","12,300.00","12,200.00","12,700.00","12,150.00","2.15M","0.82%"
"12/20/2021","12,700.00","13,150.00","13,150.00","12,300.00","3.49M","3.25%"
"12/21/2021","12,000.00","12,200.00","12,600.00","11,850.00","4.45M","-5.51%"
"12/22/2021","11,200.00","11,700.00","12,000.00","11,200.00","6.73M","-6.67%"
"12/23/2021","11,950.00","11,000.00","11,950.00","11,000.00","3.16M","6.70%"
"12/24/2021","11,800.00","12,500.00","12,500.00","11,400.00","2.06M","-1.26%"
"12/27/2021","11,450.00","11,700.00","11,800.00","11,300.00","1.54M","-2.97%"
"12/28/2021","11,550.00","11,400.00","12,000.00","11,050.00","2.95M","0.87%"
"12/29/2021","11,500.00","11,600.00","11,800.00","11,300.00","1.62M","-0.43%"
"12/30/2021","12,300.00","11,400.00","12,300.00","11,400.00","3.47M","6.96%"
"12/31/2021","12,050.00","12,800.00","12,800.00","11,850.00","2.95M","-2.03%"
