"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","61,400.0","58,000.0","61,500.0","58,000.0","574.70K","6.78%"
"07/02/2021","60,100.0","61,500.0","61,500.0","60,100.0","108.90K","-2.12%"
"07/05/2021","60,000.0","60,800.0","60,800.0","58,600.0","53.50K","-0.17%"
"07/06/2021","56,000.0","60,900.0","60,900.0","56,000.0","189.50K","-6.67%"
"07/07/2021","56,000.0","56,200.0","56,700.0","53,000.0","269.00K","0.00%"
"07/08/2021","56,400.0","55,400.0","57,900.0","55,400.0","59.80K","0.71%"
"07/09/2021","56,800.0","56,400.0","57,000.0","55,000.0","151.70K","0.71%"
"07/12/2021","60,000.0","60,700.0","60,700.0","57,500.0","615.40K","5.63%"
"07/13/2021","60,000.0","61,500.0","61,500.0","59,000.0","121.40K","0.00%"
"07/14/2021","61,100.0","59,900.0","62,100.0","59,000.0","237.00K","1.83%"
"07/15/2021","61,800.0","61,100.0","62,200.0","60,800.0","80.70K","1.15%"
"07/16/2021","61,500.0","61,600.0","62,800.0","61,500.0","91.40K","-0.49%"
"07/19/2021","59,600.0","60,000.0","60,500.0","59,300.0","191.30K","-3.09%"
"07/20/2021","60,600.0","59,500.0","60,600.0","58,000.0","89.10K","1.68%"
"07/21/2021","60,300.0","60,600.0","60,800.0","60,000.0","72.00K","-0.50%"
"07/22/2021","61,400.0","59,200.0","62,000.0","59,200.0","175.00K","1.82%"
"07/23/2021","62,500.0","61,500.0","64,000.0","61,500.0","357.70K","1.79%"
"07/26/2021","63,700.0","62,600.0","63,900.0","62,500.0","75.30K","1.92%"
"07/27/2021","63,300.0","64,500.0","64,800.0","63,300.0","86.80K","-0.63%"
"07/28/2021","62,100.0","63,000.0","63,300.0","62,000.0","124.20K","-1.90%"
"07/29/2021","62,500.0","62,400.0","62,800.0","61,500.0","70.20K","0.64%"
"07/30/2021","62,800.0","62,500.0","63,000.0","62,100.0","119.60K","0.48%"
"08/02/2021","63,300.0","62,700.0","64,500.0","62,000.0","209.30K","0.80%"
"08/03/2021","64,000.0","63,300.0","64,500.0","63,000.0","138.50K","1.11%"
"08/04/2021","63,300.0","63,000.0","64,300.0","63,000.0","110.20K","-1.09%"
"08/05/2021","63,300.0","63,300.0","64,000.0","63,000.0","114.70K","0.00%"
"08/06/2021","63,100.0","63,300.0","64,000.0","62,800.0","214.60K","-0.32%"
"08/09/2021","63,500.0","63,000.0","63,500.0","62,500.0","111.10K","0.63%"
"08/10/2021","64,000.0","63,500.0","64,000.0","63,300.0","102.70K","0.79%"
"08/11/2021","65,100.0","63,600.0","68,000.0","63,600.0","138.40K","1.72%"
"08/12/2021","64,900.0","65,100.0","66,500.0","64,900.0","93.40K","-0.31%"
"08/13/2021","64,200.0","64,900.0","65,000.0","63,500.0","135.30K","-1.08%"
"08/16/2021","63,500.0","64,200.0","64,300.0","63,400.0","208.40K","-1.09%"
"08/17/2021","63,700.0","63,100.0","64,300.0","63,100.0","58.90K","0.31%"
"08/18/2021","65,100.0","63,700.0","65,600.0","63,400.0","99.50K","2.20%"
"08/19/2021","64,700.0","65,100.0","65,200.0","64,500.0","53.00K","-0.61%"
"08/20/2021","62,000.0","64,700.0","64,700.0","61,500.0","179.50K","-4.17%"
"08/23/2021","62,500.0","62,000.0","63,300.0","62,000.0","97.40K","0.81%"
"08/24/2021","62,500.0","62,500.0","63,500.0","62,400.0","87.70K","0.00%"
"08/25/2021","64,500.0","65,500.0","65,500.0","63,000.0","87.60K","3.20%"
"08/26/2021","65,000.0","64,500.0","65,500.0","64,000.0","49.20K","0.78%"
"08/27/2021","64,100.0","65,000.0","65,000.0","63,500.0","30.60K","-1.38%"
"08/30/2021","64,200.0","64,100.0","65,100.0","64,100.0","55.80K","0.16%"
"08/31/2021","64,000.0","64,200.0","64,200.0","63,400.0","59.20K","-0.31%"
"09/01/2021","63,500.0","63,000.0","64,000.0","63,000.0","37.80K","-0.78%"
"09/06/2021","63,800.0","64,900.0","64,900.0","63,300.0","31.30K","0.47%"
"09/07/2021","63,000.0","64,400.0","64,400.0","62,500.0","88.30K","-1.25%"
"09/08/2021","63,000.0","62,200.0","63,000.0","61,900.0","67.50K","0.00%"
"09/09/2021","62,900.0","62,300.0","63,000.0","62,000.0","139.00K","-0.16%"
"09/10/2021","62,100.0","63,300.0","63,300.0","62,000.0","81.20K","-1.27%"
"09/13/2021","61,000.0","62,000.0","62,000.0","60,700.0","66.20K","-1.77%"
"09/14/2021","61,500.0","59,000.0","62,500.0","59,000.0","100.30K","0.82%"
"09/15/2021","62,000.0","61,500.0","62,000.0","61,300.0","32.20K","0.81%"
"09/16/2021","61,200.0","60,000.0","61,900.0","60,000.0","45.80K","-1.29%"
"09/17/2021","60,000.0","61,200.0","61,300.0","60,000.0","121.90K","-1.96%"
"09/20/2021","62,000.0","60,500.0","62,800.0","59,500.0","124.40K","3.33%"
"09/21/2021","62,000.0","62,000.0","62,000.0","61,000.0","82.50K","0.00%"
"09/22/2021","66,000.0","62,300.0","66,300.0","62,000.0","350.70K","6.45%"
"09/23/2021","65,600.0","67,000.0","67,000.0","64,900.0","57.70K","-0.61%"
"09/24/2021","64,900.0","64,200.0","65,000.0","63,700.0","33.00K","-1.07%"
"09/27/2021","61,500.0","62,100.0","63,600.0","61,300.0","122.80K","-5.24%"
