"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","11,350.0","11,350.0","11,500.0","11,250.0","191.20K","-0.87%"
"07/02/2021","11,350.0","11,500.0","11,500.0","11,200.0","238.90K","0.00%"
"07/05/2021","11,050.0","11,350.0","11,350.0","11,000.0","135.70K","-2.64%"
"07/06/2021","10,800.0","11,000.0","11,100.0","10,800.0","286.20K","-2.26%"
"07/07/2021","10,650.0","10,700.0","10,700.0","10,400.0","236.20K","-1.39%"
"07/08/2021","10,600.0","10,500.0","10,900.0","10,500.0","127.80K","-0.47%"
"07/09/2021","10,500.0","10,600.0","10,850.0","10,400.0","178.30K","-0.94%"
"07/12/2021","10,000.0","10,400.0","10,500.0","9,850.0","574.60K","-4.76%"
"07/13/2021","10,150.0","10,000.0","10,300.0","10,000.0","241.30K","1.50%"
"07/14/2021","10,150.0","10,150.0","10,250.0","10,050.0","117.60K","0.00%"
"07/15/2021","10,200.0","10,150.0","10,400.0","10,050.0","202.80K","0.49%"
"07/16/2021","10,200.0","10,100.0","10,300.0","10,100.0","197.70K","0.00%"
"07/19/2021","9,990.0","10,100.0","10,200.0","9,900.0","243.40K","-2.06%"
"07/20/2021","10,050.0","9,800.0","10,150.0","9,800.0","197.80K","0.60%"
"07/21/2021","10,150.0","10,050.0","10,200.0","10,000.0","129.20K","1.00%"
"07/22/2021","10,550.0","10,200.0","10,600.0","10,150.0","199.40K","3.94%"
"07/23/2021","10,600.0","10,550.0","10,600.0","10,300.0","86.90K","0.47%"
"07/26/2021","10,500.0","10,350.0","10,500.0","10,200.0","128.40K","-0.94%"
"07/27/2021","10,400.0","10,500.0","10,600.0","10,250.0","134.40K","-0.95%"
"07/28/2021","10,400.0","10,300.0","10,500.0","10,300.0","53.50K","0.00%"
"07/29/2021","10,450.0","10,500.0","10,500.0","10,300.0","67.50K","0.48%"
"07/30/2021","10,500.0","10,450.0","10,500.0","10,400.0","128.30K","0.48%"
"08/02/2021","11,200.0","10,500.0","11,200.0","10,300.0","482.50K","6.67%"
"08/03/2021","11,050.0","11,250.0","11,500.0","11,000.0","174.50K","-1.34%"
"08/04/2021","11,150.0","11,050.0","11,200.0","11,000.0","95.20K","0.90%"
"08/05/2021","11,000.0","11,100.0","11,150.0","10,900.0","89.50K","-1.35%"
"08/06/2021","11,000.0","10,950.0","11,150.0","10,950.0","102.10K","0.00%"
"08/09/2021","11,200.0","10,900.0","11,200.0","10,750.0","124.60K","1.82%"
"08/10/2021","11,200.0","11,150.0","11,350.0","11,150.0","119.30K","0.00%"
"08/11/2021","11,450.0","11,200.0","11,750.0","11,100.0","514.20K","2.23%"
"08/12/2021","11,750.0","11,350.0","12,000.0","11,300.0","703.90K","2.62%"
"08/13/2021","11,800.0","11,750.0","11,950.0","11,550.0","212.40K","0.43%"
"08/16/2021","12,000.0","11,900.0","12,050.0","11,350.0","703.30K","1.69%"
"08/17/2021","12,000.0","12,100.0","12,500.0","11,800.0","576.60K","0.00%"
"08/18/2021","11,950.0","11,900.0","12,050.0","11,850.0","185.70K","-0.42%"
"08/19/2021","11,850.0","11,950.0","11,950.0","11,800.0","189.80K","-0.84%"
"08/20/2021","11,450.0","11,850.0","11,850.0","11,400.0","498.30K","-3.38%"
"08/23/2021","11,400.0","11,350.0","11,500.0","11,300.0","192.20K","-0.44%"
"08/24/2021","11,700.0","11,400.0","11,700.0","11,250.0","366.40K","2.63%"
"08/25/2021","11,600.0","11,700.0","11,750.0","11,450.0","197.00K","-0.85%"
"08/26/2021","12,050.0","11,700.0","12,400.0","11,700.0","714.80K","3.88%"
"08/27/2021","12,400.0","12,000.0","12,400.0","11,950.0","831.40K","2.90%"
"08/30/2021","12,450.0","12,600.0","12,800.0","12,450.0","651.60K","0.40%"
"08/31/2021","12,100.0","12,200.0","12,400.0","12,100.0","495.50K","-2.81%"
"09/01/2021","12,050.0","12,100.0","12,250.0","11,900.0","358.90K","-0.41%"
"09/06/2021","12,550.0","12,050.0","12,600.0","12,050.0","634.60K","4.15%"
"09/07/2021","12,750.0","13,000.0","13,000.0","12,700.0","1.13M","1.59%"
"09/08/2021","12,600.0","12,600.0","12,800.0","12,600.0","469.60K","-1.18%"
"09/09/2021","13,450.0","12,600.0","13,450.0","12,600.0","1.66M","6.75%"
"09/10/2021","13,450.0","13,800.0","13,950.0","13,300.0","1.32M","0.00%"
"09/13/2021","14,350.0","13,450.0","14,350.0","13,450.0","1.48M","6.69%"
"09/14/2021","15,350.0","14,800.0","15,350.0","14,500.0","2.89M","6.97%"
"09/15/2021","15,200.0","15,400.0","15,400.0","14,700.0","1.42M","-0.98%"
"09/16/2021","15,300.0","14,800.0","15,300.0","14,600.0","896.80K","0.66%"
"09/17/2021","15,550.0","15,100.0","15,850.0","15,050.0","1.22M","1.63%"
"09/20/2021","15,350.0","15,900.0","15,900.0","15,000.0","1.78M","-1.29%"
"09/21/2021","15,000.0","14,500.0","15,200.0","14,500.0","1.53M","-2.28%"
"09/22/2021","15,250.0","15,000.0","15,850.0","14,800.0","1.20M","1.67%"
"09/23/2021","14,950.0","15,250.0","15,550.0","14,800.0","926.50K","-1.97%"
"09/24/2021","14,750.0","14,900.0","15,050.0","14,700.0","745.00K","-1.34%"
"09/27/2021","14,500.0","14,750.0","14,950.0","14,500.0","689.40K","-1.69%"
"09/28/2021","15,000.0","14,500.0","15,000.0","14,000.0","457.60K","3.45%"
"09/29/2021","14,700.0","14,650.0","15,000.0","14,650.0","218.10K","-2.00%"
"09/30/2021","14,800.0","14,700.0","15,000.0","14,700.0","448.30K","0.68%"
"10/01/2021","14,850.0","14,700.0","15,300.0","14,700.0","397.00K","0.34%"
"10/04/2021","15,250.0","15,100.0","15,500.0","14,950.0","531.30K","2.69%"
"10/05/2021","15,350.0","15,300.0","15,550.0","15,250.0","555.60K","0.66%"
"10/06/2021","15,350.0","15,350.0","15,400.0","15,000.0","356.10K","0.00%"
"10/07/2021","16,150.0","15,550.0","16,400.0","15,400.0","2.21M","5.21%"
"10/08/2021","16,900.0","16,000.0","17,050.0","16,000.0","686.90K","4.64%"
"10/11/2021","18,050.0","16,900.0","18,050.0","16,500.0","2.18M","6.80%"
"10/12/2021","17,800.0","17,500.0","17,900.0","17,400.0","1.18M","-1.39%"
"10/13/2021","18,250.0","17,300.0","18,800.0","17,300.0","918.80K","2.53%"
"10/14/2021","18,250.0","18,250.0","18,650.0","17,900.0","372.40K","0.00%"
"10/15/2021","18,250.0","18,300.0","18,550.0","17,950.0","485.70K","0.00%"
"10/18/2021","19,500.0","18,250.0","19,500.0","18,100.0","1.33M","6.85%"
"10/19/2021","19,700.0","19,950.0","20,850.0","19,250.0","876.80K","1.03%"
"10/20/2021","19,300.0","19,500.0","19,900.0","18,800.0","640.70K","-2.03%"
"10/21/2021","19,400.0","19,000.0","19,600.0","18,800.0","442.40K","0.52%"
"10/22/2021","19,950.0","19,300.0","20,500.0","19,300.0","505.80K","2.84%"
"10/25/2021","20,050.0","20,000.0","20,500.0","20,000.0","333.40K","0.50%"
