"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","9,930.0","9,940.0","9,940.0","9,900.0","21.70K","6.89%"
"07/02/2021","10,300.0","9,930.0","10,300.0","9,240.0","45.00K","3.73%"
"07/05/2021","10,200.0","10,400.0","10,400.0","10,200.0","9.90K","-0.97%"
"07/07/2021","10,100.0","9,490.0","10,100.0","9,490.0","0.20K","-0.98%"
"07/14/2021","9,900.0","9,400.0","9,900.0","9,400.0","0.60K","-1.98%"
"07/16/2021","9,210.0","9,210.0","9,210.0","9,210.0","1.50K","-6.97%"
"07/19/2021","9,850.0","8,580.0","9,850.0","8,570.0","1.30K","6.95%"
"07/20/2021","10,000.0","9,180.0","10,000.0","9,180.0","2.10K","1.52%"
"07/21/2021","9,800.0","10,200.0","10,200.0","9,300.0","0.60K","-2.00%"
"07/22/2021","9,690.0","10,100.0","10,100.0","9,690.0","6.10K","-1.12%"
"07/23/2021","9,900.0","10,150.0","10,150.0","9,690.0","9.90K","2.17%"
"07/26/2021","10,000.0","9,700.0","10,150.0","9,220.0","25.90K","1.01%"
"07/27/2021","10,000.0","10,000.0","10,000.0","10,000.0","17.40K","0.00%"
"07/28/2021","9,310.0","10,000.0","10,000.0","9,310.0","24.30K","-6.90%"
"07/29/2021","9,850.0","9,960.0","9,960.0","9,850.0","27.20K","5.80%"
"07/30/2021","9,770.0","9,900.0","9,900.0","9,170.0","20.00K","-0.81%"
"08/02/2021","9,900.0","10,050.0","10,050.0","9,090.0","11.10K","1.33%"
"08/09/2021","9,250.0","9,660.0","9,660.0","9,210.0","5.70K","-6.57%"
"08/10/2021","9,200.0","9,250.0","9,250.0","9,200.0","2.50K","-0.54%"
"08/11/2021","9,730.0","9,730.0","9,730.0","9,730.0","0.60K","5.76%"
"08/12/2021","9,440.0","9,100.0","9,440.0","9,100.0","2.40K","-2.98%"
"08/16/2021","9,000.0","9,010.0","9,010.0","9,000.0","3.20K","-4.66%"
"08/17/2021","9,000.0","9,000.0","9,000.0","9,000.0","3.30K","0.00%"
"08/19/2021","8,650.0","8,650.0","8,800.0","8,600.0","6.50K","-3.89%"
"08/20/2021","8,590.0","8,650.0","8,650.0","8,550.0","6.80K","-0.69%"
"08/23/2021","8,500.0","8,500.0","8,500.0","8,300.0","11.10K","-1.05%"
"08/25/2021","8,980.0","8,980.0","8,980.0","8,980.0","0.10K","5.65%"
"08/27/2021","8,900.0","8,940.0","8,940.0","8,900.0","1.70K","-0.89%"
"08/31/2021","9,520.0","9,460.0","9,520.0","9,390.0","11.40K","6.97%"
"09/01/2021","10,100.0","9,940.0","10,100.0","9,700.0","16.20K","6.09%"
"09/06/2021","10,100.0","10,100.0","10,100.0","10,100.0","0.20K","0.00%"
"09/07/2021","9,600.0","9,600.0","9,600.0","9,600.0","0.20K","-4.95%"
"09/08/2021","10,000.0","8,950.0","10,000.0","8,950.0","3.40K","4.17%"
"09/09/2021","10,000.0","9,900.0","10,000.0","9,900.0","0.80K","0.00%"
"09/10/2021","10,150.0","9,990.0","10,150.0","9,990.0","5.80K","1.50%"
"09/13/2021","10,000.0","10,050.0","10,050.0","10,000.0","2.50K","-1.48%"
"09/14/2021","10,000.0","10,000.0","10,000.0","10,000.0","9.10K","0.00%"
"09/15/2021","9,310.0","9,310.0","9,310.0","9,310.0","3.10K","-6.90%"
"09/16/2021","9,400.0","9,400.0","9,400.0","9,400.0","1.10K","0.97%"
"09/17/2021","10,000.0","10,000.0","10,050.0","10,000.0","6.00K","6.38%"
"09/22/2021","9,600.0","9,600.0","9,600.0","9,600.0","0.10K","-4.00%"
"09/23/2021","9,900.0","10,000.0","10,000.0","9,900.0","7.20K","3.13%"
"09/24/2021","9,950.0","9,990.0","9,990.0","9,950.0","1.10K","0.51%"
"09/27/2021","9,330.0","9,310.0","9,330.0","9,310.0","3.70K","-6.23%"
"09/28/2021","9,300.0","9,300.0","9,300.0","9,300.0","0.60K","-0.32%"
"09/29/2021","9,310.0","9,310.0","9,310.0","9,270.0","8.30K","0.11%"
"10/01/2021","9,300.0","9,300.0","9,300.0","9,300.0","0.10K","-0.11%"
"10/04/2021","9,870.0","9,870.0","9,870.0","9,870.0","2.00K","6.13%"
"10/06/2021","9,880.0","9,890.0","9,890.0","9,880.0","0.90K","0.10%"
"10/07/2021","9,800.0","9,890.0","9,890.0","9,300.0","2.30K","-0.81%"
"10/08/2021","9,780.0","9,780.0","9,780.0","9,770.0","3.30K","-0.20%"
"10/12/2021","9,340.0","9,310.0","9,340.0","9,310.0","1.40K","-4.50%"
"10/14/2021","9,340.0","9,340.0","9,340.0","9,340.0","0.10K","0.00%"
"10/15/2021","9,500.0","9,500.0","9,500.0","9,500.0","3.10K","1.71%"
"10/18/2021","9,780.0","9,500.0","9,780.0","9,500.0","0.70K","2.95%"
"10/19/2021","9,800.0","9,800.0","9,800.0","9,800.0","0.10K","0.20%"
"10/20/2021","10,050.0","9,790.0","10,150.0","9,500.0","21.60K","2.55%"
"10/21/2021","10,750.0","9,940.0","10,750.0","9,700.0","29.20K","6.97%"
"10/22/2021","11,500.0","11,500.0","11,500.0","11,500.0","9.90K","6.98%"
"10/25/2021","12,100.0","11,500.0","12,300.0","11,300.0","14.50K","5.22%"
"10/26/2021","11,300.0","11,300.0","11,500.0","11,300.0","16.30K","-6.61%"
"10/27/2021","10,850.0","11,300.0","11,500.0","10,550.0","5.50K","-3.98%"
"10/28/2021","11,600.0","10,200.0","11,600.0","10,200.0","15.60K","6.91%"
"10/29/2021","11,050.0","10,950.0","12,300.0","10,950.0","2.00K","-4.74%"
"11/01/2021","10,500.0","11,100.0","11,300.0","10,500.0","1.80K","-4.98%"
"11/02/2021","11,200.0","11,000.0","11,200.0","11,000.0","2.00K","6.67%"
"11/03/2021","10,900.0","10,500.0","10,900.0","10,500.0","7.00K","-2.68%"
"11/04/2021","10,550.0","10,500.0","10,550.0","10,500.0","0.80K","-3.21%"
"11/05/2021","10,950.0","10,600.0","10,950.0","10,600.0","0.60K","3.79%"
"11/08/2021","10,500.0","10,500.0","10,600.0","10,200.0","12.40K","-4.11%"
"11/09/2021","11,050.0","10,600.0","11,050.0","10,500.0","1.40K","5.24%"
"11/10/2021","11,050.0","11,050.0","11,050.0","11,050.0","0.10K","0.00%"
"11/11/2021","10,600.0","10,500.0","10,950.0","10,400.0","6.50K","-4.07%"
"11/12/2021","11,300.0","10,950.0","11,300.0","10,600.0","34.40K","6.60%"
"11/15/2021","12,050.0","12,050.0","12,050.0","12,000.0","73.80K","6.64%"
"11/16/2021","12,850.0","12,050.0","12,850.0","11,900.0","83.20K","6.64%"
"11/17/2021","13,650.0","13,700.0","13,700.0","12,600.0","68.20K","6.23%"
"11/18/2021","14,400.0","13,800.0","14,500.0","13,700.0","53.10K","5.49%"
"11/19/2021","13,400.0","14,700.0","14,700.0","13,400.0","54.10K","-6.94%"
"11/22/2021","12,500.0","13,400.0","14,000.0","12,500.0","36.20K","-6.72%"
"11/23/2021","12,100.0","11,900.0","13,350.0","11,800.0","59.70K","-3.20%"
"11/24/2021","12,200.0","11,800.0","12,500.0","11,300.0","20.10K","0.83%"
"11/25/2021","11,400.0","11,500.0","11,650.0","11,350.0","60.10K","-6.56%"
"11/26/2021","10,800.0","11,400.0","11,400.0","10,800.0","35.30K","-5.26%"
"11/29/2021","10,950.0","10,800.0","11,000.0","10,700.0","17.50K","1.39%"
"11/30/2021","11,700.0","11,150.0","11,700.0","11,150.0","35.40K","6.85%"
"12/01/2021","12,200.0","11,700.0","12,500.0","11,000.0","56.40K","4.27%"
"12/02/2021","12,700.0","12,900.0","13,000.0","12,700.0","11.00K","4.10%"
"12/03/2021","11,850.0","12,700.0","13,000.0","11,850.0","33.70K","-6.69%"
"12/06/2021","11,600.0","11,850.0","11,850.0","11,050.0","15.60K","-2.11%"
"12/07/2021","12,000.0","12,050.0","12,400.0","12,000.0","5.00K","3.45%"
"12/08/2021","11,250.0","11,250.0","11,850.0","11,200.0","30.40K","-6.25%"
"12/09/2021","11,500.0","11,250.0","11,500.0","11,200.0","22.90K","2.22%"
"12/10/2021","11,500.0","11,500.0","12,200.0","11,050.0","11.90K","0.00%"
"12/13/2021","11,400.0","11,950.0","11,950.0","11,400.0","5.90K","-0.87%"
"12/14/2021","11,300.0","11,400.0","11,400.0","10,650.0","25.30K","-0.88%"
"12/15/2021","11,300.0","11,350.0","11,400.0","11,100.0","10.80K","0.00%"
"12/16/2021","11,300.0","11,050.0","11,300.0","10,550.0","10.40K","0.00%"
"12/17/2021","10,900.0","11,100.0","11,150.0","10,550.0","30.70K","-3.54%"
"12/20/2021","11,350.0","10,900.0","11,400.0","10,900.0","21.20K","4.13%"
"12/21/2021","11,450.0","11,400.0","11,500.0","10,750.0","11.70K","0.88%"
"12/22/2021","11,250.0","11,000.0","11,250.0","10,850.0","13.50K","-1.75%"
"12/23/2021","10,900.0","11,000.0","11,200.0","10,800.0","5.40K","-3.11%"
"12/24/2021","11,100.0","10,900.0","11,100.0","10,800.0","9.70K","1.83%"
"12/27/2021","11,000.0","11,050.0","11,050.0","10,900.0","8.10K","-0.90%"
"12/28/2021","10,850.0","11,000.0","11,000.0","10,300.0","9.30K","-1.36%"
"12/29/2021","10,550.0","10,550.0","10,900.0","10,550.0","7.50K","-2.76%"
"12/30/2021","10,500.0","10,400.0","11,000.0","10,300.0","19.10K","-0.47%"
"12/31/2021","10,300.0","10,200.0","10,900.0","10,200.0","2.00K","-1.90%"
