"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","36,075.7","36,510.0","36,510.0","35,641.0","0.90K","-1.19%"
"07/02/2021","36,075.7","35,293.0","36,076.0","35,293.0","1.80K","0.00%"
"07/05/2021","36,075.7","36,076.0","36,076.0","35,641.0","0.60K","0.00%"
"07/06/2021","36,075.7","36,076.0","36,076.0","35,206.0","4.60K","0.00%"
"07/07/2021","35,206.4","35,641.0","35,641.0","34,772.0","12.20K","-2.41%"
"07/08/2021","36,075.7","36,076.0","36,076.0","36,076.0","0.60K","2.47%"
"07/09/2021","35,728.0","35,728.0","35,728.0","35,728.0","0.60K","-0.96%"
"07/12/2021","33,511.3","33,902.0","34,772.0","33,468.0","7.10K","-6.20%"
"07/13/2021","34,771.7","33,902.0","34,772.0","33,902.0","16.80K","3.76%"
"07/14/2021","36,075.7","36,076.0","36,076.0","36,076.0","0.10K","3.75%"
"07/15/2021","35,858.4","35,641.0","35,989.0","34,772.0","1.40K","-0.60%"
"07/20/2021","35,858.4","34,772.0","35,858.0","34,772.0","6.70K","0.00%"
"07/21/2021","36,075.7","36,076.0","36,076.0","36,076.0","5.30K","0.61%"
"07/22/2021","36,423.4","36,423.0","36,423.0","36,423.0","0.40K","0.96%"
"07/23/2021","36,249.5","35,250.0","36,250.0","35,250.0","1.80K","-0.48%"
"07/26/2021","36,162.6","35,641.0","36,163.0","34,772.0","1.90K","-0.24%"
"07/27/2021","36,162.6","36,163.0","36,163.0","36,163.0","0.10K","0.00%"
"07/28/2021","36,162.6","36,163.0","36,163.0","34,946.0","1.20K","0.00%"
"07/29/2021","35,641.0","35,641.0","35,641.0","35,467.0","4.80K","-1.44%"
"07/30/2021","35,641.0","35,641.0","35,641.0","34,815.0","6.40K","0.00%"
"08/02/2021","35,641.0","35,554.0","36,076.0","35,380.0","12.60K","0.00%"
"08/03/2021","35,641.0","36,076.0","36,076.0","35,641.0","2.40K","0.00%"
