"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","33,434.1","32,543.6","33,676.9","31,976.9","1.35M","3.12%"
"07/02/2021","33,515.0","33,596.0","33,676.9","33,272.2","845.64K","0.24%"
"07/05/2021","34,648.4","33,596.0","35,012.7","33,312.6","1.31M","3.38%"
"07/06/2021","32,260.2","34,648.4","34,648.4","32,260.2","1.19M","-6.89%"
"07/07/2021","32,260.2","31,653.1","32,381.7","30,114.9","885.60K","0.00%"
"07/08/2021","31,248.3","31,895.9","32,179.3","30,479.2","971.76K","-3.14%"
"07/09/2021","29,143.5","30,803.1","31,248.3","29,143.5","1.10M","-6.74%"
"07/12/2021","27,119.6","28,333.9","28,414.9","27,119.6","1.15M","-6.94%"
"07/13/2021","27,524.4","27,848.2","28,172.0","26,714.9","476.52K","1.49%"
"07/14/2021","28,738.7","29,305.4","29,305.4","27,200.6","753.12K","4.41%"
"07/15/2021","29,993.5","28,333.9","29,993.5","27,524.4","496.20K","4.37%"
"07/16/2021","31,248.3","29,993.5","31,248.3","29,588.7","768.48K","4.18%"
"07/19/2021","30,398.3","31,855.5","32,786.4","29,872.1","3.55M","-2.72%"
"07/20/2021","31,976.9","30,762.6","31,976.9","30,519.7","1.08M","5.19%"
"07/21/2021","31,976.9","32,057.8","32,381.7","31,774.5","787.68K","0.00%"
"07/22/2021","32,462.6","31,976.9","32,867.4","31,572.1","1.44M","1.52%"
"07/23/2021","32,948.3","31,895.9","33,393.6","31,572.1","2.24M","1.50%"
"07/26/2021","35,215.1","32,543.6","35,215.1","32,543.6","1.86M","6.88%"
"07/27/2021","35,215.1","36,348.4","36,429.4","34,850.8","1.37M","0.00%"
"07/28/2021","34,081.7","35,053.1","35,296.0","34,081.7","1.35M","-3.22%"
"07/29/2021","34,810.3","34,243.6","34,810.3","33,879.3","1.13M","2.14%"
"07/30/2021","35,903.2","34,769.8","36,753.2","34,769.8","1.47M","3.14%"
