"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","17,487.0","17,394.5","17,487.0","17,118.4","18.40K","0.53%"
"07/02/2021","17,441.0","17,486.6","17,487.0","17,394.5","4.20K","-0.26%"
"07/05/2021","17,441.0","17,440.5","17,487.0","17,118.4","16.50K","0.00%"
"07/06/2021","17,164.0","17,440.5","17,441.0","17,164.4","5.60K","-1.59%"
"07/07/2021","17,026.0","17,026.4","17,118.0","17,026.4","7.50K","-0.80%"
"07/08/2021","16,658.0","17,026.4","17,026.0","16,658.3","5.90K","-2.16%"
"07/09/2021","16,658.0","16,520.2","17,118.0","16,382.2","27.10K","0.00%"
"07/12/2021","16,566.0","16,244.1","16,842.0","15,645.9","14.70K","-0.55%"
"07/13/2021","16,428.0","16,566.2","16,566.0","15,829.9","3.20K","-0.83%"
"07/14/2021","16,014.0","16,382.2","16,382.0","15,691.9","18.10K","-2.52%"
"07/15/2021","16,474.0","16,014.0","16,474.0","15,922.0","12.10K","2.87%"
"07/16/2021","16,106.0","16,428.2","16,428.0","16,106.0","9.80K","-2.23%"
"07/19/2021","15,554.0","15,645.9","16,336.0","15,553.8","16.60K","-3.43%"
"07/20/2021","16,060.0","15,461.8","16,060.0","15,185.7","8.70K","3.25%"
"07/21/2021","16,014.0","15,922.0","16,014.0","15,461.8","4.00K","-0.29%"
"07/22/2021","15,922.0","15,829.9","15,922.0","15,369.8","2.30K","-0.57%"
"07/23/2021","15,922.0","15,829.9","16,014.0","15,829.9","0.70K","0.00%"
"07/26/2021","16,106.0","16,014.0","16,106.0","15,922.0","4.10K","1.16%"
"07/27/2021","16,290.0","16,106.0","16,290.0","15,645.9","4.60K","1.14%"
"07/28/2021","15,554.0","15,737.9","15,738.0","15,553.8","2.00K","-4.52%"
"07/29/2021","16,014.0","16,014.0","16,060.0","15,553.8","10.80K","2.96%"
"07/30/2021","16,060.0","16,014.0","16,060.0","16,014.0","1.80K","0.29%"
"08/02/2021","15,922.0","16,060.0","16,106.0","15,922.0","10.00K","-0.86%"
"08/03/2021","15,922.0","15,922.0","15,922.0","15,829.9","13.90K","0.00%"
"08/04/2021","15,922.0","15,922.0","16,106.0","15,922.0","19.90K","0.00%"
"08/05/2021","16,658.0","15,922.0","16,842.0","15,922.0","28.50K","4.62%"
"08/06/2021","16,658.0","16,750.3","16,842.0","16,658.3","30.90K","0.00%"
"08/09/2021","16,658.0","16,704.3","16,704.0","16,658.3","11.40K","0.00%"
"08/10/2021","16,658.0","16,750.3","16,750.0","16,382.2","5.50K","0.00%"
"08/11/2021","16,520.0","16,658.3","16,658.0","16,290.1","26.50K","-0.83%"
"08/12/2021","16,842.0","16,290.1","17,026.0","16,290.1","18.70K","1.95%"
"08/13/2021","16,474.0","16,842.3","16,842.0","16,474.2","12.10K","-2.19%"
"08/16/2021","17,210.0","16,520.2","17,302.0","16,520.2","26.80K","4.47%"
"08/17/2021","16,750.0","17,302.5","17,349.0","16,750.3","16.10K","-2.67%"
"08/18/2021","17,072.0","16,658.3","17,210.0","16,566.2","25.10K","1.92%"
"08/19/2021","16,934.0","16,704.3","17,072.0","16,704.3","9.40K","-0.81%"
"08/20/2021","16,566.0","16,980.4","16,980.0","16,566.2","32.70K","-2.17%"
"08/23/2021","16,566.0","16,842.3","16,842.0","16,198.1","9.30K","0.00%"
"08/24/2021","16,060.0","16,566.2","16,566.0","16,014.0","6.00K","-3.05%"
"08/25/2021","16,198.0","16,014.0","16,382.0","15,737.9","12.90K","0.86%"
"08/26/2021","16,060.0","16,152.1","16,336.0","15,922.0","4.00K","-0.85%"
"08/27/2021","16,106.0","16,106.0","16,198.0","15,829.9","7.10K","0.29%"
"08/30/2021","16,566.0","16,014.0","16,566.0","16,014.0","9.80K","2.86%"
"08/31/2021","16,566.0","16,336.1","16,750.0","16,336.1","9.50K","0.00%"
"09/01/2021","17,026.0","16,520.2","17,026.0","16,336.1","20.40K","2.78%"
"09/06/2021","17,210.0","17,486.6","17,487.0","17,026.4","35.20K","1.08%"
"09/07/2021","16,750.0","17,210.5","17,302.0","16,658.3","18.60K","-2.67%"
"09/08/2021","16,704.0","16,934.4","16,934.0","16,704.3","11.40K","-0.27%"
"09/09/2021","16,842.0","16,612.2","16,842.0","16,566.2","20.90K","0.83%"
"09/10/2021","17,026.0","16,842.3","17,302.0","16,842.3","35.10K","1.09%"
"09/13/2021","17,441.0","17,072.4","17,855.0","17,072.4","55.80K","2.44%"
"09/14/2021","17,487.0","17,670.6","17,671.0","17,348.5","31.90K","0.26%"
"09/15/2021","17,671.0","17,394.5","17,671.0","17,394.5","24.90K","1.05%"
"09/16/2021","18,315.0","17,762.7","18,315.0","17,578.6","72.10K","3.64%"
"09/17/2021","19,511.0","18,775.1","19,557.0","18,222.8","184.30K","6.53%"
