"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","11,273.0","11,455.0","11,455.0","11,273.0","1.32K","-0.80%"
"07/02/2021","11,409.0","11,364.0","11,636.0","11,273.0","14.96K","1.21%"
"07/05/2021","11,591.0","11,682.0","11,682.0","11,409.0","2.53K","1.60%"
"07/07/2021","11,364.0","11,182.0","11,591.0","11,182.0","9.68K","-1.96%"
"07/08/2021","11,500.0","11,455.0","11,500.0","11,273.0","11.44K","1.20%"
"07/09/2021","11,182.0","11,545.0","11,636.0","11,182.0","15.07K","-2.77%"
"07/12/2021","11,545.0","11,364.0","11,682.0","11,182.0","20.13K","3.25%"
"07/13/2021","11,636.0","11,455.0","11,636.0","11,455.0","2.31K","0.79%"
"07/14/2021","11,636.0","11,227.0","11,636.0","11,227.0","0.33K","0.00%"
"07/15/2021","11,636.0","11,364.0","11,636.0","11,364.0","0.22K","0.00%"
"07/16/2021","11,636.0","11,591.0","11,682.0","11,591.0","4.51K","0.00%"
"07/19/2021","12,091.0","11,682.0","12,409.0","11,682.0","30.58K","3.91%"
"07/20/2021","12,091.0","12,636.0","12,636.0","11,909.0","12.21K","0.00%"
"07/21/2021","11,909.0","12,000.0","12,000.0","11,909.0","1.32K","-1.51%"
"07/22/2021","11,727.0","11,636.0","12,000.0","11,364.0","7.92K","-1.53%"
"07/23/2021","11,545.0","11,727.0","11,727.0","11,500.0","0.77K","-1.55%"
"07/26/2021","11,545.0","11,455.0","11,818.0","11,455.0","0.44K","0.00%"
"07/27/2021","11,409.0","11,455.0","11,455.0","11,364.0","5.39K","-1.18%"
"07/28/2021","11,545.0","11,545.0","11,545.0","11,545.0","1.76K","1.19%"
"07/29/2021","11,545.0","11,545.0","11,636.0","11,545.0","1.65K","0.00%"
"07/30/2021","11,682.0","11,545.0","11,682.0","11,409.0","3.63K","1.19%"
"08/02/2021","11,545.0","11,364.0","11,545.0","11,318.0","17.60K","-1.17%"
"08/03/2021","11,455.0","11,318.0","11,545.0","11,091.0","11.66K","-0.78%"
"08/04/2021","11,273.0","11,455.0","11,455.0","11,273.0","16.06K","-1.59%"
"08/05/2021","11,364.0","11,273.0","11,364.0","11,273.0","4.62K","0.81%"
"08/06/2021","11,364.0","11,045.0","11,364.0","11,045.0","11.44K","0.00%"
"08/09/2021","11,364.0","11,318.0","11,409.0","11,091.0","18.59K","0.00%"
"08/10/2021","11,409.0","11,364.0","11,409.0","11,364.0","4.51K","0.40%"
"08/11/2021","11,409.0","11,409.0","11,455.0","11,409.0","5.50K","0.00%"
"08/12/2021","11,455.0","11,409.0","11,455.0","11,182.0","2.31K","0.40%"
"08/13/2021","11,455.0","11,273.0","11,455.0","11,273.0","1.65K","0.00%"
"08/16/2021","11,409.0","11,364.0","11,545.0","11,364.0","4.18K","-0.40%"
"08/17/2021","11,409.0","11,364.0","11,455.0","11,364.0","7.37K","0.00%"
"08/18/2021","11,500.0","11,455.0","11,545.0","11,455.0","6.27K","0.80%"
"08/19/2021","11,727.0","11,500.0","11,909.0","11,500.0","1.32K","1.97%"
"08/20/2021","11,727.0","11,727.0","11,727.0","11,727.0","2.53K","0.00%"
"08/23/2021","11,727.0","11,727.0","11,727.0","11,727.0","4.73K","0.00%"
"08/24/2021","11,364.0","11,364.0","11,364.0","11,364.0","2.42K","-3.10%"
"08/25/2021","11,455.0","11,364.0","11,455.0","11,364.0","2.53K","0.80%"
"08/26/2021","11,727.0","11,727.0","11,727.0","11,727.0","3.30K","2.37%"
"08/27/2021","11,500.0","11,455.0","11,682.0","11,455.0","1.32K","-1.94%"
"08/30/2021","12,273.0","11,500.0","12,273.0","11,500.0","27.39K","6.72%"
"08/31/2021","12,455.0","12,636.0","12,636.0","12,273.0","7.59K","1.48%"
"09/01/2021","12,000.0","12,273.0","12,273.0","11,818.0","7.04K","-3.65%"
"09/06/2021","12,500.0","12,000.0","12,500.0","12,000.0","14.60K","4.17%"
"09/07/2021","12,300.0","12,300.0","12,500.0","12,200.0","3.70K","-1.60%"
"09/08/2021","12,200.0","12,100.0","12,300.0","12,100.0","11.20K","-0.81%"
"09/09/2021","12,100.0","12,000.0","12,300.0","11,500.0","47.30K","-0.82%"
"09/10/2021","11,900.0","12,000.0","12,000.0","11,700.0","12.30K","-1.65%"
"09/13/2021","12,000.0","11,900.0","12,100.0","11,500.0","6.90K","0.84%"
"09/14/2021","12,000.0","11,750.0","12,300.0","11,750.0","17.50K","0.00%"
"09/15/2021","12,100.0","12,200.0","12,200.0","11,900.0","0.40K","0.83%"
"09/16/2021","12,250.0","12,400.0","12,400.0","12,150.0","9.70K","1.24%"
"09/17/2021","12,250.0","12,000.0","12,500.0","12,000.0","1.90K","0.00%"
"09/20/2021","12,400.0","12,100.0","12,500.0","12,100.0","5.20K","1.22%"
"09/21/2021","12,500.0","12,400.0","12,500.0","12,300.0","2.40K","0.81%"
"09/22/2021","13,000.0","12,500.0","13,000.0","12,000.0","12.10K","4.00%"
"09/23/2021","13,000.0","13,000.0","13,300.0","12,900.0","6.30K","0.00%"
"09/24/2021","13,450.0","13,000.0","13,600.0","13,000.0","31.00K","3.46%"
"09/27/2021","13,200.0","13,450.0","13,450.0","13,150.0","5.50K","-1.86%"
"09/28/2021","13,200.0","13,200.0","13,200.0","13,150.0","6.50K","0.00%"
"09/29/2021","13,500.0","13,500.0","13,500.0","13,400.0","12.70K","2.27%"
"09/30/2021","13,000.0","13,300.0","13,300.0","12,800.0","10.00K","-3.70%"
"10/01/2021","13,000.0","13,000.0","13,000.0","12,800.0","13.90K","0.00%"
"10/04/2021","13,300.0","12,800.0","13,300.0","12,700.0","2.60K","2.31%"
"10/05/2021","13,100.0","13,100.0","13,100.0","13,100.0","7.50K","-1.50%"
"10/06/2021","13,100.0","12,850.0","13,100.0","12,850.0","20.90K","0.00%"
"10/07/2021","13,300.0","13,300.0","13,300.0","13,300.0","0.60K","1.53%"
"10/08/2021","13,300.0","13,100.0","13,300.0","13,100.0","2.90K","0.00%"
"10/11/2021","13,200.0","13,100.0","13,200.0","13,100.0","17.00K","-0.75%"
"10/12/2021","12,900.0","13,000.0","13,000.0","12,900.0","4.70K","-2.27%"
"10/13/2021","13,000.0","12,900.0","13,000.0","12,900.0","2.00K","0.78%"
"10/14/2021","13,000.0","13,000.0","13,000.0","13,000.0","1.70K","0.00%"
"10/18/2021","12,900.0","12,800.0","13,000.0","12,800.0","19.70K","-0.77%"
"10/19/2021","12,900.0","12,900.0","13,000.0","12,900.0","0.30K","0.00%"
"10/20/2021","12,900.0","13,000.0","13,000.0","12,900.0","0.50K","0.00%"
"10/21/2021","12,750.0","13,250.0","13,250.0","12,750.0","0.70K","-1.16%"
"10/22/2021","13,100.0","12,750.0","13,250.0","12,750.0","1.00K","2.75%"
"10/25/2021","12,850.0","13,200.0","13,200.0","12,850.0","14.00K","-1.91%"
"10/26/2021","12,850.0","12,850.0","12,850.0","12,850.0","7.80K","0.00%"
"10/27/2021","13,100.0","12,800.0","13,100.0","12,800.0","19.90K","1.95%"
"10/28/2021","13,000.0","13,000.0","13,100.0","13,000.0","7.90K","-0.76%"
"10/29/2021","12,950.0","13,000.0","13,000.0","12,900.0","3.20K","-0.38%"
"11/01/2021","13,600.0","13,200.0","13,600.0","13,100.0","46.30K","5.02%"
"11/02/2021","14,000.0","13,800.0","14,000.0","13,700.0","27.20K","2.94%"
"11/03/2021","14,500.0","14,000.0","14,500.0","14,000.0","13.40K","3.57%"
