"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","41,840.0","41,840.0","41,840.0","41,840.0","0.10K","7.13%"
"07/02/2021","41,098.0","38,222.0","41,098.0","38,222.0","0.21K","-1.77%"
"07/05/2021","37,572.0","37,387.0","37,572.0","37,294.0","0.60K","-8.58%"
"07/06/2021","39,799.0","39,799.0","39,799.0","39,799.0","0.10K","5.93%"
"07/20/2021","37,480.0","35,902.0","37,480.0","35,902.0","0.63K","-5.83%"
"07/21/2021","37,480.0","34,047.0","37,480.0","34,047.0","0.72K","0.00%"
"07/22/2021","37,201.0","37,294.0","37,294.0","37,201.0","0.20K","-0.74%"
"07/23/2021","36,923.0","36,923.0","36,923.0","36,923.0","0.10K","-0.75%"
"07/27/2021","38,964.0","36,830.0","38,964.0","36,830.0","0.70K","5.53%"
"07/29/2021","38,778.0","38,778.0","38,778.0","38,778.0","0.20K","-0.48%"
"07/30/2021","38,686.0","38,686.0","38,686.0","38,036.0","0.53K","-0.24%"
"08/02/2021","41,561.0","41,561.0","41,561.0","41,561.0","0.10K","7.43%"
"08/03/2021","38,036.0","38,036.0","38,036.0","38,036.0","0.20K","-8.48%"
"08/09/2021","38,036.0","37,943.0","38,036.0","37,943.0","0.20K","0.00%"
"08/10/2021","38,036.0","38,036.0","38,036.0","38,036.0","0.10K","0.00%"
"08/11/2021","41,190.0","41,190.0","41,190.0","41,190.0","0.10K","8.29%"
"08/12/2021","38,036.0","38,036.0","38,036.0","38,036.0","0.30K","-7.66%"
"08/13/2021","40,634.0","38,036.0","40,634.0","38,036.0","0.20K","6.83%"
"08/16/2021","39,892.0","39,892.0","39,892.0","39,892.0","0.10K","-1.83%"
"08/17/2021","43,324.0","43,324.0","43,324.0","43,324.0","0.10K","8.60%"
"08/18/2021","41,283.0","43,324.0","43,324.0","39,057.0","0.61K","-4.71%"
"08/19/2021","38,778.0","41,376.0","42,860.0","38,778.0","1.00K","-6.07%"
"08/23/2021","41,561.0","41,561.0","41,561.0","41,561.0","0.10K","7.18%"
"08/24/2021","43,046.0","43,046.0","43,046.0","43,046.0","0.10K","3.57%"
"08/25/2021","42,118.0","43,046.0","43,046.0","39,892.0","1.80K","-2.16%"
"08/26/2021","45,551.0","45,551.0","45,551.0","45,551.0","0.11K","8.15%"
"08/27/2021","44,437.0","41,005.0","44,437.0","41,005.0","2.70K","-2.45%"
"09/06/2021","43,324.0","47,313.0","47,313.0","41,330.0","1.60K","-2.50%"
"09/07/2021","40,309.0","40,448.0","40,448.0","40,309.0","1.70K","-6.96%"
"09/08/2021","42,675.0","42,953.0","42,953.0","42,675.0","0.40K","5.87%"
"09/09/2021","44,252.0","44,530.0","44,530.0","40,077.0","1.30K","3.70%"
"09/10/2021","41,190.0","44,159.0","44,159.0","41,190.0","1.00K","-6.92%"
"09/14/2021","41,051.0","38,407.0","41,098.0","38,407.0","0.30K","-0.34%"
"09/15/2021","38,407.0","38,361.0","38,407.0","38,361.0","0.20K","-6.44%"
"09/16/2021","40,680.0","38,454.0","40,680.0","38,454.0","0.20K","5.92%"
"09/17/2021","39,103.0","39,103.0","39,103.0","39,103.0","0.10K","-3.88%"
"09/20/2021","40,773.0","39,057.0","40,773.0","38,964.0","2.00K","4.27%"
"09/22/2021","40,773.0","40,773.0","40,773.0","40,773.0","0.10K","0.00%"
"09/24/2021","38,964.0","38,964.0","38,964.0","38,964.0","0.60K","-4.44%"
"09/27/2021","40,587.0","40,587.0","40,587.0","40,587.0","0.10K","4.17%"
"09/30/2021","38,500.0","38,500.0","38,500.0","38,500.0","0.10K","-5.14%"
"10/01/2021","41,144.0","41,190.0","41,190.0","35,810.0","15.70K","6.87%"
"10/04/2021","41,190.0","41,190.0","41,190.0","41,190.0","0.30K","0.11%"
"10/06/2021","40,680.0","40,634.0","40,680.0","40,634.0","0.30K","-1.24%"
"10/08/2021","41,098.0","39,892.0","41,098.0","39,892.0","0.20K","1.03%"
"10/13/2021","38,871.0","38,964.0","38,964.0","38,871.0","1.20K","-5.42%"
"10/14/2021","38,407.0","38,500.0","38,825.0","38,407.0","2.50K","-1.19%"
"10/15/2021","38,407.0","38,407.0","38,407.0","38,407.0","3.10K","0.00%"
"10/18/2021","38,407.0","38,407.0","38,407.0","38,407.0","0.30K","0.00%"
"10/25/2021","38,407.0","38,407.0","38,407.0","38,407.0","0.40K","0.00%"
"10/27/2021","39,613.0","38,407.0","39,613.0","38,407.0","0.20K","3.14%"
"10/28/2021","39,520.0","39,520.0","39,520.0","39,520.0","0.20K","-0.23%"
"10/29/2021","38,500.0","38,500.0","38,500.0","38,500.0","1.70K","-2.58%"
"11/01/2021","38,500.0","38,500.0","38,500.0","38,500.0","1.40K","0.00%"
"11/02/2021","38,964.0","38,036.0","38,964.0","38,036.0","0.60K","1.21%"
"11/04/2021","39,149.0","39,149.0","39,149.0","39,149.0","0.10K","0.47%"
"11/05/2021","39,289.0","39,567.0","39,706.0","39,289.0","0.80K","0.36%"
"11/08/2021","38,964.0","40,819.0","40,819.0","38,964.0","1.40K","-0.83%"
"11/12/2021","38,129.0","38,083.0","38,964.0","38,083.0","0.40K","-2.14%"
"11/15/2021","38,500.0","38,500.0","38,500.0","38,500.0","1.00K","0.97%"
"11/16/2021","38,964.0","38,964.0","38,964.0","38,964.0","0.20K","1.21%"
"11/17/2021","38,917.0","38,917.0","38,917.0","38,917.0","0.10K","-0.12%"
"11/18/2021","38,871.0","37,665.0","38,871.0","37,665.0","0.20K","-0.12%"
"11/19/2021","40,773.0","37,851.0","40,773.0","37,851.0","1.50K","4.89%"
"11/22/2021","39,845.0","39,845.0","39,845.0","39,845.0","0.10K","-2.28%"
"11/23/2021","40,170.0","38,036.0","40,170.0","38,036.0","1.30K","0.82%"
"11/29/2021","37,711.0","38,825.0","38,825.0","37,711.0","2.30K","-6.12%"
"11/30/2021","39,706.0","38,825.0","39,706.0","38,825.0","0.30K","5.29%"
"12/01/2021","37,155.0","37,155.0","37,155.0","37,155.0","0.20K","-6.42%"
"12/02/2021","38,871.0","38,871.0","38,871.0","38,871.0","0.10K","4.62%"
"12/03/2021","36,737.0","37,201.0","37,201.0","36,645.0","2.00K","-5.49%"
"12/06/2021","38,500.0","38,500.0","38,500.0","38,500.0","0.10K","4.80%"
"12/07/2021","38,871.0","36,830.0","39,335.0","36,181.0","4.20K","0.96%"
"12/08/2021","36,181.0","36,181.0","40,355.0","36,181.0","2.90K","-6.92%"
"12/09/2021","37,480.0","36,181.0","37,480.0","36,181.0","0.90K","3.59%"
"12/10/2021","37,387.0","37,619.0","37,619.0","36,181.0","2.90K","-0.25%"
"12/14/2021","36,737.0","37,016.0","37,016.0","34,836.0","1.50K","-1.74%"
"12/15/2021","35,578.0","35,578.0","35,578.0","35,578.0","0.10K","-3.15%"
"12/16/2021","35,253.0","34,001.0","35,253.0","34,001.0","0.20K","-0.91%"
"12/17/2021","36,088.0","36,737.0","36,923.0","36,088.0","1.30K","2.37%"
"12/20/2021","36,088.0","36,088.0","36,088.0","36,088.0","0.10K","0.00%"
"12/21/2021","35,717.0","34,418.0","35,717.0","34,418.0","0.20K","-1.03%"
"12/22/2021","37,108.0","35,717.0","37,108.0","35,717.0","3.10K","3.89%"
"12/24/2021","36,969.0","34,696.0","36,969.0","34,696.0","0.20K","-0.37%"
"12/27/2021","36,923.0","36,923.0","36,923.0","36,923.0","0.10K","-0.12%"
"12/29/2021","34,696.0","36,923.0","36,923.0","34,696.0","0.30K","-6.03%"
"12/30/2021","36,737.0","34,696.0","36,737.0","34,696.0","0.20K","5.88%"
"12/31/2021","36,784.0","36,784.0","36,784.0","36,784.0","0.20K","0.13%"
