"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","35,000.2","34,087.2","35,426.3","33,721.9","21.32M","4.55%"
"07/02/2021","35,243.7","35,243.7","35,913.3","34,695.9","19.68M","0.70%"
"07/05/2021","34,391.5","34,878.5","35,061.1","33,356.7","29.18M","-2.42%"
"07/06/2021","32,017.6","34,391.5","35,182.8","32,017.6","25.77M","-6.90%"
"07/07/2021","33,174.1","32,261.1","33,174.1","30,739.3","28.66M","3.61%"
"07/08/2021","33,113.2","33,356.7","33,782.8","32,565.4","16.01M","-0.18%"
"07/09/2021","32,017.6","32,687.1","33,478.5","31,713.2","21.19M","-3.31%"
"07/12/2021","30,130.6","31,348.0","31,956.7","29,795.8","37.14M","-5.89%"
"07/13/2021","31,530.6","30,678.4","31,530.6","29,978.4","19.36M","4.65%"
"07/14/2021","31,043.7","31,530.6","31,713.2","29,856.7","18.68M","-1.54%"
"07/15/2021","32,687.1","30,435.0","32,687.1","30,435.0","21.14M","5.29%"
"07/16/2021","32,139.3","32,687.1","32,808.9","32,078.5","16.78M","-1.68%"
"07/19/2021","30,008.9","31,043.7","31,530.6","30,008.9","25.74M","-6.63%"
"07/20/2021","32,078.5","30,495.8","32,078.5","29,704.5","23.77M","6.90%"
"07/21/2021","31,348.0","32,017.6","32,261.1","31,287.1","14.77M","-2.28%"
"07/22/2021","31,774.1","31,165.4","32,261.1","31,104.5","15.54M","1.36%"
"07/23/2021","30,800.2","31,530.6","31,895.8","30,800.2","19.08M","-3.07%"
"07/26/2021","30,921.9","30,800.2","31,408.9","30,435.0","15.08M","0.40%"
"07/27/2021","31,652.4","31,530.6","32,504.5","31,408.9","22.95M","2.36%"
"07/28/2021","31,895.8","31,591.5","32,261.1","31,530.6","10.92M","0.77%"
"07/29/2021","32,869.8","32,261.1","32,869.8","32,078.5","20.14M","3.05%"
"07/30/2021","33,235.0","32,869.8","33,478.5","32,626.3","23.56M","1.11%"
"08/02/2021","33,478.5","32,930.6","33,843.7","32,869.8","23.93M","0.73%"
"08/03/2021","34,391.5","33,356.7","34,391.5","33,174.1","28.18M","2.73%"
"08/04/2021","34,574.1","34,878.5","34,878.5","34,208.9","18.55M","0.53%"
"08/05/2021","35,000.2","34,269.8","35,182.8","34,148.0","18.97M","1.23%"
"08/06/2021","34,330.6","34,817.6","35,121.9","34,330.6","25.52M","-1.91%"
"08/09/2021","36,095.9","34,148.0","36,643.7","34,148.0","35.44M","5.14%"
"08/10/2021","36,156.7","36,643.7","36,704.6","35,913.3","19.52M","0.17%"
"08/11/2021","35,121.9","36,339.3","36,400.2","35,121.9","27.47M","-2.86%"
"08/12/2021","35,121.9","34,939.3","35,852.4","34,939.3","21.19M","0.00%"
"08/13/2021","35,913.3","35,304.6","36,339.3","35,121.9","33.36M","2.25%"
"08/16/2021","37,800.2","37,313.3","38,043.7","37,069.8","26.29M","5.25%"
"08/17/2021","37,313.3","37,617.6","37,861.1","37,008.9","20.14M","-1.29%"
"08/18/2021","36,643.7","37,069.8","38,043.7","36,643.7","27.35M","-1.79%"
"08/19/2021","38,165.4","37,069.8","38,287.2","37,008.9","24.40M","4.15%"
"08/20/2021","38,043.7","38,165.4","38,652.4","36,948.0","41.33M","-0.32%"
"08/23/2021","38,591.5","38,043.7","38,591.5","37,617.6","22.37M","1.44%"
"08/24/2021","37,252.4","38,348.1","38,713.3","36,339.3","36.18M","-3.47%"
"08/25/2021","37,739.4","37,252.4","37,739.4","36,765.4","17.20M","1.31%"
"08/26/2021","37,191.5","37,739.4","37,922.0","36,339.3","19.00M","-1.45%"
"08/27/2021","37,252.4","36,643.7","37,374.1","36,400.2","16.47M","0.16%"
"08/30/2021","37,982.8","37,495.9","38,043.7","36,948.0","19.12M","1.96%"
"08/31/2021","37,617.6","38,287.2","38,469.8","37,130.7","14.99M","-0.96%"
"09/01/2021","37,252.4","37,313.3","37,739.4","37,069.8","14.60M","-0.97%"
"09/06/2021","36,522.0","37,374.1","37,556.7","36,522.0","26.51M","-1.96%"
"09/07/2021","36,765.4","36,826.3","37,374.1","36,400.2","38.13M","0.67%"
"09/08/2021","39,317.5","39,317.5","39,317.5","39,139.8","15.49M","6.94%"
"09/09/2021","39,050.9","39,450.8","40,250.4","38,873.2","21.43M","-0.68%"
"09/10/2021","38,917.6","39,095.3","39,361.9","38,739.9","11.08M","-0.34%"
"09/13/2021","38,739.9","38,917.6","38,917.6","37,940.3","12.81M","-0.46%"
"09/14/2021","37,762.6","38,295.7","38,473.4","37,762.6","8.89M","-2.52%"
"09/15/2021","38,118.0","37,318.3","38,340.1","37,229.4","8.24M","0.94%"
"09/16/2021","37,762.6","38,251.2","38,384.5","37,629.3","5.16M","-0.93%"
"09/17/2021","38,206.8","37,807.0","39,050.9","37,584.8","14.95M","1.18%"
"09/20/2021","38,029.1","38,828.8","38,873.2","37,984.7","8.07M","-0.47%"
"09/21/2021","37,407.1","37,762.6","37,940.3","37,140.6","9.65M","-1.64%"
"09/22/2021","37,140.6","37,629.3","37,673.7","37,007.3","7.00M","-0.71%"
"09/23/2021","37,229.4","37,318.3","37,940.3","37,140.6","6.14M","0.24%"
"09/24/2021","37,140.6","37,318.3","37,584.8","37,096.2","5.48M","-0.24%"
"09/27/2021","35,541.2","37,140.6","37,273.9","35,541.2","11.61M","-4.31%"
"09/28/2021","36,074.3","35,541.2","36,340.9","35,363.5","7.32M","1.50%"
"09/29/2021","35,630.1","35,985.5","36,029.9","35,363.5","5.87M","-1.23%"
"09/30/2021","36,118.8","35,807.8","36,163.2","35,630.1","4.64M","1.37%"
"10/01/2021","34,830.4","35,718.9","35,896.6","34,830.4","11.42M","-3.57%"
"10/04/2021","34,297.3","34,652.7","34,741.5","33,630.9","10.86M","-1.53%"
"10/05/2021","35,896.6","35,052.5","36,163.2","34,830.4","10.30M","4.66%"
"10/06/2021","35,496.8","36,163.2","36,207.6","35,452.4","7.73M","-1.11%"
"10/07/2021","36,163.2","35,541.2","36,385.3","35,319.1","9.05M","1.88%"
"10/08/2021","36,296.5","36,163.2","36,607.5","35,985.5","7.24M","0.37%"
"10/11/2021","37,229.4","36,429.8","37,229.4","36,429.8","8.76M","2.57%"
"10/12/2021","36,785.2","37,229.4","37,451.6","36,785.2","8.03M","-1.19%"
"10/13/2021","36,429.8","36,785.2","37,096.2","36,429.8","7.68M","-0.97%"
"10/14/2021","36,429.8","36,429.8","36,962.9","36,118.8","11.24M","0.00%"
"10/15/2021","36,207.6","36,607.5","36,785.2","36,163.2","6.79M","-0.61%"
"10/18/2021","36,296.5","36,207.6","36,962.9","35,763.4","12.05M","0.25%"
"10/19/2021","36,340.9","36,429.8","37,051.7","36,252.1","9.43M","0.12%"
"10/20/2021","35,807.8","36,340.9","36,385.3","35,452.4","14.34M","-1.47%"
"10/21/2021","35,274.7","35,896.6","35,941.1","35,274.7","10.87M","-1.49%"
"10/22/2021","34,830.4","35,274.7","35,496.8","34,697.1","11.92M","-1.26%"
"10/25/2021","34,030.7","34,652.7","34,741.5","33,853.0","16.44M","-2.30%"
"10/26/2021","34,475.0","34,030.7","34,519.4","33,764.2","9.37M","1.31%"
"10/27/2021","35,896.6","34,652.7","35,985.5","34,563.8","13.19M","4.12%"
"10/28/2021","36,252.1","35,985.5","36,785.2","35,763.4","13.80M","0.99%"
"10/29/2021","35,985.5","36,296.5","36,429.8","35,718.9","12.46M","-0.74%"
"11/01/2021","36,785.2","36,074.3","37,140.6","35,985.5","25.27M","2.22%"
"11/02/2021","37,629.3","36,874.0","37,762.6","36,785.2","19.79M","2.29%"
"11/03/2021","37,051.7","37,984.7","38,073.5","36,785.2","19.76M","-1.53%"
"11/04/2021","38,206.8","37,140.6","39,006.5","37,051.7","26.49M","3.12%"
"11/05/2021","38,118.0","38,473.4","38,562.2","38,029.1","15.11M","-0.23%"
"11/08/2021","39,539.6","38,473.4","39,939.5","38,295.7","33.66M","3.73%"
"11/09/2021","39,361.9","39,539.6","39,806.2","38,917.6","17.18M","-0.45%"
"11/10/2021","39,717.3","39,539.6","40,605.9","39,361.9","21.00M","0.90%"
"11/11/2021","39,228.6","39,761.7","40,428.1","38,429.0","26.21M","-1.23%"
"11/12/2021","39,628.5","39,450.8","40,161.6","39,139.8","13.10M","1.02%"
"11/15/2021","40,694.7","40,428.1","41,583.2","40,072.7","30.28M","2.69%"
"11/16/2021","39,761.7","40,161.6","40,739.1","39,539.6","17.40M","-2.29%"
