"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","31,000.0","30,600.0","31,250.0","30,450.0","29.59M","1.31%"
"07/02/2021","31,500.0","31,100.0","31,950.0","31,100.0","41.48M","1.61%"
"07/05/2021","32,600.0","31,600.0","32,600.0","30,900.0","53.69M","3.49%"
"07/06/2021","30,350.0","32,800.0","33,100.0","30,350.0","38.58M","-6.90%"
"07/07/2021","31,050.0","30,650.0","31,150.0","30,000.0","41.48M","2.31%"
"07/08/2021","30,200.0","31,000.0","31,300.0","30,100.0","32.24M","-2.74%"
"07/09/2021","29,100.0","30,000.0","30,500.0","29,000.0","38.41M","-3.64%"
"07/12/2021","28,400.0","29,150.0","29,200.0","27,100.0","62.62M","-2.41%"
"07/13/2021","28,700.0","28,800.0","29,000.0","28,050.0","18.44M","1.06%"
"07/14/2021","27,400.0","28,700.0","28,700.0","27,000.0","25.27M","-4.53%"
"07/15/2021","28,800.0","27,100.0","28,800.0","27,100.0","25.37M","5.11%"
"07/16/2021","28,450.0","28,900.0","29,100.0","28,400.0","19.47M","-1.22%"
"07/19/2021","27,500.0","27,500.0","27,950.0","26,700.0","38.56M","-3.34%"
"07/20/2021","28,100.0","27,800.0","28,100.0","27,200.0","23.88M","2.18%"
"07/21/2021","27,850.0","28,300.0","28,400.0","27,800.0","14.14M","-0.89%"
"07/22/2021","28,000.0","27,850.0","28,150.0","27,650.0","16.62M","0.54%"
"07/23/2021","28,700.0","28,300.0","29,950.0","27,900.0","63.58M","2.50%"
"07/26/2021","28,700.0","28,900.0","29,300.0","28,350.0","15.10M","0.00%"
"07/27/2021","29,100.0","29,000.0","29,750.0","28,700.0","29.76M","1.39%"
"07/28/2021","28,900.0","28,900.0","29,450.0","28,700.0","17.53M","-0.69%"
"07/29/2021","29,300.0","29,100.0","29,400.0","29,000.0","16.10M","1.38%"
"07/30/2021","29,900.0","29,400.0","30,350.0","29,250.0","32.25M","2.05%"
"08/02/2021","29,300.0","29,800.0","30,400.0","29,300.0","26.51M","-2.01%"
"08/03/2021","29,800.0","29,400.0","29,800.0","29,250.0","26.54M","1.71%"
"08/04/2021","30,650.0","29,800.0","30,800.0","29,650.0","48.35M","2.85%"
"08/05/2021","31,050.0","30,600.0","31,250.0","30,300.0","30.72M","1.31%"
"08/06/2021","30,300.0","31,000.0","31,150.0","30,300.0","30.92M","-2.42%"
"08/09/2021","30,700.0","30,300.0","30,800.0","30,100.0","20.91M","1.32%"
"08/10/2021","30,600.0","30,850.0","31,000.0","30,300.0","24.37M","-0.33%"
"08/11/2021","30,400.0","30,500.0","30,850.0","30,350.0","26.16M","-0.65%"
"08/12/2021","29,600.0","30,300.0","30,500.0","29,600.0","27.94M","-2.63%"
"08/13/2021","29,700.0","29,600.0","29,800.0","29,150.0","22.96M","0.34%"
"08/16/2021","30,300.0","29,850.0","30,400.0","29,400.0","24.10M","2.02%"
"08/17/2021","30,150.0","30,300.0","30,600.0","30,000.0","20.33M","-0.50%"
"08/18/2021","29,950.0","30,000.0","30,150.0","29,550.0","22.20M","-0.66%"
"08/19/2021","29,950.0","29,800.0","30,050.0","29,600.0","16.70M","0.00%"
"08/20/2021","28,300.0","29,800.0","29,900.0","28,000.0","42.11M","-5.51%"
"08/23/2021","27,000.0","28,200.0","28,500.0","27,000.0","29.89M","-4.59%"
"08/24/2021","27,250.0","26,900.0","27,850.0","26,650.0","25.86M","0.93%"
