"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","18,000.0","17,650.0","18,000.0","17,650.0","10.30K","1.12%"
"07/02/2021","18,000.0","18,000.0","18,050.0","17,900.0","14.00K","0.00%"
"07/05/2021","17,800.0","17,350.0","17,950.0","17,350.0","6.20K","-1.11%"
"07/06/2021","17,200.0","17,500.0","17,500.0","17,200.0","21.80K","-3.37%"
"07/07/2021","16,950.0","17,200.0","17,200.0","16,000.0","68.40K","-1.45%"
"07/08/2021","16,900.0","16,150.0","16,950.0","16,100.0","7.40K","-0.29%"
"07/09/2021","16,950.0","16,800.0","16,950.0","16,800.0","5.00K","0.30%"
"07/12/2021","16,000.0","16,300.0","16,500.0","15,800.0","38.90K","-5.60%"
"07/13/2021","16,100.0","16,150.0","16,150.0","15,300.0","1.00K","0.63%"
"07/14/2021","16,000.0","16,000.0","16,000.0","16,000.0","1.10K","-0.62%"
"07/15/2021","16,000.0","15,600.0","16,000.0","15,600.0","3.70K","0.00%"
"07/16/2021","16,000.0","15,300.0","16,000.0","15,000.0","21.40K","0.00%"
"07/19/2021","15,900.0","15,200.0","15,900.0","15,200.0","9.50K","-0.63%"
"07/20/2021","16,000.0","16,100.0","16,100.0","15,500.0","9.50K","0.63%"
"07/21/2021","16,000.0","15,900.0","16,000.0","15,900.0","9.20K","0.00%"
"07/22/2021","16,550.0","16,100.0","16,550.0","16,100.0","4.40K","3.44%"
"07/23/2021","16,700.0","16,500.0","16,800.0","16,100.0","4.90K","0.91%"
"07/26/2021","17,500.0","16,750.0","17,500.0","16,700.0","19.60K","4.79%"
"07/27/2021","17,400.0","17,500.0","17,500.0","17,000.0","3.40K","-0.57%"
"07/28/2021","17,400.0","17,200.0","17,400.0","17,200.0","0.30K","0.00%"
"07/29/2021","17,400.0","17,750.0","17,750.0","17,350.0","18.90K","0.00%"
"07/30/2021","17,700.0","17,400.0","17,800.0","17,100.0","21.60K","1.72%"
"08/02/2021","18,900.0","17,500.0","18,900.0","17,500.0","79.80K","6.78%"
"08/03/2021","20,200.0","20,200.0","20,200.0","19,800.0","133.40K","6.88%"
"08/04/2021","21,600.0","21,600.0","21,600.0","20,700.0","397.00K","6.93%"
