"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","62,868.0","63,748.0","63,748.0","62,868.0","1.80K","-6.81%"
"07/02/2021","67,268.0","63,063.0","67,268.0","63,063.0","10.10K","7.00%"
"07/05/2021","71,961.0","67,170.0","71,961.0","63,552.0","8.60K","6.98%"
"07/06/2021","74,210.0","75,676.0","75,676.0","67,072.0","1.50K","3.13%"
"07/13/2021","73,330.0","69,028.0","73,330.0","69,028.0","7.90K","-1.19%"
"07/14/2021","78,218.0","78,218.0","78,218.0","78,218.0","1.50K","6.67%"
"07/16/2021","77,241.0","72,743.0","77,241.0","72,743.0","6.70K","-1.25%"
"07/21/2021","78,231.0","71,893.0","78,231.0","71,893.0","4.20K","1.28%"
"07/22/2021","72,784.0","72,784.0","72,784.0","72,784.0","0.10K","-6.96%"
"07/23/2021","74,270.0","68,031.0","74,270.0","67,833.0","7.20K","2.04%"
"07/27/2021","74,270.0","69,120.0","74,270.0","69,120.0","0.20K","0.00%"
"07/28/2021","71,200.0","71,200.0","71,200.0","71,200.0","0.20K","-4.13%"
"07/29/2021","71,200.0","66,546.0","71,200.0","66,546.0","1.10K","0.00%"
"08/02/2021","70,111.0","66,348.0","70,111.0","66,348.0","4.00K","-1.53%"
"08/03/2021","66,249.0","65,952.0","71,299.0","65,852.0","2.10K","-5.51%"
"08/04/2021","70,309.0","62,882.0","70,309.0","62,882.0","0.80K","6.13%"
"08/05/2021","74,171.0","74,171.0","74,171.0","74,171.0","1.00K","5.49%"
"08/06/2021","71,002.0","73,378.0","73,378.0","69,021.0","3.20K","-4.27%"
"08/10/2021","70,903.0","66,051.0","70,903.0","66,051.0","1.70K","-0.14%"
"08/11/2021","70,309.0","70,309.0","70,309.0","70,309.0","0.30K","-0.84%"
"08/19/2021","67,338.0","65,555.0","67,338.0","65,555.0","0.20K","-4.23%"
"08/23/2021","70,210.0","70,210.0","70,210.0","70,210.0","0.20K","4.27%"
"08/26/2021","69,814.0","65,555.0","69,814.0","65,456.0","0.70K","-0.56%"
"09/01/2021","69,318.0","65,555.0","69,318.0","64,961.0","7.30K","-0.71%"
"09/07/2021","65,258.0","65,258.0","65,258.0","65,258.0","0.10K","-5.86%"
"09/08/2021","68,130.0","66,051.0","68,130.0","66,051.0","1.20K","4.40%"
"09/09/2021","69,219.0","69,219.0","69,219.0","69,219.0","0.10K","1.60%"
"09/10/2021","72,000.0","70,000.0","72,000.0","70,000.0","","4.02%"
"09/14/2021","69,318.0","69,318.0","69,318.0","69,318.0","0.50K","-3.73%"
"09/15/2021","69,318.0","67,437.0","69,318.0","67,437.0","0.30K","0.00%"
"09/17/2021","69,318.0","69,318.0","69,318.0","69,318.0","0.30K","0.00%"
"09/21/2021","74,171.0","74,171.0","74,171.0","74,171.0","2.30K","7.00%"
"09/24/2021","74,369.0","74,270.0","74,369.0","74,270.0","22.70K","0.27%"
"09/27/2021","79,122.0","74,270.0","79,122.0","74,270.0","0.20K","6.39%"
"09/30/2021","80,211.0","79,122.0","80,211.0","79,122.0","1.40K","1.38%"
"10/01/2021","75,400.0","75,400.0","75,400.0","75,400.0","","-6.00%"
"10/04/2021","79,900.0","79,900.0","79,900.0","79,900.0","","5.97%"
"10/06/2021","80,211.0","80,211.0","80,211.0","80,211.0","0.10K","0.39%"
"10/07/2021","80,607.0","80,211.0","80,706.0","80,211.0","4.20K","0.49%"
"10/08/2021","81,202.0","80,706.0","81,202.0","80,706.0","0.20K","0.74%"
"10/11/2021","81,202.0","81,202.0","81,202.0","81,202.0","0.10K","0.00%"
"10/12/2021","75,557.0","75,557.0","75,557.0","75,557.0","0.10K","-6.95%"
"10/13/2021","80,211.0","80,211.0","80,706.0","80,211.0","1.60K","6.16%"
"10/18/2021","82,192.0","82,192.0","82,192.0","82,192.0","0.60K","2.47%"
"10/19/2021","87,935.0","84,172.0","87,935.0","84,172.0","4.20K","6.99%"
"10/21/2021","93,085.0","87,143.0","93,085.0","87,143.0","6.10K","5.86%"
"10/22/2021","97,046.0","97,046.0","97,046.0","97,046.0","0.20K","4.26%"
"10/25/2021","103,780.0","103,780.0","103,780.0","103,780.0","0.20K","6.94%"
"10/26/2021","99,026.0","103,780.0","103,780.0","99,026.0","2.20K","-4.58%"
"10/27/2021","105,958.0","96,056.0","105,958.0","96,056.0","18.40K","7.00%"
"10/28/2021","101,997.0","113,286.0","113,286.0","101,997.0","9.70K","-3.74%"
"10/29/2021","97,046.0","97,046.0","97,145.0","96,056.0","8.50K","-4.85%"
"11/02/2021","93,580.0","93,283.0","93,580.0","93,283.0","13.70K","-3.57%"
"11/03/2021","94,075.0","89,223.0","100,116.0","89,124.0","12.90K","0.53%"
"11/04/2021","90,114.0","89,124.0","99,026.0","89,124.0","8.20K","-4.21%"
"11/05/2021","91,104.0","91,104.0","91,104.0","91,104.0","6.80K","1.10%"
"11/08/2021","87,638.0","87,638.0","87,638.0","87,638.0","2.60K","-3.80%"
"11/09/2021","86,153.0","86,153.0","86,153.0","86,153.0","4.50K","-1.69%"
"11/10/2021","92,094.0","92,094.0","92,094.0","92,094.0","0.10K","6.90%"
"11/12/2021","92,094.0","88,232.0","98,531.0","88,133.0","0.50K","0.00%"
"11/15/2021","94,075.0","92,094.0","94,075.0","92,094.0","0.70K","2.15%"
"11/16/2021","90,312.0","90,312.0","90,312.0","90,312.0","0.50K","-4.00%"
"11/17/2021","92,094.0","89,124.0","92,094.0","89,124.0","0.40K","1.97%"
"11/18/2021","92,094.0","92,094.0","92,094.0","92,094.0","0.40K","0.00%"
"11/19/2021","92,094.0","92,094.0","92,094.0","92,094.0","3.60K","0.00%"
"11/25/2021","86,153.0","92,094.0","92,094.0","86,153.0","10.70K","-6.45%"
"11/26/2021","91,995.0","91,995.0","91,995.0","91,995.0","1.10K","6.78%"
"11/29/2021","89,322.0","93,085.0","98,432.0","89,322.0","2.30K","-2.91%"
"11/30/2021","95,560.0","95,560.0","95,560.0","95,560.0","0.10K","6.98%"
"12/02/2021","102,195.0","101,997.0","102,195.0","101,799.0","7.00K","6.94%"
"12/03/2021","109,325.0","108,929.0","109,325.0","107,939.0","5.10K","6.98%"
"12/06/2021","116,653.0","116,851.0","116,950.0","108,929.0","3.80K","6.70%"
"12/07/2021","124,773.0","118,832.0","124,773.0","118,832.0","17.60K","6.96%"
"12/08/2021","133,487.0","133,487.0","133,487.0","133,487.0","3.70K","6.98%"
"12/09/2021","138,637.0","138,637.0","138,637.0","138,637.0","42.70K","3.86%"
"12/10/2021","128,932.0","128,932.0","138,637.0","128,932.0","20.30K","-7.00%"
"12/13/2021","137,944.0","137,151.0","137,944.0","137,151.0","36.20K","6.99%"
"12/14/2021","147,351.0","147,351.0","147,351.0","147,351.0","0.10K","6.82%"
"12/15/2021","141,608.0","141,608.0","141,608.0","141,608.0","0.10K","-3.90%"
"12/16/2021","141,509.0","141,509.0","141,509.0","141,509.0","0.10K","-0.07%"
"12/17/2021","131,606.0","138,637.0","141,509.0","131,606.0","2.30K","-7.00%"
"12/22/2021","139,627.0","129,923.0","139,627.0","129,724.0","52.40K","6.09%"
"12/23/2021","129,923.0","137,647.0","137,647.0","129,923.0","92.90K","-6.95%"
"12/28/2021","120,911.0","120,911.0","120,911.0","120,911.0","0.10K","-6.94%"
"12/29/2021","112,494.0","112,494.0","112,494.0","112,494.0","0.90K","-6.96%"
