"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","7,892.00","8,362.10","8,470.60","7,892.00","508.29K","-6.93%"
"07/02/2021","7,892.00","7,910.10","8,136.10","7,593.70","78.76K","0.00%"
"07/05/2021","7,955.28","7,892.00","7,955.30","7,593.70","236.95K","0.80%"
"07/06/2021","7,946.24","7,955.30","7,955.30","7,593.70","155.75K","-0.11%"
"07/07/2021","7,928.16","7,937.20","7,937.20","7,575.60","130.75K","-0.23%"
"07/08/2021","7,864.88","8,045.70","8,045.70","7,620.80","29.20K","-0.80%"
"07/09/2021","7,322.47","7,647.90","7,846.80","7,322.50","249.67K","-6.90%"
"07/12/2021","7,186.87","7,322.50","7,828.70","6,870.50","320.57K","-1.85%"
"07/13/2021","7,412.87","7,232.10","7,494.20","6,879.50","34.18K","3.14%"
"07/14/2021","7,412.87","7,557.50","7,566.60","7,141.70","49.56K","0.00%"
"07/15/2021","7,403.83","7,431.00","7,431.00","7,232.10","35.62K","-0.12%"
"07/16/2021","7,403.83","7,150.70","7,449.00","7,150.70","23.12K","0.00%"
"07/19/2021","7,385.75","7,232.10","7,385.80","7,006.10","97.46K","-0.24%"
"07/20/2021","6,888.55","7,232.10","7,232.10","6,879.50","156.64K","-6.73%"
"07/21/2021","6,888.55","6,897.60","7,223.00","6,843.30","62.50K","0.00%"
"07/22/2021","6,897.59","6,888.50","7,132.60","6,888.50","47.46K","0.13%"
"07/23/2021","6,906.63","7,042.20","7,042.20","6,906.60","36.73K","0.13%"
"07/26/2021","7,132.63","6,897.60","7,132.60","6,879.50","45.24K","3.27%"
"07/27/2021","7,132.63","6,978.90","7,141.70","6,978.90","50.66K","0.00%"
"07/28/2021","7,123.59","7,168.80","7,168.80","7,051.30","17.48K","-0.13%"
"07/29/2021","7,123.59","7,123.60","7,123.60","6,988.00","42.59K","0.00%"
"07/30/2021","7,105.51","7,006.10","7,123.60","6,960.90","60.73K","-0.25%"
"08/02/2021","7,096.47","6,960.90","7,205.00","6,960.90","22.90K","-0.13%"
"08/03/2021","7,087.43","6,960.90","7,087.40","6,960.90","62.61K","-0.13%"
"08/04/2021","7,069.35","7,051.30","7,087.40","7,024.10","37.06K","-0.26%"
"08/05/2021","7,213.99","7,087.40","7,214.00","7,051.30","40.49K","2.05%"
"08/06/2021","7,241.11","7,268.20","7,277.30","7,141.70","30.64K","0.38%"
"08/09/2021","7,403.83","7,376.70","7,412.90","7,376.70","71.68K","2.25%"
"08/10/2021","7,385.75","7,593.70","7,666.00","7,385.80","41.04K","-0.24%"
"08/11/2021","7,322.47","7,412.90","7,412.90","7,232.10","52.10K","-0.86%"
"08/12/2021","7,322.47","7,322.50","7,376.70","7,268.20","49.12K","0.00%"
"08/13/2021","7,412.87","7,367.70","7,412.90","7,186.90","49.78K","1.23%"
"08/16/2021","7,412.87","7,331.50","7,412.90","7,322.50","43.36K","0.00%"
"08/17/2021","7,403.83","7,412.90","7,476.20","7,250.20","73.67K","-0.12%"
"08/18/2021","7,412.87","7,277.30","7,412.90","7,277.30","43.03K","0.12%"
"08/19/2021","7,430.95","7,449.00","7,449.00","7,286.30","59.40K","0.24%"
