"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","11,418.8","11,555.6","11,555.6","11,418.8","0.65K","-0.89%"
"07/02/2021","11,555.6","11,555.6","11,555.6","11,555.6","0.13K","1.20%"
"07/05/2021","11,282.1","11,555.6","11,555.6","11,213.7","3.12K","-2.37%"
"07/06/2021","11,589.7","11,282.1","11,589.7","11,282.1","0.26K","2.73%"
"07/07/2021","11,487.2","11,487.2","11,487.2","11,487.2","0.13K","-0.88%"
"07/08/2021","11,589.7","11,589.7","11,589.7","11,589.7","0.39K","0.89%"
"07/12/2021","11,350.4","11,282.1","11,350.4","11,145.3","0.78K","-2.06%"
"07/13/2021","11,555.6","11,213.7","11,555.6","11,145.3","2.08K","1.81%"
"07/14/2021","10,940.2","10,940.2","10,940.2","10,940.2","0.65K","-5.33%"
"07/15/2021","11,076.9","10,940.2","11,076.9","10,940.2","2.99K","1.25%"
"07/16/2021","11,487.2","11,487.2","11,487.2","11,487.2","0.13K","3.70%"
"07/20/2021","10,940.2","10,803.4","10,940.2","10,803.4","1.43K","-4.76%"
"07/21/2021","10,940.2","11,521.4","11,521.4","10,940.2","0.78K","0.00%"
"07/22/2021","10,940.2","10,940.2","10,940.2","10,940.2","0.39K","0.00%"
"07/23/2021","10,324.8","10,324.8","10,324.8","10,324.8","1.30K","-5.63%"
"07/26/2021","11,008.6","10,940.2","11,008.6","9,606.8","6.37K","6.62%"
"07/27/2021","11,282.1","11,282.1","11,282.1","11,282.1","0.26K","2.48%"
"07/28/2021","11,247.9","10,495.7","11,247.9","10,495.7","1.82K","-0.30%"
"07/30/2021","10,871.8","10,871.8","10,871.8","10,871.8","0.13K","-3.34%"
"08/02/2021","10,940.2","10,256.4","10,940.2","10,222.2","1.30K","0.63%"
"08/03/2021","11,247.9","10,906.0","11,247.9","10,906.0","0.39K","2.81%"
"08/05/2021","11,145.3","11,145.3","11,145.3","11,145.3","0.13K","-0.91%"
"08/10/2021","10,940.2","10,837.6","10,940.2","10,803.4","3.64K","-1.84%"
"08/11/2021","10,837.6","11,213.7","11,213.7","10,837.6","0.39K","-0.94%"
"08/12/2021","11,213.7","10,803.4","11,213.7","10,803.4","12.87K","3.47%"
"08/16/2021","10,837.6","10,803.4","11,145.3","10,803.4","18.46K","-3.35%"
"08/17/2021","10,598.3","11,521.4","11,521.4","10,598.3","15.21K","-2.21%"
"08/18/2021","11,145.3","10,837.6","11,145.3","10,803.4","0.52K","5.16%"
"08/19/2021","10,598.3","10,598.3","10,598.3","10,598.3","2.60K","-4.91%"
"08/23/2021","10,940.2","10,598.3","11,042.7","10,598.3","2.99K","3.23%"
"08/25/2021","10,871.8","10,871.8","10,871.8","10,871.8","0.26K","-0.63%"
"08/26/2021","10,940.2","10,632.5","10,940.2","10,632.5","0.52K","0.63%"
"08/27/2021","10,940.2","10,940.2","10,940.2","10,940.2","0.39K","0.00%"
"08/30/2021","10,666.7","11,247.9","11,247.9","10,666.7","1.69K","-2.50%"
