"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","37,008.7","37,104.8","37,201.0","36,480.0","826.70K","-0.26%"
"07/02/2021","37,008.7","37,008.7","37,489.3","36,624.2","735.30K","0.00%"
"07/05/2021","35,855.2","36,480.0","36,912.6","35,566.8","1.13M","-3.12%"
"07/06/2021","33,644.3","35,566.8","36,047.4","33,644.3","1.57M","-6.17%"
"07/07/2021","34,509.4","33,259.8","34,509.4","32,683.0","1.09M","2.57%"
"07/08/2021","34,557.5","34,413.3","34,797.8","33,644.3","451.70K","0.14%"
"07/09/2021","33,932.7","34,124.9","34,557.5","32,875.3","679.60K","-1.81%"
"07/12/2021","31,865.9","33,355.9","33,932.7","31,577.6","1.21M","-6.09%"
"07/13/2021","32,586.9","32,298.5","32,683.0","31,865.9","443.40K","2.26%"
"07/14/2021","32,202.4","32,586.9","33,115.6","31,529.5","500.80K","-1.18%"
"07/15/2021","33,019.5","32,202.4","33,019.5","32,010.1","413.50K","2.54%"
"07/16/2021","35,326.5","34,124.9","35,326.5","33,932.7","1.65M","6.99%"
"07/19/2021","34,605.5","34,701.7","36,528.1","34,413.3","1.01M","-2.04%"
"07/20/2021","36,047.4","35,086.2","36,047.4","34,221.0","558.60K","4.17%"
"07/21/2021","35,566.8","35,759.1","36,143.6","35,086.2","748.70K","-1.33%"
"07/22/2021","38,018.0","35,278.4","38,018.0","34,990.1","2.49M","6.89%"
"07/23/2021","37,297.1","37,970.0","38,450.6","37,201.0","1.01M","-1.90%"
"07/26/2021","38,354.5","36,816.5","39,123.5","36,816.5","1.19M","2.84%"
"07/27/2021","37,873.8","38,931.2","38,931.2","37,393.2","998.00K","-1.25%"
"07/28/2021","38,066.1","37,777.7","38,931.2","37,489.3","1.29M","0.51%"
"07/29/2021","38,450.6","38,450.6","38,594.8","37,777.7","507.90K","1.01%"
"07/30/2021","39,363.8","38,450.6","39,796.4","38,450.6","2.28M","2.37%"
"08/02/2021","39,027.4","39,267.7","39,844.4","38,450.6","1.74M","-0.85%"
"08/03/2021","41,334.4","38,931.2","41,334.4","38,450.6","3.21M","5.91%"
"08/04/2021","40,949.9","41,334.4","41,911.2","40,469.3","1.30M","-0.93%"
"08/05/2021","41,911.2","40,757.6","42,295.7","40,180.9","1.40M","2.35%"
"08/06/2021","42,584.0","41,863.1","43,737.6","41,094.1","2.87M","1.61%"
"08/09/2021","43,737.6","43,064.7","43,737.6","42,776.3","1.86M","2.71%"
"08/10/2021","42,872.4","44,025.9","44,025.9","42,584.0","1.86M","-1.98%"
"08/11/2021","41,718.9","42,680.2","43,641.4","41,718.9","2.06M","-2.69%"
"08/12/2021","44,602.7","41,574.7","44,602.7","41,574.7","2.48M","6.91%"
"08/13/2021","45,660.1","44,795.0","46,140.7","43,737.6","2.43M","2.37%"
"08/16/2021","45,371.7","46,140.7","47,005.9","45,131.4","1.56M","-0.63%"
"08/17/2021","44,650.8","44,795.0","44,987.2","44,218.2","1.68M","-1.59%"
"08/18/2021","44,891.1","44,218.2","45,564.0","44,122.1","1.38M","0.54%"
"08/19/2021","45,756.2","44,602.7","46,140.7","44,362.4","1.15M","1.93%"
"08/20/2021","43,545.3","45,756.2","46,717.5","42,584.0","2.89M","-4.83%"
"08/23/2021","41,334.4","42,776.3","44,698.8","41,334.4","1.88M","-5.08%"
"08/24/2021","40,949.9","41,046.0","42,295.7","40,853.8","1.28M","-0.93%"
"08/25/2021","41,815.0","40,949.9","41,815.0","40,805.7","683.00K","2.11%"
"08/26/2021","42,680.2","42,247.6","43,160.8","41,911.2","970.50K","2.07%"
"08/27/2021","44,314.3","42,632.1","44,314.3","42,007.3","1.43M","3.83%"
"08/30/2021","45,275.6","44,795.0","46,429.1","44,698.8","1.38M","2.17%"
"08/31/2021","46,525.2","45,323.7","47,726.8","44,891.1","2.12M","2.76%"
"09/01/2021","46,525.2","46,140.7","46,909.7","46,092.7","871.50K","0.00%"
"09/06/2021","45,660.1","47,102.0","47,582.6","45,660.1","1.55M","-1.86%"
"09/07/2021","45,467.8","45,275.6","46,957.8","44,795.0","1.91M","-0.42%"
"09/08/2021","45,179.5","45,948.5","46,525.2","44,891.1","926.00K","-0.63%"
"09/09/2021","45,948.5","45,179.5","45,948.5","45,083.3","639.00K","1.70%"
"09/10/2021","47,005.9","46,333.0","47,582.6","45,948.5","1.85M","2.30%"
"09/13/2021","45,515.9","47,102.0","47,198.1","45,515.9","1.02M","-3.17%"
"09/14/2021","45,179.5","45,275.6","45,948.5","44,795.0","851.90K","-0.74%"
"09/15/2021","45,179.5","44,795.0","45,660.1","44,218.2","1.05M","0.00%"
"09/16/2021","45,564.0","45,419.8","46,044.6","45,179.5","547.00K","0.85%"
"09/17/2021","45,465.8","46,055.0","46,447.7","45,171.2","913.50K","-0.22%"
"09/20/2021","45,465.8","45,465.8","46,545.9","45,367.6","1.06M","0.00%"
"09/21/2021","45,465.8","44,974.8","45,465.8","43,992.8","1.24M","0.00%"
"09/22/2021","48,559.0","46,055.0","48,608.1","45,760.4","3.37M","6.80%"
"09/23/2021","47,626.1","49,590.1","49,688.3","47,626.1","1.14M","-1.92%"
"09/24/2021","48,018.9","47,724.3","48,608.1","47,527.9","981.30K","0.82%"
"09/27/2021","44,778.4","48,018.9","48,509.9","44,778.4","1.94M","-6.75%"
"09/28/2021","45,956.8","44,582.0","45,956.8","44,091.0","970.00K","2.63%"
"09/29/2021","45,956.8","45,662.2","47,184.2","44,729.3","1.00M","0.00%"
"09/30/2021","46,153.2","46,644.1","46,644.1","46,153.2","397.80K","0.43%"
"10/01/2021","46,251.4","46,153.2","47,135.1","45,662.2","681.90K","0.21%"
"10/04/2021","47,429.7","46,251.4","47,920.7","46,153.2","1.01M","2.55%"
"10/05/2021","48,313.5","48,018.9","48,902.7","47,675.2","1.04M","1.86%"
"10/06/2021","48,411.7","48,460.8","48,706.3","48,117.1","831.90K","0.20%"
"10/07/2021","51,750.5","48,804.5","51,750.5","48,313.5","2.87M","6.90%"
"10/08/2021","50,866.7","52,143.2","52,143.2","50,768.5","722.50K","-1.71%"
"10/11/2021","52,437.8","51,161.3","52,536.0","50,768.5","1.09M","3.09%"
"10/12/2021","53,910.8","52,732.4","53,910.8","52,143.2","1.61M","2.81%"
"10/13/2021","54,892.8","53,910.8","55,678.4","53,518.0","1.33M","1.82%"
"10/14/2021","53,714.4","55,187.4","55,580.2","53,714.4","1.54M","-2.15%"
"10/15/2021","54,991.0","53,714.4","54,991.0","52,732.4","1.78M","2.38%"
"10/18/2021","56,660.4","55,874.8","57,740.5","55,678.4","1.21M","3.04%"
"10/19/2021","56,562.2","56,660.4","56,856.8","55,482.0","648.70K","-0.17%"
"10/20/2021","56,562.2","55,973.0","57,642.3","55,187.4","860.90K","0.00%"
"10/21/2021","56,562.2","56,660.4","57,151.4","56,267.6","513.20K","0.00%"
"10/22/2021","59,508.1","56,562.2","59,900.9","56,562.2","984.40K","5.21%"
"10/25/2021","57,936.9","59,900.9","61,472.1","57,936.9","706.80K","-2.64%"
"10/26/2021","58,918.9","57,740.5","59,213.5","57,249.6","819.00K","1.69%"
"10/27/2021","59,311.7","59,508.1","60,097.3","57,936.9","796.10K","0.67%"
"10/28/2021","59,900.9","58,918.9","61,177.5","58,820.7","951.30K","0.99%"
"10/29/2021","60,981.1","59,508.1","61,864.9","59,508.1","650.40K","1.80%"
"11/01/2021","59,508.1","61,079.3","61,373.9","59,115.3","1.07M","-2.42%"
"11/02/2021","61,079.3","59,606.3","61,373.9","58,918.9","1.06M","2.64%"
"11/03/2021","56,856.8","61,079.3","63,141.4","56,856.8","2.00M","-6.91%"
"11/04/2021","56,758.6","56,071.2","57,936.9","56,071.2","998.30K","-0.17%"
"11/05/2021","56,955.0","56,856.8","57,936.9","54,598.2","1.25M","0.35%"
"11/08/2021","56,955.0","57,053.2","58,918.9","55,973.0","705.60K","0.00%"
"11/09/2021","57,445.9","56,955.0","58,427.9","56,856.8","531.10K","0.86%"
"11/10/2021","56,856.8","57,445.9","58,035.1","56,267.6","1.12M","-1.03%"
"11/11/2021","58,427.9","57,347.7","59,508.1","56,562.2","1.94M","2.76%"
"11/12/2021","59,704.5","59,802.7","60,391.9","58,526.1","1.03M","2.18%"
"11/15/2021","58,526.1","60,195.5","60,195.5","57,445.9","1.58M","-1.97%"
"11/16/2021","55,776.6","57,740.5","57,740.5","55,776.6","2.10M","-4.70%"
"11/17/2021","56,955.0","55,776.6","57,347.7","54,991.0","1.21M","2.11%"
"11/18/2021","55,973.0","57,151.4","57,249.6","55,776.6","1.19M","-1.72%"
"11/19/2021","52,732.4","55,973.0","56,267.6","52,143.2","2.06M","-5.79%"
"11/22/2021","49,050.0","52,732.4","52,732.4","49,050.0","1.53M","-6.98%"
"11/23/2021","52,437.8","48,117.1","52,437.8","48,117.1","1.26M","6.91%"
"11/24/2021","53,223.4","53,910.8","54,401.8","52,732.4","778.30K","1.50%"
"11/25/2021","54,401.8","53,714.4","55,482.0","52,830.6","820.00K","2.21%"
"11/26/2021","53,910.8","54,794.6","54,794.6","53,125.2","979.70K","-0.90%"
"11/29/2021","54,205.4","51,554.1","54,892.8","51,554.1","711.60K","0.55%"
"11/30/2021","57,838.7","54,991.0","57,936.9","54,991.0","2.72M","6.70%"
"12/01/2021","59,704.5","58,427.9","60,588.3","58,231.5","1.62M","3.23%"
"12/02/2021","59,409.9","60,293.7","60,293.7","58,722.5","822.20K","-0.49%"
"12/03/2021","57,544.1","59,115.3","59,409.9","57,544.1","1.41M","-3.14%"
"12/06/2021","54,991.0","56,464.0","57,544.1","53,518.0","2.18M","-4.44%"
"12/07/2021","56,660.4","55,383.8","56,856.8","54,009.0","630.60K","3.04%"
"12/08/2021","58,231.5","56,660.4","59,606.3","56,660.4","1.24M","2.77%"
"12/09/2021","58,624.3","58,231.5","58,722.5","57,249.6","830.00K","0.67%"
"12/10/2021","62,061.3","58,918.9","62,355.9","58,624.3","3.75M","5.86%"
"12/13/2021","62,846.8","62,846.8","64,319.8","62,650.5","1.24M","1.27%"
"12/14/2021","64,025.2","62,748.6","65,105.4","62,355.9","1.37M","1.88%"
"12/15/2021","64,025.2","64,418.0","65,105.4","62,846.8","1.38M","0.00%"
