"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","47,074.0","46,630.7","47,074.0","46,630.7","2.10K","0.00%"
"07/02/2021","46,985.3","47,074.0","47,074.0","46,453.4","15.10K","-0.19%"
"07/05/2021","46,453.4","46,985.3","46,985.3","46,453.4","1.80K","-1.13%"
"07/06/2021","46,098.8","46,542.1","46,542.1","46,098.8","18.50K","-0.76%"
"07/07/2021","45,744.2","45,832.9","45,832.9","45,744.2","0.70K","-0.77%"
"07/08/2021","45,478.3","45,744.2","45,744.2","44,414.5","1.10K","-0.58%"
"07/09/2021","45,212.3","44,503.1","45,212.3","44,503.1","3.90K","-0.58%"
"07/12/2021","44,325.8","45,212.3","45,212.3","43,971.2","13.40K","-1.96%"
"07/13/2021","44,059.8","44,503.1","44,503.1","43,439.3","1.30K","-0.60%"
"07/14/2021","44,503.1","45,123.7","45,123.7","43,483.6","4.20K","1.01%"
"07/15/2021","44,769.1","44,769.1","44,769.1","44,769.1","0.20K","0.60%"
"07/16/2021","44,946.4","45,123.7","45,123.7","44,414.5","1.80K","0.40%"
"07/19/2021","44,946.4","43,439.3","45,655.6","43,439.3","2.40K","0.00%"
"07/20/2021","45,478.3","44,769.1","45,921.5","44,769.1","0.60K","1.18%"
"07/21/2021","46,098.8","46,453.4","46,453.4","45,832.9","2.30K","1.36%"
"07/22/2021","44,946.4","45,655.6","45,832.9","44,946.4","1.20K","-2.50%"
"07/23/2021","44,503.1","44,946.4","45,921.5","43,705.2","1.40K","-0.99%"
"07/26/2021","45,212.3","46,808.0","46,808.0","44,503.1","1.70K","1.59%"
"07/27/2021","45,212.3","45,921.5","45,921.5","45,212.3","2.10K","0.00%"
"07/28/2021","45,301.0","45,301.0","45,301.0","45,212.3","1.20K","0.20%"
"07/29/2021","46,098.8","45,389.6","46,453.4","45,389.6","4.20K","1.76%"
"07/30/2021","45,566.9","46,453.4","46,453.4","44,325.8","9.30K","-1.15%"
"08/02/2021","45,566.9","45,921.5","45,921.5","45,566.9","0.80K","0.00%"
"08/03/2021","45,389.6","45,212.3","45,389.6","45,212.3","3.50K","-0.39%"
"08/04/2021","45,478.3","45,389.6","45,655.6","45,035.0","2.40K","0.20%"
"08/05/2021","45,832.9","44,857.7","45,921.5","44,857.7","1.20K","0.78%"
"08/06/2021","45,832.9","45,744.2","45,832.9","45,744.2","1.70K","0.00%"
"08/09/2021","46,098.8","46,542.1","46,542.1","45,389.6","11.60K","0.58%"
