"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","24,259.1","24,610.7","24,610.7","23,907.5","28.20K","-0.72%"
"07/02/2021","24,259.1","23,995.4","24,259.1","23,995.4","2.40K","0.00%"
"07/05/2021","24,215.2","24,434.9","24,434.9","23,995.4","4.30K","-0.18%"
"07/06/2021","23,731.7","24,039.4","24,171.2","23,731.7","19.80K","-2.00%"
"07/07/2021","23,731.7","23,643.8","23,731.7","23,643.8","13.30K","0.00%"
"07/08/2021","23,731.7","23,731.7","23,775.7","23,731.7","15.10K","0.00%"
"07/09/2021","23,731.7","23,731.7","23,995.4","23,731.7","9.40K","0.00%"
"07/12/2021","23,292.3","23,731.7","23,731.7","23,072.5","20.60K","-1.85%"
"07/13/2021","23,204.4","23,204.4","23,204.4","23,204.4","0.90K","-0.38%"
"07/14/2021","23,292.3","23,292.3","23,380.2","23,292.3","1.00K","0.38%"
"07/15/2021","23,336.2","23,292.3","23,336.2","23,204.4","8.10K","0.19%"
"07/16/2021","24,083.3","23,468.1","24,171.2","23,468.1","2.70K","3.20%"
"07/19/2021","23,731.7","23,819.6","23,995.4","23,731.7","7.50K","-1.46%"
"07/20/2021","23,731.7","23,731.7","23,731.7","23,731.7","2.30K","0.00%"
"07/21/2021","24,171.2","24,083.3","24,610.7","24,083.3","13.10K","1.85%"
"07/22/2021","24,171.2","24,566.7","24,566.7","24,171.2","1.70K","0.00%"
"07/23/2021","24,171.2","24,171.2","24,171.2","24,171.2","0.60K","0.00%"
"07/26/2021","24,127.3","24,171.2","24,171.2","23,556.0","2.00K","-0.18%"
"07/27/2021","24,171.2","24,083.3","24,215.2","23,819.6","5.40K","0.18%"
"07/28/2021","24,259.1","24,434.9","24,522.8","23,731.7","9.20K","0.36%"
"07/29/2021","23,907.5","24,259.1","24,259.1","23,907.5","5.90K","-1.45%"
"07/30/2021","24,083.3","24,083.3","24,083.3","24,083.3","0.50K","0.74%"
"08/02/2021","24,171.2","24,566.7","24,566.7","24,171.2","6.10K","0.36%"
"08/03/2021","24,171.2","24,171.2","24,171.2","24,171.2","2.50K","0.00%"
"08/04/2021","24,215.2","24,522.8","24,786.5","24,215.2","7.10K","0.18%"
"08/05/2021","24,039.4","24,215.2","24,215.2","24,039.4","7.30K","-0.73%"
"08/06/2021","24,127.3","24,083.3","24,127.3","24,083.3","3.30K","0.37%"
"08/09/2021","24,347.0","24,171.2","24,478.9","24,127.3","6.50K","0.91%"
"08/10/2021","24,522.8","24,347.0","24,522.8","24,347.0","5.90K","0.72%"
"08/11/2021","24,830.4","24,610.7","24,874.4","24,171.2","16.20K","1.25%"
"08/12/2021","24,610.7","24,654.6","24,786.5","24,610.7","6.00K","-0.88%"
"08/13/2021","25,094.1","24,610.7","25,094.1","24,610.7","46.50K","1.96%"
"08/16/2021","25,797.3","25,489.6","25,929.1","25,357.8","79.00K","2.80%"
"08/17/2021","25,885.2","25,929.1","26,192.8","25,797.3","22.70K","0.34%"
"08/18/2021","26,280.7","25,885.2","26,324.7","25,885.2","22.50K","1.53%"
"08/19/2021","26,764.1","26,456.5","26,808.1","26,368.6","55.30K","1.84%"
"08/20/2021","26,500.4","26,764.1","26,764.1","26,500.4","75.70K","-0.99%"
"08/23/2021","26,148.9","26,500.4","26,500.4","26,148.9","7.00K","-1.33%"
"08/24/2021","26,588.3","25,489.6","26,588.3","25,489.6","10.10K","1.68%"
"08/25/2021","26,544.4","26,632.3","26,632.3","26,368.6","2.20K","-0.17%"
