"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","17,164.3","17,164.3","17,242.7","17,046.8","4.30M","0.23%"
"07/02/2021","17,125.2","17,203.5","17,242.7","17,007.6","4.48M","-0.23%"
"07/05/2021","16,694.1","17,007.6","17,125.2","16,615.7","7.43M","-2.52%"
"07/06/2021","16,145.5","16,615.7","16,772.5","15,988.7","12.73M","-3.29%"
"07/07/2021","17,164.3","16,106.3","17,164.3","15,322.5","12.63M","6.31%"
"07/08/2021","16,498.2","16,733.3","16,733.3","16,302.2","4.12M","-3.88%"
"07/09/2021","15,675.2","16,223.8","16,263.0","15,557.7","5.01M","-4.99%"
"07/12/2021","14,695.5","15,518.5","15,675.2","14,578.0","9.58M","-6.25%"
"07/13/2021","15,400.9","14,813.1","15,400.9","14,499.6","6.82M","4.80%"
"07/14/2021","14,969.8","15,205.0","15,479.3","14,734.7","4.94M","-2.80%"
"07/15/2021","15,009.0","14,813.1","15,126.6","14,813.1","4.65M","0.26%"
"07/16/2021","15,048.2","15,048.2","15,440.1","14,969.8","5.11M","0.26%"
"07/19/2021","14,146.9","14,538.8","14,969.8","14,146.9","8.54M","-5.99%"
"07/20/2021","14,773.9","14,186.1","14,813.1","13,794.2","10.04M","4.43%"
"07/21/2021","14,813.1","14,538.8","15,009.0","14,499.6","13.76M","0.27%"
"07/22/2021","15,009.0","14,617.1","15,048.2","14,617.1","7.18M","1.32%"
"07/23/2021","14,499.6","14,891.5","14,969.8","14,499.6","3.71M","-3.39%"
"07/26/2021","14,578.0","14,342.8","14,656.3","14,186.1","3.09M","0.54%"
"07/27/2021","14,734.7","14,578.0","14,813.1","14,538.8","4.73M","1.08%"
"07/28/2021","15,009.0","14,578.0","15,048.2","14,499.6","8.57M","1.86%"
"07/29/2021","14,813.1","14,969.8","14,969.8","14,773.9","3.15M","-1.31%"
"07/30/2021","15,009.0","14,813.1","15,244.1","14,656.3","16.28M","1.32%"
"08/02/2021","14,734.7","14,891.5","14,969.8","14,695.5","4.36M","-1.83%"
"08/03/2021","15,048.2","14,734.7","15,048.2","14,617.1","10.72M","2.13%"
"08/04/2021","14,813.1","14,891.5","14,969.8","14,773.9","3.95M","-1.56%"
"08/05/2021","14,852.3","14,734.7","14,969.8","14,656.3","7.76M","0.26%"
"08/06/2021","14,773.9","14,852.3","14,969.8","14,695.5","7.77M","-0.53%"
"08/09/2021","14,813.1","14,734.7","14,891.5","14,734.7","6.31M","0.27%"
"08/10/2021","15,400.9","15,009.0","15,440.1","14,852.3","14.83M","3.97%"
"08/11/2021","15,518.5","15,479.3","15,675.2","15,440.1","9.88M","0.76%"
"08/12/2021","15,283.3","15,283.3","15,400.9","15,205.0","5.75M","-1.52%"
"08/13/2021","15,205.0","15,205.0","15,244.1","14,773.9","9.55M","-0.51%"
"08/16/2021","15,048.2","15,283.3","15,322.5","15,048.2","7.09M","-1.03%"
"08/17/2021","14,930.6","15,087.4","15,087.4","14,813.1","6.51M","-0.78%"
"08/18/2021","15,126.6","14,813.1","15,283.3","14,773.9","14.93M","1.31%"
"08/19/2021","14,852.3","15,165.8","15,165.8","14,852.3","4.29M","-1.81%"
"08/20/2021","14,891.5","14,891.5","14,969.8","14,421.2","15.02M","0.26%"
"08/23/2021","14,734.7","14,656.3","14,734.7","14,342.8","9.10M","-1.05%"
"08/24/2021","14,264.4","14,499.6","14,656.3","14,264.4","7.05M","-3.19%"
"08/25/2021","14,382.0","14,303.6","14,499.6","14,186.1","3.84M","0.82%"
"08/26/2021","14,342.8","14,421.2","14,460.4","14,264.4","2.61M","-0.27%"
"08/27/2021","14,421.2","14,264.4","14,460.4","14,068.5","4.75M","0.55%"
"08/30/2021","14,891.5","14,969.8","15,048.2","14,656.3","16.97M","3.26%"
"08/31/2021","15,283.3","14,891.5","15,557.7","14,656.3","19.73M","2.63%"
"09/01/2021","15,400.9","15,244.1","15,518.5","15,126.6","8.87M","0.77%"
"09/06/2021","15,792.8","15,400.9","15,949.5","15,244.1","13.19M","2.54%"
"09/07/2021","15,205.0","15,792.8","15,792.8","15,165.8","10.16M","-3.72%"
"09/08/2021","14,891.5","15,205.0","15,205.0","14,617.1","14.59M","-2.06%"
"09/09/2021","14,499.6","14,695.5","14,930.6","14,499.6","17.23M","-2.63%"
"09/10/2021","15,479.3","15,479.3","15,479.3","15,479.3","2.65M","6.76%"
"09/13/2021","15,569.6","16,562.4","16,562.4","15,569.6","17.34M","0.58%"
"09/14/2021","15,750.1","15,434.2","15,885.5","15,118.3","12.27M","1.16%"
"09/15/2021","16,066.0","15,750.1","16,066.0","15,750.1","7.81M","2.01%"
"09/16/2021","15,434.2","15,840.3","15,975.7","15,434.2","10.90M","-3.93%"
"09/17/2021","15,524.4","15,343.9","15,524.4","15,343.9","8.93M","0.58%"
"09/20/2021","15,569.6","15,614.7","15,705.0","15,389.0","6.63M","0.29%"
"09/21/2021","15,524.4","15,343.9","15,705.0","15,253.7","7.61M","-0.29%"
"09/22/2021","15,569.6","15,524.4","15,569.6","15,389.0","5.01M","0.29%"
"09/23/2021","15,930.6","15,705.0","15,975.7","15,614.7","24.16M","2.32%"
"09/24/2021","16,291.6","15,975.7","16,517.3","15,840.3","17.22M","2.27%"
"09/27/2021","16,156.2","16,336.8","16,381.9","15,930.6","8.71M","-0.83%"
"09/28/2021","16,291.6","16,066.0","16,472.2","15,659.8","19.06M","0.84%"
"09/29/2021","16,066.0","15,975.7","16,066.0","15,659.8","13.13M","-1.39%"
"09/30/2021","16,111.1","15,975.7","16,111.1","15,705.0","10.51M","0.28%"
"10/01/2021","16,156.2","15,840.3","16,156.2","15,750.1","13.40M","0.28%"
"10/04/2021","15,795.2","16,066.0","16,066.0","15,705.0","15.00M","-2.23%"
"10/05/2021","15,840.3","15,705.0","15,930.6","15,614.7","12.07M","0.29%"
"10/06/2021","15,885.5","15,885.5","15,930.6","15,705.0","10.44M","0.28%"
"10/07/2021","15,614.7","15,930.6","15,930.6","15,614.7","5.37M","-1.70%"
"10/08/2021","15,389.0","15,614.7","15,705.0","15,389.0","4.97M","-1.45%"
