"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","33,055.0","32,426.0","33,764.0","32,268.0","835.00K","3.96%"
"07/02/2021","32,583.0","33,055.0","33,055.0","32,308.0","361.20K","-1.43%"
"07/05/2021","32,072.0","32,583.0","32,583.0","31,796.0","416.20K","-1.57%"
"07/06/2021","31,481.0","31,875.0","32,623.0","31,481.0","319.30K","-1.84%"
"07/07/2021","31,481.0","31,285.0","31,521.0","30,694.0","275.70K","0.00%"
"07/08/2021","32,190.0","31,678.0","32,190.0","31,481.0","234.80K","2.25%"
"07/09/2021","31,757.0","32,268.0","32,268.0","31,481.0","241.20K","-1.35%"
"07/12/2021","31,088.0","31,954.0","32,268.0","29,671.0","512.90K","-2.11%"
"07/13/2021","31,403.0","31,481.0","31,875.0","31,088.0","287.60K","1.01%"
"07/14/2021","30,852.0","31,560.0","31,560.0","30,616.0","393.20K","-1.75%"
"07/15/2021","29,228.0","28,867.0","30,220.0","28,867.0","307.70K","-5.26%"
"07/16/2021","28,732.0","28,777.0","29,228.0","27,965.0","337.20K","-1.70%"
"07/19/2021","26,928.0","27,153.0","27,965.0","26,792.0","412.10K","-6.28%"
"07/20/2021","27,243.0","26,431.0","27,965.0","26,431.0","235.70K","1.17%"
"07/21/2021","27,514.0","27,514.0","27,785.0","27,379.0","240.30K","0.99%"
"07/22/2021","28,867.0","27,514.0","29,048.0","27,514.0","270.50K","4.92%"
"07/23/2021","28,732.0","28,867.0","29,589.0","28,416.0","244.00K","-0.47%"
"07/26/2021","29,273.0","28,145.0","29,769.0","27,965.0","321.20K","1.88%"
"07/27/2021","29,048.0","29,769.0","29,769.0","28,867.0","189.70K","-0.77%"
"07/28/2021","30,040.0","28,867.0","30,130.0","28,687.0","350.40K","3.42%"
"07/29/2021","30,265.0","30,220.0","30,581.0","30,040.0","235.40K","0.75%"
"07/30/2021","30,807.0","30,220.0","30,852.0","29,905.0","371.10K","1.79%"
