"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","3,880.0","3,900.0","3,920.0","3,670.0","14.90K","-1.52%"
"07/02/2021","3,820.0","3,750.0","3,840.0","3,610.0","30.50K","-1.55%"
"07/05/2021","3,790.0","3,600.0","3,830.0","3,560.0","36.00K","-0.79%"
"07/06/2021","3,770.0","3,790.0","3,790.0","3,610.0","23.10K","-0.53%"
"07/07/2021","3,700.0","3,630.0","3,730.0","3,510.0","16.30K","-1.86%"
"07/08/2021","3,620.0","3,500.0","3,700.0","3,450.0","29.00K","-2.16%"
"07/09/2021","3,550.0","3,370.0","3,720.0","3,370.0","148.20K","-1.93%"
"07/12/2021","3,440.0","3,450.0","3,450.0","3,400.0","2.90K","-3.10%"
"07/13/2021","3,430.0","3,200.0","3,430.0","3,200.0","10.50K","-0.29%"
"07/14/2021","3,430.0","3,250.0","3,500.0","3,250.0","5.40K","0.00%"
"07/15/2021","3,600.0","3,500.0","3,600.0","3,430.0","20.80K","4.96%"
"07/16/2021","3,770.0","3,600.0","3,800.0","3,600.0","34.40K","4.72%"
"07/19/2021","3,750.0","3,800.0","3,800.0","3,700.0","26.90K","-0.53%"
"07/20/2021","3,850.0","3,700.0","3,850.0","3,490.0","59.10K","2.67%"
"07/21/2021","3,850.0","3,790.0","3,850.0","3,770.0","27.50K","0.00%"
"07/22/2021","3,860.0","3,840.0","3,870.0","3,840.0","12.10K","0.26%"
"07/23/2021","3,900.0","3,860.0","3,900.0","3,860.0","9.20K","1.04%"
"07/26/2021","3,900.0","3,900.0","3,900.0","3,860.0","1.40K","0.00%"
"07/27/2021","3,900.0","3,900.0","3,900.0","3,850.0","9.50K","0.00%"
"07/28/2021","3,900.0","3,950.0","3,950.0","3,850.0","12.60K","0.00%"
"07/29/2021","3,830.0","3,850.0","3,900.0","3,830.0","10.30K","-1.79%"
"07/30/2021","3,860.0","3,830.0","3,860.0","3,830.0","2.00K","0.78%"
"08/02/2021","3,830.0","3,900.0","3,900.0","3,800.0","16.50K","-0.78%"
"08/03/2021","3,850.0","3,850.0","3,940.0","3,850.0","24.80K","0.52%"
"08/04/2021","3,860.0","3,900.0","3,900.0","3,860.0","4.50K","0.26%"
"08/05/2021","3,900.0","3,800.0","3,950.0","3,800.0","17.50K","1.04%"
"08/06/2021","3,900.0","3,900.0","3,940.0","3,900.0","8.70K","0.00%"
"08/09/2021","3,900.0","3,800.0","3,900.0","3,650.0","7.20K","0.00%"
"08/10/2021","3,900.0","3,800.0","3,900.0","3,800.0","4.90K","0.00%"
"08/11/2021","3,900.0","3,850.0","3,900.0","3,740.0","4.80K","0.00%"
"08/12/2021","3,880.0","3,850.0","3,900.0","3,750.0","0.90K","-0.51%"
"08/13/2021","3,900.0","3,900.0","3,900.0","3,900.0","1.10K","0.52%"
"08/16/2021","3,810.0","3,900.0","3,900.0","3,810.0","3.10K","-2.31%"
"08/17/2021","3,780.0","3,800.0","3,800.0","3,700.0","4.80K","-0.79%"
"08/18/2021","3,790.0","3,700.0","3,800.0","3,600.0","12.00K","0.26%"
"08/19/2021","3,780.0","3,780.0","3,780.0","3,600.0","10.60K","-0.26%"
"08/20/2021","3,810.0","3,900.0","3,900.0","3,600.0","19.60K","0.79%"
"08/24/2021","3,800.0","3,810.0","3,810.0","3,600.0","0.60K","-0.26%"
"08/25/2021","3,770.0","3,620.0","3,800.0","3,600.0","3.10K","-0.79%"
"08/26/2021","3,760.0","3,770.0","3,770.0","3,610.0","5.40K","-0.27%"
"08/27/2021","3,760.0","3,700.0","3,760.0","3,700.0","0.70K","0.00%"
"08/30/2021","3,760.0","3,760.0","3,760.0","3,610.0","18.10K","0.00%"
"08/31/2021","3,720.0","3,760.0","3,760.0","3,650.0","1.60K","-1.06%"
"09/01/2021","3,730.0","3,650.0","3,750.0","3,550.0","12.40K","0.27%"
"09/06/2021","3,820.0","3,730.0","3,820.0","3,630.0","9.50K","2.41%"
"09/07/2021","3,800.0","3,860.0","3,890.0","3,800.0","3.90K","-0.52%"
"09/08/2021","3,750.0","3,780.0","3,800.0","3,580.0","8.70K","-1.32%"
"09/09/2021","3,650.0","3,610.0","3,880.0","3,600.0","9.70K","-2.67%"
"09/10/2021","3,740.0","3,640.0","3,800.0","3,640.0","7.30K","2.47%"
"09/13/2021","3,790.0","3,720.0","3,800.0","3,710.0","6.90K","1.34%"
"09/14/2021","3,950.0","3,800.0","3,950.0","3,800.0","27.70K","4.22%"
"09/15/2021","4,220.0","4,150.0","4,220.0","4,100.0","163.80K","6.84%"
"09/16/2021","4,390.0","4,430.0","4,480.0","4,250.0","36.70K","4.03%"
"09/17/2021","4,400.0","4,390.0","4,400.0","4,220.0","29.60K","0.23%"
"09/20/2021","4,700.0","4,150.0","4,700.0","4,100.0","183.10K","6.82%"
"09/21/2021","4,680.0","4,700.0","4,700.0","4,390.0","65.10K","-0.43%"
"09/22/2021","5,000.0","4,720.0","5,000.0","4,700.0","188.30K","6.84%"
"09/23/2021","5,000.0","5,300.0","5,350.0","5,000.0","232.10K","0.00%"
"09/24/2021","4,900.0","4,710.0","5,000.0","4,710.0","30.80K","-2.00%"
"09/27/2021","4,760.0","4,800.0","4,900.0","4,560.0","64.50K","-2.86%"
"09/28/2021","4,750.0","4,500.0","4,750.0","4,430.0","50.60K","-0.21%"
"09/29/2021","4,740.0","4,800.0","4,800.0","4,500.0","28.80K","-0.21%"
"09/30/2021","4,550.0","4,750.0","4,750.0","4,450.0","59.40K","-4.01%"
"10/01/2021","4,680.0","4,600.0","4,800.0","4,430.0","5.60K","2.86%"
"10/04/2021","4,400.0","4,680.0","4,680.0","4,400.0","17.30K","-5.98%"
