"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","27,509.0","27,066.0","27,608.0","27,066.0","11.70K","0.00%"
"07/02/2021","27,115.0","27,411.0","27,411.0","27,115.0","6.30K","-1.43%"
"07/05/2021","27,016.0","27,312.0","27,312.0","26,671.0","7.90K","-0.37%"
"07/06/2021","26,967.0","27,016.0","27,016.0","26,622.0","11.30K","-0.18%"
"07/07/2021","26,819.0","26,474.0","26,918.0","26,129.0","15.80K","-0.55%"
"07/08/2021","26,720.0","26,819.0","26,819.0","26,326.0","6.50K","-0.37%"
"07/09/2021","26,622.0","26,671.0","26,671.0","26,425.0","36.00K","-0.37%"
"07/12/2021","26,178.0","25,981.0","26,425.0","25,537.0","43.90K","-1.67%"
"07/13/2021","26,129.0","26,178.0","26,622.0","26,129.0","5.50K","-0.19%"
"07/14/2021","25,734.0","26,129.0","26,227.0","25,636.0","19.10K","-1.51%"
"07/15/2021","25,833.0","25,685.0","26,523.0","25,636.0","14.90K","0.38%"
"07/16/2021","25,932.0","26,030.0","26,227.0","25,784.0","12.80K","0.38%"
"07/19/2021","25,439.0","25,734.0","25,833.0","24,650.0","37.50K","-1.90%"
"07/20/2021","25,439.0","25,143.0","25,439.0","24,847.0","7.50K","0.00%"
"07/21/2021","25,636.0","25,241.0","26,425.0","25,241.0","18.40K","0.77%"
"07/22/2021","25,734.0","26,030.0","26,425.0","25,488.0","20.20K","0.38%"
"07/23/2021","25,685.0","25,734.0","25,932.0","25,685.0","13.90K","-0.19%"
"07/26/2021","25,685.0","26,326.0","26,326.0","25,636.0","6.00K","0.00%"
"07/27/2021","25,636.0","26,129.0","26,129.0","25,636.0","17.50K","-0.19%"
"07/28/2021","25,734.0","25,636.0","25,734.0","25,636.0","2.60K","0.38%"
"07/29/2021","25,587.0","25,932.0","26,129.0","25,537.0","26.80K","-0.57%"
"07/30/2021","25,833.0","25,587.0","25,932.0","25,587.0","15.90K","0.96%"
"08/02/2021","25,833.0","25,636.0","25,833.0","25,636.0","11.30K","0.00%"
"08/03/2021","25,833.0","25,636.0","25,833.0","25,636.0","8.60K","0.00%"
"08/04/2021","25,833.0","25,833.0","25,932.0","25,833.0","19.60K","0.00%"
"08/05/2021","26,129.0","25,932.0","26,129.0","25,685.0","10.50K","1.15%"
"08/06/2021","25,981.0","26,474.0","26,622.0","25,981.0","6.90K","-0.57%"
"08/09/2021","25,981.0","26,523.0","26,819.0","25,932.0","15.30K","0.00%"
"08/10/2021","26,129.0","26,622.0","26,622.0","25,932.0","12.20K","0.57%"
"08/11/2021","26,720.0","26,129.0","26,819.0","26,129.0","39.70K","2.26%"
"08/12/2021","26,523.0","26,573.0","26,720.0","26,178.0","15.70K","-0.74%"
"08/13/2021","26,523.0","26,523.0","26,622.0","26,425.0","19.10K","0.00%"
"08/16/2021","27,066.0","26,918.0","27,608.0","26,326.0","62.80K","2.05%"
"08/17/2021","26,622.0","26,918.0","26,918.0","26,622.0","10.90K","-1.64%"
"08/18/2021","26,720.0","26,918.0","26,918.0","26,622.0","4.20K","0.37%"
"08/19/2021","26,375.0","26,425.0","26,622.0","26,129.0","28.20K","-1.29%"
"08/20/2021","26,277.0","26,227.0","26,425.0","26,080.0","13.00K","-0.37%"
"08/23/2021","25,882.0","25,981.0","26,030.0","25,241.0","60.50K","-1.50%"
"08/24/2021","25,882.0","25,833.0","25,981.0","25,537.0","10.20K","0.00%"
"08/25/2021","25,636.0","25,636.0","25,636.0","25,636.0","3.90K","-0.95%"
"08/26/2021","25,734.0","25,439.0","25,833.0","25,389.0","19.40K","0.38%"
"08/27/2021","26,129.0","25,636.0","26,129.0","25,636.0","8.30K","1.53%"
"08/30/2021","26,622.0","26,129.0","26,819.0","26,129.0","9.20K","1.89%"
"08/31/2021","26,425.0","26,129.0","26,523.0","26,129.0","6.70K","-0.74%"
"09/01/2021","26,326.0","26,129.0","26,622.0","25,932.0","8.00K","-0.37%"
"09/06/2021","26,819.0","26,622.0","26,918.0","26,326.0","35.30K","1.87%"
"09/07/2021","27,657.0","27,115.0","27,756.0","27,115.0","65.30K","3.12%"
"09/08/2021","27,904.0","27,805.0","28,052.0","27,608.0","14.60K","0.89%"
"09/09/2021","28,298.0","28,002.0","28,298.0","27,756.0","34.20K","1.41%"
"09/10/2021","29,087.0","28,347.0","29,383.0","28,347.0","56.30K","2.79%"
"09/13/2021","30,714.0","29,777.0","30,714.0","29,777.0","97.70K","5.59%"
"09/14/2021","29,876.0","30,862.0","30,862.0","29,235.0","56.40K","-2.73%"
"09/15/2021","29,974.0","29,826.0","30,369.0","29,087.0","45.70K","0.33%"
"09/16/2021","29,876.0","29,974.0","29,974.0","29,284.0","38.50K","-0.33%"
"09/17/2021","29,876.0","29,580.0","30,073.0","29,383.0","44.90K","0.00%"
"09/20/2021","29,925.0","29,629.0","30,171.0","29,629.0","31.80K","0.16%"
"09/21/2021","29,185.0","28,594.0","29,580.0","28,594.0","44.20K","-2.47%"
"09/22/2021","29,974.0","29,185.0","30,171.0","29,185.0","52.80K","2.70%"
"09/23/2021","30,270.0","30,122.0","30,714.0","30,122.0","43.90K","0.99%"
"09/24/2021","29,876.0","30,270.0","30,270.0","29,777.0","16.40K","-1.30%"
"09/27/2021","30,073.0","29,876.0","30,566.0","29,383.0","14.80K","0.66%"
"09/28/2021","30,073.0","28,890.0","30,073.0","28,890.0","16.20K","0.00%"
"09/29/2021","30,073.0","30,122.0","30,122.0","29,876.0","14.40K","0.00%"
"09/30/2021","29,629.0","30,073.0","30,073.0","29,580.0","18.10K","-1.48%"
"10/01/2021","29,974.0","30,714.0","30,714.0","29,580.0","41.80K","1.16%"
"10/04/2021","29,580.0","29,580.0","30,073.0","29,580.0","32.30K","-1.31%"
"10/05/2021","30,171.0","29,580.0","30,171.0","29,580.0","43.70K","2.00%"
"10/06/2021","30,270.0","30,221.0","30,270.0","29,974.0","44.80K","0.33%"
"10/07/2021","30,073.0","30,171.0","30,270.0","30,073.0","40.70K","-0.65%"
"10/08/2021","30,270.0","29,728.0","30,270.0","29,728.0","5.10K","0.66%"
"10/11/2021","30,467.0","30,270.0","30,467.0","29,580.0","46.70K","0.65%"
"10/12/2021","32,587.0","30,763.0","32,587.0","30,566.0","127.30K","6.96%"
"10/13/2021","34,214.0","34,510.0","34,510.0","33,524.0","44.00K","4.99%"
"10/14/2021","34,460.0","34,214.0","35,299.0","33,918.0","53.90K","0.72%"
"10/15/2021","33,376.0","33,622.0","34,017.0","32,883.0","43.70K","-3.15%"
"10/18/2021","34,608.0","33,425.0","35,003.0","33,425.0","65.80K","3.69%"
"10/19/2021","34,510.0","34,411.0","35,003.0","34,263.0","26.30K","-0.28%"
"10/20/2021","34,214.0","33,967.0","34,953.0","33,524.0","25.10K","-0.86%"
