"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","4,170.00","4,200.00","4,220.00","4,150.00","466.40K","-1.18%"
"07/02/2021","4,160.00","4,220.00","4,340.00","4,160.00","518.40K","-0.24%"
"07/05/2021","4,140.00","3,980.00","4,200.00","3,980.00","889.60K","-0.48%"
"07/06/2021","4,130.00","4,140.00","4,220.00","4,080.00","752.70K","-0.24%"
"07/07/2021","3,900.00","4,190.00","4,190.00","3,900.00","733.60K","-5.57%"
"07/08/2021","3,900.00","3,850.00","3,950.00","3,830.00","434.80K","0.00%"
"07/09/2021","3,800.00","3,900.00","4,000.00","3,780.00","461.30K","-2.56%"
"07/12/2021","3,540.00","3,800.00","3,800.00","3,540.00","1.45M","-6.84%"
"07/13/2021","3,780.00","3,760.00","3,780.00","3,400.00","447.00K","6.78%"
"07/14/2021","3,940.00","3,750.00","4,000.00","3,650.00","348.40K","4.23%"
"07/15/2021","4,050.00","3,980.00","4,100.00","3,760.00","493.60K","2.79%"
"07/16/2021","4,020.00","4,100.00","4,100.00","3,970.00","506.40K","-0.74%"
"07/19/2021","3,900.00","4,040.00","4,040.00","3,740.00","504.60K","-2.99%"
"07/20/2021","3,900.00","3,950.00","3,950.00","3,710.00","289.80K","0.00%"
"07/21/2021","3,760.00","3,940.00","3,940.00","3,750.00","270.40K","-3.59%"
"07/22/2021","3,870.00","3,700.00","3,930.00","3,700.00","491.70K","2.93%"
"07/23/2021","3,840.00","3,760.00","3,930.00","3,760.00","646.10K","-0.78%"
"07/26/2021","3,880.00","3,890.00","3,890.00","3,700.00","602.80K","1.04%"
"07/27/2021","3,910.00","3,880.00","3,950.00","3,810.00","629.20K","0.77%"
"07/28/2021","4,000.00","3,910.00","4,120.00","3,910.00","747.00K","2.30%"
"07/29/2021","4,030.00","4,000.00","4,090.00","4,000.00","606.80K","0.75%"
"07/30/2021","3,970.00","4,060.00","4,060.00","3,960.00","670.00K","-1.49%"
"08/02/2021","3,970.00","4,000.00","4,030.00","3,930.00","567.30K","0.00%"
"08/03/2021","3,960.00","4,040.00","4,040.00","3,900.00","250.20K","-0.25%"
"08/04/2021","3,960.00","3,910.00","3,990.00","3,900.00","561.60K","0.00%"
"08/05/2021","4,030.00","4,000.00","4,200.00","3,930.00","715.50K","1.77%"
"08/06/2021","4,190.00","4,030.00","4,290.00","4,030.00","831.20K","3.97%"
"08/09/2021","4,290.00","4,200.00","4,330.00","4,000.00","882.50K","2.39%"
"08/10/2021","4,170.00","4,300.00","4,410.00","4,100.00","1.08M","-2.80%"
"08/11/2021","4,160.00","4,170.00","4,300.00","4,130.00","945.10K","-0.24%"
"08/12/2021","4,180.00","4,200.00","4,250.00","4,150.00","744.10K","0.48%"
"08/13/2021","4,080.00","4,190.00","4,190.00","4,060.00","452.00K","-2.39%"
"08/16/2021","4,080.00","3,940.00","4,120.00","3,940.00","836.10K","0.00%"
"08/17/2021","4,050.00","4,150.00","4,150.00","4,030.00","461.40K","-0.74%"
"08/18/2021","4,330.00","4,150.00","4,330.00","4,100.00","2.63M","6.91%"
"08/19/2021","4,630.00","4,630.00","4,630.00","4,490.00","2.78M","6.93%"
"08/20/2021","4,400.00","4,700.00","4,730.00","4,310.00","1.60M","-4.97%"
"08/23/2021","4,270.00","4,200.00","4,390.00","4,170.00","1.10M","-2.95%"
"08/24/2021","4,010.00","4,250.00","4,250.00","3,980.00","1.49M","-6.09%"
"08/25/2021","4,140.00","4,000.00","4,210.00","4,000.00","1.03M","3.24%"
"08/26/2021","4,140.00","4,140.00","4,400.00","4,140.00","545.60K","0.00%"
"08/27/2021","4,170.00","4,300.00","4,350.00","4,040.00","704.90K","0.72%"
"08/30/2021","4,170.00","4,170.00","4,350.00","4,040.00","662.00K","0.00%"
"08/31/2021","4,260.00","4,100.00","4,300.00","4,100.00","894.40K","2.16%"
"09/01/2021","4,550.00","4,300.00","4,550.00","4,260.00","1.87M","6.81%"
"09/06/2021","4,860.00","4,860.00","4,860.00","4,710.00","1.31M","6.81%"
"09/07/2021","4,750.00","5,150.00","5,150.00","4,600.00","1.97M","-2.26%"
"09/08/2021","5,080.00","4,600.00","5,080.00","4,600.00","1.61M","6.95%"
"09/09/2021","5,430.00","5,430.00","5,430.00","5,430.00","642.30K","6.89%"
"09/10/2021","5,810.00","5,810.00","5,810.00","5,810.00","286.40K","7.00%"
"09/13/2021","6,210.00","6,210.00","6,210.00","6,210.00","221.60K","6.88%"
