"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","7,430.0","7,280.0","7,450.0","7,230.0","524.60K","1.78%"
"07/02/2021","7,400.0","7,500.0","7,500.0","7,350.0","224.70K","-0.40%"
"07/05/2021","7,300.0","7,400.0","7,400.0","7,200.0","594.10K","-1.35%"
"07/06/2021","7,110.0","7,300.0","7,310.0","7,100.0","517.20K","-2.60%"
"07/07/2021","6,900.0","7,000.0","7,100.0","6,750.0","683.90K","-2.95%"
"07/08/2021","6,840.0","6,820.0","7,000.0","6,820.0","409.40K","-0.87%"
"07/09/2021","6,660.0","6,840.0","6,950.0","6,600.0","490.50K","-2.63%"
"07/12/2021","6,200.0","6,660.0","6,660.0","6,200.0","1.47M","-6.91%"
"07/13/2021","6,300.0","6,390.0","6,400.0","6,000.0","338.40K","1.61%"
"07/14/2021","6,260.0","6,300.0","6,400.0","6,200.0","292.80K","-0.63%"
"07/15/2021","6,360.0","6,220.0","6,500.0","6,210.0","483.30K","1.60%"
"07/16/2021","6,360.0","6,450.0","6,550.0","6,360.0","304.30K","0.00%"
"07/19/2021","6,090.0","6,120.0","6,290.0","6,050.0","357.00K","-4.25%"
"07/20/2021","6,210.0","6,100.0","6,210.0","6,030.0","599.30K","1.97%"
"07/21/2021","6,280.0","6,210.0","6,300.0","6,210.0","157.70K","1.13%"
"07/22/2021","6,460.0","6,290.0","6,480.0","6,230.0","374.90K","2.87%"
"07/23/2021","6,350.0","6,400.0","6,500.0","6,330.0","335.10K","-1.70%"
"07/26/2021","6,390.0","6,210.0","6,500.0","6,200.0","377.60K","0.63%"
"07/27/2021","6,400.0","6,350.0","6,500.0","6,350.0","440.10K","0.16%"
"07/28/2021","6,370.0","6,400.0","6,440.0","6,350.0","278.20K","-0.47%"
"07/29/2021","6,500.0","6,370.0","6,510.0","6,350.0","732.50K","2.04%"
"07/30/2021","6,570.0","6,610.0","6,650.0","6,560.0","547.50K","1.08%"
"08/02/2021","6,590.0","6,700.0","6,710.0","6,590.0","406.10K","0.30%"
"08/03/2021","6,580.0","6,600.0","6,660.0","6,500.0","316.10K","-0.15%"
"08/04/2021","6,600.0","6,650.0","6,850.0","6,600.0","417.40K","0.30%"
"08/05/2021","7,060.0","7,060.0","7,060.0","7,060.0","314.60K","6.97%"
"08/06/2021","7,550.0","7,550.0","7,550.0","7,550.0","568.80K","6.94%"
"08/09/2021","7,850.0","8,060.0","8,060.0","7,600.0","4.24M","3.97%"
"08/10/2021","7,690.0","7,790.0","7,850.0","7,650.0","1.61M","-2.04%"
"08/11/2021","7,720.0","7,690.0","7,850.0","7,690.0","1.70M","0.39%"
"08/12/2021","7,720.0","7,590.0","7,860.0","7,560.0","2.52M","0.00%"
"08/13/2021","7,690.0","7,740.0","7,790.0","7,570.0","849.60K","-0.39%"
"08/16/2021","8,030.0","7,740.0","8,110.0","7,680.0","4.80M","4.42%"
"08/17/2021","7,700.0","8,100.0","8,120.0","7,700.0","3.03M","-4.11%"
"08/18/2021","7,810.0","7,790.0","7,960.0","7,690.0","1.85M","1.43%"
"08/19/2021","7,800.0","7,900.0","7,900.0","7,650.0","2.25M","-0.13%"
"08/20/2021","7,280.0","7,720.0","7,800.0","7,260.0","3.24M","-6.67%"
"08/23/2021","7,020.0","7,200.0","7,250.0","7,010.0","2.02M","-3.57%"
"08/24/2021","7,300.0","7,030.0","7,300.0","7,000.0","1.48M","3.99%"
"08/25/2021","7,220.0","7,300.0","7,300.0","7,100.0","742.70K","-1.10%"
"08/26/2021","7,110.0","7,200.0","7,280.0","7,110.0","988.40K","-1.52%"
"08/27/2021","7,220.0","7,120.0","7,220.0","7,050.0","622.40K","1.55%"
"08/30/2021","7,400.0","7,230.0","7,420.0","7,220.0","1.14M","2.49%"
"08/31/2021","7,600.0","7,410.0","7,640.0","7,350.0","1.37M","2.70%"
"09/01/2021","7,750.0","7,800.0","7,810.0","7,600.0","2.66M","1.97%"
