"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","10,300.00","9,670.00","10,300.00","9,670.00","1.13M","6.51%"
"07/02/2021","11,000.00","11,000.00","11,000.00","11,000.00","394.60K","6.80%"
"07/05/2021","11,750.00","11,750.00","11,750.00","11,000.00","2.57M","6.82%"
"07/06/2021","10,950.00","12,550.00","12,550.00","10,950.00","1.07M","-6.81%"
"07/07/2021","11,700.00","10,550.00","11,700.00","10,550.00","893.40K","6.85%"
"07/08/2021","12,500.00","12,500.00","12,500.00","12,200.00","677.40K","6.84%"
"07/09/2021","12,550.00","12,500.00","13,350.00","11,650.00","871.90K","0.40%"
"07/12/2021","11,700.00","11,800.00","12,000.00","11,700.00","951.90K","-6.77%"
"07/13/2021","12,300.00","10,900.00","12,300.00","10,900.00","1.39M","5.13%"
"07/14/2021","13,000.00","12,800.00","13,000.00","12,300.00","1.28M","5.69%"
"07/15/2021","13,200.00","12,700.00","13,400.00","12,700.00","452.20K","1.54%"
"07/16/2021","12,400.00","13,300.00","13,400.00","12,300.00","383.50K","-6.06%"
"07/19/2021","11,550.00","11,550.00","12,200.00","11,550.00","511.90K","-6.85%"
"07/20/2021","12,350.00","11,000.00","12,350.00","10,750.00","459.20K","6.93%"
"07/21/2021","12,800.00","13,200.00","13,200.00","12,600.00","258.40K","3.64%"
"07/22/2021","12,900.00","12,500.00","13,000.00","12,450.00","191.80K","0.78%"
"07/23/2021","12,300.00","12,900.00","12,900.00","12,300.00","181.70K","-4.65%"
"07/26/2021","12,400.00","11,600.00","12,400.00","11,500.00","185.10K","0.81%"
"07/27/2021","12,150.00","11,950.00","12,500.00","11,950.00","173.80K","-2.02%"
"07/28/2021","11,800.00","12,150.00","12,150.00","11,700.00","99.00K","-2.88%"
"07/29/2021","11,750.00","11,700.00","12,200.00","11,600.00","872.90K","-0.42%"
"07/30/2021","11,900.00","11,750.00","11,900.00","11,400.00","151.40K","1.28%"
"08/02/2021","11,900.00","11,900.00","12,100.00","11,600.00","247.60K","0.00%"
"08/03/2021","12,000.00","11,900.00","12,400.00","11,850.00","490.00K","0.84%"
"08/04/2021","11,600.00","11,600.00","12,000.00","11,600.00","125.60K","-3.33%"
"08/05/2021","11,700.00","11,600.00","11,900.00","11,600.00","172.00K","0.86%"
"08/06/2021","11,600.00","11,800.00","11,800.00","11,600.00","261.80K","-0.85%"
"08/09/2021","12,400.00","11,850.00","12,400.00","11,600.00","886.00K","6.90%"
"08/10/2021","13,250.00","13,250.00","13,250.00","13,250.00","1.70M","6.85%"
"08/11/2021","14,150.00","14,150.00","14,150.00","14,150.00","223.50K","6.79%"
"08/12/2021","15,100.00","15,100.00","15,100.00","15,100.00","298.10K","6.71%"
"08/13/2021","16,150.00","16,150.00","16,150.00","15,100.00","1.73M","6.95%"
"08/16/2021","17,250.00","17,250.00","17,250.00","17,250.00","106.40K","6.81%"
"08/17/2021","18,450.00","18,450.00","18,450.00","18,250.00","465.20K","6.96%"
"08/18/2021","19,700.00","19,700.00","19,700.00","19,600.00","1.10M","6.78%"
"08/19/2021","21,050.00","20,800.00","21,050.00","18,350.00","1.49M","6.85%"
"08/20/2021","22,500.00","22,400.00","22,500.00","21,500.00","1.08M","6.89%"
"08/23/2021","24,050.00","21,150.00","24,050.00","21,150.00","574.60K","6.89%"
"08/24/2021","23,400.00","25,000.00","25,400.00","22,500.00","516.60K","-2.70%"
"08/25/2021","25,000.00","23,000.00","25,000.00","21,800.00","1.43M","6.84%"
"08/26/2021","26,500.00","25,200.00","26,600.00","25,200.00","773.20K","6.00%"
"08/27/2021","27,000.00","27,300.00","27,500.00","26,500.00","458.40K","1.89%"
"08/30/2021","28,850.00","28,500.00","28,850.00","27,000.00","547.00K","6.85%"
"08/31/2021","30,850.00","30,850.00","30,850.00","30,850.00","123.50K","6.93%"
"09/01/2021","33,000.00","33,000.00","33,000.00","32,900.00","612.60K","6.97%"
"09/06/2021","35,300.00","35,300.00","35,300.00","35,300.00","108.20K","6.97%"
"09/07/2021","37,750.00","37,750.00","37,750.00","35,300.00","680.50K","6.94%"
"09/08/2021","40,350.00","38,000.00","40,350.00","38,000.00","441.60K","6.89%"
"09/09/2021","43,150.00","43,150.00","43,150.00","43,150.00","31.30K","6.94%"
"09/10/2021","46,150.00","46,150.00","46,150.00","46,150.00","637.90K","6.95%"
"09/13/2021","49,350.00","49,350.00","49,350.00","49,350.00","629.00K","6.93%"
"09/14/2021","52,800.00","52,800.00","52,800.00","52,800.00","37.30K","6.99%"
"09/15/2021","56,400.00","56,400.00","56,400.00","56,400.00","80.60K","6.82%"
"09/16/2021","60,300.00","60,300.00","60,300.00","56,500.00","1.34M","6.91%"
"09/17/2021","64,500.00","56,100.00","64,500.00","56,100.00","1.62M","6.97%"
"09/20/2021","69,000.00","69,000.00","69,000.00","69,000.00","368.50K","6.98%"
"09/21/2021","73,800.00","73,800.00","73,800.00","71,000.00","706.40K","6.96%"
"09/22/2021","74,800.00","76,000.00","77,400.00","70,000.00","484.40K","1.36%"
"09/23/2021","69,600.00","73,000.00","75,000.00","69,600.00","647.10K","-6.95%"
"09/24/2021","64,800.00","64,800.00","64,800.00","64,800.00","89.80K","-6.90%"
"09/27/2021","60,300.00","60,300.00","60,300.00","60,300.00","9.80K","-6.94%"
"09/28/2021","56,100.00","56,100.00","56,100.00","56,100.00","3.00K","-6.97%"
"09/29/2021","52,200.00","52,200.00","52,200.00","52,200.00","52.80K","-6.95%"
"09/30/2021","50,800.00","48,550.00","54,800.00","48,550.00","1.98M","-2.68%"
"10/01/2021","47,250.00","50,800.00","51,000.00","47,250.00","483.00K","-6.99%"
"10/04/2021","43,950.00","43,950.00","47,900.00","43,950.00","1.44M","-6.98%"
"10/05/2021","40,900.00","40,900.00","40,900.00","40,900.00","31.00K","-6.94%"
"10/06/2021","38,050.00","38,050.00","38,050.00","38,050.00","57.70K","-6.97%"
"10/07/2021","35,400.00","35,400.00","35,400.00","35,400.00","36.30K","-6.96%"
"10/08/2021","32,950.00","32,950.00","32,950.00","32,950.00","11.60K","-6.92%"
"10/11/2021","30,650.00","30,650.00","30,650.00","30,650.00","16.30K","-6.98%"
"10/12/2021","28,550.00","28,550.00","30,600.00","28,550.00","2.07M","-6.85%"
"10/13/2021","30,500.00","27,750.00","30,500.00","27,500.00","323.20K","6.83%"
"10/14/2021","32,600.00","32,600.00","32,600.00","32,600.00","219.50K","6.89%"
"10/15/2021","30,350.00","34,850.00","34,850.00","30,350.00","1.41M","-6.90%"
"10/18/2021","28,250.00","28,500.00","30,000.00","28,250.00","616.00K","-6.92%"
"10/19/2021","28,900.00","28,100.00","29,500.00","28,100.00","243.20K","2.30%"
"10/20/2021","26,900.00","28,900.00","28,900.00","26,900.00","629.40K","-6.92%"
"10/21/2021","27,000.00","27,900.00","27,900.00","25,050.00","555.80K","0.37%"
"10/22/2021","27,150.00","27,800.00","28,100.00","26,500.00","167.50K","0.56%"
"10/25/2021","26,400.00","27,150.00","27,150.00","26,000.00","270.30K","-2.76%"
"10/26/2021","25,750.00","26,400.00","26,400.00","25,600.00","288.00K","-2.46%"
"10/27/2021","25,500.00","25,850.00","26,500.00","25,450.00","367.60K","-0.97%"
"10/28/2021","24,150.00","25,500.00","25,500.00","24,150.00","452.40K","-5.29%"
"10/29/2021","23,100.00","24,000.00","24,950.00","23,100.00","438.30K","-4.35%"
"11/01/2021","22,650.00","22,000.00","23,500.00","22,000.00","490.50K","-1.95%"
"11/02/2021","24,200.00","22,650.00","24,200.00","22,400.00","311.50K","6.84%"
"11/03/2021","25,850.00","25,850.00","25,850.00","24,200.00","683.50K","6.82%"
"11/04/2021","25,800.00","25,800.00","26,200.00","24,200.00","426.70K","-0.19%"
"11/05/2021","26,000.00","25,600.00","26,500.00","24,900.00","236.90K","0.78%"
"11/08/2021","25,100.00","25,000.00","26,100.00","25,000.00","484.80K","-3.46%"
"11/09/2021","24,200.00","25,150.00","25,150.00","24,200.00","370.50K","-3.59%"
"11/10/2021","24,300.00","24,050.00","25,500.00","23,600.00","162.50K","0.41%"
"11/11/2021","23,600.00","24,300.00","24,300.00","23,500.00","322.70K","-2.88%"
