"Date","Price","Open","High","Low","Vol.","Change %"
"07/05/2021","30,225.0","30,132.0","30,225.0","30,132.0","0.50K","-2.99%"
"07/13/2021","30,225.0","30,690.0","30,690.0","30,225.0","2.20K","0.00%"
"07/16/2021","31,155.0","31,155.0","31,155.0","31,155.0","0.10K","3.08%"
"07/19/2021","31,155.0","31,155.0","31,155.0","31,155.0","0.20K","0.00%"
"07/23/2021","29,016.0","29,016.0","29,016.0","29,016.0","0.10K","-6.87%"
"08/05/2021","29,016.0","29,016.0","29,016.0","29,016.0","1.00K","0.00%"
"08/06/2021","29,016.0","29,016.0","29,016.0","29,016.0","1.00K","0.00%"
"08/09/2021","28,179.0","29,016.0","29,016.0","27,900.0","7.10K","-2.88%"
"08/11/2021","28,179.0","28,086.0","28,179.0","28,086.0","3.90K","0.00%"
"08/12/2021","28,179.0","28,086.0","30,132.0","28,086.0","10.00K","0.00%"
"08/16/2021","28,179.0","28,179.0","28,179.0","28,179.0","2.50K","0.00%"
"08/18/2021","30,132.0","30,132.0","30,132.0","30,132.0","0.10K","6.93%"
"08/19/2021","31,899.0","28,132.0","31,899.0","28,132.0","0.90K","5.86%"
"08/20/2021","31,899.0","29,667.0","31,899.0","29,667.0","1.50K","0.00%"
"08/23/2021","29,760.0","29,760.0","29,760.0","29,760.0","1.00K","-6.71%"
"08/24/2021","28,830.0","28,830.0","31,806.0","27,900.0","13.00K","-3.13%"
"08/26/2021","30,783.0","30,783.0","30,783.0","30,783.0","0.10K","6.77%"
"08/27/2021","29,760.0","30,225.0","30,225.0","29,760.0","0.30K","-3.32%"
"08/30/2021","31,527.0","31,527.0","31,527.0","31,527.0","0.10K","5.94%"
"08/31/2021","31,341.0","31,155.0","31,341.0","29,341.0","8.00K","-0.59%"
"09/01/2021","32,085.0","29,527.0","32,085.0","29,155.0","22.40K","2.37%"
"09/06/2021","29,853.0","32,038.0","32,038.0","29,853.0","5.70K","-6.96%"
"09/07/2021","31,341.0","31,434.0","31,434.0","29,806.0","13.60K","4.98%"
"09/08/2021","29,667.0","30,225.0","30,597.0","29,574.0","21.70K","-5.34%"
"09/09/2021","30,318.0","29,667.0","30,411.0","28,923.0","24.60K","2.19%"
"09/10/2021","29,295.0","29,295.0","29,388.0","28,830.0","6.70K","-3.37%"
"09/13/2021","29,853.0","29,295.0","29,899.0","28,644.0","15.40K","1.90%"
"09/14/2021","29,760.0","30,225.0","30,225.0","28,830.0","36.80K","-0.31%"
"09/15/2021","29,667.0","30,225.0","30,318.0","28,876.0","43.40K","-0.31%"
"09/16/2021","28,458.0","29,667.0","29,667.0","28,365.0","38.40K","-4.08%"
"09/17/2021","30,318.0","29,620.0","30,411.0","29,016.0","120.40K","6.54%"
"09/20/2021","31,155.0","32,410.0","32,410.0","31,155.0","45.90K","2.76%"
"09/21/2021","30,969.0","31,155.0","31,480.0","30,597.0","19.40K","-0.60%"
"09/22/2021","30,504.0","30,736.0","30,736.0","29,760.0","186.30K","-1.50%"
"09/23/2021","30,504.0","30,504.0","31,155.0","30,504.0","41.40K","0.00%"
"09/24/2021","30,690.0","30,876.0","30,969.0","30,504.0","27.30K","0.61%"
"09/27/2021","30,411.0","30,690.0","30,876.0","30,132.0","37.10K","-0.91%"
"09/28/2021","30,411.0","30,411.0","30,504.0","30,132.0","14.50K","0.00%"
"09/29/2021","30,039.0","30,225.0","30,225.0","29,760.0","16.40K","-1.22%"
"09/30/2021","29,992.0","30,178.0","30,411.0","29,992.0","4.80K","-0.16%"
"10/01/2021","29,992.0","29,946.0","29,992.0","29,295.0","13.10K","0.00%"
"10/04/2021","29,992.0","29,481.0","29,992.0","29,388.0","19.50K","0.00%"
"10/05/2021","29,760.0","29,992.0","29,992.0","29,341.0","2.60K","-0.77%"
"10/06/2021","29,667.0","29,388.0","29,760.0","29,295.0","16.30K","-0.31%"
"10/07/2021","29,667.0","29,667.0","29,667.0","29,620.0","11.40K","0.00%"
"10/08/2021","29,667.0","29,388.0","29,667.0","29,388.0","12.60K","0.00%"
"10/11/2021","29,713.0","29,295.0","29,760.0","29,295.0","7.70K","0.16%"
"10/12/2021","29,481.0","29,667.0","29,713.0","29,481.0","5.50K","-0.78%"
"10/13/2021","29,574.0","29,667.0","29,667.0","29,295.0","16.70K","0.32%"
"10/14/2021","29,946.0","29,295.0","29,946.0","29,295.0","8.00K","1.26%"
"10/15/2021","30,039.0","29,341.0","30,225.0","29,295.0","8.20K","0.31%"
