"Date","Price","Open","High","Low","Vol.","Change %"
"12/31/2021","43,536.0","43,154.0","44,299.0","42,008.0","53.80K","0.89%"
"12/30/2021","43,154.0","43,631.0","43,631.0","42,390.0","20.20K","1.23%"
"12/29/2021","42,629.0","43,201.0","43,917.0","42,008.0","19.20K","-1.87%"
"12/28/2021","43,440.0","43,726.0","43,822.0","42,485.0","16.90K","-1.09%"
"12/27/2021","43,917.0","42,485.0","44,777.0","42,485.0","19.50K","2.45%"
"12/24/2021","42,867.0","43,010.0","43,010.0","41,435.0","55.00K","-0.22%"
"12/23/2021","42,963.0","42,963.0","42,963.0","41,435.0","33.70K","0.00%"
"12/22/2021","42,963.0","43,917.0","44,108.0","42,963.0","49.20K","-1.96%"
"12/21/2021","43,822.0","43,870.0","43,870.0","43,249.0","9.10K","-0.11%"
"12/20/2021","43,870.0","44,586.0","44,586.0","42,963.0","60.90K","0.33%"
"12/17/2021","43,726.0","44,013.0","44,156.0","43,583.0","20.00K","-0.65%"
"12/16/2021","44,013.0","43,631.0","44,013.0","43,536.0","44.10K","0.66%"
"12/15/2021","43,726.0","43,345.0","44,252.0","43,154.0","38.00K","0.44%"
"12/14/2021","43,536.0","43,249.0","44,108.0","43,249.0","35.90K","0.44%"
"12/13/2021","43,345.0","43,917.0","43,917.0","42,963.0","26.00K","0.22%"
"12/10/2021","43,249.0","42,963.0","43,345.0","42,772.0","36.10K","-0.22%"
"12/09/2021","43,345.0","43,106.0","43,392.0","42,581.0","36.00K","0.55%"
"12/08/2021","43,106.0","42,963.0","43,440.0","42,676.0","43.20K","0.33%"
"12/07/2021","42,963.0","42,963.0","43,917.0","42,819.0","38.30K","0.00%"
"12/06/2021","42,963.0","44,299.0","45,254.0","42,485.0","62.30K","-5.66%"
"12/03/2021","45,540.0","46,018.0","46,018.0","44,443.0","66.00K","-1.14%"
"12/02/2021","46,066.0","44,872.0","47,259.0","44,824.0","108.20K","0.52%"
"12/01/2021","45,827.0","47,259.0","47,259.0","45,827.0","33.80K","-3.61%"
"11/30/2021","47,545.0","44,395.0","48,691.0","44,395.0","130.70K","4.07%"
"11/29/2021","45,684.0","42,103.0","46,304.0","42,103.0","153.50K","2.68%"
"11/26/2021","44,490.0","44,872.0","45,206.0","43,917.0","41.30K","-1.58%"
"11/25/2021","45,206.0","45,636.0","45,684.0","44,299.0","63.10K","-1.05%"
"11/24/2021","45,684.0","42,772.0","45,684.0","41,722.0","282.30K","6.93%"
"11/23/2021","42,724.0","42,008.0","42,724.0","41,053.0","71.90K","3.83%"
"11/22/2021","41,149.0","41,722.0","41,817.0","41,053.0","105.20K","-1.37%"
"11/19/2021","41,722.0","42,676.0","42,676.0","41,722.0","122.00K","-1.58%"
"11/18/2021","42,390.0","42,772.0","42,772.0","41,912.0","86.60K","0.00%"
"11/17/2021","42,390.0","42,008.0","43,440.0","41,531.0","280.40K","2.07%"
"11/16/2021","41,531.0","42,008.0","42,008.0","41,053.0","87.40K","-0.91%"
"11/15/2021","41,912.0","41,817.0","42,056.0","41,340.0","118.00K","0.92%"
"11/12/2021","41,531.0","42,008.0","42,676.0","41,483.0","88.20K","-0.91%"
"11/11/2021","41,912.0","43,249.0","43,249.0","40,671.0","59.10K","-2.45%"
"11/10/2021","42,963.0","42,485.0","43,917.0","41,578.0","95.80K","2.27%"
"11/09/2021","42,008.0","42,438.0","42,438.0","41,817.0","60.20K","-1.12%"
"11/08/2021","42,485.0","41,435.0","42,485.0","41,053.0","198.20K","3.01%"
"11/05/2021","41,244.0","41,531.0","41,531.0","40,910.0","75.90K","-0.69%"
