"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","17,450.0","17,400.0","17,800.0","17,000.0","1.81M","0.29%"
"07/02/2021","18,100.0","17,700.0","18,350.0","17,500.0","5.86M","3.72%"
"07/05/2021","18,950.0","18,200.0","19,200.0","18,200.0","5.17M","4.70%"
"07/06/2021","17,650.0","18,950.0","19,100.0","17,650.0","2.20M","-6.86%"
"07/07/2021","17,400.0","17,550.0","17,600.0","16,450.0","2.34M","-1.42%"
"07/08/2021","16,300.0","17,000.0","17,400.0","16,200.0","4.35M","-6.32%"
"07/09/2021","15,200.0","15,950.0","16,000.0","15,200.0","4.44M","-6.75%"
"07/12/2021","14,150.0","14,600.0","14,600.0","14,150.0","1.76M","-6.91%"
"07/13/2021","14,000.0","14,150.0","14,500.0","13,500.0","1.81M","-1.06%"
"07/14/2021","14,150.0","14,500.0","14,700.0","13,800.0","1.58M","1.07%"
"07/15/2021","14,650.0","14,150.0","14,800.0","14,150.0","989.70K","3.53%"
"07/16/2021","15,200.0","14,950.0","15,400.0","14,900.0","1.50M","3.75%"
"07/19/2021","14,150.0","15,200.0","15,200.0","14,150.0","1.67M","-6.91%"
"07/20/2021","14,900.0","14,150.0","14,950.0","13,800.0","1.09M","5.30%"
"07/21/2021","14,700.0","15,250.0","15,250.0","14,600.0","565.50K","-1.34%"
"07/22/2021","14,750.0","14,650.0","15,150.0","14,300.0","886.40K","0.34%"
"07/23/2021","14,250.0","14,500.0","14,700.0","14,200.0","1.14M","-3.39%"
"07/26/2021","14,200.0","13,950.0","14,350.0","13,850.0","869.00K","-0.35%"
"07/27/2021","14,350.0","14,500.0","14,650.0","14,250.0","806.30K","1.06%"
"07/28/2021","14,400.0","14,500.0","14,650.0","14,350.0","748.70K","0.35%"
"07/29/2021","14,600.0","14,500.0","14,750.0","14,400.0","834.10K","1.39%"
"07/30/2021","14,700.0","14,700.0","14,950.0","14,450.0","1.31M","0.68%"
"08/02/2021","15,150.0","14,700.0","15,450.0","14,550.0","1.70M","3.06%"
"08/03/2021","14,900.0","15,300.0","15,300.0","14,750.0","1.07M","-1.65%"
"08/04/2021","15,100.0","15,000.0","15,200.0","14,900.0","1.47M","1.34%"
"08/05/2021","15,800.0","15,100.0","15,800.0","14,900.0","2.25M","4.64%"
"08/06/2021","16,050.0","15,900.0","16,400.0","15,900.0","1.84M","1.58%"
"08/09/2021","16,200.0","15,700.0","16,200.0","15,700.0","1.28M","0.93%"
"08/10/2021","16,300.0","16,350.0","16,500.0","16,200.0","1.87M","0.62%"
"08/11/2021","16,000.0","16,300.0","16,400.0","16,000.0","1.66M","-1.84%"
"08/12/2021","16,100.0","15,850.0","16,700.0","15,800.0","1.88M","0.63%"
"08/13/2021","16,100.0","16,050.0","16,400.0","15,700.0","1.60M","0.00%"
"08/16/2021","17,200.0","16,400.0","17,200.0","16,300.0","3.98M","6.83%"
"08/17/2021","17,900.0","17,500.0","18,200.0","17,500.0","4.50M","4.07%"
"08/18/2021","17,700.0","17,900.0","18,200.0","17,450.0","1.85M","-1.12%"
"08/19/2021","18,050.0","17,400.0","18,150.0","17,400.0","2.31M","1.98%"
"08/20/2021","17,400.0","18,300.0","18,800.0","17,000.0","6.34M","-3.60%"
"08/23/2021","17,000.0","17,400.0","17,750.0","17,000.0","2.19M","-2.30%"
"08/24/2021","16,400.0","17,000.0","17,300.0","16,000.0","2.36M","-3.53%"
"08/25/2021","17,500.0","16,300.0","17,500.0","15,800.0","3.24M","6.71%"
"08/26/2021","17,400.0","18,000.0","18,000.0","17,000.0","1.83M","-0.57%"
"08/27/2021","17,700.0","17,050.0","17,800.0","16,700.0","1.95M","1.72%"
"08/30/2021","18,900.0","18,100.0","18,900.0","17,800.0","8.34M","6.78%"
"08/31/2021","19,400.0","20,100.0","20,200.0","19,300.0","5.48M","2.65%"
"09/01/2021","20,000.0","19,300.0","20,000.0","19,300.0","3.46M","3.09%"
"09/06/2021","21,400.0","20,400.0","21,400.0","20,300.0","5.57M","7.00%"
"09/07/2021","20,300.0","21,500.0","21,950.0","20,200.0","6.00M","-5.14%"
"09/08/2021","21,000.0","20,300.0","21,200.0","20,000.0","4.18M","3.45%"
"09/09/2021","21,400.0","21,000.0","21,850.0","21,000.0","2.84M","1.90%"
"09/10/2021","21,100.0","21,500.0","21,550.0","20,800.0","3.36M","-1.40%"
"09/13/2021","20,200.0","21,000.0","21,200.0","19,950.0","3.77M","-4.27%"
"09/14/2021","20,650.0","20,200.0","20,900.0","20,200.0","2.68M","2.23%"
"09/15/2021","22,050.0","20,700.0","22,050.0","20,350.0","4.78M","6.78%"
"09/16/2021","22,600.0","22,700.0","22,850.0","22,150.0","4.64M","2.49%"
"09/17/2021","23,350.0","22,350.0","23,700.0","22,200.0","4.31M","3.32%"
"09/20/2021","22,200.0","23,350.0","23,350.0","21,900.0","5.27M","-4.93%"
