"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","37,549.0","37,826.0","38,103.0","37,549.0","1.20K","-0.73%"
"07/02/2021","37,503.0","37,641.0","37,826.0","37,503.0","3.70K","-0.12%"
"07/05/2021","37,549.0","37,549.0","37,641.0","37,503.0","9.00K","0.12%"
"07/06/2021","37,641.0","37,549.0","37,826.0","37,180.0","6.90K","0.25%"
"07/07/2021","37,180.0","37,365.0","37,365.0","36,811.0","7.60K","-1.22%"
"07/08/2021","37,180.0","37,365.0","37,365.0","36,996.0","2.70K","0.00%"
"07/09/2021","36,996.0","37,180.0","37,180.0","36,996.0","5.10K","-0.49%"
"07/12/2021","35,981.0","36,442.0","36,719.0","35,981.0","5.40K","-2.74%"
"07/13/2021","37,365.0","36,027.0","37,365.0","36,027.0","0.30K","3.85%"
"07/14/2021","36,903.0","37,365.0","37,365.0","36,903.0","4.00K","-1.24%"
"07/15/2021","37,088.0","36,903.0","37,088.0","36,442.0","2.00K","0.50%"
"07/16/2021","37,272.0","37,088.0","37,272.0","37,088.0","1.20K","0.50%"
"07/19/2021","37,272.0","37,272.0","37,272.0","36,350.0","1.90K","0.00%"
"07/20/2021","37,180.0","36,488.0","37,180.0","36,488.0","2.50K","-0.25%"
"07/21/2021","37,365.0","37,180.0","37,365.0","37,134.0","2.50K","0.50%"
"07/22/2021","37,365.0","36,903.0","37,365.0","36,903.0","1.40K","0.00%"
"07/23/2021","37,826.0","38,287.0","38,287.0","37,226.0","4.60K","1.23%"
"07/26/2021","37,457.0","37,826.0","37,826.0","36,903.0","4.30K","-0.98%"
"07/27/2021","37,457.0","37,411.0","37,457.0","37,411.0","0.50K","0.00%"
"07/28/2021","37,457.0","36,996.0","37,457.0","36,996.0","0.90K","0.00%"
"07/29/2021","37,549.0","37,641.0","37,826.0","37,457.0","5.00K","0.25%"
"07/30/2021","37,226.0","37,549.0","37,549.0","37,226.0","2.70K","-0.86%"
