"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","48,309.0","47,531.0","48,395.0","46,667.0","112.24K","4.49%"
"07/02/2021","47,531.0","48,309.0","48,309.0","46,840.0","46.23K","-1.61%"
"07/05/2021","49,692.0","47,531.0","50,124.0","47,531.0","157.90K","4.55%"
"07/06/2021","47,099.0","48,741.0","49,864.0","47,099.0","43.82K","-5.22%"
"07/07/2021","48,050.0","45,025.0","48,395.0","45,025.0","22.43K","2.02%"
"07/08/2021","47,790.0","46,321.0","49,260.0","46,321.0","48.53K","-0.54%"
"07/09/2021","47,099.0","47,704.0","47,704.0","46,667.0","70.61K","-1.45%"
"07/12/2021","44,074.0","46,408.0","46,753.0","43,815.0","120.64K","-6.42%"
"07/13/2021","45,284.0","44,939.0","45,803.0","44,506.0","10.12K","2.75%"
"07/14/2021","45,803.0","46,062.0","46,062.0","45,198.0","16.79K","1.15%"
"07/15/2021","45,803.0","45,630.0","45,803.0","43,210.0","57.50K","0.00%"
"07/16/2021","47,531.0","45,803.0","47,531.0","44,334.0","50.60K","3.77%"
"07/19/2021","47,358.0","44,852.0","47,531.0","44,852.0","74.06K","-0.36%"
"07/20/2021","46,235.0","46,581.0","47,272.0","45,803.0","24.15K","-2.37%"
"07/21/2021","47,445.0","46,667.0","47,531.0","45,803.0","48.53K","2.62%"
"07/22/2021","50,729.0","47,358.0","50,729.0","47,099.0","177.10K","6.92%"
"07/23/2021","48,482.0","50,729.0","51,852.0","48,482.0","45.20K","-4.43%"
"07/26/2021","50,988.0","48,655.0","50,988.0","48,568.0","101.66K","5.17%"
"07/27/2021","51,334.0","51,852.0","51,852.0","49,260.0","104.08K","0.68%"
"07/28/2021","50,988.0","50,988.0","51,852.0","49,864.0","57.27K","-0.67%"
"07/29/2021","50,729.0","50,124.0","50,988.0","49,864.0","33.01K","-0.51%"
"07/30/2021","52,889.0","50,729.0","53,062.0","50,124.0","192.05K","4.26%"
"08/02/2021","50,988.0","50,988.0","51,852.0","50,037.0","207.92K","-3.59%"
"08/03/2021","49,260.0","50,988.0","51,679.0","49,260.0","198.26K","-3.39%"
"08/04/2021","46,062.0","48,222.0","48,395.0","45,889.0","268.76K","-6.49%"
"08/05/2021","46,235.0","44,506.0","46,235.0","44,334.0","97.98K","0.38%"
"08/06/2021","45,889.0","46,321.0","47,531.0","45,889.0","89.13K","-0.75%"
"08/09/2021","46,408.0","45,803.0","46,667.0","45,457.0","112.82K","1.13%"
"08/10/2021","47,963.0","46,840.0","47,963.0","46,235.0","118.22K","3.35%"
"08/11/2021","49,692.0","47,963.0","50,124.0","47,963.0","189.52K","3.60%"
"08/12/2021","47,704.0","49,951.0","49,951.0","47,618.0","130.18K","-4.00%"
"08/13/2021","46,926.0","46,667.0","47,704.0","46,667.0","50.26K","-1.63%"
"08/16/2021","47,445.0","46,926.0","47,963.0","46,235.0","86.37K","1.11%"
"08/17/2021","46,235.0","46,321.0","46,667.0","46,235.0","62.10K","-2.55%"
"08/18/2021","46,840.0","46,235.0","47,099.0","46,062.0","61.76K","1.31%"
"08/19/2021","46,235.0","47,099.0","47,099.0","44,074.0","71.53K","-1.29%"
"08/20/2021","45,284.0","46,235.0","46,235.0","44,766.0","109.60K","-2.06%"
"08/23/2021","45,198.0","44,852.0","45,198.0","43,815.0","102.01K","-0.19%"
"08/24/2021","44,420.0","44,247.0","45,284.0","43,988.0","40.25K","-1.72%"
"08/25/2021","45,025.0","45,198.0","45,198.0","44,506.0","18.29K","1.36%"
"08/26/2021","45,457.0","45,025.0","47,099.0","45,025.0","51.75K","0.96%"
"08/27/2021","46,148.0","45,457.0","46,235.0","45,457.0","25.30K","1.52%"
"08/30/2021","46,926.0","46,235.0","47,099.0","46,235.0","82.11K","1.69%"
"08/31/2021","48,395.0","47,358.0","49,087.0","47,358.0","109.02K","3.13%"
"09/01/2021","49,519.0","48,827.0","49,519.0","48,050.0","90.39K","2.32%"
"09/06/2021","52,976.0","50,124.0","52,976.0","49,260.0","244.49K","6.98%"
"09/07/2021","56,087.0","53,148.0","56,605.0","50,988.0","168.48K","5.87%"
"09/08/2021","57,297.0","56,087.0","58,334.0","53,667.0","74.06K","2.16%"
"09/09/2021","59,976.0","55,309.0","60,062.0","55,309.0","204.70K","4.68%"
"09/10/2021","59,889.0","59,630.0","60,494.0","59,457.0","80.27K","-0.15%"
"09/13/2021","62,568.0","59,630.0","62,568.0","57,297.0","204.59K","4.47%"
"09/14/2021","61,272.0","60,581.0","62,568.0","59,889.0","120.06K","-2.07%"
"09/15/2021","62,655.0","59,889.0","62,655.0","59,889.0","91.31K","2.26%"
"09/16/2021","65,593.0","62,568.0","66,544.0","60,148.0","195.39K","4.69%"
"09/17/2021","64,815.0","64,815.0","65,679.0","63,000.0","97.29K","-1.19%"
