"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","31,882.0","31,665.0","31,936.0","31,665.0","6.71K","0.69%"
"07/02/2021","30,583.0","31,882.0","31,882.0","30,583.0","15.77K","-4.07%"
"07/05/2021","30,529.0","30,529.0","30,583.0","29,230.0","17.94K","-0.18%"
"07/06/2021","30,475.0","30,529.0","30,529.0","28,418.0","29.54K","-0.18%"
"07/07/2021","30,475.0","28,742.0","30,475.0","28,742.0","13.23K","0.00%"
"07/08/2021","30,042.0","30,475.0","31,124.0","30,042.0","9.24K","-1.42%"
"07/09/2021","30,366.0","30,204.0","31,395.0","30,204.0","31.18K","1.08%"
"07/12/2021","29,500.0","29,879.0","30,366.0","29,500.0","21.21K","-2.85%"
"07/13/2021","31,124.0","29,500.0","31,341.0","29,500.0","18.67K","5.51%"
"07/14/2021","33,019.0","31,124.0","33,127.0","31,124.0","39.51K","6.09%"
"07/15/2021","32,531.0","33,019.0","33,019.0","31,395.0","42.23K","-1.48%"
"07/16/2021","33,019.0","32,531.0","33,019.0","32,207.0","63.08K","1.50%"
"07/19/2021","32,423.0","33,019.0","33,019.0","31,395.0","13.41K","-1.81%"
"07/20/2021","32,423.0","31,936.0","32,423.0","31,936.0","30.81K","0.00%"
"07/21/2021","33,776.0","33,560.0","34,643.0","32,477.0","45.68K","4.17%"
"07/22/2021","34,101.0","33,776.0","34,643.0","32,910.0","38.43K","0.96%"
"07/23/2021","33,896.0","34,053.0","34,053.0","33,541.0","14.50K","-0.60%"
"07/26/2021","33,896.0","34,290.0","34,290.0","32,751.0","18.00K","0.00%"
"07/27/2021","32,830.0","33,185.0","33,185.0","32,751.0","16.25K","-3.14%"
"07/28/2021","31,804.0","32,830.0","32,830.0","31,804.0","26.00K","-3.13%"
"07/29/2021","30,502.0","31,804.0","31,804.0","29,989.0","25.00K","-4.09%"
"07/30/2021","30,542.0","30,502.0","30,936.0","30,463.0","19.50K","0.13%"
"08/02/2021","31,173.0","30,186.0","31,173.0","30,147.0","24.75K","2.07%"
"08/03/2021","31,528.0","30,857.0","31,568.0","30,857.0","25.75K","1.14%"
"08/04/2021","31,765.0","31,528.0","31,765.0","31,015.0","22.88K","0.75%"
"08/05/2021","31,568.0","31,568.0","31,568.0","30,936.0","29.13K","-0.62%"
"08/06/2021","30,384.0","31,568.0","31,568.0","30,384.0","30.25K","-3.75%"
"08/09/2021","30,384.0","30,384.0","30,384.0","29,989.0","28.00K","0.00%"
"08/10/2021","29,989.0","30,384.0","30,384.0","29,595.0","21.88K","-1.30%"
"08/11/2021","29,910.0","29,989.0","29,989.0","29,673.0","25.38K","-0.26%"
"08/12/2021","29,871.0","29,910.0","29,910.0","29,595.0","18.50K","-0.13%"
"08/13/2021","29,595.0","29,871.0","29,871.0","29,200.0","15.75K","-0.92%"
"08/16/2021","29,871.0","29,595.0","29,989.0","29,595.0","10.63K","0.93%"
"08/17/2021","29,989.0","29,871.0","29,989.0","29,871.0","14.13K","0.40%"
"08/18/2021","30,029.0","29,989.0","30,423.0","29,989.0","31.00K","0.13%"
"08/19/2021","30,029.0","30,029.0","30,029.0","29,713.0","24.13K","0.00%"
"08/20/2021","30,029.0","30,029.0","30,029.0","30,029.0","7.38K","0.00%"
"08/23/2021","29,989.0","30,029.0","30,029.0","29,595.0","15.38K","-0.13%"
"08/24/2021","29,595.0","29,989.0","29,989.0","29,595.0","11.88K","-1.31%"
"08/25/2021","29,595.0","29,595.0","29,950.0","29,595.0","19.13K","0.00%"
"08/26/2021","29,358.0","29,595.0","29,595.0","29,358.0","12.38K","-0.80%"
"08/27/2021","29,358.0","29,358.0","29,358.0","29,200.0","12.38K","0.00%"
"08/30/2021","29,279.0","29,358.0","29,358.0","29,279.0","13.00K","-0.27%"
"08/31/2021","29,239.0","29,279.0","29,279.0","29,200.0","14.25K","-0.14%"
"09/01/2021","28,924.0","29,239.0","29,239.0","28,845.0","29.50K","-1.08%"
"09/06/2021","28,726.0","28,924.0","28,924.0","28,569.0","21.88K","-0.68%"
"09/07/2021","29,595.0","28,726.0","29,595.0","28,569.0","23.00K","3.03%"
"09/08/2021","29,673.0","29,318.0","29,989.0","29,318.0","27.25K","0.26%"
"09/09/2021","29,476.0","29,673.0","29,673.0","29,476.0","11.88K","-0.66%"
"09/10/2021","28,963.0","29,476.0","29,476.0","28,884.0","12.00K","-1.74%"
"09/13/2021","29,161.0","28,963.0","29,161.0","28,963.0","10.75K","0.68%"
"09/14/2021","29,003.0","29,161.0","29,161.0","28,805.0","14.38K","-0.54%"
"09/15/2021","29,121.0","29,003.0","29,121.0","29,003.0","14.75K","0.41%"
"09/16/2021","29,082.0","29,121.0","29,121.0","28,805.0","15.75K","-0.13%"
"09/17/2021","28,963.0","29,082.0","29,279.0","28,963.0","18.25K","-0.41%"
"09/20/2021","28,963.0","28,924.0","29,042.0","28,884.0","17.00K","0.00%"
"09/21/2021","28,963.0","28,963.0","28,963.0","28,648.0","9.25K","0.00%"
"09/22/2021","29,200.0","28,963.0","29,200.0","28,963.0","10.50K","0.82%"
"09/23/2021","29,121.0","29,200.0","29,279.0","29,121.0","41.13K","-0.27%"
"09/24/2021","28,884.0","29,121.0","29,121.0","28,884.0","8.50K","-0.81%"
"09/27/2021","29,042.0","28,884.0","29,200.0","28,884.0","14.00K","0.55%"
"09/28/2021","29,042.0","29,042.0","29,042.0","27,701.0","25.13K","0.00%"
"09/29/2021","29,042.0","29,042.0","29,200.0","29,042.0","11.63K","0.00%"
"09/30/2021","28,805.0","29,042.0","29,042.0","28,253.0","9.88K","-0.82%"
"10/01/2021","28,411.0","28,687.0","28,687.0","28,411.0","8.25K","-1.37%"
"10/04/2021","28,411.0","28,411.0","28,805.0","28,411.0","13.13K","0.00%"
"10/05/2021","28,411.0","28,411.0","28,411.0","27,701.0","21.63K","0.00%"
"10/06/2021","28,726.0","28,411.0","28,805.0","28,411.0","10.13K","1.11%"
"10/07/2021","28,648.0","28,726.0","28,726.0","28,490.0","12.38K","-0.27%"
"10/08/2021","28,490.0","28,648.0","28,648.0","28,490.0","12.25K","-0.55%"
"10/11/2021","29,200.0","28,490.0","29,200.0","28,490.0","15.13K","2.49%"
"10/12/2021","29,200.0","29,200.0","29,200.0","28,411.0","14.38K","0.00%"
"10/13/2021","29,200.0","29,200.0","29,200.0","29,161.0","16.13K","0.00%"
"10/14/2021","28,963.0","29,200.0","29,200.0","28,884.0","11.75K","-0.81%"
"10/15/2021","29,200.0","28,963.0","29,200.0","28,963.0","14.25K","0.82%"
"10/18/2021","28,805.0","29,200.0","29,200.0","28,805.0","19.63K","-1.35%"
"10/19/2021","28,805.0","28,805.0","28,805.0","28,805.0","15.88K","0.00%"
"10/20/2021","28,805.0","28,805.0","29,042.0","28,805.0","12.88K","0.00%"
"10/21/2021","29,595.0","28,805.0","29,595.0","28,805.0","20.88K","2.74%"
"10/22/2021","29,989.0","29,595.0","30,068.0","29,595.0","33.00K","1.33%"
"10/25/2021","30,305.0","30,305.0","30,699.0","29,989.0","27.00K","1.05%"
"10/26/2021","30,305.0","30,305.0","30,305.0","30,305.0","19.13K","0.00%"
"10/27/2021","31,568.0","30,778.0","31,568.0","30,778.0","32.50K","4.17%"
"10/28/2021","31,568.0","32,002.0","32,002.0","31,568.0","27.63K","0.00%"
"10/29/2021","31,173.0","31,568.0","31,568.0","30,778.0","16.50K","-1.25%"
"11/01/2021","30,778.0","31,173.0","31,252.0","30,778.0","15.25K","-1.27%"
"11/02/2021","31,133.0","30,778.0","31,133.0","30,778.0","15.25K","1.15%"
