"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","10,250.0","10,166.7","10,333.3","10,000.0","98.88K","1.23%"
"07/02/2021","10,166.7","10,291.7","10,291.7","10,125.0","46.08K","-0.81%"
"07/05/2021","10,000.0","10,083.3","10,166.7","10,000.0","126.00K","-1.64%"
"07/06/2021","9,833.3","10,000.0","10,166.7","9,833.3","152.40K","-1.67%"
"07/07/2021","9,750.0","9,791.7","9,833.3","9,583.3","150.96K","-0.85%"
"07/08/2021","9,750.0","9,833.3","9,916.7","9,708.3","57.84K","0.00%"
"07/09/2021","9,750.0","9,666.7","9,750.0","9,500.0","175.80K","0.00%"
"07/12/2021","9,083.3","9,666.7","9,666.7","9,083.3","320.88K","-6.84%"
"07/13/2021","9,500.0","9,166.7","9,583.3","9,166.7","114.36K","4.59%"
"07/14/2021","9,666.7","9,625.0","9,750.0","9,416.7","144.00K","1.75%"
"07/15/2021","9,625.0","9,666.7","9,750.0","9,583.3","125.16K","-0.43%"
"07/16/2021","9,833.3","9,583.3","9,875.0","9,583.3","130.56K","2.16%"
"07/19/2021","9,333.3","9,458.3","9,666.7","9,250.0","185.40K","-5.08%"
"07/20/2021","9,500.0","9,416.7","9,541.7","9,166.7","53.04K","1.79%"
"07/21/2021","9,500.0","9,666.7","9,666.7","9,375.0","38.04K","0.00%"
"07/22/2021","9,666.7","9,416.7","9,666.7","9,416.7","194.40K","1.75%"
"07/23/2021","9,625.0","9,583.3","9,708.3","9,583.3","75.48K","-0.43%"
"07/26/2021","9,625.0","9,625.0","9,666.7","9,541.7","107.16K","0.00%"
"07/27/2021","9,666.7","9,708.3","9,708.3","9,583.3","59.16K","0.43%"
"07/28/2021","9,666.7","9,666.7","9,708.3","9,583.3","62.88K","0.00%"
"07/29/2021","9,666.7","9,666.7","9,708.3","9,583.3","30.36K","0.00%"
"07/30/2021","9,666.7","9,666.7","9,750.0","9,541.7","118.80K","0.00%"
"08/02/2021","9,666.7","9,666.7","9,833.3","9,583.3","133.44K","0.00%"
"08/03/2021","9,833.3","9,666.7","9,833.3","9,583.3","187.80K","1.72%"
"08/04/2021","9,750.0","9,708.3","9,916.7","9,708.3","74.64K","-0.85%"
"08/05/2021","9,916.7","9,750.0","9,916.7","9,750.0","88.08K","1.71%"
"08/06/2021","9,958.3","9,958.3","10,083.3","9,833.3","144.60K","0.42%"
"08/09/2021","10,208.3","9,916.7","10,333.3","9,916.7","233.64K","2.51%"
"08/10/2021","10,166.7","10,208.3","10,208.3","10,000.0","161.76K","-0.41%"
