"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","27,192.0","27,914.0","29,358.0","27,192.0","5.40K","-1.05%"
"07/02/2021","27,336.0","29,069.0","29,069.0","27,144.0","13.70K","0.53%"
"07/06/2021","26,951.0","28,251.0","28,395.0","26,951.0","1.60K","-1.41%"
"07/07/2021","26,085.0","27,914.0","28,395.0","26,085.0","0.70K","-3.21%"
"07/12/2021","24,449.0","25,989.0","27,818.0","24,449.0","0.40K","-6.27%"
"07/13/2021","23,582.0","23,582.0","23,582.0","23,582.0","0.20K","-3.55%"
"07/21/2021","22,620.0","22,716.0","22,716.0","22,620.0","1.00K","-4.08%"
"07/26/2021","23,967.0","23,967.0","23,967.0","23,967.0","0.40K","5.95%"
"07/27/2021","25,507.0","25,507.0","25,507.0","25,507.0","0.80K","6.43%"
"07/28/2021","24,160.0","26,951.0","26,951.0","24,160.0","0.60K","-5.28%"
"07/29/2021","23,101.0","25,796.0","25,796.0","22,716.0","1.30K","-4.38%"
"07/30/2021","24,689.0","23,101.0","24,689.0","23,101.0","0.70K","6.87%"
"08/02/2021","26,278.0","26,374.0","26,374.0","23,679.0","1.30K","6.44%"
"08/03/2021","25,122.0","26,951.0","28,106.0","25,122.0","1.60K","-4.40%"
"08/04/2021","26,759.0","26,855.0","26,855.0","26,759.0","1.70K","6.52%"
"08/05/2021","28,588.0","28,588.0","28,588.0","25,122.0","2.00K","6.84%"
"08/09/2021","26,759.0","30,465.0","30,465.0","26,663.0","6.20K","-6.40%"
"08/10/2021","28,588.0","26,759.0","28,588.0","25,315.0","21.70K","6.84%"
"08/11/2021","27,144.0","27,048.0","30,465.0","27,048.0","0.30K","-5.05%"
"08/12/2021","27,144.0","28,973.0","29,021.0","27,048.0","41.30K","0.00%"
"08/13/2021","25,700.0","28,780.0","28,973.0","25,604.0","1.60K","-5.32%"
"08/16/2021","26,085.0","25,796.0","27,433.0","25,796.0","1.50K","1.50%"
"08/17/2021","26,566.0","27,818.0","27,818.0","26,566.0","1.10K","1.84%"
"08/18/2021","25,604.0","24,834.0","28,395.0","24,834.0","2.30K","-3.62%"
"08/19/2021","25,893.0","25,700.0","27,384.0","25,700.0","1.90K","1.13%"
"08/23/2021","24,834.0","25,893.0","27,625.0","24,641.0","3.10K","-4.09%"
"08/24/2021","26,566.0","26,566.0","26,566.0","25,604.0","1.70K","6.97%"
"08/25/2021","25,604.0","28,395.0","28,395.0","25,219.0","1.80K","-3.62%"
"08/26/2021","24,737.0","24,641.0","24,737.0","24,641.0","0.20K","-3.39%"
"08/30/2021","26,422.0","26,422.0","26,422.0","26,422.0","0.20K","6.81%"
"08/31/2021","26,470.0","28,251.0","28,251.0","26,470.0","1.10K","0.18%"
"09/01/2021","28,299.0","28,299.0","28,299.0","28,299.0","3.70K","6.91%"
"09/07/2021","26,566.0","26,566.0","26,566.0","26,566.0","0.10K","-6.12%"
"09/08/2021","26,663.0","28,395.0","28,395.0","26,663.0","0.50K","0.37%"
"09/10/2021","26,278.0","28,491.0","28,491.0","26,278.0","0.60K","-1.44%"
"09/14/2021","25,700.0","28,106.0","28,106.0","25,700.0","1.10K","-2.20%"
"09/15/2021","27,481.0","27,481.0","27,481.0","27,481.0","0.50K","6.93%"
"09/20/2021","26,470.0","26,278.0","29,358.0","26,278.0","2.00K","-3.68%"
"09/21/2021","26,566.0","28,299.0","28,299.0","26,566.0","70.60K","0.36%"
"09/22/2021","28,395.0","28,395.0","28,395.0","26,085.0","111.80K","6.88%"
"09/23/2021","27,240.0","27,048.0","28,876.0","27,048.0","20.20K","-4.07%"
"09/24/2021","27,529.0","28,876.0","29,117.0","27,336.0","80.30K","1.06%"
"09/27/2021","29,117.0","28,876.0","29,117.0","28,876.0","11.30K","5.77%"
