"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","23,360.00","23,440.00","23,680.00","23,280.00","650.50K","-1.18%"
"07/02/2021","23,440.00","23,360.00","23,440.00","22,960.00","588.50K","0.34%"
"07/05/2021","23,280.00","23,480.00","23,920.00","23,040.00","802.88K","-0.68%"
"07/06/2021","22,800.00","23,280.00","23,400.00","22,800.00","642.63K","-2.06%"
"07/07/2021","22,480.00","22,640.00","22,720.00","22,160.00","674.88K","-1.40%"
"07/08/2021","22,480.00","22,480.00","22,560.00","22,160.00","86.75K","0.00%"
"07/09/2021","21,600.00","22,760.00","22,760.00","21,600.00","164.75K","-3.91%"
"07/12/2021","20,800.00","22,120.00","22,120.00","20,400.00","120.13K","-3.70%"
"07/13/2021","21,080.00","20,800.00","21,480.00","20,720.00","402.38K","1.35%"
"07/14/2021","20,960.00","21,080.00","21,440.00","20,560.00","360.75K","-0.57%"
"07/15/2021","21,200.00","20,960.00","21,200.00","20,920.00","67.38K","1.15%"
"07/16/2021","20,920.00","21,120.00","21,200.00","20,920.00","162.25K","-1.32%"
"07/19/2021","19,680.00","20,880.00","21,160.00","19,680.00","700.63K","-5.93%"
"07/20/2021","20,000.00","20,800.00","20,800.00","20,000.00","394.00K","1.63%"
"07/21/2021","21,120.00","20,080.00","21,160.00","20,080.00","494.38K","5.60%"
"07/22/2021","22,080.00","21,040.00","22,320.00","21,040.00","783.88K","4.55%"
"07/23/2021","21,360.00","22,320.00","22,320.00","21,280.00","451.50K","-3.26%"
"07/26/2021","21,800.00","20,720.00","22,080.00","20,720.00","601.75K","2.06%"
"07/27/2021","22,120.00","22,240.00","22,240.00","21,880.00","504.75K","1.47%"
"07/28/2021","22,400.00","22,240.00","22,520.00","21,600.00","591.63K","1.27%"
"07/29/2021","22,760.00","22,400.00","22,840.00","22,240.00","655.38K","1.61%"
"07/30/2021","23,280.00","23,040.00","23,320.00","22,800.00","932.00K","2.28%"
"08/02/2021","23,600.00","24,000.00","24,000.00","23,320.00","651.25K","1.37%"
"08/03/2021","22,960.00","23,760.00","23,840.00","22,800.00","523.25K","-2.71%"
"08/04/2021","23,840.00","22,960.00","23,840.00","22,960.00","863.00K","3.83%"
"08/05/2021","23,840.00","23,280.00","23,920.00","23,280.00","906.38K","0.00%"
"08/06/2021","25,120.00","24,080.00","25,200.00","23,760.00","1.73M","5.37%"
"08/09/2021","26,840.00","25,120.00","26,840.00","25,120.00","1.83M","6.85%"
"08/10/2021","27,920.00","27,160.00","28,160.00","26,960.00","1.57M","4.02%"
"08/11/2021","29,840.00","28,440.00","29,840.00","27,840.00","2.34M","6.88%"
"08/12/2021","30,800.00","29,920.00","31,200.00","29,440.00","1.79M","3.22%"
"08/13/2021","30,080.00","30,880.00","30,920.00","29,280.00","1.75M","-2.34%"
"08/16/2021","32,000.00","30,160.00","32,000.00","29,920.00","1.76M","6.38%"
"08/17/2021","34,000.00","32,160.00","34,000.00","31,600.00","1.97M","6.25%"
"08/18/2021","34,640.00","34,400.00","35,600.00","34,080.00","1.15M","1.88%"
"08/19/2021","34,320.00","34,640.00","34,640.00","33,040.00","1.68M","-0.92%"
"08/20/2021","31,920.00","33,600.00","33,600.00","31,920.00","1.89M","-6.99%"
"08/23/2021","30,400.00","30,080.00","31,520.00","29,840.00","981.88K","-4.76%"
"08/24/2021","30,400.00","30,880.00","31,520.00","29,760.00","946.25K","0.00%"
"08/25/2021","30,920.00","30,400.00","31,200.00","30,360.00","1.04M","1.71%"
"08/26/2021","31,480.00","31,440.00","31,920.00","31,200.00","1.06M","1.81%"
"08/27/2021","32,800.00","31,360.00","32,920.00","30,920.00","1.37M","4.19%"
"08/30/2021","32,960.00","33,440.00","33,680.00","32,960.00","1.22M","0.49%"
"08/31/2021","32,960.00","33,600.00","33,600.00","32,280.00","1.04M","0.00%"
"09/01/2021","33,160.00","33,520.00","33,520.00","32,400.00","888.38K","0.61%"
"09/06/2021","33,120.00","33,280.00","33,600.00","32,800.00","677.25K","-0.12%"
"09/07/2021","31,920.00","32,800.00","33,120.00","31,280.00","812.38K","-3.62%"
"09/08/2021","31,200.00","31,280.00","32,040.00","31,200.00","509.50K","-2.26%"
"09/09/2021","31,480.00","30,400.00","31,600.00","30,400.00","624.50K","0.90%"
"09/10/2021","32,800.00","31,920.00","33,280.00","31,600.00","1.10M","4.19%"
"09/13/2021","34,240.00","33,600.00","34,240.00","33,040.00","1.64M","4.39%"
"09/14/2021","34,480.00","34,000.00","34,960.00","33,920.00","1.70M","0.70%"
"09/15/2021","33,680.00","33,200.00","34,400.00","33,200.00","1.13M","-2.32%"
"09/16/2021","33,440.00","33,600.00","33,760.00","32,800.00","994.75K","-0.71%"
