"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","3,820.0","3,840.0","3,850.0","3,820.0","669.30K","-0.78%"
"07/02/2021","3,840.0","3,820.0","3,850.0","3,810.0","452.90K","0.52%"
"07/05/2021","3,740.0","3,840.0","3,840.0","3,700.0","733.10K","-2.60%"
"07/06/2021","3,600.0","3,750.0","3,750.0","3,600.0","846.70K","-3.74%"
"07/07/2021","3,460.0","3,550.0","3,600.0","3,400.0","1.10M","-3.89%"
"07/08/2021","3,530.0","3,480.0","3,650.0","3,450.0","333.10K","2.02%"
"07/09/2021","3,470.0","3,500.0","3,530.0","3,400.0","702.90K","-1.70%"
"07/12/2021","3,230.0","3,400.0","3,420.0","3,230.0","842.60K","-6.92%"
"07/13/2021","3,400.0","3,190.0","3,400.0","3,190.0","361.00K","5.26%"
"07/14/2021","3,480.0","3,400.0","3,500.0","3,400.0","314.90K","2.35%"
"07/15/2021","3,460.0","3,470.0","3,480.0","3,400.0","402.60K","-0.57%"
"07/16/2021","3,360.0","3,460.0","3,460.0","3,360.0","428.90K","-2.89%"
"07/19/2021","3,140.0","3,230.0","3,300.0","3,130.0","862.60K","-6.55%"
"07/20/2021","3,150.0","3,110.0","3,200.0","3,000.0","621.30K","0.32%"
"07/21/2021","3,170.0","3,160.0","3,200.0","3,130.0","391.30K","0.63%"
"07/22/2021","3,270.0","3,170.0","3,290.0","3,150.0","259.50K","3.15%"
"07/23/2021","3,200.0","3,270.0","3,270.0","3,190.0","316.60K","-2.14%"
"07/26/2021","3,190.0","3,130.0","3,190.0","3,000.0","663.20K","-0.31%"
"07/27/2021","3,190.0","3,250.0","3,250.0","3,160.0","401.90K","0.00%"
"07/28/2021","3,200.0","3,210.0","3,210.0","3,160.0","301.40K","0.31%"
"07/29/2021","3,290.0","3,200.0","3,290.0","3,200.0","464.90K","2.81%"
"07/30/2021","3,310.0","3,290.0","3,330.0","3,260.0","435.40K","0.61%"
"08/02/2021","3,300.0","3,350.0","3,350.0","3,250.0","334.40K","-0.30%"
"08/03/2021","3,320.0","3,300.0","3,350.0","3,290.0","301.40K","0.61%"
"08/04/2021","3,400.0","3,320.0","3,400.0","3,310.0","566.40K","2.41%"
"08/05/2021","3,510.0","3,400.0","3,570.0","3,370.0","797.20K","3.24%"
"08/06/2021","3,500.0","3,510.0","3,570.0","3,480.0","415.60K","-0.28%"
"08/09/2021","3,480.0","3,480.0","3,500.0","3,400.0","483.60K","-0.57%"
"08/10/2021","3,520.0","3,480.0","3,550.0","3,460.0","303.30K","1.15%"
"08/11/2021","3,500.0","3,500.0","3,500.0","3,440.0","766.00K","-0.57%"
"08/12/2021","3,520.0","3,500.0","3,520.0","3,450.0","898.10K","0.57%"
"08/13/2021","3,530.0","3,540.0","3,550.0","3,460.0","519.10K","0.28%"
"08/16/2021","3,620.0","3,530.0","3,630.0","3,530.0","1.24M","2.55%"
"08/17/2021","3,570.0","3,650.0","3,680.0","3,550.0","766.00K","-1.38%"
"08/18/2021","3,530.0","3,570.0","3,570.0","3,480.0","915.20K","-1.12%"
"08/19/2021","3,460.0","3,500.0","3,510.0","3,450.0","667.80K","-1.98%"
"08/20/2021","3,500.0","3,420.0","3,590.0","3,420.0","1.65M","1.16%"
"08/23/2021","3,520.0","3,500.0","3,580.0","3,460.0","755.70K","0.57%"
"08/24/2021","3,490.0","3,520.0","3,530.0","3,460.0","563.60K","-0.85%"
"08/25/2021","3,450.0","3,470.0","3,470.0","3,310.0","654.70K","-1.15%"
"08/26/2021","3,560.0","3,460.0","3,650.0","3,410.0","973.10K","3.19%"
"08/27/2021","3,570.0","3,460.0","3,580.0","3,460.0","651.60K","0.28%"
"08/30/2021","3,650.0","3,600.0","3,680.0","3,600.0","1.12M","2.24%"
"08/31/2021","3,780.0","3,730.0","3,830.0","3,730.0","2.68M","3.56%"
"09/01/2021","3,740.0","3,830.0","3,830.0","3,700.0","1.15M","-1.06%"
"09/06/2021","3,850.0","3,740.0","3,880.0","3,740.0","1.71M","2.94%"
"09/07/2021","3,720.0","3,860.0","3,880.0","3,630.0","1.27M","-3.38%"
"09/08/2021","3,660.0","3,660.0","3,700.0","3,620.0","643.30K","-1.61%"
"09/09/2021","3,680.0","3,660.0","3,760.0","3,650.0","661.70K","0.55%"
"09/10/2021","3,700.0","3,700.0","3,750.0","3,640.0","739.80K","0.54%"
"09/13/2021","3,950.0","3,740.0","3,950.0","3,690.0","3.63M","6.76%"
"09/14/2021","4,220.0","4,200.0","4,220.0","4,100.0","5.24M","6.84%"
"09/15/2021","4,510.0","4,450.0","4,510.0","4,220.0","5.93M","6.87%"
"09/16/2021","4,290.0","4,400.0","4,600.0","4,220.0","2.51M","-4.88%"
"09/17/2021","4,400.0","4,200.0","4,530.0","4,180.0","2.47M","2.56%"
"09/20/2021","4,470.0","4,500.0","4,600.0","4,340.0","3.65M","1.59%"
"09/21/2021","4,360.0","4,250.0","4,450.0","4,250.0","3.09M","-2.46%"
"09/22/2021","4,660.0","4,400.0","4,660.0","4,400.0","3.33M","6.88%"
"09/23/2021","4,480.0","4,980.0","4,980.0","4,440.0","5.54M","-3.86%"
"09/24/2021","4,290.0","4,250.0","4,450.0","4,200.0","2.26M","-4.24%"
"09/27/2021","3,990.0","4,290.0","4,290.0","3,990.0","3.23M","-6.99%"
"09/28/2021","4,100.0","3,800.0","4,100.0","3,720.0","2.10M","2.76%"
"09/29/2021","4,040.0","4,010.0","4,080.0","3,870.0","643.10K","-1.46%"
"09/30/2021","4,100.0","4,040.0","4,110.0","4,000.0","653.70K","1.49%"
"10/01/2021","4,000.0","4,080.0","4,110.0","4,000.0","1.04M","-2.44%"
"10/04/2021","4,100.0","4,000.0","4,190.0","3,980.0","909.50K","2.50%"
"10/05/2021","4,050.0","4,100.0","4,110.0","4,030.0","914.50K","-1.22%"
"10/06/2021","4,150.0","4,050.0","4,150.0","4,050.0","965.20K","2.47%"
"10/07/2021","4,320.0","4,180.0","4,350.0","4,180.0","1.35M","4.10%"
"10/08/2021","4,200.0","4,320.0","4,340.0","4,180.0","1.41M","-2.78%"
"10/11/2021","4,180.0","4,200.0","4,250.0","4,100.0","1.16M","-0.48%"
"10/12/2021","4,190.0","4,160.0","4,240.0","4,150.0","1.16M","0.24%"
