"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","27,555.6","27,259.3","27,555.6","26,777.8","7.35M","1.22%"
"07/02/2021","27,963.0","27,851.9","28,074.1","27,555.6","6.87M","1.48%"
"07/05/2021","29,111.1","28,185.2","29,111.1","28,037.0","11.32M","4.11%"
"07/06/2021","27,074.1","29,111.1","29,259.3","27,074.1","10.83M","-7.00%"
"07/07/2021","27,777.8","27,333.3","28,000.0","26,370.4","7.70M","2.60%"
"07/08/2021","27,963.0","27,740.8","28,814.8","27,555.6","7.80M","0.67%"
"07/09/2021","27,407.4","27,703.7","28,444.5","26,666.7","6.42M","-1.99%"
"07/12/2021","25,963.0","27,407.4","27,407.4","25,518.5","10.20M","-5.27%"
"07/13/2021","25,777.8","26,296.3","26,407.4","25,185.2","4.41M","-0.71%"
"07/14/2021","24,444.5","25,703.7","25,925.9","24,370.4","7.04M","-5.17%"
"07/15/2021","24,963.0","24,444.5","25,518.5","24,148.2","4.42M","2.12%"
"07/16/2021","25,111.1","25,407.4","25,481.5","25,037.0","2.61M","0.59%"
"07/19/2021","23,370.4","24,592.6","24,592.6","23,370.4","7.02M","-6.93%"
"07/20/2021","24,444.5","23,555.6","24,444.5","23,259.3","10.33M","4.60%"
"07/21/2021","24,518.5","24,592.6","24,814.8","24,370.4","7.76M","0.30%"
"07/22/2021","25,074.1","24,518.5","25,074.1","24,222.2","8.34M","2.27%"
"07/23/2021","24,444.5","24,666.7","25,000.0","24,444.5","8.50M","-2.51%"
"07/26/2021","24,370.4","24,074.1","24,777.8","24,037.0","9.56M","-0.30%"
"07/27/2021","25,259.3","24,740.7","25,407.4","24,592.6","12.80M","3.65%"
"07/28/2021","25,333.3","25,111.1","25,703.7","25,037.0","7.63M","0.29%"
"07/29/2021","25,703.7","25,444.5","25,925.9","25,444.5","10.02M","1.46%"
"07/30/2021","25,925.9","25,925.9","26,148.2","25,703.7","7.37M","0.86%"
"08/02/2021","25,518.5","25,703.7","26,000.0","25,518.5","8.90M","-1.57%"
