"Date","Price","Open","High","Low","Vol.","Change %"
"07/02/2021","8,448.1","7,844.6","8,965.3","7,844.6","7.80K","0.41%"
"07/05/2021","8,189.5","8,103.2","8,189.5","8,103.2","0.30K","-3.06%"
"07/06/2021","7,672.2","7,680.8","7,680.8","7,672.2","0.60K","-6.32%"
"07/08/2021","8,189.5","7,672.2","8,189.5","7,137.8","5.50K","6.74%"
"07/12/2021","7,620.5","7,620.5","7,620.5","7,620.5","0.10K","-6.95%"
"07/13/2021","7,586.0","7,586.0","7,586.0","7,586.0","1.80K","-0.45%"
"07/15/2021","8,111.9","8,111.9","8,111.9","8,111.9","3.50K","6.93%"
"07/19/2021","7,551.5","8,111.9","8,111.9","7,551.5","0.30K","-6.91%"
"07/20/2021","7,586.0","7,586.0","7,586.0","7,586.0","0.10K","0.46%"
"07/21/2021","8,111.9","8,111.9","8,111.9","8,111.9","0.20K","6.93%"
"07/22/2021","7,603.3","8,017.0","8,017.0","7,603.3","0.60K","-6.27%"
"07/27/2021","7,603.3","7,603.3","8,129.1","7,603.3","0.40K","0.00%"
"07/29/2021","8,008.4","7,603.3","8,008.4","7,603.3","0.30K","5.33%"
"08/02/2021","7,499.8","7,448.1","7,499.8","7,448.1","0.20K","-6.35%"
"08/05/2021","7,836.0","7,499.8","7,836.0","7,499.8","1.20K","4.48%"
"08/10/2021","7,672.2","7,680.8","7,680.8","7,672.2","2.30K","-2.09%"
"08/11/2021","8,206.7","8,189.5","8,206.7","8,189.5","8.30K","6.97%"
"08/13/2021","8,749.8","8,749.8","8,749.8","7,930.8","16.70K","6.62%"
"08/16/2021","9,137.7","8,965.3","9,137.7","8,749.8","21.00K","4.43%"
"08/17/2021","9,396.3","9,051.5","9,482.5","9,051.5","8.10K","2.83%"
"08/18/2021","9,137.7","8,879.1","9,137.7","8,792.9","6.50K","-2.75%"
"08/19/2021","8,663.6","8,663.6","9,051.5","8,577.4","1.90K","-5.19%"
"08/20/2021","8,706.7","8,663.6","9,051.5","8,663.6","4.60K","0.50%"
"08/23/2021","9,051.5","8,706.7","9,051.5","8,706.7","7.10K","3.96%"
"08/24/2021","8,792.9","9,223.9","9,223.9","8,749.8","3.00K","-2.86%"
"08/25/2021","9,223.9","9,310.1","9,310.1","8,663.6","3.90K","4.90%"
"08/26/2021","9,317.1","9,307.8","9,317.1","9,307.8","2.60K","1.01%"
"08/27/2021","8,767.4","9,503.4","9,503.4","8,730.1","5.40K","-5.90%"
"08/30/2021","9,121.4","8,786.0","9,130.7","8,786.0","1.30K","4.04%"
"08/31/2021","9,093.5","9,130.7","9,130.7","8,944.4","11.10K","-0.31%"
"09/01/2021","9,056.2","8,860.5","9,074.8","8,851.2","8.80K","-0.41%"
"09/06/2021","8,944.4","8,804.6","9,046.9","8,758.0","6.90K","-1.23%"
"09/07/2021","8,944.4","8,944.4","8,944.4","8,944.4","1.50K","0.00%"
"09/08/2021","8,804.6","8,804.6","8,804.6","8,804.6","0.10K","-1.56%"
"09/09/2021","8,925.8","8,776.7","8,925.8","8,776.7","0.50K","1.38%"
"09/10/2021","8,897.8","8,776.7","8,944.4","8,776.7","0.50K","-0.31%"
"09/13/2021","8,860.5","8,897.8","8,897.8","8,786.0","0.60K","-0.42%"
"09/14/2021","8,851.2","8,823.3","8,851.2","8,804.6","6.40K","-0.11%"
"09/15/2021","8,814.0","8,944.4","8,944.4","8,776.7","1.30K","-0.42%"
"09/16/2021","8,814.0","8,814.0","8,860.5","8,804.6","3.00K","0.00%"
"09/17/2021","8,907.1","8,814.0","8,935.1","8,804.6","4.80K","1.06%"
"09/20/2021","9,112.1","8,888.5","9,289.1","8,888.5","5.70K","2.30%"
"09/21/2021","9,084.1","9,028.2","9,084.1","9,028.2","0.90K","-0.31%"
"09/22/2021","9,223.9","9,093.5","9,223.9","8,972.3","6.40K","1.54%"
"09/23/2021","9,233.2","9,317.1","9,503.4","9,223.9","16.10K","0.10%"
"09/24/2021","9,317.1","9,503.4","9,503.4","9,233.2","3.90K","0.91%"
"09/27/2021","8,879.2","9,596.6","9,596.6","8,879.2","3.60K","-4.70%"
"09/28/2021","8,804.6","8,767.4","8,804.6","8,767.4","0.30K","-0.84%"
"09/29/2021","8,804.6","8,804.6","8,860.5","8,804.6","2.30K","0.00%"
"09/30/2021","8,804.6","8,860.5","8,860.5","8,804.6","1.00K","0.00%"
"10/01/2021","8,814.0","9,317.1","9,317.1","8,804.6","16.90K","0.11%"
"10/04/2021","9,214.6","8,814.0","9,214.6","8,814.0","0.20K","4.55%"
"10/05/2021","8,953.7","9,130.7","9,130.7","8,860.5","3.10K","-2.83%"
"10/06/2021","8,953.7","8,953.7","9,028.2","8,953.7","0.70K","0.00%"
"10/07/2021","9,177.3","9,074.8","9,177.3","9,074.8","10.20K","2.50%"
"10/08/2021","9,177.3","9,037.6","9,177.3","9,037.6","2.30K","0.00%"
"10/11/2021","9,177.3","9,223.9","9,223.9","9,177.3","0.30K","0.00%"
"10/12/2021","9,168.0","9,168.0","9,168.0","9,168.0","0.10K","-0.10%"
"10/13/2021","9,158.7","9,149.4","9,158.7","9,149.4","0.30K","-0.10%"
"10/14/2021","9,130.7","8,851.2","9,130.7","8,851.2","0.60K","-0.31%"
"10/15/2021","9,130.7","9,121.4","9,130.7","8,963.0","4.20K","0.00%"
"10/18/2021","9,317.1","9,130.7","9,410.2","9,130.7","11.30K","2.04%"
"10/19/2021","9,410.2","9,317.1","9,410.2","9,317.1","11.20K","1.00%"
"10/20/2021","9,317.1","9,410.2","9,410.2","9,130.7","1.90K","-0.99%"
"10/21/2021","9,456.8","9,456.8","9,456.8","9,456.8","0.30K","1.50%"
"10/22/2021","9,503.4","9,550.0","9,550.0","9,503.4","0.20K","0.49%"
"10/26/2021","9,456.8","9,456.8","9,456.8","9,456.8","0.20K","-0.49%"
"10/27/2021","9,261.2","9,456.8","9,456.8","9,223.9","1.80K","-2.07%"
