"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","73,540.0","73,927.0","74,023.0","73,249.0","9.50K","0.53%"
"07/02/2021","71,798.0","74,314.0","74,314.0","70,637.0","15.80K","-2.37%"
"07/05/2021","71,120.0","71,604.0","71,604.0","71,120.0","2.30K","-0.94%"
"07/06/2021","70,830.0","71,217.0","71,604.0","70,830.0","8.90K","-0.41%"
"07/07/2021","69,185.0","68,798.0","69,669.0","68,605.0","9.40K","-2.32%"
"07/08/2021","72,088.0","69,185.0","73,152.0","69,185.0","31.40K","4.20%"
"07/09/2021","73,152.0","71,991.0","73,540.0","71,991.0","19.90K","1.48%"
"07/12/2021","71,991.0","68,992.0","71,991.0","68,992.0","3.70K","-1.59%"
"07/13/2021","69,669.0","68,992.0","69,669.0","68,992.0","3.00K","-3.23%"
"07/14/2021","69,669.0","69,088.0","72,475.0","69,088.0","5.10K","0.00%"
"07/15/2021","69,669.0","69,669.0","69,669.0","69,669.0","1.70K","0.00%"
"07/16/2021","69,669.0","69,863.0","70,153.0","69,669.0","7.70K","0.00%"
"07/19/2021","71,798.0","69,669.0","73,056.0","69,669.0","24.30K","3.06%"
"07/20/2021","72,282.0","73,443.0","73,443.0","72,282.0","4.80K","0.67%"
"07/21/2021","72,669.0","72,282.0","72,669.0","72,282.0","25.50K","0.54%"
"07/22/2021","71,024.0","72,378.0","72,378.0","70,830.0","0.40K","-2.26%"
"07/23/2021","70,153.0","71,604.0","71,798.0","70,153.0","3.30K","-1.23%"
"07/26/2021","72,572.0","71,507.0","72,765.0","71,507.0","21.80K","3.45%"
"07/27/2021","72,185.0","74,023.0","74,023.0","72,185.0","2.50K","-0.53%"
"07/28/2021","72,282.0","73,249.0","73,249.0","72,282.0","1.70K","0.13%"
"07/29/2021","73,540.0","71,604.0","74,314.0","71,411.0","2.40K","1.74%"
"07/30/2021","73,927.0","73,540.0","74,217.0","73,540.0","4.70K","0.53%"
"08/02/2021","77,313.0","74,507.0","77,313.0","74,507.0","15.60K","4.58%"
"08/03/2021","76,442.0","77,700.0","78,378.0","76,442.0","8.10K","-1.13%"
"08/04/2021","77,797.0","77,410.0","77,797.0","76,926.0","3.30K","1.77%"
"08/05/2021","77,410.0","77,410.0","78,378.0","75,475.0","11.20K","-0.50%"
"08/06/2021","77,410.0","77,410.0","77,410.0","77,410.0","2.10K","0.00%"
"08/09/2021","77,216.0","74,701.0","77,313.0","74,701.0","1.50K","-0.25%"
"08/10/2021","76,442.0","77,216.0","77,410.0","76,442.0","2.10K","-1.00%"
"08/11/2021","75,572.0","76,926.0","76,926.0","75,572.0","7.50K","-1.14%"
"08/12/2021","76,926.0","75,572.0","77,894.0","75,572.0","2.80K","1.79%"
"08/13/2021","76,926.0","77,410.0","77,604.0","75,862.0","16.90K","0.00%"
"08/16/2021","77,216.0","77,410.0","77,410.0","76,442.0","12.30K","0.38%"
"08/17/2021","75,959.0","77,216.0","77,216.0","75,959.0","11.60K","-1.63%"
"08/18/2021","75,088.0","75,959.0","76,442.0","74,604.0","5.90K","-1.15%"
"08/19/2021","76,829.0","76,829.0","76,926.0","76,829.0","1.20K","2.32%"
"08/20/2021","75,862.0","77,797.0","77,797.0","75,862.0","2.00K","-1.26%"
"08/23/2021","77,216.0","77,216.0","77,216.0","76,442.0","17.80K","1.78%"
"08/24/2021","77,604.0","79,732.0","79,732.0","77,216.0","8.80K","0.50%"
"08/25/2021","83,022.0","77,894.0","83,022.0","77,894.0","37.00K","6.98%"
"08/26/2021","88,828.0","88,634.0","88,828.0","86,506.0","47.10K","6.99%"
"08/27/2021","88,828.0","93,763.0","93,763.0","88,538.0","38.30K","0.00%"
"08/30/2021","95,021.0","95,021.0","95,021.0","95,021.0","110.90K","6.97%"
"08/31/2021","97,827.0","101,601.0","101,601.0","97,827.0","124.10K","2.95%"
"09/01/2021","92,021.0","95,698.0","97,730.0","92,021.0","46.10K","-5.93%"
"09/06/2021","87,086.0","88,538.0","89,699.0","86,602.0","71.30K","-5.36%"
"09/07/2021","88,634.0","87,570.0","92,505.0","85,151.0","49.10K","1.78%"
"09/08/2021","89,022.0","92,892.0","92,892.0","87,086.0","9.30K","0.44%"
"09/09/2021","87,183.0","87,086.0","88,054.0","87,086.0","10.60K","-2.07%"
"09/10/2021","88,828.0","89,312.0","89,312.0","87,280.0","14.70K","1.89%"
"09/13/2021","87,086.0","87,183.0","87,860.0","83,700.0","42.00K","-1.96%"
"09/14/2021","85,441.0","87,086.0","88,054.0","85,441.0","7.30K","-1.89%"
"09/15/2021","85,635.0","84,377.0","87,086.0","84,377.0","11.00K","0.23%"
"09/16/2021","85,151.0","85,828.0","86,022.0","85,151.0","16.80K","-0.57%"
"09/17/2021","86,602.0","85,151.0","87,086.0","84,377.0","32.30K","1.70%"
"09/20/2021","86,893.0","86,796.0","87,570.0","86,022.0","23.40K","0.34%"
"09/21/2021","85,441.0","84,764.0","87,086.0","84,764.0","7.00K","-1.67%"
"09/22/2021","86,119.0","85,441.0","86,312.0","85,151.0","8.20K","0.79%"
"09/23/2021","92,118.0","87,377.0","92,118.0","87,377.0","59.20K","6.97%"
"09/24/2021","90,570.0","92,215.0","95,698.0","90,473.0","21.70K","-1.68%"
"09/27/2021","89,118.0","90,570.0","90,570.0","88,828.0","16.50K","-1.60%"
"09/28/2021","87,086.0","85,635.0","88,925.0","85,635.0","18.20K","-2.28%"
"09/29/2021","85,635.0","86,312.0","86,893.0","85,151.0","29.40K","-1.67%"
"09/30/2021","86,989.0","85,635.0","87,086.0","85,345.0","11.80K","1.58%"
"10/01/2021","87,473.0","85,925.0","87,473.0","85,635.0","15.70K","0.56%"
"10/04/2021","90,279.0","90,183.0","90,279.0","87,860.0","13.30K","3.21%"
"10/05/2021","88,441.0","89,118.0","89,505.0","87,280.0","9.40K","-2.04%"
"10/06/2021","88,344.0","86,215.0","88,344.0","86,215.0","9.80K","-0.11%"
"10/07/2021","87,957.0","87,086.0","87,957.0","86,699.0","9.30K","-0.44%"
"10/08/2021","87,957.0","87,086.0","88,634.0","86,699.0","14.10K","0.00%"
"10/11/2021","87,183.0","87,183.0","87,570.0","86,893.0","13.00K","-0.88%"
"10/12/2021","86,506.0","87,183.0","87,280.0","86,119.0","19.00K","-0.78%"
"10/13/2021","87,473.0","87,086.0","87,473.0","85,925.0","9.80K","1.12%"
"10/14/2021","88,054.0","87,086.0","88,538.0","87,086.0","9.60K","0.66%"
"10/15/2021","86,699.0","87,086.0","87,280.0","86,699.0","9.70K","-1.54%"
"10/18/2021","87,280.0","87,570.0","87,570.0","86,602.0","6.70K","0.67%"
"10/19/2021","87,086.0","87,280.0","87,280.0","86,602.0","2.70K","-0.22%"
"10/20/2021","86,022.0","85,828.0","87,183.0","85,828.0","6.10K","-1.22%"
"10/21/2021","85,635.0","87,183.0","87,183.0","85,635.0","21.30K","-0.45%"
"10/22/2021","85,345.0","85,635.0","86,409.0","85,345.0","8.10K","-0.34%"
"10/25/2021","87,086.0","85,248.0","88,054.0","85,248.0","19.20K","2.04%"
"10/26/2021","86,506.0","88,247.0","88,247.0","85,248.0","8.60K","-0.67%"
"10/27/2021","86,989.0","87,086.0","87,086.0","86,506.0","6.50K","0.56%"
"10/28/2021","88,441.0","86,796.0","89,409.0","86,506.0","20.00K","1.67%"
"10/29/2021","87,086.0","86,796.0","88,054.0","85,732.0","33.70K","-1.53%"
"11/01/2021","88,054.0","87,183.0","88,054.0","87,086.0","24.70K","1.11%"
"11/02/2021","87,183.0","87,957.0","87,957.0","87,183.0","8.70K","-0.99%"
"11/03/2021","87,086.0","87,570.0","87,957.0","87,086.0","9.10K","-0.11%"
"11/04/2021","87,280.0","87,183.0","87,570.0","86,893.0","8.50K","0.22%"
"11/05/2021","87,280.0","87,377.0","87,473.0","86,602.0","12.10K","0.00%"
"11/08/2021","88,054.0","87,280.0","88,054.0","86,409.0","23.00K","0.89%"
"11/09/2021","87,280.0","87,183.0","88,054.0","87,183.0","15.80K","-0.88%"
"11/10/2021","87,473.0","89,505.0","89,505.0","87,086.0","8.70K","0.22%"
"11/11/2021","87,086.0","87,570.0","87,570.0","86,699.0","1.70K","-0.44%"
"11/12/2021","87,086.0","87,086.0","87,473.0","87,086.0","25.10K","0.00%"
"11/15/2021","86,215.0","87,183.0","87,183.0","86,022.0","16.20K","-1.00%"
"11/16/2021","87,183.0","86,215.0","87,183.0","86,119.0","7.40K","1.12%"
"11/17/2021","87,570.0","87,086.0","87,570.0","86,796.0","12.20K","0.44%"
"11/18/2021","87,086.0","87,570.0","87,570.0","87,086.0","7.30K","-0.55%"
"11/19/2021","86,506.0","87,086.0","87,280.0","86,312.0","10.20K","-0.67%"
"11/22/2021","85,828.0","86,506.0","86,506.0","85,151.0","18.50K","-0.78%"
"11/23/2021","85,151.0","85,732.0","85,732.0","85,151.0","5.60K","-0.79%"
"11/24/2021","88,538.0","85,345.0","88,634.0","85,151.0","50.70K","3.98%"
"11/25/2021","87,570.0","88,538.0","88,538.0","87,086.0","28.00K","-1.09%"
"11/26/2021","86,989.0","87,086.0","87,086.0","85,925.0","7.00K","-0.66%"
"11/29/2021","90,763.0","89,022.0","90,763.0","88,441.0","76.40K","4.34%"
"11/30/2021","89,989.0","91,054.0","94,247.0","88,054.0","21.10K","-0.85%"
"12/01/2021","91,924.0","89,312.0","91,924.0","89,312.0","23.70K","2.15%"
"12/02/2021","91,924.0","92,698.0","93,376.0","91,828.0","33.10K","0.00%"
"12/03/2021","89,409.0","92,021.0","92,021.0","89,409.0","15.60K","-2.74%"
"12/06/2021","88,538.0","89,409.0","89,409.0","87,377.0","12.90K","-0.97%"
"12/07/2021","89,118.0","88,151.0","89,312.0","88,054.0","6.70K","0.66%"
"12/08/2021","89,699.0","89,118.0","89,989.0","89,118.0","6.50K","0.65%"
"12/09/2021","91,924.0","91,731.0","93,860.0","90,957.0","32.70K","2.48%"
"12/10/2021","91,924.0","93,569.0","93,569.0","90,570.0","1.00K","0.00%"
"12/13/2021","91,924.0","89,989.0","91,924.0","89,989.0","7.40K","0.00%"
"12/14/2021","90,279.0","91,924.0","91,924.0","90,086.0","8.40K","-1.79%"
"12/15/2021","90,473.0","90,957.0","91,441.0","89,989.0","12.00K","0.21%"
"12/16/2021","89,989.0","89,989.0","90,279.0","89,989.0","6.50K","-0.53%"
"12/17/2021","89,989.0","89,989.0","90,957.0","89,989.0","5.00K","0.00%"
"12/20/2021","88,344.0","87,280.0","89,989.0","87,280.0","14.40K","-1.83%"
"12/21/2021","89,409.0","88,054.0","89,409.0","87,570.0","3.80K","1.21%"
"12/22/2021","88,054.0","89,409.0","89,409.0","87,667.0","3.40K","-1.52%"
"12/23/2021","89,022.0","89,215.0","89,215.0","87,183.0","17.50K","1.10%"
"12/24/2021","89,022.0","87,473.0","89,215.0","87,473.0","4.50K","0.00%"
"12/27/2021","89,505.0","89,022.0","89,505.0","87,570.0","5.90K","0.54%"
"12/28/2021","89,892.0","88,441.0","92,215.0","88,441.0","2.20K","0.43%"
"12/29/2021","88,538.0","89,409.0","89,409.0","88,054.0","2.80K","-1.51%"
"12/30/2021","88,344.0","88,054.0","88,538.0","88,054.0","1.70K","-0.22%"
"12/31/2021","88,247.0","88,344.0","88,344.0","88,247.0","5.10K","-0.11%"
