"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","36,623.3","36,623.0","36,623.3","36,623.0","4.60K","-6.09%"
"07/02/2021","36,623.3","36,623.0","36,623.3","36,623.0","4.70K","0.00%"
"07/05/2021","36,435.5","36,435.0","36,435.5","36,435.0","0.80K","-0.51%"
"07/06/2021","36,153.8","35,168.0","36,153.8","35,168.0","1.70K","-0.77%"
"07/07/2021","35,965.9","35,966.0","35,965.9","35,966.0","0.10K","-0.52%"
"07/08/2021","35,684.2","35,919.0","35,965.9","35,684.0","2.10K","-0.78%"
"07/09/2021","34,275.6","34,135.0","34,275.6","33,900.0","9.60K","-3.95%"
"07/12/2021","32,162.8","33,290.0","33,289.6","32,116.0","10.40K","-6.16%"
"07/13/2021","33,806.1","33,337.0","33,806.1","33,337.0","5.20K","5.11%"
"07/14/2021","33,665.3","33,055.0","33,665.3","32,398.0","23.00K","-0.42%"
"07/15/2021","34,275.6","34,135.0","34,275.6","33,665.0","13.50K","1.81%"
"07/16/2021","33,665.3","34,276.0","34,275.6","33,665.0","1.70K","-1.78%"
"07/19/2021","35,120.8","32,867.0","35,120.8","31,928.0","2.10K","4.32%"
"07/20/2021","33,289.6","35,449.0","35,449.5","33,290.0","10.30K","-5.21%"
"07/21/2021","33,900.0","34,933.0","34,933.0","32,914.0","28.10K","1.83%"
"07/22/2021","33,477.4","33,900.0","33,993.9","33,430.0","1.10K","-1.25%"
"07/23/2021","33,806.1","33,806.0","33,993.9","33,806.0","4.60K","0.98%"
"07/26/2021","32,867.1","33,806.0","33,806.1","32,867.0","3.50K","-2.78%"
"07/27/2021","33,759.2","33,759.0","33,759.2","33,759.0","0.10K","2.71%"
"07/28/2021","32,914.0","32,914.0","32,914.0","32,914.0","2.00K","-2.50%"
"07/29/2021","33,336.6","33,759.0","33,806.1","33,337.0","2.70K","1.28%"
"07/30/2021","33,900.0","33,337.0","33,900.0","33,337.0","3.20K","1.69%"
"08/03/2021","33,336.6","33,337.0","33,336.6","33,337.0","0.20K","-1.66%"
"08/04/2021","33,947.0","33,947.0","33,947.0","33,947.0","0.10K","1.83%"
"08/05/2021","33,806.1","33,806.0","33,900.0","33,806.0","6.40K","-0.42%"
"08/06/2021","33,806.1","34,651.0","34,651.3","33,806.0","2.00K","0.00%"
"08/09/2021","33,806.1","33,806.0","33,806.1","33,806.0","0.50K","0.00%"
"08/10/2021","34,557.4","34,933.0","34,933.0","34,276.0","1.20K","2.22%"
"08/11/2021","34,369.5","33,430.0","34,369.5","33,430.0","3.40K","-0.54%"
"08/12/2021","33,900.0","34,370.0","34,416.5","33,900.0","3.00K","-1.37%"
"08/13/2021","33,806.1","33,806.0","33,806.1","33,806.0","0.70K","-0.28%"
"08/16/2021","35,355.6","34,276.0","35,355.6","34,276.0","13.80K","4.58%"
"08/17/2021","35,778.1","35,684.0","35,778.1","35,684.0","8.20K","1.20%"
"08/18/2021","35,825.1","36,342.0","36,341.6","35,778.0","1.30K","0.13%"
"08/19/2021","34,275.6","35,825.0","35,825.1","34,276.0","18.50K","-4.33%"
"08/20/2021","34,745.2","35,684.0","35,778.1","34,745.0","10.00K","1.37%"
"08/23/2021","35,778.1","36,389.0","37,139.8","35,778.0","0.50K","2.97%"
"08/24/2021","34,745.2","36,154.0","36,153.8","34,745.0","8.30K","-2.89%"
"08/26/2021","34,745.2","34,745.0","34,745.2","34,745.0","1.20K","0.00%"
"08/27/2021","35,778.1","35,684.0","35,778.1","35,684.0","4.20K","2.97%"
"08/30/2021","36,059.8","35,778.0","36,059.8","35,778.0","10.60K","0.79%"
"08/31/2021","35,449.5","35,449.0","35,449.5","35,449.0","2.00K","-1.69%"
"09/01/2021","35,543.4","35,684.0","35,684.2","35,496.0","8.10K","0.26%"
"09/06/2021","36,529.4","36,529.0","36,529.4","36,529.0","2.00K","2.77%"
"09/07/2021","36,153.8","36,154.0","36,153.8","36,154.0","1.00K","-1.03%"
"09/09/2021","35,308.6","35,215.0","35,308.6","35,215.0","4.60K","-2.34%"
"09/10/2021","35,496.4","35,496.0","35,496.4","35,496.0","8.00K","0.53%"
"09/13/2021","36,247.7","36,435.0","36,435.5","36,248.0","3.70K","2.12%"
"09/14/2021","36,200.7","36,201.0","36,200.7","36,201.0","0.30K","-0.13%"
"09/15/2021","35,778.1","36,013.0","36,012.9","35,684.0","6.30K","-1.17%"
"09/16/2021","35,778.1","35,778.0","35,965.9","35,778.0","13.40K","0.00%"
"09/17/2021","36,153.8","35,872.0","36,153.8","35,778.0","17.00K","1.05%"
"09/20/2021","36,529.4","36,154.0","36,529.4","36,154.0","16.20K","1.04%"
"09/21/2021","36,059.8","36,342.0","36,435.5","36,060.0","5.10K","-1.29%"
"09/22/2021","36,341.6","36,060.0","36,435.5","35,684.0","165.30K","0.78%"
"09/23/2021","38,877.0","36,201.0","38,877.0","36,201.0","273.90K","6.98%"
"09/24/2021","41,553.3","38,877.0","41,553.3","38,877.0","120.50K","6.88%"
"09/27/2021","40,849.0","42,258.0","42,257.6","40,849.0","4.60K","-1.69%"
"09/28/2021","39,440.5","40,849.0","40,849.0","38,314.0","11.70K","-3.45%"
"09/29/2021","38,595.3","38,689.0","39,581.3","38,501.0","27.10K","-2.14%"
"09/30/2021","38,970.9","37,750.0","38,970.9","37,750.0","2.50K","0.97%"
"10/01/2021","38,078.8","38,971.0","38,970.9","37,844.0","2.40K","-2.29%"
"10/04/2021","38,078.8","37,750.0","38,970.9","37,750.0","7.50K","0.00%"
"10/05/2021","37,938.0","38,079.0","38,783.1","37,938.0","7.80K","-0.37%"
"10/06/2021","39,064.8","38,079.0","39,064.8","38,079.0","5.90K","2.97%"
"10/07/2021","39,158.7","39,065.0","39,346.6","39,065.0","4.60K","0.24%"
"10/08/2021","40,473.4","39,440.0","40,473.4","39,253.0","26.00K","3.36%"
"10/11/2021","40,379.5","40,473.0","40,473.4","40,380.0","3.00K","-0.23%"
"10/12/2021","40,332.6","40,380.0","41,318.6","40,192.0","30.30K","-0.12%"
"10/13/2021","40,191.7","40,192.0","40,191.7","38,971.0","15.10K","-0.35%"
"10/14/2021","41,130.8","41,225.0","41,224.7","41,037.0","14.50K","2.34%"
"10/15/2021","40,379.5","41,131.0","41,130.8","39,910.0","5.10K","-1.83%"
"10/18/2021","39,910.0","40,380.0","40,379.5","38,501.0","23.20K","-1.16%"
"10/19/2021","40,849.0","39,440.0","41,130.8","39,440.0","14.20K","2.35%"
"10/20/2021","40,943.0","41,037.0","41,036.9","40,849.0","14.40K","0.23%"
"10/21/2021","41,506.4","40,943.0","42,257.6","39,018.0","109.60K","1.38%"
"10/22/2021","42,492.4","41,506.0","42,492.4","41,506.0","8.30K","2.38%"
"10/25/2021","42,351.5","43,760.0","43,760.1","42,352.0","53.60K","-0.33%"
"10/26/2021","42,351.5","42,727.0","42,821.1","42,258.0","7.80K","0.00%"
"10/27/2021","43,384.5","43,666.0","43,666.2","43,009.0","4.80K","2.44%"
"10/28/2021","43,384.5","43,385.0","43,384.5","43,385.0","6.40K","0.00%"
"10/29/2021","42,727.2","41,788.0","43,196.7","41,788.0","18.30K","-1.52%"
"11/01/2021","44,323.6","42,915.0","44,887.0","42,258.0","32.10K","3.74%"
"11/02/2021","45,074.8","45,075.0","45,544.3","44,981.0","11.50K","1.69%"
"11/03/2021","45,074.8","45,450.0","45,450.4","43,478.0","8.90K","0.00%"
"11/04/2021","44,980.9","45,028.0","45,027.9","43,713.0","0.90K","-0.21%"
"11/05/2021","44,980.9","43,948.0","45,074.8","43,948.0","4.50K","0.00%"
"11/08/2021","45,172.3","45,747.0","45,842.2","45,172.0","10.40K","0.43%"
"11/09/2021","44,885.2","42,493.0","45,172.3","42,493.0","18.90K","-0.64%"
"11/10/2021","44,885.2","44,311.0","44,885.2","44,311.0","1.40K","0.00%"
"11/11/2021","44,215.3","44,885.0","44,885.2","44,215.0","3.30K","-1.49%"
"11/12/2021","44,980.9","44,502.0","45,172.3","44,215.0","7.10K","1.73%"
"11/15/2021","45,937.9","48,043.0","48,043.4","42,493.0","160.30K","2.13%"
"11/16/2021","45,794.4","45,938.0","45,937.9","45,747.0","8.90K","-0.31%"
"11/17/2021","45,937.9","44,694.0","46,895.0","44,694.0","12.40K","0.31%"
"11/18/2021","45,076.6","45,938.0","45,937.9","44,885.0","5.30K","-1.87%"
"11/19/2021","44,980.9","45,938.0","45,937.9","44,981.0","5.30K","-0.21%"
"11/22/2021","44,023.9","44,215.0","44,980.9","43,115.0","22.50K","-2.13%"
"11/23/2021","44,023.9","44,024.0","44,023.9","44,024.0","0.80K","0.00%"
"11/24/2021","44,980.9","43,163.0","44,980.9","43,163.0","1.70K","2.17%"
"11/25/2021","44,980.9","45,747.0","45,746.5","44,981.0","1.20K","0.00%"
"11/26/2021","44,023.9","44,981.0","44,980.9","43,354.0","1.80K","-2.13%"
"11/29/2021","45,028.8","43,067.0","45,459.4","43,067.0","11.50K","2.28%"
"11/30/2021","45,459.4","45,459.0","46,799.3","45,459.0","104.50K","0.96%"
"12/01/2021","45,937.9","45,459.0","45,937.9","44,981.0","17.70K","1.05%"
"12/02/2021","46,416.5","45,938.0","46,416.5","43,354.0","10.20K","1.04%"
"12/06/2021","44,119.6","43,641.0","45,842.2","43,354.0","8.90K","-4.95%"
"12/07/2021","44,789.5","45,459.0","45,459.4","43,641.0","51.30K","1.52%"
"12/08/2021","44,789.5","43,641.0","44,837.3","43,641.0","1.90K","0.00%"
"12/09/2021","44,023.9","44,933.0","44,933.0","44,024.0","0.40K","-1.71%"
"12/10/2021","44,023.9","44,024.0","44,789.5","43,737.0","25.20K","0.00%"
"12/13/2021","44,885.2","43,928.0","44,885.2","43,737.0","16.60K","1.96%"
"12/14/2021","44,837.3","44,837.0","44,837.3","44,837.0","0.20K","-0.11%"
"12/15/2021","44,495.1","44,837.0","44,837.4","44,495.0","15.60K","-0.76%"
"12/16/2021","44,006.1","43,517.0","44,984.0","43,028.0","3.30K","-1.10%"
"12/17/2021","44,495.1","44,006.0","44,984.0","44,006.0","8.50K","1.11%"
"12/20/2021","44,690.7","45,864.0","45,864.2","44,691.0","2.20K","0.44%"
"12/21/2021","42,637.1","44,691.0","44,788.5","42,637.0","0.70K","-4.60%"
"12/22/2021","43,028.2","42,588.0","43,028.2","42,588.0","4.80K","0.92%"
"12/23/2021","42,637.1","42,539.0","42,637.1","42,539.0","1.50K","-0.91%"
"12/24/2021","44,201.7","44,202.0","44,201.7","44,202.0","0.10K","3.67%"
"12/27/2021","44,103.9","44,104.0","44,103.9","44,104.0","0.20K","-0.22%"
"12/28/2021","43,028.2","43,908.0","44,690.7","43,028.0","1.90K","-2.44%"
"12/29/2021","44,984.0","44,300.0","45,962.0","42,539.0","13.80K","4.55%"
"12/30/2021","44,006.1","43,175.0","44,006.1","43,028.0","14.40K","-2.17%"
"12/31/2021","43,957.2","42,393.0","43,957.2","42,393.0","4.90K","-0.11%"
