"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","12,731.00","12,860.00","12,860.00","12,603.00","1.05M","-1.00%"
"07/02/2021","12,603.00","12,603.00","12,817.00","12,603.00","1.41M","-1.01%"
"07/05/2021","12,346.00","12,603.00","12,731.00","12,003.00","1.13M","-2.04%"
"07/06/2021","12,003.00","12,346.00","12,431.00","11,960.00","2.08M","-2.78%"
"07/07/2021","12,003.00","12,003.00","12,174.00","11,574.00","1.73M","0.00%"
"07/08/2021","12,003.00","11,917.00","12,174.00","11,831.00","1.03M","0.00%"
"07/09/2021","12,003.00","11,703.00","12,260.00","11,703.00","1.75M","0.00%"
"07/12/2021","12,003.00","12,003.00","12,088.00","11,188.00","2.28M","0.00%"
"07/13/2021","11,831.00","12,003.00","12,174.00","11,788.00","705.91K","-1.43%"
"07/14/2021","11,574.00","11,831.00","12,131.00","11,360.00","750.58K","-2.17%"
"07/15/2021","11,746.00","11,574.00","12,003.00","11,445.00","763.76K","1.49%"
"07/16/2021","12,003.00","11,746.00","12,174.00","11,703.00","377.33K","2.19%"
"07/19/2021","11,531.00","11,874.00","11,917.00","11,403.00","475.66K","-3.93%"
"07/20/2021","11,831.00","11,488.00","11,874.00","11,274.00","476.12K","2.60%"
"07/21/2021","11,746.00","11,703.00","12,003.00","11,488.00","419.09K","-0.72%"
"07/22/2021","11,746.00","11,788.00","11,917.00","11,531.00","1.55M","0.00%"
"07/23/2021","11,746.00","11,788.00","11,788.00","11,617.00","1.26M","0.00%"
"07/26/2021","11,703.00","11,703.00","11,746.00","11,488.00","479.16K","-0.37%"
"07/27/2021","11,660.00","11,703.00","11,874.00","11,617.00","915.04K","-0.37%"
"07/28/2021","12,174.00","11,746.00","12,217.00","11,703.00","2.53M","4.41%"
"07/29/2021","12,131.00","12,174.00","12,389.00","12,046.00","822.55K","-0.35%"
"07/30/2021","11,917.00","12,003.00","12,217.00","11,746.00","761.54K","-1.76%"
"08/02/2021","11,788.00","11,874.00","12,088.00","11,788.00","1.74M","-1.08%"
"08/03/2021","11,831.00","12,003.00","12,088.00","11,660.00","1.72M","0.36%"
"08/04/2021","12,260.00","12,003.00","12,260.00","11,831.00","967.06K","3.63%"
"08/05/2021","12,500.00","12,639.00","12,639.00","12,361.00","467.53K","1.96%"
"08/06/2021","12,546.00","12,315.00","12,593.00","12,269.00","498.85K","0.37%"
"08/09/2021","12,546.00","12,454.00","12,546.00","12,269.00","1.13M","0.00%"
"08/10/2021","12,500.00","12,546.00","12,778.00","12,407.00","558.36K","-0.37%"
"08/11/2021","12,500.00","12,407.00","12,546.00","12,361.00","529.31K","0.00%"
"08/12/2021","12,824.00","12,500.00","12,963.00","12,361.00","1.45M","2.59%"
"08/13/2021","13,148.00","12,824.00","13,333.00","12,685.00","1.92M","2.53%"
"08/16/2021","13,611.00","13,194.00","13,750.00","13,148.00","2.64M","3.52%"
"08/17/2021","13,565.00","13,796.00","13,796.00","13,148.00","1.57M","-0.34%"
"08/18/2021","13,148.00","13,333.00","13,565.00","13,148.00","1.13M","-3.07%"
"08/19/2021","12,917.00","12,963.00","13,148.00","12,685.00","612.04K","-1.76%"
"08/20/2021","12,778.00","12,870.00","13,287.00","12,222.00","1.54M","-1.08%"
"08/23/2021","12,315.00","12,731.00","12,778.00","12,315.00","887.00K","-3.62%"
"08/24/2021","12,593.00","12,500.00","12,685.00","12,315.00","712.58K","2.26%"
"08/25/2021","12,546.00","12,546.00","12,870.00","12,407.00","790.67K","-0.37%"
"08/26/2021","12,685.00","12,500.00","12,870.00","12,500.00","1.13M","1.11%"
"08/27/2021","13,241.00","12,685.00","13,241.00","12,546.00","1.66M","4.38%"
"08/30/2021","14,167.00","13,426.00","14,167.00","13,287.00","2.99M","6.99%"
"08/31/2021","13,935.00","14,444.00","14,815.00","13,935.00","2.14M","-1.64%"
"09/01/2021","14,537.00","13,750.00","14,722.00","13,704.00","1.96M","4.32%"
"09/06/2021","14,537.00","14,722.00","15,185.00","14,537.00","2.27M","0.00%"
"09/07/2021","13,796.00","14,537.00","14,537.00","13,565.00","1.67M","-5.10%"
"09/08/2021","13,472.00","13,611.00","13,750.00","13,241.00","1.36M","-2.35%"
"09/09/2021","14,306.00","13,426.00","14,352.00","13,287.00","1.05M","6.19%"
"09/10/2021","13,889.00","14,398.00","14,398.00","13,796.00","825.66K","-2.91%"
"09/13/2021","13,796.00","13,796.00","13,889.00","13,472.00","681.91K","-0.67%"
"09/14/2021","13,611.00","13,796.00","13,843.00","13,472.00","664.42K","-1.34%"
"09/15/2021","13,889.00","13,611.00","14,213.00","13,472.00","1.53M","2.04%"
"09/16/2021","14,213.00","13,889.00","14,537.00","13,796.00","1.99M","2.33%"
"09/17/2021","15,139.00","14,167.00","15,185.00","14,167.00","3.57M","6.52%"
"09/20/2021","14,444.00","15,139.00","15,231.00","14,352.00","1.96M","-4.59%"
"09/21/2021","14,167.00","14,167.00","14,306.00","13,889.00","1.26M","-1.92%"
"09/22/2021","14,630.00","14,167.00","15,000.00","14,074.00","1.39M","3.27%"
"09/23/2021","13,981.00","15,278.00","15,278.00","13,889.00","1.42M","-4.44%"
"09/24/2021","13,981.00","13,981.00","14,259.00","13,750.00","1.36M","0.00%"
"09/27/2021","13,380.00","13,796.00","13,981.00","13,287.00","1.67M","-4.30%"
"09/28/2021","13,426.00","13,194.00","13,519.00","13,009.00","956.77K","0.34%"
"09/29/2021","13,796.00","13,426.00","13,889.00","13,241.00","1.07M","2.76%"
"09/30/2021","13,565.00","13,889.00","14,028.00","13,565.00","601.24K","-1.67%"
"10/01/2021","13,472.00","13,657.00","13,657.00","13,426.00","1.17M","-0.69%"
"10/04/2021","13,796.00","13,889.00","14,028.00","13,519.00","1.87M","2.40%"
"10/05/2021","13,657.00","14,028.00","14,028.00","13,657.00","1.03M","-1.01%"
"10/06/2021","13,843.00","13,611.00","13,889.00","13,565.00","1.40M","1.36%"
"10/07/2021","14,120.00","13,843.00","14,167.00","13,704.00","1.31M","2.00%"
"10/08/2021","14,120.00","14,213.00","14,213.00","13,981.00","943.06K","0.00%"
"10/11/2021","13,981.00","14,074.00","14,213.00","13,935.00","828.14K","-0.98%"
"10/12/2021","14,074.00","13,981.00","14,120.00","13,935.00","841.54K","0.67%"
"10/13/2021","14,630.00","14,074.00","14,954.00","14,074.00","2.05M","3.95%"
"10/14/2021","14,676.00","14,676.00","14,907.00","14,583.00","1.84M","0.31%"
"10/15/2021","14,722.00","14,537.00","14,815.00","14,444.00","1.90M","0.31%"
"10/18/2021","14,769.00","14,722.00","14,954.00","14,630.00","2.16M","0.32%"
"10/19/2021","14,769.00","14,815.00","14,815.00","14,537.00","1.08M","0.00%"
"10/20/2021","15,509.00","14,769.00","15,648.00","14,630.00","4.47M","5.01%"
"10/21/2021","15,370.00","15,556.00","15,602.00","15,278.00","1.79M","-0.90%"
"10/22/2021","15,509.00","15,370.00","15,648.00","15,324.00","2.66M","0.90%"
"10/25/2021","16,019.00","15,370.00","16,204.00","15,324.00","2.61M","3.29%"
"10/26/2021","15,926.00","16,019.00","16,065.00","15,556.00","1.60M","-0.58%"
"10/27/2021","15,926.00","15,741.00","16,157.00","15,648.00","1.47M","0.00%"
"10/28/2021","15,926.00","15,787.00","15,926.00","15,556.00","1.69M","0.00%"
"10/29/2021","15,741.00","15,602.00","16,111.00","15,556.00","2.21M","-1.16%"
"11/01/2021","15,556.00","15,602.00","15,787.00","15,231.00","1.89M","-1.18%"
"11/02/2021","16,204.00","15,556.00","16,250.00","15,370.00","3.17M","4.17%"
"11/03/2021","15,741.00","16,296.00","16,481.00","15,278.00","2.48M","-2.86%"
"11/04/2021","15,741.00","15,926.00","15,926.00","15,463.00","1.09M","0.00%"
"11/05/2021","15,694.00","15,463.00","15,880.00","15,463.00","1.44M","-0.30%"
"11/08/2021","15,741.00","15,741.00","15,741.00","15,556.00","1.23M","0.30%"
"11/09/2021","16,528.00","15,741.00","16,528.00","15,556.00","4.48M","5.00%"
"11/10/2021","16,620.00","16,620.00","16,944.00","16,389.00","2.71M","0.56%"
"11/11/2021","17,778.00","16,620.00","17,778.00","16,574.00","6.05M","6.97%"
"11/12/2021","17,500.00","17,778.00","17,870.00","17,130.00","1.95M","-1.56%"
"11/15/2021","17,500.00","17,593.00","17,593.00","16,991.00","1.83M","0.00%"
"11/16/2021","17,315.00","17,407.00","17,500.00","16,898.00","2.20M","-1.06%"
"11/17/2021","17,407.00","17,130.00","17,454.00","17,037.00","2.62M","0.53%"
"11/18/2021","17,593.00","17,407.00","17,639.00","16,852.00","3.12M","1.07%"
"11/19/2021","18,241.00","17,685.00","18,565.00","16,667.00","8.05M","3.68%"
"11/22/2021","17,593.00","18,472.00","18,472.00","16,991.00","3.95M","-3.55%"
"11/23/2021","17,731.00","17,037.00","17,778.00","16,389.00","4.82M","0.78%"
"11/24/2021","16,852.00","17,778.00","17,778.00","16,528.00","6.62M","-4.96%"
"11/25/2021","15,926.00","16,204.00","16,852.00","15,833.00","2.68M","-5.49%"
"11/26/2021","15,741.00","15,787.00","16,204.00","15,370.00","1.62M","-1.16%"
"11/29/2021","15,741.00","14,769.00","15,926.00","14,769.00","1.89M","0.00%"
"11/30/2021","15,556.00","15,648.00","15,880.00","15,370.00","1.96M","-1.18%"
"12/01/2021","15,926.00","15,093.00","16,157.00","15,093.00","3.10M","2.38%"
"12/02/2021","15,648.00","15,926.00","16,111.00","15,556.00","1.21M","-1.75%"
"12/03/2021","15,185.00","15,787.00","15,787.00","15,185.00","701.68K","-2.96%"
"12/06/2021","14,167.00","15,000.00","15,185.00","14,167.00","1.27M","-6.70%"
"12/07/2021","14,444.00","14,167.00","14,630.00","14,167.00","715.50K","1.96%"
"12/08/2021","14,444.00","14,444.00","14,861.00","14,444.00","491.62K","0.00%"
"12/09/2021","14,676.00","14,444.00","14,769.00","14,352.00","487.73K","1.61%"
"12/10/2021","14,769.00","14,722.00","14,769.00","14,583.00","659.02K","0.63%"
"12/13/2021","14,954.00","15,093.00","15,278.00","14,861.00","1.14M","1.25%"
"12/14/2021","14,722.00","14,815.00","15,278.00","14,676.00","704.16K","-1.55%"
"12/15/2021","14,676.00","14,722.00","15,093.00","14,630.00","813.46K","-0.31%"
"12/16/2021","14,676.00","14,815.00","14,815.00","14,583.00","624.78K","0.00%"
"12/17/2021","14,722.00","15,093.00","15,093.00","14,676.00","1.02M","0.31%"
"12/20/2021","14,537.00","14,815.00","14,815.00","14,398.00","682.67K","-1.26%"
"12/21/2021","14,352.00","14,537.00","14,583.00","14,259.00","758.81K","-1.27%"
"12/22/2021","14,954.00","14,444.00","15,046.00","14,444.00","1.80M","4.19%"
"12/23/2021","15,000.00","15,000.00","15,139.00","14,630.00","1.32M","0.31%"
"12/24/2021","15,370.00","15,046.00","15,648.00","15,046.00","2.37M","2.47%"
"12/27/2021","15,463.00","15,370.00","15,556.00","15,278.00","1.55M","0.61%"
"12/28/2021","15,833.00","15,463.00","16,157.00","15,231.00","2.08M","2.39%"
"12/29/2021","15,556.00","15,926.00","15,926.00","15,463.00","961.31K","-1.75%"
"12/30/2021","15,370.00","15,556.00","15,556.00","15,278.00","687.20K","-1.20%"
"12/31/2021","15,278.00","15,324.00","15,694.00","15,093.00","773.06K","-0.60%"
