"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","6,150.0","6,240.0","6,240.0","6,130.0","461.30K","-1.44%"
"07/02/2021","6,140.0","6,150.0","6,200.0","6,120.0","348.90K","-0.16%"
"07/05/2021","5,940.0","6,190.0","6,190.0","5,850.0","818.50K","-3.26%"
"07/06/2021","5,810.0","5,900.0","5,940.0","5,810.0","705.60K","-2.19%"
"07/07/2021","5,560.0","5,800.0","5,810.0","5,460.0","638.20K","-4.30%"
"07/08/2021","5,710.0","5,560.0","5,900.0","5,560.0","325.00K","2.70%"
"07/09/2021","5,460.0","5,700.0","5,700.0","5,450.0","308.40K","-4.38%"
"07/12/2021","5,490.0","5,460.0","5,490.0","5,080.0","1.15M","0.55%"
"07/13/2021","5,870.0","5,570.0","5,870.0","5,200.0","1.88M","6.92%"
"07/14/2021","5,800.0","5,870.0","5,920.0","5,650.0","701.30K","-1.19%"
"07/15/2021","6,000.0","5,800.0","6,000.0","5,630.0","1.05M","3.45%"
"07/16/2021","5,580.0","5,810.0","5,850.0","5,580.0","1.44M","-7.00%"
"07/19/2021","5,290.0","5,410.0","5,410.0","5,190.0","504.50K","-5.20%"
"07/20/2021","5,290.0","5,270.0","5,290.0","5,000.0","376.10K","0.00%"
"07/21/2021","5,100.0","5,290.0","5,290.0","5,050.0","496.60K","-3.59%"
"07/22/2021","5,240.0","5,050.0","5,250.0","5,000.0","942.10K","2.75%"
"07/23/2021","5,120.0","5,270.0","5,270.0","5,110.0","375.60K","-2.29%"
"07/26/2021","5,130.0","5,010.0","5,200.0","5,010.0","125.70K","0.20%"
"07/27/2021","5,260.0","5,070.0","5,300.0","5,070.0","512.10K","2.53%"
"07/28/2021","5,190.0","5,240.0","5,240.0","5,150.0","169.00K","-1.33%"
"07/29/2021","5,100.0","5,200.0","5,210.0","5,100.0","240.50K","-1.73%"
"07/30/2021","5,110.0","5,130.0","5,160.0","5,100.0","496.50K","0.20%"
"08/02/2021","5,110.0","5,110.0","5,200.0","5,090.0","419.90K","0.00%"
"08/03/2021","5,130.0","5,110.0","5,190.0","5,110.0","248.10K","0.39%"
"08/04/2021","5,160.0","5,150.0","5,210.0","5,110.0","781.30K","0.58%"
"08/05/2021","5,390.0","5,170.0","5,450.0","5,160.0","500.30K","4.46%"
"08/06/2021","5,550.0","5,400.0","5,580.0","5,400.0","723.50K","2.97%"
"08/09/2021","5,790.0","5,560.0","5,830.0","5,300.0","621.10K","4.32%"
"08/10/2021","5,990.0","5,800.0","5,990.0","5,700.0","1.13M","3.45%"
"08/11/2021","6,060.0","5,890.0","6,200.0","5,690.0","1.18M","1.17%"
"08/12/2021","5,920.0","6,090.0","6,090.0","5,880.0","754.70K","-2.31%"
"08/13/2021","6,000.0","5,970.0","6,000.0","5,750.0","546.00K","1.35%"
"08/16/2021","6,420.0","6,160.0","6,420.0","6,120.0","3.14M","7.00%"
"08/17/2021","6,390.0","6,450.0","6,590.0","6,300.0","1.12M","-0.47%"
"08/18/2021","6,820.0","6,380.0","6,830.0","6,250.0","2.39M","6.73%"
"08/19/2021","6,700.0","6,600.0","6,900.0","6,590.0","2.15M","-1.76%"
"08/20/2021","6,550.0","6,700.0","6,700.0","6,240.0","1.77M","-2.24%"
"08/23/2021","6,100.0","6,400.0","6,600.0","6,100.0","1.21M","-6.87%"
"08/24/2021","6,190.0","6,090.0","6,290.0","6,090.0","499.20K","1.48%"
"08/25/2021","6,110.0","6,130.0","6,200.0","6,060.0","328.80K","-1.29%"
"08/26/2021","6,100.0","6,200.0","6,270.0","6,010.0","623.30K","-0.16%"
"08/27/2021","6,300.0","6,100.0","6,300.0","6,070.0","398.00K","3.28%"
"08/30/2021","6,400.0","6,400.0","6,590.0","6,300.0","792.40K","1.59%"
"08/31/2021","6,440.0","6,400.0","6,510.0","6,350.0","1.17M","0.63%"
"09/01/2021","6,480.0","6,430.0","6,590.0","6,280.0","1.68M","0.62%"
"09/06/2021","6,530.0","6,600.0","6,650.0","6,490.0","1.02M","0.77%"
"09/07/2021","6,780.0","6,700.0","6,900.0","6,460.0","3.26M","3.83%"
"09/08/2021","7,000.0","6,860.0","7,000.0","6,730.0","2.12M","3.24%"
"09/09/2021","7,180.0","7,000.0","7,250.0","6,810.0","3.17M","2.57%"
"09/10/2021","7,120.0","7,190.0","7,190.0","7,000.0","1.03M","-0.84%"
"09/13/2021","7,300.0","7,200.0","7,300.0","7,010.0","3.32M","2.53%"
"09/14/2021","7,810.0","7,280.0","7,810.0","7,100.0","4.17M","6.99%"
"09/15/2021","8,290.0","8,180.0","8,350.0","7,830.0","3.64M","6.15%"
"09/16/2021","8,280.0","8,210.0","8,500.0","7,950.0","4.68M","-0.12%"
"09/17/2021","8,000.0","8,110.0","8,200.0","7,800.0","2.74M","-3.38%"
"09/20/2021","8,120.0","7,700.0","8,150.0","7,700.0","2.48M","1.50%"
"09/21/2021","7,890.0","7,900.0","8,000.0","7,700.0","1.69M","-2.83%"
"09/22/2021","8,440.0","7,980.0","8,440.0","7,880.0","4.21M","6.97%"
"09/23/2021","8,380.0","9,000.0","9,000.0","7,900.0","2.70M","-0.71%"
"09/24/2021","7,800.0","8,110.0","8,290.0","7,800.0","1.64M","-6.92%"
"09/27/2021","7,260.0","7,500.0","7,850.0","7,260.0","1.97M","-6.92%"
"09/28/2021","7,500.0","6,900.0","7,500.0","6,810.0","1.94M","3.31%"
"09/29/2021","7,100.0","7,300.0","7,490.0","7,070.0","1.79M","-5.33%"
"09/30/2021","7,240.0","7,310.0","7,480.0","7,150.0","2.13M","1.97%"
"10/01/2021","7,150.0","7,200.0","7,350.0","7,000.0","1.03M","-1.24%"
"10/04/2021","7,000.0","7,150.0","7,200.0","7,000.0","807.20K","-2.10%"
"10/05/2021","7,160.0","7,020.0","7,260.0","7,020.0","605.00K","2.29%"
"10/06/2021","7,300.0","7,240.0","7,300.0","7,160.0","606.60K","1.96%"
"10/07/2021","7,410.0","7,320.0","7,810.0","7,250.0","2.01M","1.51%"
