"Date","Price","Open","High","Low","Vol.","Change %"
"07/06/2021","9,000.0","9,000.0","9,000.0","9,000.0","0.10K","-0.11%"
"07/16/2021","8,430.0","8,430.0","8,430.0","8,430.0","0.10K","-6.33%"
"07/22/2021","8,840.0","8,430.0","8,840.0","7,860.0","1.10K","4.86%"
"07/23/2021","9,000.0","8,230.0","9,000.0","8,230.0","0.90K","1.81%"
"07/27/2021","8,400.0","8,380.0","8,400.0","8,380.0","0.40K","-6.67%"
"07/28/2021","8,790.0","8,800.0","8,800.0","8,790.0","0.20K","4.64%"
"07/29/2021","9,370.0","8,790.0","9,370.0","8,790.0","0.40K","6.60%"
"07/30/2021","9,330.0","8,730.0","9,330.0","8,730.0","0.30K","-0.43%"
"08/02/2021","8,850.0","8,860.0","8,860.0","8,850.0","0.40K","-5.14%"
"08/03/2021","9,350.0","9,000.0","9,350.0","9,000.0","0.20K","5.65%"
"08/04/2021","9,960.0","9,300.0","9,980.0","9,300.0","1.00K","6.52%"
"08/05/2021","10,100.0","10,550.0","10,550.0","10,100.0","0.70K","1.41%"
"08/09/2021","10,550.0","10,550.0","10,550.0","10,550.0","0.10K","4.46%"
"08/10/2021","9,830.0","11,150.0","11,150.0","9,820.0","1.70K","-6.82%"
"08/12/2021","9,300.0","9,300.0","9,300.0","9,300.0","0.10K","-5.39%"
"08/13/2021","9,860.0","9,160.0","9,860.0","9,160.0","0.20K","6.02%"
"08/18/2021","9,170.0","9,170.0","9,170.0","9,170.0","0.10K","-7.00%"
"08/19/2021","9,200.0","9,200.0","9,200.0","9,200.0","0.10K","0.33%"
"08/31/2021","9,200.0","9,200.0","9,200.0","9,200.0","0.20K","0.00%"
"09/08/2021","9,000.0","8,590.0","9,000.0","8,590.0","0.30K","-2.17%"
"09/13/2021","9,630.0","9,610.0","9,630.0","9,610.0","0.50K","7.00%"
"09/14/2021","9,630.0","9,630.0","9,630.0","9,630.0","0.20K","0.00%"
"09/16/2021","10,000.0","9,000.0","10,000.0","8,970.0","0.60K","3.84%"
"09/27/2021","9,300.0","9,300.0","9,300.0","9,300.0","0.10K","-7.00%"
"09/29/2021","8,680.0","8,680.0","8,680.0","8,680.0","0.20K","-6.67%"
"09/30/2021","9,280.0","9,280.0","9,280.0","9,280.0","0.10K","6.91%"
"10/01/2021","8,640.0","9,050.0","9,050.0","8,640.0","1.00K","-6.90%"
"10/06/2021","9,230.0","9,230.0","9,230.0","9,230.0","0.10K","6.83%"
"10/07/2021","9,230.0","9,230.0","9,230.0","9,230.0","0.20K","0.00%"
"10/08/2021","9,870.0","9,240.0","9,870.0","9,240.0","0.60K","6.93%"
"10/13/2021","9,870.0","9,870.0","9,870.0","9,870.0","0.40K","0.00%"
"10/14/2021","9,190.0","9,880.0","9,880.0","9,190.0","0.20K","-6.89%"
"10/18/2021","9,830.0","9,830.0","9,830.0","9,830.0","0.20K","6.96%"
"10/19/2021","9,820.0","9,820.0","9,820.0","9,820.0","0.10K","-0.10%"
"11/02/2021","10,000.0","10,000.0","10,000.0","10,000.0","0.10K","1.83%"
"11/05/2021","10,000.0","10,000.0","10,000.0","10,000.0","0.20K","0.00%"
"11/09/2021","10,700.0","10,000.0","10,700.0","10,000.0","1.90K","7.00%"
"11/10/2021","11,400.0","11,400.0","11,400.0","11,400.0","1.20K","6.54%"
"11/11/2021","12,150.0","12,150.0","12,150.0","12,150.0","3.30K","6.58%"
"11/12/2021","13,000.0","13,000.0","13,000.0","13,000.0","1.20K","7.00%"
"11/15/2021","13,900.0","13,900.0","13,900.0","13,900.0","2.00K","6.92%"
"11/16/2021","13,000.0","13,900.0","13,900.0","13,000.0","1.40K","-6.47%"
"11/17/2021","12,600.0","13,000.0","13,000.0","12,600.0","1.30K","-3.08%"
"11/18/2021","12,300.0","11,750.0","12,300.0","11,750.0","5.10K","-2.38%"
"11/19/2021","11,450.0","11,450.0","11,450.0","11,450.0","0.10K","-6.91%"
"11/26/2021","11,000.0","10,650.0","11,000.0","10,650.0","1.80K","-3.93%"
"11/29/2021","11,000.0","11,000.0","11,000.0","11,000.0","0.30K","0.00%"
"11/30/2021","10,800.0","11,000.0","11,000.0","10,300.0","2.60K","-1.82%"
"12/01/2021","11,550.0","10,800.0","11,550.0","10,050.0","1.00K","6.94%"
"12/03/2021","10,800.0","10,750.0","10,800.0","10,750.0","0.20K","-6.49%"
"12/06/2021","10,500.0","10,100.0","11,500.0","10,100.0","1.10K","-2.78%"
"12/07/2021","10,000.0","10,000.0","10,000.0","10,000.0","0.20K","-4.76%"
"12/08/2021","9,350.0","10,000.0","10,000.0","9,350.0","1.70K","-6.50%"
"12/09/2021","9,460.0","9,460.0","9,460.0","9,460.0","0.10K","1.18%"
"12/10/2021","10,100.0","10,100.0","10,100.0","10,100.0","0.30K","6.77%"
"12/13/2021","10,500.0","10,200.0","10,500.0","10,200.0","1.30K","3.96%"
"12/14/2021","11,200.0","11,000.0","11,200.0","11,000.0","1.70K","6.67%"
"12/15/2021","11,200.0","11,950.0","11,950.0","11,200.0","2.70K","0.00%"
"12/16/2021","11,000.0","11,250.0","11,250.0","11,000.0","2.20K","-1.79%"
"12/17/2021","11,500.0","11,500.0","11,500.0","11,400.0","1.00K","4.55%"
"12/20/2021","12,300.0","12,200.0","12,300.0","12,200.0","2.20K","6.96%"
"12/21/2021","13,150.0","12,300.0","13,150.0","12,300.0","0.20K","6.91%"
"12/22/2021","14,050.0","13,300.0","14,050.0","13,150.0","4.20K","6.84%"
"12/23/2021","15,000.0","15,000.0","15,000.0","14,050.0","0.90K","6.76%"
"12/24/2021","16,050.0","16,050.0","16,050.0","16,000.0","2.20K","7.00%"
"12/27/2021","17,150.0","17,150.0","17,150.0","17,150.0","2.90K","6.85%"
"12/28/2021","18,350.0","17,300.0","18,350.0","17,300.0","2.10K","7.00%"
"12/29/2021","19,600.0","18,350.0","19,600.0","18,350.0","0.40K","6.81%"
