"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","7,910.0","7,900.0","8,000.0","7,700.0","6.01M","1.67%"
"07/02/2021","7,670.0","7,800.0","7,960.0","7,650.0","6.63M","-3.03%"
"07/05/2021","7,370.0","7,510.0","7,600.0","7,300.0","9.34M","-3.91%"
"07/06/2021","7,100.0","7,300.0","7,600.0","7,100.0","5.19M","-3.66%"
"07/07/2021","7,000.0","6,990.0","7,150.0","6,900.0","5.03M","-1.41%"
"07/08/2021","7,070.0","7,000.0","7,300.0","6,990.0","3.43M","1.00%"
"07/09/2021","7,000.0","7,090.0","7,220.0","6,900.0","4.17M","-0.99%"
"07/12/2021","6,510.0","6,950.0","7,000.0","6,510.0","6.46M","-7.00%"
"07/13/2021","6,960.0","6,700.0","6,960.0","6,490.0","4.50M","6.91%"
"07/14/2021","6,700.0","6,960.0","7,070.0","6,700.0","2.46M","-3.74%"
"07/15/2021","6,910.0","6,710.0","6,960.0","6,700.0","2.83M","3.13%"
"07/16/2021","6,840.0","6,910.0","6,980.0","6,820.0","2.31M","-1.01%"
"07/19/2021","6,480.0","6,500.0","6,720.0","6,470.0","3.76M","-5.26%"
"07/20/2021","6,930.0","6,520.0","6,930.0","6,480.0","5.84M","6.94%"
"07/21/2021","7,150.0","6,940.0","7,200.0","6,940.0","3.74M","3.17%"
"07/22/2021","7,220.0","7,150.0","7,250.0","7,050.0","2.56M","0.98%"
"07/23/2021","7,040.0","7,150.0","7,230.0","7,030.0","2.82M","-2.49%"
"07/26/2021","7,040.0","6,850.0","7,100.0","6,600.0","2.50M","0.00%"
"07/27/2021","7,520.0","7,100.0","7,520.0","7,040.0","5.41M","6.82%"
"07/28/2021","7,260.0","7,510.0","7,530.0","7,260.0","3.01M","-3.46%"
"07/29/2021","7,200.0","7,250.0","7,300.0","7,150.0","2.43M","-0.83%"
"07/30/2021","7,130.0","7,200.0","7,340.0","7,110.0","4.83M","-0.97%"
"08/02/2021","7,160.0","7,050.0","7,300.0","7,010.0","4.23M","0.42%"
"08/03/2021","7,200.0","7,190.0","7,320.0","7,130.0","3.77M","0.56%"
"08/04/2021","7,220.0","7,280.0","7,300.0","7,190.0","3.58M","0.28%"
"08/05/2021","7,240.0","7,220.0","7,290.0","7,140.0","3.26M","0.28%"
"08/06/2021","7,370.0","7,240.0","7,600.0","7,240.0","9.11M","1.80%"
"08/09/2021","7,390.0","7,330.0","7,490.0","7,330.0","4.11M","0.27%"
"08/10/2021","7,650.0","7,420.0","7,780.0","7,390.0","9.95M","3.52%"
"08/11/2021","7,400.0","7,700.0","7,740.0","7,400.0","6.41M","-3.27%"
"08/12/2021","7,400.0","7,350.0","7,570.0","7,320.0","4.63M","0.00%"
"08/13/2021","7,350.0","7,440.0","7,530.0","7,240.0","5.99M","-0.68%"
"08/16/2021","7,540.0","7,350.0","7,620.0","7,280.0","9.75M","2.59%"
"08/17/2021","7,470.0","7,590.0","7,610.0","7,420.0","4.19M","-0.93%"
"08/18/2021","7,350.0","7,460.0","7,500.0","7,330.0","3.77M","-1.61%"
"08/19/2021","7,280.0","7,350.0","7,420.0","7,260.0","6.60M","-0.95%"
"08/20/2021","6,940.0","7,280.0","7,280.0","6,780.0","11.66M","-4.67%"
"08/23/2021","6,720.0","6,810.0","6,940.0","6,700.0","5.68M","-3.17%"
"08/24/2021","6,910.0","6,750.0","6,970.0","6,690.0","4.57M","2.83%"
"08/25/2021","6,900.0","6,930.0","6,950.0","6,810.0","1.77M","-0.14%"
"08/26/2021","6,830.0","6,900.0","6,920.0","6,750.0","2.80M","-1.01%"
"08/27/2021","7,150.0","6,860.0","7,200.0","6,860.0","6.06M","4.69%"
"08/30/2021","7,390.0","7,270.0","7,450.0","7,160.0","6.72M","3.36%"
"08/31/2021","7,280.0","7,380.0","7,400.0","7,230.0","4.36M","-1.49%"
"09/01/2021","7,290.0","7,210.0","7,390.0","7,210.0","3.67M","0.14%"
"09/06/2021","7,530.0","7,300.0","7,700.0","7,300.0","11.36M","3.29%"
"09/07/2021","7,280.0","7,640.0","7,680.0","7,280.0","5.98M","-3.32%"
"09/08/2021","7,170.0","7,280.0","7,330.0","7,100.0","3.56M","-1.51%"
"09/09/2021","7,250.0","7,110.0","7,250.0","7,080.0","3.37M","1.12%"
"09/10/2021","7,220.0","7,230.0","7,340.0","7,160.0","2.37M","-0.41%"
"09/13/2021","7,220.0","7,220.0","7,360.0","7,170.0","3.82M","0.00%"
"09/14/2021","7,220.0","7,220.0","7,330.0","7,190.0","4.91M","0.00%"
"09/15/2021","7,020.0","6,730.0","7,200.0","6,730.0","12.21M","-2.77%"
