"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","30,584.4","30,952.2","31,004.8","30,374.1","364.13K","-1.02%"
"07/02/2021","30,742.0","30,952.2","30,952.2","30,531.8","329.25K","0.52%"
"07/05/2021","30,006.3","30,794.6","30,794.6","29,901.2","278.81K","-2.39%"
"07/06/2021","29,270.6","30,058.8","30,163.9","29,270.6","603.56K","-2.45%"
"07/07/2021","29,428.2","28,640.0","29,691.0","28,640.0","282.38K","0.54%"
"07/08/2021","29,533.3","29,428.2","29,953.7","28,902.7","152.81K","0.36%"
"07/09/2021","29,585.9","29,428.2","29,691.0","29,165.5","172.88K","0.18%"
"07/12/2021","28,692.5","30,006.3","30,006.3","27,956.8","512.06K","-3.02%"
"07/13/2021","29,428.2","29,165.5","29,428.2","28,692.5","237.56K","2.56%"
"07/14/2021","28,902.7","29,428.2","29,743.5","27,851.7","199.13K","-1.79%"
"07/15/2021","28,640.0","28,902.7","29,165.5","28,114.5","300.56K","-0.91%"
"07/16/2021","28,566.7","28,600.0","29,200.0","28,466.7","133.65K","-0.26%"
"07/19/2021","27,333.3","28,433.3","28,433.3","27,333.3","228.30K","-4.32%"
"07/20/2021","27,866.7","27,066.7","28,000.0","27,066.7","94.20K","1.95%"
"07/21/2021","28,200.0","27,866.7","28,300.0","27,866.7","157.65K","1.20%"
"07/22/2021","29,166.7","27,700.0","29,333.3","27,700.0","191.25K","3.43%"
"07/23/2021","29,733.3","29,166.7","30,000.0","29,166.7","276.45K","1.94%"
"07/26/2021","29,833.3","28,700.0","29,833.3","28,700.0","126.90K","0.34%"
"07/27/2021","29,066.7","30,066.7","30,533.3","28,866.7","700.50K","-2.57%"
"07/28/2021","28,933.3","28,933.3","29,433.3","28,666.7","192.60K","-0.46%"
"07/29/2021","28,666.7","28,900.0","28,933.3","28,500.0","225.00K","-0.92%"
"07/30/2021","28,433.3","28,666.7","28,700.0","28,333.3","210.75K","-0.81%"
"08/02/2021","28,666.7","28,133.3","29,333.3","28,066.7","307.95K","0.82%"
"08/03/2021","29,066.7","28,900.0","29,200.0","28,666.7","460.05K","1.40%"
"08/04/2021","28,800.0","29,200.0","29,266.7","28,733.3","221.55K","-0.92%"
"08/05/2021","28,800.0","29,000.0","29,000.0","28,600.0","132.60K","0.00%"
"08/06/2021","28,566.7","28,800.0","28,800.0","28,500.0","211.50K","-0.81%"
"08/09/2021","30,533.3","28,566.7","30,533.3","28,333.3","1.48M","6.88%"
"08/10/2021","31,300.0","31,333.3","31,733.3","31,000.0","712.05K","2.51%"
"08/11/2021","31,266.7","31,300.0","32,000.0","30,933.3","645.30K","-0.11%"
"08/12/2021","32,866.7","31,000.0","33,400.0","30,733.3","1.44M","5.12%"
"08/13/2021","33,266.7","33,333.3","33,333.3","32,000.0","673.35K","1.22%"
"08/16/2021","33,866.7","33,333.3","34,533.3","33,333.3","775.50K","1.80%"
"08/17/2021","33,066.7","33,533.3","33,866.7","32,666.7","692.40K","-2.36%"
"08/18/2021","33,066.7","33,066.7","33,300.0","32,933.3","499.35K","0.00%"
"08/19/2021","34,666.7","33,000.0","34,666.7","32,933.3","780.00K","4.84%"
"08/20/2021","33,333.3","34,533.3","35,333.3","33,333.3","1.09M","-3.85%"
"08/23/2021","33,666.7","33,333.3","34,333.3","32,733.3","521.70K","1.00%"
"08/24/2021","33,133.3","33,933.3","34,066.7","33,066.7","565.95K","-1.58%"
"08/25/2021","33,733.3","33,000.0","33,733.3","32,666.7","338.55K","1.81%"
"08/26/2021","36,066.7","34,000.0","36,066.7","34,000.0","1.54M","6.92%"
"08/27/2021","36,666.7","36,533.3","37,266.7","36,133.3","628.20K","1.66%"
"08/30/2021","37,733.3","37,000.0","37,800.0","36,666.7","773.85K","2.91%"
"08/31/2021","36,533.3","38,000.0","38,000.0","36,466.7","952.20K","-3.18%"
"09/01/2021","37,800.0","36,600.0","37,800.0","36,000.0","798.75K","3.47%"
"09/06/2021","37,600.0","38,000.0","39,000.0","37,333.3","988.95K","-0.53%"
"09/07/2021","37,333.3","37,400.0","38,600.0","36,666.7","765.75K","-0.71%"
"09/08/2021","37,066.7","37,333.3","37,933.3","36,400.0","453.90K","-0.71%"
"09/09/2021","38,000.0","37,066.7","38,133.3","37,000.0","548.55K","2.52%"
"09/10/2021","37,533.3","38,000.0","38,000.0","37,466.7","295.35K","-1.23%"
"09/13/2021","37,266.7","37,000.0","37,466.7","36,800.0","684.00K","-0.71%"
"09/14/2021","37,066.7","37,066.7","37,400.0","36,933.3","420.00K","-0.54%"
"09/15/2021","38,333.3","37,066.7","38,533.3","36,800.0","977.25K","3.42%"
"09/16/2021","38,600.0","38,333.3","38,933.3","38,333.3","606.90K","0.70%"
"09/17/2021","38,200.0","38,600.0","38,933.3","38,200.0","361.65K","-1.04%"
"09/20/2021","36,866.7","38,200.0","38,333.3","36,866.7","766.50K","-3.49%"
"09/21/2021","36,200.0","36,266.7","37,000.0","35,400.0","922.05K","-1.81%"
"09/22/2021","36,533.3","36,266.7","37,000.0","36,000.0","354.90K","0.92%"
"09/23/2021","36,266.7","36,666.7","37,600.0","36,200.0","315.90K","-0.73%"
"09/24/2021","35,533.3","36,266.7","36,266.7","35,266.7","441.30K","-2.02%"
"09/27/2021","34,666.7","35,333.3","35,866.7","34,666.7","252.30K","-2.44%"
"09/28/2021","35,333.3","34,666.7","35,333.3","34,200.0","258.30K","1.92%"
"09/29/2021","36,266.7","35,333.3","37,000.0","34,800.0","307.20K","2.64%"
"09/30/2021","36,333.3","36,066.7","37,000.0","36,066.7","303.30K","0.18%"
"10/01/2021","36,133.3","36,666.7","36,666.7","36,000.0","252.15K","-0.55%"
"10/04/2021","37,666.7","36,133.3","37,933.3","36,066.7","810.00K","4.24%"
"10/05/2021","37,666.7","37,666.7","38,133.3","37,533.3","325.65K","0.00%"
"10/06/2021","38,533.3","37,933.3","38,733.3","37,333.3","657.30K","2.30%"
"10/07/2021","39,000.0","38,666.7","39,266.7","38,000.0","837.90K","1.21%"
"10/08/2021","38,000.0","38,666.7","39,000.0","38,000.0","332.85K","-2.56%"
"10/11/2021","37,666.7","38,066.7","38,400.0","37,666.7","405.90K","-0.88%"
"10/12/2021","37,666.7","38,066.7","38,066.7","37,400.0","296.85K","0.00%"
"10/13/2021","37,666.7","37,933.3","38,533.3","37,600.0","308.70K","0.00%"
"10/14/2021","38,000.0","37,666.7","38,400.0","37,333.3","422.40K","0.88%"
"10/15/2021","37,800.0","38,400.0","38,400.0","37,466.7","364.65K","-0.53%"
"10/18/2021","37,466.7","37,466.7","38,333.3","37,466.7","387.75K","-0.88%"
"10/19/2021","36,933.3","37,466.7","37,466.7","36,533.3","448.50K","-1.42%"
"10/20/2021","36,666.7","36,733.3","36,933.3","36,533.3","269.85K","-0.72%"
"10/21/2021","36,866.7","36,866.7","37,733.3","36,466.7","210.60K","0.55%"
"10/22/2021","37,533.3","37,200.0","37,933.3","37,133.3","448.50K","1.81%"
"10/25/2021","37,733.3","37,666.7","38,000.0","37,600.0","358.35K","0.53%"
"10/26/2021","40,333.3","37,733.3","40,333.3","37,266.7","1.39M","6.89%"
"10/27/2021","41,000.0","40,800.0","41,666.7","40,666.7","632.40K","1.65%"
"10/28/2021","42,000.0","41,333.3","42,200.0","41,066.7","671.70K","2.44%"
"10/29/2021","41,400.0","41,333.3","41,733.3","41,133.3","603.15K","-1.43%"
"11/01/2021","41,666.7","41,800.0","41,800.0","41,000.0","678.30K","0.64%"
"11/02/2021","43,133.3","42,000.0","43,133.3","41,666.7","694.35K","3.52%"
"11/03/2021","41,333.3","43,200.0","43,333.3","41,333.3","861.30K","-4.17%"
"11/04/2021","42,000.0","40,733.3","42,000.0","40,666.7","469.80K","1.61%"
"11/05/2021","41,933.3","42,066.6","42,266.6","41,000.0","463.05K","-0.16%"
"11/08/2021","43,000.0","41,533.3","43,000.0","41,466.7","693.60K","2.54%"
"11/09/2021","42,666.6","42,600.0","43,000.0","42,133.3","342.45K","-0.78%"
"11/10/2021","42,800.0","42,800.0","43,266.6","42,200.0","456.30K","0.31%"
"11/11/2021","45,266.6","42,800.0","45,733.3","42,333.3","927.00K","5.76%"
"11/12/2021","44,866.6","45,266.6","45,933.3","44,333.3","387.90K","-0.88%"
"11/15/2021","45,000.0","44,866.6","45,266.6","44,000.0","338.55K","0.30%"
"11/16/2021","44,600.0","45,133.3","45,133.3","43,533.3","406.80K","-0.89%"
"11/17/2021","45,000.0","44,133.3","46,000.0","43,733.3","417.00K","0.90%"
"11/18/2021","45,266.6","45,266.6","45,666.6","44,866.6","402.90K","0.59%"
