"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","23,211.0","22,706.4","23,853.2","22,477.1","129.38K","3.06%"
"07/02/2021","24,541.3","23,486.2","24,816.5","23,394.5","267.92K","5.73%"
"07/05/2021","25,045.9","25,137.6","25,917.4","24,862.4","270.65K","2.06%"
"07/06/2021","23,853.2","25,091.7","25,963.3","23,853.2","189.44K","-4.76%"
"07/07/2021","23,899.1","23,256.9","24,036.7","22,935.8","148.89K","0.19%"
"07/08/2021","23,669.7","24,724.8","24,724.8","23,669.7","98.75K","-0.96%"
"07/09/2021","22,752.3","23,761.5","23,761.5","22,201.8","90.25K","-3.88%"
"07/12/2021","22,660.6","22,018.4","22,660.6","21,559.6","405.92K","-0.40%"
"07/13/2021","22,844.0","23,761.5","23,761.5","22,477.1","64.42K","0.81%"
"07/14/2021","22,614.7","22,981.7","23,073.4","22,385.3","42.18K","-1.00%"
"07/15/2021","23,165.1","22,614.7","23,165.1","22,614.7","61.69K","2.43%"
"07/16/2021","23,165.1","23,578.0","23,623.9","22,844.0","31.28K","0.00%"
"07/19/2021","22,018.4","21,834.9","23,119.3","21,834.9","78.81K","-4.95%"
"07/20/2021","22,844.0","22,431.2","22,844.0","21,926.6","28.89K","3.75%"
"07/21/2021","23,394.5","24,128.4","24,128.4","22,889.9","82.62K","2.41%"
"07/22/2021","23,578.0","23,486.2","23,669.7","22,935.8","51.34K","0.78%"
"07/23/2021","23,211.0","23,761.5","23,761.5","22,247.7","106.38K","-1.56%"
"07/26/2021","22,935.8","22,935.8","22,935.8","22,201.8","14.06K","-1.19%"
"07/27/2021","22,935.8","23,302.8","23,302.8","22,660.6","20.06K","0.00%"
"07/28/2021","22,935.8","22,568.8","22,935.8","22,477.1","17.99K","0.00%"
"07/29/2021","22,614.7","22,889.9","22,981.7","22,477.1","36.95K","-1.40%"
"07/30/2021","22,935.8","22,660.6","23,119.3","22,660.6","63.77K","1.42%"
"08/02/2021","23,394.5","22,935.8","23,578.0","22,935.8","87.96K","2.00%"
"08/03/2021","23,486.2","23,623.9","23,623.9","23,348.6","89.82K","0.39%"
"08/04/2021","23,532.1","23,669.7","23,853.2","23,073.4","77.83K","0.20%"
"08/05/2021","23,486.2","23,394.5","23,486.2","22,935.8","37.71K","-0.20%"
"08/06/2021","23,165.1","23,486.2","23,578.0","23,165.1","73.58K","-1.37%"
"08/09/2021","24,495.4","23,302.8","24,770.6","22,935.8","151.51K","5.74%"
"08/10/2021","24,678.9","24,495.4","25,367.0","23,853.2","101.59K","0.75%"
"08/11/2021","24,311.9","24,220.2","24,495.4","24,220.2","65.62K","-1.49%"
"08/12/2021","23,853.2","24,128.4","24,495.4","23,853.2","112.38K","-1.89%"
"08/13/2021","24,128.4","23,853.2","24,403.7","23,394.5","56.90K","1.15%"
"08/16/2021","25,779.8","25,412.8","25,779.8","25,321.1","413.33K","6.84%"
"08/17/2021","27,568.8","27,522.9","27,568.8","26,605.5","406.79K","6.94%"
"08/18/2021","28,165.1","27,981.7","28,899.1","27,981.7","140.83K","2.16%"
"08/19/2021","29,128.4","27,981.7","29,128.4","27,064.2","263.78K","3.42%"
"08/20/2021","28,899.1","29,220.2","29,449.5","27,614.7","355.78K","-0.79%"
"08/23/2021","30,917.4","28,853.2","30,917.4","28,853.2","299.86K","6.98%"
"08/24/2021","29,724.8","31,284.4","32,844.0","28,899.1","276.75K","-3.86%"
"08/25/2021","29,724.8","29,587.2","29,724.8","28,486.2","133.09K","0.00%"
"08/26/2021","29,816.5","29,724.8","30,275.2","29,357.8","122.52K","0.31%"
"08/27/2021","29,908.3","29,816.5","30,275.2","28,761.5","218.65K","0.31%"
"08/30/2021","31,972.5","30,734.0","31,972.5","30,000.0","320.35K","6.90%"
"08/31/2021","32,752.3","33,394.5","34,128.4","32,431.2","373.32K","2.44%"
"09/01/2021","33,578.0","32,844.0","33,669.7","32,293.6","162.19K","2.52%"
"09/06/2021","35,091.8","34,220.2","35,504.6","33,486.2","205.03K","4.51%"
"09/07/2021","34,862.4","35,779.8","36,100.9","33,945.0","287.32K","-0.65%"
"09/08/2021","33,899.1","35,045.9","35,045.9","32,477.1","144.10K","-2.76%"
"09/09/2021","33,899.1","33,853.2","34,128.4","32,844.0","106.93K","0.00%"
"09/10/2021","33,945.0","33,899.1","34,403.7","33,669.7","77.06K","0.14%"
"09/13/2021","33,394.5","33,761.5","34,220.2","32,477.1","170.37K","-1.62%"
"09/14/2021","34,311.9","33,394.5","34,678.9","33,027.5","141.26K","2.75%"
"09/15/2021","33,853.2","34,266.1","34,266.1","32,660.6","119.57K","-1.34%"
"09/16/2021","33,853.2","33,027.5","34,220.2","32,935.8","91.89K","0.00%"
"09/17/2021","34,862.4","34,128.4","34,862.4","33,027.5","214.08K","2.98%"
"09/20/2021","34,770.6","35,779.8","35,779.8","33,486.2","119.57K","-0.26%"
"09/21/2021","34,128.4","33,302.8","34,311.9","33,302.8","99.41K","-1.85%"
"09/22/2021","33,945.0","33,486.2","34,128.4","33,027.5","121.43K","-0.54%"
"09/23/2021","33,486.2","34,403.7","34,403.7","33,302.8","80.33K","-1.35%"
"09/24/2021","32,614.7","33,211.0","33,761.5","32,568.8","105.29K","-2.60%"
"09/27/2021","31,238.5","31,284.4","32,293.6","31,238.5","109.65K","-4.22%"
"09/28/2021","31,238.5","30,367.0","31,238.5","30,275.2","90.69K","0.00%"
"09/29/2021","30,550.5","30,275.2","31,192.7","30,275.2","27.47K","-2.20%"
"09/30/2021","30,917.4","30,550.5","31,330.3","30,550.5","26.60K","1.20%"
"10/01/2021","30,825.7","30,917.4","31,192.7","30,734.0","20.60K","-0.30%"
"10/04/2021","31,192.7","30,871.6","31,467.9","30,275.2","80.01K","1.19%"
"10/05/2021","32,477.1","32,110.1","32,522.9","31,513.8","49.49K","4.12%"
"10/06/2021","32,247.7","32,477.1","32,568.8","31,834.9","24.31K","-0.71%"
"10/07/2021","32,110.1","32,247.7","32,385.3","31,926.6","46.65K","-0.43%"
"10/08/2021","31,743.1","31,376.2","32,110.1","31,376.2","42.62K","-1.14%"
"10/11/2021","33,300.0","31,650.0","33,800.0","31,650.0","69.50K","4.90%"
"10/12/2021","32,800.0","33,300.0","33,300.0","32,100.0","50.40K","-1.50%"
"10/13/2021","32,750.0","33,000.0","33,200.0","32,500.0","66.20K","-0.15%"
