"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","23,495.0","22,804.0","23,495.0","22,804.0","3.50K","3.24%"
"07/02/2021","22,942.0","22,942.0","22,942.0","22,942.0","1.00K","-2.35%"
"07/05/2021","23,035.0","23,035.0","23,035.0","23,035.0","9.60K","0.41%"
"07/06/2021","23,035.0","23,035.0","23,035.0","22,113.0","8.20K","0.00%"
"07/07/2021","22,804.0","22,942.0","22,942.0","22,666.0","2.30K","-1.00%"
"07/08/2021","22,804.0","22,804.0","22,804.0","22,804.0","0.20K","0.00%"
"07/09/2021","22,390.0","22,390.0","22,390.0","22,390.0","3.60K","-1.82%"
"07/12/2021","21,837.0","22,344.0","22,344.0","21,837.0","5.50K","-2.47%"
"07/13/2021","22,942.0","22,942.0","22,942.0","22,942.0","1.00K","5.06%"
"07/15/2021","22,205.0","22,205.0","22,205.0","22,205.0","2.00K","-3.21%"
"07/16/2021","22,390.0","22,205.0","22,390.0","21,837.0","4.20K","0.83%"
"07/20/2021","22,113.0","22,113.0","22,113.0","22,113.0","1.20K","-1.24%"
"07/26/2021","20,731.0","21,929.0","21,929.0","20,731.0","5.60K","-6.25%"
"07/27/2021","22,159.0","22,021.0","22,159.0","22,021.0","5.90K","6.89%"
"07/28/2021","23,495.0","21,653.0","23,495.0","21,653.0","0.30K","6.03%"
"07/29/2021","22,758.0","22,804.0","23,035.0","22,758.0","3.90K","-3.14%"
"07/30/2021","23,587.0","22,804.0","23,587.0","22,804.0","6.40K","3.64%"
"08/02/2021","23,035.0","23,081.0","23,081.0","23,035.0","5.00K","-2.34%"
"08/03/2021","23,772.0","23,772.0","23,772.0","23,772.0","0.10K","3.20%"
"08/05/2021","23,772.0","23,633.0","23,772.0","23,633.0","4.00K","0.00%"
"08/06/2021","23,219.0","23,219.0","23,219.0","23,219.0","0.40K","-2.33%"
"08/09/2021","23,219.0","23,495.0","23,495.0","23,219.0","5.50K","0.00%"
"08/11/2021","23,772.0","23,772.0","23,772.0","23,772.0","2.00K","2.38%"
"08/12/2021","23,219.0","23,772.0","23,772.0","23,219.0","3.30K","-2.33%"
"08/13/2021","23,495.0","23,219.0","23,495.0","23,219.0","1.90K","1.19%"
"08/16/2021","23,587.0","23,587.0","23,726.0","23,587.0","3.40K","0.39%"
"08/17/2021","23,772.0","23,587.0","23,772.0","23,587.0","3.30K","0.78%"
"08/18/2021","23,818.0","23,772.0","23,818.0","23,772.0","3.10K","0.19%"
"08/19/2021","23,864.0","23,772.0","23,956.0","23,726.0","2.60K","0.19%"
"08/20/2021","23,127.0","23,864.0","24,048.0","23,127.0","12.70K","-3.09%"
"08/23/2021","23,035.0","23,035.0","23,495.0","23,035.0","9.10K","-0.40%"
"08/24/2021","23,035.0","23,219.0","23,219.0","23,035.0","1.80K","0.00%"
"08/26/2021","23,127.0","22,205.0","23,127.0","22,205.0","6.10K","0.40%"
"08/27/2021","23,495.0","23,127.0","23,495.0","23,035.0","7.90K","1.59%"
"08/30/2021","23,772.0","23,587.0","23,772.0","23,495.0","15.60K","1.18%"
"08/31/2021","23,910.0","23,726.0","23,910.0","23,726.0","11.30K","0.58%"
"09/01/2021","23,956.0","23,956.0","24,325.0","23,818.0","6.40K","0.19%"
"09/06/2021","24,601.0","24,785.0","24,785.0","24,509.0","4.70K","2.69%"
"09/07/2021","24,417.0","24,509.0","24,509.0","24,417.0","2.10K","-0.75%"
"09/08/2021","24,417.0","24,325.0","24,417.0","24,325.0","10.40K","0.00%"
"09/09/2021","24,048.0","23,772.0","24,048.0","23,772.0","7.60K","-1.51%"
"09/10/2021","24,048.0","24,417.0","24,417.0","24,048.0","3.40K","0.00%"
"09/13/2021","24,693.0","24,048.0","24,693.0","23,772.0","32.70K","2.68%"
"09/14/2021","25,614.0","25,568.0","25,753.0","24,877.0","27.90K","3.73%"
"09/15/2021","27,273.0","26,306.0","27,273.0","26,259.0","48.90K","6.48%"
"09/16/2021","27,595.0","27,181.0","27,595.0","26,950.0","23.90K","1.18%"
"09/17/2021","28,102.0","27,181.0","28,102.0","27,089.0","10.60K","1.84%"
"09/20/2021","27,503.0","28,102.0","28,286.0","27,457.0","32.60K","-2.13%"
"09/21/2021","27,918.0","27,503.0","27,918.0","26,766.0","42.40K","1.51%"
"09/22/2021","27,642.0","26,352.0","28,379.0","26,352.0","7.10K","-0.99%"
"09/23/2021","26,720.0","27,642.0","27,642.0","26,720.0","8.80K","-3.34%"
"09/24/2021","26,720.0","27,181.0","27,642.0","26,720.0","7.30K","0.00%"
"09/27/2021","26,444.0","26,720.0","26,720.0","26,259.0","17.00K","-1.03%"
"09/28/2021","26,398.0","26,352.0","26,720.0","25,891.0","12.00K","-0.17%"
"09/29/2021","26,536.0","27,642.0","27,642.0","26,259.0","4.00K","0.52%"
"09/30/2021","26,398.0","27,181.0","27,181.0","26,398.0","4.60K","-0.52%"
"10/01/2021","27,181.0","27,642.0","27,642.0","24,555.0","3.40K","2.97%"
"10/04/2021","26,259.0","25,799.0","26,259.0","25,799.0","8.50K","-3.39%"
"10/05/2021","26,259.0","25,799.0","26,536.0","25,799.0","2.60K","0.00%"
"10/06/2021","26,259.0","26,259.0","26,904.0","26,259.0","2.50K","0.00%"
"10/07/2021","26,628.0","26,536.0","26,766.0","26,536.0","6.30K","1.41%"
"10/08/2021","26,628.0","26,904.0","27,181.0","26,259.0","5.20K","0.00%"
"10/11/2021","26,259.0","25,799.0","26,259.0","25,799.0","1.40K","-1.39%"
"10/12/2021","26,444.0","26,259.0","26,628.0","26,259.0","8.20K","0.70%"
"10/13/2021","26,628.0","26,536.0","26,628.0","26,536.0","1.10K","0.70%"
"10/14/2021","26,628.0","26,628.0","26,904.0","26,444.0","13.40K","0.00%"
"10/15/2021","27,181.0","27,089.0","27,181.0","26,628.0","6.70K","2.08%"
"10/18/2021","27,457.0","27,181.0","27,457.0","26,812.0","3.90K","1.02%"
"10/19/2021","26,628.0","26,812.0","26,812.0","26,628.0","3.10K","-3.02%"
"10/20/2021","26,997.0","26,628.0","26,997.0","26,628.0","16.10K","1.39%"
"10/21/2021","27,642.0","27,181.0","27,642.0","26,904.0","17.20K","2.39%"
"10/22/2021","28,010.0","28,010.0","28,102.0","27,918.0","7.30K","1.33%"
