"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","14,544.0","14,639.0","14,639.0","14,450.0","15.80K","0.00%"
"07/02/2021","14,544.0","14,497.0","14,544.0","14,497.0","22.40K","0.00%"
"07/05/2021","14,356.0","14,544.0","14,544.0","14,214.0","45.60K","-1.29%"
"07/06/2021","14,356.0","14,544.0","14,544.0","14,356.0","6.40K","0.00%"
"07/07/2021","14,356.0","14,356.0","14,356.0","14,167.0","15.80K","0.00%"
"07/08/2021","14,261.0","14,356.0","14,356.0","14,214.0","6.70K","-0.66%"
"07/09/2021","14,167.0","14,261.0","14,261.0","14,072.0","22.10K","-0.66%"
"07/12/2021","13,694.0","14,167.0","14,167.0","13,222.0","41.60K","-3.34%"
"07/13/2021","13,647.0","13,694.0","13,978.0","13,647.0","13.90K","-0.34%"
"07/14/2021","13,600.0","13,647.0","13,647.0","13,458.0","43.20K","-0.34%"
"07/15/2021","14,119.0","13,553.0","14,119.0","13,506.0","45.50K","3.82%"
"07/16/2021","13,931.0","13,789.0","14,072.0","13,694.0","11.10K","-1.33%"
"07/19/2021","13,694.0","13,694.0","13,694.0","13,600.0","28.80K","-1.70%"
"07/20/2021","13,647.0","13,694.0","13,694.0","13,506.0","5.50K","-0.34%"
"07/21/2021","13,789.0","13,694.0","13,789.0","13,647.0","52.20K","1.04%"
"07/22/2021","13,931.0","13,694.0","14,119.0","13,694.0","4.80K","1.03%"
"07/23/2021","13,742.0","13,883.0","13,883.0","13,694.0","9.90K","-1.36%"
"07/26/2021","14,450.0","14,167.0","14,686.0","14,167.0","199.60K","5.15%"
"07/27/2021","14,639.0","14,969.0","15,017.0","14,639.0","25.30K","1.31%"
"07/28/2021","14,828.0","15,017.0","15,017.0","14,639.0","9.00K","1.29%"
"07/29/2021","14,639.0","14,639.0","14,686.0","14,450.0","53.80K","-1.27%"
"07/30/2021","14,544.0","14,450.0","14,686.0","14,450.0","52.20K","-0.65%"
"08/02/2021","14,592.0","14,544.0","14,639.0","14,167.0","44.40K","0.33%"
"08/03/2021","14,686.0","14,592.0","14,686.0","14,497.0","34.80K","0.64%"
"08/04/2021","14,733.0","14,544.0","14,781.0","14,544.0","39.60K","0.32%"
"08/05/2021","14,639.0","14,781.0","14,781.0","14,544.0","14.50K","-0.64%"
"08/06/2021","14,592.0","14,639.0","14,733.0","14,544.0","46.20K","-0.32%"
"08/09/2021","14,592.0","14,639.0","14,686.0","14,544.0","58.10K","0.00%"
"08/10/2021","14,733.0","14,592.0","14,733.0","14,544.0","57.50K","0.97%"
"08/11/2021","14,828.0","14,686.0","14,828.0","14,686.0","48.90K","0.64%"
"08/12/2021","14,733.0","14,686.0","14,828.0","14,686.0","58.80K","-0.64%"
"08/13/2021","14,733.0","14,781.0","14,875.0","14,733.0","80.50K","0.00%"
"08/16/2021","14,922.0","14,781.0","14,922.0","14,733.0","44.60K","1.28%"
"08/17/2021","14,875.0","15,017.0","15,017.0","14,875.0","47.20K","-0.31%"
"08/18/2021","15,914.0","14,922.0","15,914.0","14,922.0","210.20K","6.98%"
"08/19/2021","16,622.0","17,000.0","17,000.0","16,103.0","119.70K","4.45%"
"08/20/2021","16,386.0","16,622.0","16,622.0","15,961.0","61.60K","-1.42%"
"08/23/2021","16,056.0","16,103.0","16,103.0","15,772.0","66.70K","-2.01%"
"08/24/2021","16,292.0","15,867.0","16,528.0","15,631.0","76.00K","1.47%"
"08/25/2021","16,150.0","16,244.0","16,244.0","15,678.0","8.10K","-0.87%"
"08/26/2021","16,056.0","15,867.0","16,150.0","15,583.0","47.70K","-0.58%"
"08/27/2021","16,150.0","16,056.0","16,150.0","15,819.0","30.80K","0.59%"
"08/30/2021","16,197.0","16,150.0","16,292.0","16,056.0","63.80K","0.29%"
"08/31/2021","16,575.0","16,244.0","17,000.0","16,244.0","112.40K","2.33%"
"09/01/2021","16,717.0","16,575.0","16,764.0","16,433.0","53.00K","0.86%"
"09/06/2021","16,669.0","16,717.0","16,717.0","16,575.0","86.70K","-0.29%"
"09/07/2021","16,764.0","16,669.0","17,000.0","16,669.0","69.90K","0.57%"
"09/08/2021","16,811.0","16,764.0","17,142.0","16,528.0","196.40K","0.28%"
"09/09/2021","16,811.0","16,858.0","16,906.0","16,717.0","25.90K","0.00%"
"09/10/2021","16,764.0","16,811.0","16,811.0","16,528.0","36.40K","-0.28%"
"09/13/2021","16,717.0","16,764.0","16,906.0","16,622.0","57.00K","-0.28%"
"09/14/2021","16,717.0","16,811.0","16,811.0","16,622.0","60.60K","0.00%"
"09/15/2021","16,811.0","16,717.0","16,811.0","16,622.0","48.30K","0.56%"
