"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","6,320.0","6,000.0","6,320.0","5,900.0","176.40K","6.94%"
"07/02/2021","6,380.0","6,320.0","6,510.0","6,300.0","9.00K","0.95%"
"07/05/2021","6,400.0","6,050.0","6,500.0","6,010.0","16.90K","0.31%"
"07/06/2021","6,380.0","6,390.0","6,400.0","6,000.0","27.80K","-0.31%"
"07/07/2021","6,200.0","6,380.0","6,380.0","6,000.0","78.90K","-2.82%"
"07/08/2021","6,180.0","6,200.0","6,200.0","6,000.0","18.10K","-0.32%"
"07/09/2021","6,280.0","6,000.0","6,300.0","6,000.0","23.90K","1.62%"
"07/12/2021","5,850.0","6,270.0","6,270.0","5,850.0","36.30K","-6.85%"
"07/13/2021","6,150.0","6,000.0","6,150.0","5,990.0","4.00K","5.13%"
"07/14/2021","6,230.0","6,240.0","6,240.0","6,000.0","1.70K","1.30%"
"07/15/2021","6,190.0","5,810.0","6,190.0","5,800.0","57.60K","-0.64%"
"07/16/2021","6,400.0","6,200.0","6,400.0","5,910.0","20.50K","3.39%"
"07/19/2021","5,960.0","6,450.0","6,450.0","5,960.0","12.80K","-6.88%"
"07/20/2021","6,190.0","5,960.0","6,200.0","5,840.0","12.70K","3.86%"
"07/21/2021","6,180.0","6,190.0","6,200.0","5,820.0","11.10K","-0.16%"
"07/22/2021","6,150.0","5,900.0","6,170.0","5,750.0","10.70K","-0.49%"
"07/23/2021","6,070.0","5,810.0","6,110.0","5,750.0","7.80K","-1.30%"
"07/26/2021","6,000.0","5,710.0","6,060.0","5,710.0","1.70K","-1.15%"
"07/27/2021","5,640.0","5,660.0","5,970.0","5,600.0","14.00K","-6.00%"
"07/28/2021","5,940.0","5,960.0","5,960.0","5,900.0","0.30K","5.32%"
"07/29/2021","5,940.0","5,940.0","5,950.0","5,900.0","3.00K","0.00%"
"07/30/2021","5,880.0","5,900.0","5,910.0","5,660.0","8.10K","-1.01%"
"08/02/2021","5,850.0","5,700.0","5,870.0","5,550.0","6.00K","-0.51%"
"08/03/2021","6,150.0","5,610.0","6,250.0","5,610.0","10.30K","5.13%"
"08/04/2021","6,090.0","6,100.0","6,100.0","5,770.0","3.00K","-0.98%"
"08/05/2021","6,040.0","5,760.0","6,040.0","5,760.0","50.30K","-0.82%"
"08/06/2021","6,100.0","5,770.0","6,100.0","5,770.0","11.80K","0.99%"
"08/09/2021","6,100.0","6,020.0","6,120.0","5,820.0","17.00K","0.00%"
"08/10/2021","6,100.0","6,110.0","6,120.0","6,100.0","2.10K","0.00%"
"08/11/2021","6,160.0","6,090.0","6,160.0","5,850.0","49.10K","0.98%"
"08/12/2021","6,590.0","6,150.0","6,590.0","6,110.0","118.40K","6.98%"
"08/13/2021","6,680.0","6,600.0","6,900.0","6,200.0","28.10K","1.37%"
"08/16/2021","6,950.0","6,660.0","7,000.0","6,230.0","47.40K","4.04%"
"08/17/2021","7,000.0","6,960.0","7,000.0","6,510.0","88.60K","0.72%"
"08/18/2021","7,000.0","7,050.0","7,050.0","6,850.0","16.90K","0.00%"
"08/19/2021","6,900.0","6,600.0","7,000.0","6,530.0","16.00K","-1.43%"
"08/20/2021","6,880.0","6,890.0","6,900.0","6,700.0","125.70K","-0.29%"
"08/23/2021","6,880.0","6,880.0","6,880.0","6,630.0","33.90K","0.00%"
"08/24/2021","6,840.0","6,420.0","6,880.0","6,420.0","36.50K","-0.58%"
"08/25/2021","6,900.0","6,750.0","6,900.0","6,550.0","124.50K","0.88%"
"08/26/2021","7,380.0","6,900.0","7,380.0","6,810.0","122.90K","6.96%"
"08/27/2021","7,360.0","7,340.0","7,380.0","6,880.0","19.90K","-0.27%"
"08/30/2021","7,800.0","7,360.0","7,870.0","7,100.0","23.80K","5.98%"
"08/31/2021","7,740.0","7,750.0","7,800.0","7,260.0","79.40K","-0.77%"
"09/01/2021","7,730.0","7,210.0","7,790.0","7,210.0","45.00K","-0.13%"
"09/06/2021","7,900.0","7,750.0","7,900.0","7,400.0","22.30K","2.20%"
"09/07/2021","7,850.0","7,900.0","7,900.0","7,680.0","115.00K","-0.63%"
"09/08/2021","7,790.0","7,800.0","7,840.0","7,610.0","116.60K","-0.76%"
"09/09/2021","7,850.0","8,000.0","8,000.0","7,550.0","35.20K","0.77%"
"09/10/2021","7,800.0","7,850.0","7,850.0","7,600.0","47.40K","-0.64%"
"09/13/2021","7,800.0","7,850.0","8,200.0","7,320.0","9.50K","0.00%"
"09/14/2021","7,800.0","8,170.0","8,170.0","7,270.0","44.40K","0.00%"
"09/15/2021","7,790.0","7,800.0","7,800.0","7,270.0","16.00K","-0.13%"
"09/16/2021","7,690.0","7,780.0","7,780.0","7,300.0","26.00K","-1.28%"
"09/17/2021","7,640.0","7,690.0","7,930.0","7,270.0","6.20K","-0.65%"
"09/20/2021","7,740.0","7,640.0","7,940.0","7,150.0","59.80K","1.31%"
"09/21/2021","7,690.0","7,740.0","7,740.0","7,200.0","18.10K","-0.65%"
"09/22/2021","7,750.0","7,680.0","7,780.0","7,170.0","55.30K","0.78%"
"09/23/2021","7,680.0","7,750.0","7,840.0","7,500.0","15.40K","-0.90%"
"09/24/2021","7,560.0","7,220.0","7,630.0","7,150.0","21.40K","-1.56%"
"09/27/2021","7,700.0","7,210.0","7,990.0","7,170.0","72.10K","1.85%"
"09/28/2021","7,700.0","7,690.0","7,700.0","7,210.0","43.30K","0.00%"
"09/29/2021","7,590.0","7,570.0","7,600.0","7,170.0","110.20K","-1.43%"
"09/30/2021","7,250.0","7,590.0","7,790.0","7,180.0","39.00K","-4.48%"
"10/01/2021","7,680.0","7,250.0","7,700.0","7,250.0","2.00K","5.93%"
"10/04/2021","7,400.0","7,600.0","7,690.0","7,210.0","63.40K","-3.65%"
"10/05/2021","7,690.0","7,400.0","7,790.0","7,400.0","111.20K","3.92%"
"10/06/2021","7,770.0","7,690.0","7,800.0","7,330.0","46.90K","1.04%"
"10/07/2021","7,700.0","7,760.0","7,880.0","7,500.0","33.70K","-0.90%"
"10/08/2021","7,680.0","7,700.0","7,700.0","7,500.0","23.30K","-0.26%"
"10/11/2021","7,400.0","7,680.0","7,770.0","7,400.0","108.10K","-3.65%"
"10/12/2021","7,550.0","7,500.0","7,590.0","7,400.0","10.40K","2.03%"
