"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","43,912.0","44,431.0","44,431.0","43,676.0","12.00K","-1.17%"
"07/02/2021","43,629.0","43,912.0","44,006.0","43,581.0","9.20K","-0.64%"
"07/05/2021","43,629.0","43,629.0","43,629.0","43,440.0","6.70K","0.00%"
"07/06/2021","43,440.0","43,629.0","43,817.0","43,440.0","18.80K","-0.43%"
"07/07/2021","43,534.0","42,590.0","43,534.0","42,354.0","25.10K","0.22%"
"07/08/2021","43,912.0","43,487.0","44,006.0","43,487.0","20.80K","0.87%"
"07/09/2021","42,590.0","43,534.0","43,534.0","42,495.0","67.20K","-3.01%"
"07/12/2021","44,195.0","42,590.0","44,290.0","41,598.0","57.00K","3.77%"
"07/13/2021","44,195.0","44,195.0","44,337.0","43,629.0","7.70K","0.00%"
"07/14/2021","46,698.0","43,440.0","47,217.0","43,440.0","15.20K","5.66%"
"07/15/2021","44,998.0","44,006.0","46,320.0","44,006.0","3.50K","-3.64%"
"07/16/2021","44,998.0","45,895.0","45,895.0","44,384.0","9.10K","0.00%"
"07/19/2021","43,440.0","45,517.0","45,517.0","43,440.0","1.20K","-3.46%"
"07/20/2021","43,865.0","43,440.0","44,148.0","43,440.0","1.60K","0.98%"
"07/21/2021","44,573.0","44,856.0","46,273.0","43,912.0","1.60K","1.61%"
"07/22/2021","43,959.0","44,573.0","44,573.0","43,109.0","12.50K","-1.38%"
"07/23/2021","44,290.0","43,959.0","44,573.0","43,440.0","3.90K","0.75%"
"07/26/2021","44,195.0","44,573.0","44,762.0","43,345.0","4.50K","-0.21%"
"07/27/2021","43,912.0","44,101.0","44,101.0","43,440.0","2.10K","-0.64%"
"07/28/2021","44,242.0","43,440.0","44,384.0","43,251.0","2.80K","0.75%"
"07/29/2021","44,006.0","43,581.0","44,148.0","43,581.0","0.80K","-0.53%"
"07/30/2021","45,942.0","44,951.0","46,839.0","43,534.0","16.20K","4.40%"
"08/02/2021","43,912.0","46,650.0","46,650.0","43,912.0","1.60K","-4.42%"
"08/03/2021","44,998.0","44,998.0","44,998.0","44,006.0","5.30K","2.47%"
"08/04/2021","45,706.0","43,723.0","46,131.0","43,723.0","0.90K","1.57%"
"08/05/2021","44,998.0","45,564.0","45,564.0","43,062.0","4.60K","-1.55%"
"08/06/2021","44,998.0","44,101.0","44,998.0","44,101.0","0.70K","0.00%"
"08/09/2021","45,139.0","45,328.0","45,328.0","44,667.0","7.30K","0.31%"
"08/10/2021","45,139.0","44,195.0","45,281.0","44,195.0","4.60K","0.00%"
"08/11/2021","44,573.0","45,092.0","45,328.0","44,384.0","41.70K","-1.25%"
"08/12/2021","43,912.0","46,084.0","46,084.0","43,770.0","14.40K","-1.48%"
"08/13/2021","43,629.0","45,328.0","45,328.0","43,487.0","12.60K","-0.64%"
"08/16/2021","45,328.0","43,723.0","45,423.0","43,723.0","38.50K","3.89%"
"08/17/2021","48,445.0","44,384.0","48,445.0","44,384.0","228.50K","6.88%"
"08/18/2021","51,750.0","51,750.0","51,750.0","51,750.0","145.20K","6.82%"
"08/19/2021","55,338.0","55,338.0","55,338.0","54,772.0","182.80K","6.93%"
"08/20/2021","55,905.0","58,455.0","58,455.0","54,961.0","66.30K","1.02%"
"08/23/2021","59,305.0","56,566.0","59,777.0","52,789.0","104.70K","6.08%"
"08/24/2021","60,721.0","59,116.0","60,910.0","56,755.0","98.50K","2.39%"
"08/25/2021","62,515.0","58,549.0","64,121.0","58,455.0","27.80K","2.95%"
"08/26/2021","62,988.0","62,610.0","64,215.0","60,438.0","122.30K","0.76%"
"08/27/2021","63,176.0","62,893.0","63,365.0","62,138.0","124.00K","0.30%"
"08/30/2021","61,288.0","60,438.0","64,121.0","59,399.0","72.90K","-2.99%"
"08/31/2021","61,288.0","60,438.0","63,271.0","60,438.0","26.50K","0.00%"
"09/01/2021","59,588.0","59,493.0","62,704.0","59,493.0","39.90K","-2.77%"
"09/06/2021","59,966.0","59,493.0","61,288.0","59,493.0","50.90K","0.63%"
"09/07/2021","61,288.0","58,832.0","62,799.0","58,832.0","37.70K","2.20%"
"09/08/2021","60,438.0","61,477.0","62,138.0","59,966.0","12.40K","-1.39%"
"09/09/2021","60,249.0","59,116.0","60,816.0","59,116.0","48.60K","-0.31%"
"09/10/2021","59,871.0","58,549.0","61,193.0","58,549.0","9.60K","-0.63%"
"09/13/2021","59,493.0","57,416.0","59,777.0","57,416.0","50.30K","-0.63%"
"09/14/2021","58,549.0","55,716.0","63,649.0","55,716.0","43.50K","-1.59%"
"09/15/2021","57,605.0","55,244.0","61,382.0","55,244.0","93.50K","-1.61%"
"09/16/2021","58,455.0","57,510.0","59,021.0","56,566.0","38.10K","1.48%"
"09/17/2021","60,249.0","57,321.0","60,249.0","56,660.0","108.80K","3.07%"
"09/20/2021","58,455.0","58,549.0","60,438.0","57,605.0","40.80K","-2.98%"
"09/21/2021","57,888.0","57,605.0","59,399.0","57,227.0","13.10K","-0.97%"
"09/22/2021","57,983.0","57,605.0","59,210.0","57,605.0","23.10K","0.16%"
"09/23/2021","58,455.0","57,227.0","58,738.0","57,227.0","19.50K","0.81%"
"09/24/2021","58,077.0","58,455.0","59,021.0","57,510.0","15.80K","-0.65%"
"09/27/2021","56,755.0","56,660.0","58,738.0","56,660.0","11.00K","-2.28%"
"09/28/2021","57,038.0","56,755.0","58,455.0","55,811.0","12.30K","0.50%"
"09/29/2021","58,549.0","57,038.0","58,549.0","56,660.0","24.30K","2.65%"
"09/30/2021","58,549.0","58,927.0","58,927.0","57,133.0","25.90K","0.00%"
"10/01/2021","57,227.0","57,416.0","58,360.0","57,227.0","12.10K","-2.26%"
"10/04/2021","56,755.0","56,755.0","57,510.0","56,377.0","15.20K","-0.82%"
"10/05/2021","56,566.0","57,416.0","57,416.0","56,472.0","9.40K","-0.33%"
"10/06/2021","56,472.0","56,566.0","57,038.0","56,472.0","12.50K","-0.17%"
"10/07/2021","56,283.0","55,905.0","56,660.0","55,905.0","15.40K","-0.33%"
"10/08/2021","55,999.0","56,283.0","56,660.0","55,716.0","23.70K","-0.50%"
