"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2021","9,649.5","9,649.5","9,649.5","9,649.5","0.10K","-0.93%"
"07/02/2021","9,968.1","9,877.1","9,968.1","9,877.1","4.10K","3.30%"
"07/05/2021","9,831.6","9,831.6","9,831.6","9,831.6","0.20K","-1.37%"
"07/06/2021","10,013.6","10,013.6","10,104.7","10,013.6","1.70K","1.85%"
"07/07/2021","9,421.9","9,421.9","9,421.9","9,421.9","0.10K","-5.91%"
"07/13/2021","9,614.2","9,614.2","9,614.2","9,614.2","0.10K","2.04%"
"07/14/2021","9,066.2","9,066.2","9,066.2","9,066.2","0.10K","-5.70%"
"07/16/2021","9,662.3","9,662.3","9,662.3","9,662.3","0.10K","6.57%"
"07/20/2021","10,335.3","10,335.3","10,335.3","10,335.3","0.10K","6.97%"
"07/22/2021","9,758.4","9,758.4","9,758.4","9,758.4","0.10K","-5.58%"
"07/23/2021","10,383.3","10,383.3","10,383.3","10,383.3","0.10K","6.40%"
"07/26/2021","10,383.3","10,383.3","10,383.3","10,383.3","1.00K","0.00%"
"07/27/2021","10,383.3","10,383.3","10,383.3","10,335.3","3.50K","0.00%"
"08/06/2021","10,383.3","10,383.3","10,383.3","10,383.3","0.20K","0.00%"
"08/09/2021","10,383.3","10,383.3","10,383.3","10,383.3","1.00K","0.00%"
"08/10/2021","9,998.8","10,575.6","11,104.4","9,998.8","2.10K","-3.70%"
"08/11/2021","10,575.6","9,335.4","10,671.8","9,335.4","1.40K","5.77%"
"08/12/2021","10,767.9","10,767.9","10,767.9","10,767.9","0.40K","1.82%"
"08/16/2021","10,239.1","10,239.1","10,239.1","10,239.1","0.30K","-4.91%"
"08/17/2021","10,383.3","10,191.0","10,383.3","10,191.0","1.00K","1.41%"
"08/19/2021","9,854.6","10,383.3","10,383.3","9,854.6","1.10K","-5.09%"
"08/23/2021","10,527.5","9,998.8","10,527.5","9,998.8","1.60K","6.83%"
"08/24/2021","9,998.8","9,950.7","9,998.8","9,902.6","1.60K","-5.02%"
"08/25/2021","10,671.8","10,671.8","10,671.8","10,671.8","0.10K","6.73%"
"08/30/2021","9,998.8","10,431.4","10,431.4","9,998.8","1.60K","-6.31%"
"08/31/2021","10,671.8","10,671.8","10,671.8","10,671.8","0.80K","6.73%"
"09/01/2021","11,392.8","11,392.8","11,392.8","11,392.8","3.10K","6.76%"
"09/06/2021","12,162.0","12,162.0","12,162.0","12,162.0","2.70K","6.75%"
"09/07/2021","11,344.8","12,690.7","12,738.8","11,344.8","4.70K","-6.72%"
"09/08/2021","10,671.8","10,575.6","12,113.9","10,575.6","0.60K","-5.93%"
"09/09/2021","11,392.8","10,335.3","11,392.8","10,335.3","0.70K","6.76%"
"09/10/2021","11,537.0","11,537.0","11,537.0","10,671.8","2.30K","1.27%"
"09/13/2021","11,537.0","11,537.0","11,537.0","11,537.0","1.90K","0.00%"
"09/15/2021","11,344.8","11,489.0","11,537.0","11,344.8","2.50K","-1.67%"
"09/16/2021","11,633.2","11,344.8","11,633.2","10,767.9","1.10K","2.54%"
"09/17/2021","11,537.0","11,537.0","11,537.0","11,537.0","0.10K","-0.83%"
